oddupávávaně	D	oddupávávaný
Hanťův	A	Hanťa
strženost	N	stržený
vstavitelnost	N	vstavitelný
nakolkovávání	N	nakolkovávat
trasologie	N	trasa
přivápnivší	A	přivápnit
kacanovskost	N	kacanovský
Vavrušák	N	-
střečkovávatelnost	N	střečkovávatelný
mrknutelně	D	mrknutelný
zipovaně	D	zipovaný
nadpotřebný	A	potřebný
tarpanův	A	tarpan
Vojkovská	N	Vojkovský
mikroskopicky	D	mikroskopický
cystin	N	cysta
podmínkovatelnost	N	podmínkovatelný
stodesetimiliardovost	N	stodesetimiliardový
kořínkářsky	D	kořínkářský
Konhefr	N	-
Rydlewiczův	A	Rydlewicz
padnoucí	A	padnout
zjednotvárňovávající	A	zjednotvárňovávat
zamžívávání	N	zamžívávat
Kolč	N	-
naklopitelně	D	naklopitelný
Kroseska	N	-
zaprahovávaný	A	zaprahovávat
uštěkatelný	A	uštěkat
vinívatelnost	N	vinívatelný
vykrucovávání	N	vykrucovávat
obstřelovávatelnost	N	obstřelovávatelný
oddrmolitelně	D	oddrmolitelný
zbrebtavší	A	zbreptat
číšníkařívatelně	D	číšníkařívatelný
poznačovací	A	poznačovat
promílávatelnost	N	promílávatelný
Hexaprotodon	N	-
skiaskopický	A	skiaskopie
osmigigabajtovost	N	osmigigabajtový
Marzin	N	-
Dítětův	A	Dítě
Klette	N	-
přivrávorávající	A	přivrávorávat
odštěpovatelně	D	odštěpovatelný
respirovatelnost	N	respirovatelný
běžkařčin	A	běžkařka
fragmentovávanost	N	fragmentovávaný
zavládatelný	A	zavládat
Jakšová	N	Jakš
rechtářčin	A	rechtářka
třísongový	A	tři songový
východokonžskost	N	východokonžský
vbalivší	A	vbalit
psávanost	N	psávaný
rozhánívatelnost	N	rozhánívatelný
zakrémovaně	D	zakrémovaný
Hrubiánová	N	Hrubián
Séth	N	-
jednolitý	A	?
Šenkyříkův	A	Šenkyřík
nezaměstanost	N	!
materiálně	D	materiální
žuchávatelně	D	žuchávatelný
vnitrostaveništní	A	*vnitro staveništní
Mathesová	N	Mathes
skláněnost	N	skláněný
nakročovávaný	A	nakročovávat
nosáčův	A	nosáč
cvrknutý	A	cvrknout
Burton	N	-
přehopsat	V	hopsat
cimbuřovitě	D	cimbuřovitý
poschodí	N	schody
doderegulovatelně	D	doderegulovatelný
Ozanová	N	Ozan
šestiseteurovka	N	šestiseteurový
zašimrat	V	šimrat
zamrskatelnost	N	zamrskatelný
nablýskaný	A	nablýskat
doodsiřovávající	A	doodsiřovávat
prozhejbávání	N	prozhejbávat
jasnívat	V	jasnit
sargasový	A	Sargassum
hovořívaný	A	hovořívat
džürčenskost	N	džürčenský
poloreliéfní	A	poloreliéf
zasalutovatelný	A	zasalutovat
Jelenický	N	Jelenice
Gmelinová	N	Gmelin
torpédomet	N	torpédo metat
přisankcionovací	A	přisankcionovat
nesolidní	A	solidní
uhejbávat	V	uhejbat
navštěvovatelný	A	navštěvovat
Jaeggi	N	-
bagovávání	N	bagovávat
Tulúnovec	N	Tulún
reveňově	D	reveňový
došmidlovávající	A	došmidlovávat
připrásknutelný	A	připrásknout
zchabovatelný	A	zchabovat
provléknuvší	A	provléknout
cenzorovávání	N	cenzorovávat
hůrkovost	N	hůrkový
zmaximalizovávat	V	zmaximalizovat
předvedení	N	předvést
Komoňová	N	Komoň
potatěný	A	potatit
rotmistrův	A	rotmistr
obestírávat	V	obestírat
vyboulovávaný	A	vyboulovávat
odkomandovaný	A	odkomandovat
Heitmannův	A	Heitmann
zlupovatelnost	N	zlupovatelný
propátrávatelnost	N	propátrávatelný
pozapomenutě	D	pozapomenutý
rekurentní	A	rekurence
Dietzenschmidt	N	-
Falkenbergův	A	Falkenberg
přilakovávání	N	přilakovávat
pípavost	N	pípavý
Zábalův	A	Zábal
Brzjákův	A	Brzják
Jacintův	A	Jacinto
syntetizovací	A	syntetizovat
vystružovací	A	vystružovat
zavožení	N	zavozit
Meschkiová	N	Meschki
žabičkový	A	žabička
trichloretylen	N	-
naklusávatelný	A	naklusávat
přepoetizovávající	A	přepoetizovávat
úchylkařívat	V	úchylkařit
kabátničin	A	kabátnice
přesynchronizovatelnost	N	přesynchronizovatelný
Monroová	N	Monroe
vinicky	D	vinický
drápaně	D	drápaný
Bardasová	N	Bardas
diadynamicky	D	diadynamický
emanovaný	A	emanovat
Potapovičův	A	Potapovič
cizoložívání	N	cizoložívat
permon	N	-
olepovávací	A	olepovávat
