188	abalienace	abalienace	N	7787	alienace
220	abaptace	abaptace	N		
562	abdukace	abdukace	N	574	abdukovat
725	abelizace	abelizace_,h_^(vliv_bezpečnostní_agentury_ABL)	N	<<<ABL>>>	
767	aberace	aberace	N		
943	abjurace	abjurace	N		
945	ablace	ablace	N		
954	ablaktace	ablaktace	N	291862	laktace
1266	abreviace	abreviace	N		
1287	abrogace	abrogace	N		
1408	absolutizace	absolutizace	N	1417	absolutizovat
1849	acetylace	acetylace	N	1884	acetyl
2057	acylace	acylace	N	2071	acylovat
2634	aditivace	aditivace	N	2650	aditivovat
2711	adjudikace	adjudikace	N	2722	adjudikovat
2945	adoptace	adoptace	N	2973	adoptovat
2985	adorace	adorace	N	3003	adorovat
2988	adordinace	adordinace	N	<<<adordinovat>>>	
3247	adverbializace	adverbializace	N	3249	adverbiální
3367	aerace	aerace	N		
3583	afektace	afektace	N	3598	afektovat
3659	afilace	afilace	N		
3662	afiliace	afiliace	N		
3668	afinace	afinace	N	3692	afinovat
3705	afirmace	afirmace	N	3716	afirmovat
3754	afixace	afixace_^(tvoření_slov)	N	3755	afix
3789	aforizace	aforizace	N	3780	aforismus
3825	afrikanizace	afrikanizace	N	3834	afrikanizovat
4267	agnoskace	agnoskace	N	4278	agnoskovat
4362	agraciace	agraciace	N		
4384	agrarizace	agrarizace	N	4385	agrarizmus
4404	agravace	agravace	N		
5759	aklamace	aklamace	N	5770	aklamovat
5835	akomodace	akomodace	N	5848	akomodovat
5863	akontace	akontace	N		
6287	akulturace	akulturace	N	285516	kultura
6707	albanizace	albanizace	N	6717	albanský
6867	albitizace	albitizace_;L	N		
7143	alegace	alegace_;j	N		
7150	alegorizace	alegorizace	N	7162	alegorizovat
7309	alergizace	alergizace	N	7318	alergizovat
7498	alfabetizace	alfabetizace	N	7509	alfabetizovat
7670	algoritmizace	algoritmizace	N	7681	algoritmizovat
7787	alienace	alienace	N		
7844	alimentace	alimentace	N	7852	alimenty
7855	aliminace	aliminace	N		
7907	alitace	alitace	N		
7931	alitizace	alitizace	N		
8074	alkoholizace	alkoholizace	N	8084	alkoholizovat
8903	altiplanace	altiplanace	N		
9184	amalgamace	amalgamace	N	9197	amalgamovat
9763	amfibolizace	amfibolizace	N	9764	amfibol
9862	aminace	aminace	N	9866	amin
10209	amoxidace	amoxidace	N	<<<?>>>	
10566	analgosedace	analgosedace_,t	NC		
12041	animalizace	animalizace	N	12045	animální
15103	apertace	apertace	N		
15181	aplanace	aplanace	N	15194	aplanovat
15606	apreciace	apreciace	N	15616	apreciovat
15629	aprekace	aprekace	N		
15690	aprobace	aprobace	N	15705	aprobovat
15719	apropriace	apropriace	N		
15723	aprovizace	aprovizace	N	15734	aprovizovat
15885	arabizace	arabizace	N	15898	arabizovat
16559	areace	areace	N		
16920	archaizace	archaizace	N	16932	archaizovat
17377	arizace	arizace	N	17404	arizovat
17883	arondace	arondace	N	17894	arondovat
18440	arzenace	arzenace	N	18460	arzén
18628	asekurace	asekurace	N	18638	asekurovat
18815	asiatizace	asiatizace	N	18819	asiatský
18823	asibilace	asibilace	N		
18833	asignace	asignace	N	18852	asignovat
18913	asingace	asingace	N		
19116	aspektace	aspektace	N	19126	aspektovat
19813	ateizace	ateizace	N	<<<ateizovat>>>	
19857	atestace	atestace	N	19869	atestovat
20630	augmentace	augmentace	N		
20858	auskultace	auskultace	N	20873	auskultovat
22547	axiomatizace	axiomatizace	N	22556	axiomatizovat
22734	ázerbájdžanizace	ázerbájdžanizace	N	22742	ázerbajdžánský
22804	azokopulace	azokopulace	NC		
23737	backspace	backspace_,t_^(klávesa_u_počítače)	N		
25640	bakterizace	bakterizace	N	25610	bakterie
26956	balzamace	balzamace	N	26982	balzamovat
27605	bankodeputace	bankodeputace_;b	NC		
28221	barbarizace	barbarizace	N	28231	barbarizovat
29016	barokizace	barokizace	N	29026	barokizovat
29509	bártizace	bártizace	N	29363	Bárta
30460	bastardizace	bastardizace	N	30463	bastard
33721	beletrizace	beletrizace	N	33730	beletrizovat
