Automatic roots for stát#V:	ta tá av zů před vý roze ve zá nad obe se ebni va ná pod soustav an pří ob nástavb čn u vá dlo čko podstav sestáva sestává ební stá pode obstávka odstav podstavec podstaveč představec představen představenstvo super sestavba ička stavení ítko ej iště sto tví kyn zůstání
Manual roots for stát#V:	


stát	stát-3_^(stojím_stojíš)	V
dostát	dostát	V
dostáný	dostáný_^(*2t)	A
dostávší	dostávší_^(*3t)	A
nastát	nastát	V
obstát	obstát	V
obstání	obstání_^(*2t)	N
obstáný	obstáný_^(*2t)	A
obstávat	obstávat_:T_^(*3t)	V
obstávající	obstávající_^(*4t)	A
postát	postát	V
postání	postání_^(*2t)	N
postávat	postávat_:T_^(*3t)	V
postávací	postávací_^(*2t)	A
postávač	postávač	N
postávající	postávající_^(*4t)	A
postávání	postávání_^(*3at)	N
postávaný	postávaný_^(*2t)	A
prostát	prostát	V
prostání	prostání_^(*2t)	N
prostátí	prostátí_^(*1)	N
prostátý	prostátý_^(*1)	A
přestat	přestat	V
přestávat	přestávat_:T_^(*4at)	V
přestávající	přestávající_^(*4t)	A
přestávání	přestávání_^(*3at)	N
přestávka	přestávka	N
přestávkový	přestávkový	A
přestát	přestát	V
přestálý	přestálý_^(*2t)	A
přestále	přestále_^(*1ý)	D
přestání	přestání_^(*3at)	N
přestátí	přestátí_^(*1)	N
přestátý	přestátý_^(*1)	A
přistát	přistát	V
přistání	přistání_^(*2t)	N
přistávat	přistávat_:T_^(*3t)	V
přistávací	přistávací_^(^IC*4t)	A
přistávající	přistávající_^(*4t)	A
přistávání	přistávání_^(*3at)	N
přistávaný	přistávaný_^(*2t)	A
přistávávat	přistávávat_:T_^(*4at)	V
přistavší	přistavší_^(*4át)	A
stanout	stanout_^(např._na_vrcholu)	V
stanutí	stanutí_^(např._na_vrcholu)_(*3out)	N
stanuvší	stanuvší_^(např._na_vrcholu)_(*4out)	A
zastanout	zastanout_,a	V
stavět	stavět	V
dostavět	dostavět_^(dokončit_stavbu)	V
dostavění	dostavění_^(dokončit_stavbu)_(*2t)	N
dostavěný	dostavěný_^(dokončit_stavbu)_(*2t)	A
dostavěnost	dostavěnost_^(dokončit_stavbu)_(*3ý)	N
nadstavět	nadstavět	V
nadstavěný	nadstavěný_^(*2t)	A
nastavět	nastavět	V
nastavění	nastavění_^(*2t)	N
nastavěný	nastavěný_^(*2t)	A
obestavět	obestavět	V
obestavění	obestavění_^(*2t)	N
obestavěný	obestavěný_^(*2t)	A
