*	vkladba	vkládat	M
&	nadsadba	sadba	M
&	podsadba	sadba	M
*	dosadba	dosadit	M
*	veleba–N–veleba-1_,a_^(velebení)	velebit	M
*	zveleba	zvelebit	M
%	výškleba	vyšklíbat	M
*	potřeba	potřebovat	M
*	spotřeba	spotřebovat	M
&	nadspotřeba	spotřeba	M
*	obliba	oblíbit	M
*	záliba	zalíbit	M
*	malba	malovat	M
&	podmalba	malba	M
*	přemalba	přemalovat	M
*	domalba	domalovat	M
*	výmalba	vymalovat	M
&	předvolba	volba	M
&	podvolba	volba	M
*	hanba	hanit	M
*	klenba	klenout	M
&	spodoba	podoba	M
*	zdoba	zdobit	M
*	obhajoba	obhajovat	M
*	žaloba	žalovat	M
*	obžaloba	obžalovat	M
*	poroba	porobit	M
&	nadvýroba	výroba	M
&	předvýroba	výroba	M
&	podvýroba	výroba	M
>	zásoba	zásobit	M
*	orba	orat	M
*	tvorba	tvořit	M
*	kresba	kreslit	M
&	předkresba	kresba	M
&	podkresba	kresba	M
%	klatba	klít	M
*	kletba	klít	M
*	setba	sít	M
*	četba	číst	M
*	plemenitba	plemenit	JM
*	zvonitba	zvonit	JM
%	kutba	kutat	M
*	rytba	rýt	M
*	krytba	krýt	M
%	zásnuba	zasnoubit	M
*	chlouba	chlubit	M
>	obruba	obroubit	M
%	záruba	zarubat	M
*	sestavba	sestavit	M
&	nástavba	stavba	M
>	pochyba	pochybovat	M
%	záhyba	zahýbat–V–zahýbat-1_:T_^(odbočovat)	M
*	přesazba	přesadit	M
*	vazba–N–vazba_^(všechny_významy)	vázat	M
%	převazba	převázat	M
*	lučba	loučit	M
*	kuřba	kouřit	M
*	zkušba	zkusit	M
%	dlažba	dláždit	M
%	zádlažba	zadláždit	M
%	výdlažba	vydláždit	M
*	služba	sloužit	M
&	příslužba	služba	M
*	výslužba	vysloužit	M
*	tužba	toužit	M
>	rada–N–rada-1_^(př._dát_někomu_dobrou_radu)	radit	M
*	dohoda	dohodnout	M
>	shoda	shodnout	M
>	nuda	nudit	M
>	sebevražda	sebevraždit	J
