skladba				skládat
obhajoba				obhajovat
žaloba				žalovat
prosba				prosit
četba				číst
modlitba				modlit
hrozba				hrozit
léčba				léčit
učba				učit
lučba				loučit
výučba			vyučit / vyučovat	
vkladba				vkládat
hradba				hradit
sadba		sadit		
nadsadba		nadsadit		
podsadba		podsadit		
dosadba		dosadit		
výsadba		vysadit		
chodba				chodit
sudba				soudit
malba				malovat
podmalba			podmalovat / podmalovávat	
přemalba			přemalovat / přemalovávat	
domalba			domalovat / domalovávat	
výmalba		vymalovat		
palba				pálit
valba				valit
dělba				dělit
střelba		střelit		
volba				volit
předvolba			předvolit /předvolovat	
podvolba		podvolit		
dovolba			dovolit / dovolovat	
hanba				hanit
klenba				klenout
honba				honit
obžaloba			obžalovat / obžalovávat	
orba				orat
tvorba				tvořit
pařba				pařit
kuřba				kouřit
kresba				kreslit
předkresba			předkreslit / předkreslovat	
podkresba			podkreslit / podkreslovat	
zkušba		zkusit		
klatba				klást
platba				platit
kletba				klít
setba				sít
plemenitba				plemenit
ženitba				ženit
honitba				honit
zvonitba				zvonit
věštba				věštit
kutba				kout
rytba				rýt
krytba				krýt
plavba				plavat
přeplavba			přeplavat / přeplavávat	
tavba				tavit
stavba				stavět
nástavba			nastavit / nastavovat	
zástavba			zastavět / zastavovat	
nadstavba			nadstavit / nadstavovat	
přestavba			přestavět / přestavovat	
sestavba			sestavit / sestavovat	
vestavba			vestavět / vestavovat	
přístavba			přistavět / přistavovat	
dostavba			dostavět / dostavovat	
výstavba			vystavět / vystavovat	
sazba				sázet
přesazba				přesazovat
vazba				vázat
převazba				převazovat
vozba				vozit
dlažba				dláždit
zádlažba				zadlažďovat
výdlažba				vydlažďovat
ražba				razit
dražba				dražit
těžba				těžit
držba				držet
tržba				tržit
služba				sloužit
příslužba				přisluhovat
výslužba			vysloužit / vysluhovat	
družba				družit
kružba				kroužit
tužba				toužit
				
				
zloba				zlobit
výroba		vyrobit		
chlouba				chlubit
nálada		naladit		
rada				radit
náhrada		nahradit		
porada		poradit		
dohoda		dohodnout		
shoda			shodnout / shodovat	
nuda				nudit
trefa			trefit / trefovat	
výstraha		vystražit (SSJČ)		
přísaha				přísahat
útěcha			utěšit / utěšovat	
výsluha				vysluhovat
výtka		vytknout		
nauka		naučit		
výuka			vyučit / vyučovat	
chvála				chválit
rána		ranit		
odměna			odměnit / odměňovat	
výplata		vyplatit		
útrata		utratit		
zábava			zabavit / zabavovat	
obava				obávat se
doprava			dopravit / dopravovat	
