*	kojička	kojit	
*	prosívka	prosít	
*	obouvátko	obouvat	
*	obracák	obracet	
*	kolébavka	kolébat	
*	obrušovátko	obrušovat	
*	koledovačka	koledovat	
*	kolíbavka	kolíbat	
%	obstávka	obstát	obstavit
*	zasekávačka	zasekávat	
%	sídlo	sít	sídlit
*	prostřihovačka	prostřihovat	
*	obtahovačka	obtahovat	
*	sípavka	sípat	
*	veršovačka	veršovat	
*	skákačka	skákat	
*	skákavka	skákat	
%	odbíračka	odbírat	odbírač
*	věšitel	věšet	
*	skartovačka	skartovat	
%	dozdívka	dozdít	dozdívat
*	věštička	věštit	
*	zastrkovátko	zastrkovat	
*	skružovačka	skružovat	
*	drbátko	drbat	
*	kopátko	kopat	
*	drčák	drčet	
%	kopička	kopit	kopa
*	zaškrtávátko	zaškrtávat	
*	odhalovačka	odhalovat	
*	drkačka	drkat	
*	drnčák	drnčet	
%	vichřička	vichřit	vichřice
%	družička	družit	družka
*	držák–N–držák-1_^(neživ.)	držet	
%	slívka	slít	slíva
*	pružidlo	pružit	
%	dudačka	dudat	dudák
%	přádlo	přát	příst
*	přebalovačka	přebalovat	
*	koštovačka	koštovat	
*	smilovačka	smilovat	
*	koukačka	koukat	
*	dusátko	dusat	
*	koupačka	koupat	
*	koupátko	koupat	
*	kousátko	kousat	
*	odlívka	odlít	
*	kovadlo	kovat	
*	zatrhovátko	zatrhovat	
*	předatel	předat–V–předat-1_:T_,a_^(příst)	
*	předčistička	předčistit	
*	předehrávka	předehrát	
*	zatykatel	zatykat–V–zatykat-2_:T_,a_^(zatýkat)	
*	vlažička	vlažit	
%	dvojička	dvojit	dvojice
*	zaválcovačka	zaválcovat	
%	vlnička	vlnit	vlna
%	zavazák	zavazet	vaz
*	odpichovadlo	odpichovat	
*	odpočívátko	odpočívat	
*	zavírátko	zavírat	
*	voblbovačka	voblbovat	
*	vobracečka	vobracet	
*	představovačka	představovat	
*	odrážečka	odrážet	
*	odrážedlo	odrážet	
*	spáječka	spájet	
*	spájedlo	spájet	
*	spárovačka	spárovat	
*	dýchátko	dýchat	
%	dychtivka	dychtit	dychtivec
*	dýmačka	dýmat	
*	krouhátko	krouhat	
%	zazdívka	zazdívat	
*	vochlovačka	vochlovat	
%	volavka	volat	vole
*	odstrkovadlo	odstrkovat	
*	odstřeďovačka	odstřeďovat	
%	křivdička	křivdit	křivda
*	voračka–N–voračka_,n_^(účastnice_voraček)	vorat	
%	kuklička	kuklit	kukla
*	spouštědlo	spouštět	
*	babračka	babrat	
%	odvykačka	odvykat	odvykací
%	bahnička	bahnit	bahnice
%	vraštička	vraštit	vráska
%	stáčečka	stáčet	stáčeč
*	vrčák	vrčet	
