limitovat_V	limit_N
úvěrovat_V	úvěr_N
tunelovat_V	tunel_N
čopovat_V	čop_N
žertovat_V	žert_N
kšeftovat_V	kšeft_N
flirtovat_V	flirt_N
veršovat_V	verš_N
sponzorovat_V	sponzor_N
úkolovat_V	úkol_N
prorokovat_V	prorok_N
hákovat_V	hák_N
fixovat_V	fix_N
plakátovat_V	plakát_N
atakovat_V	atak_N
klonovat_V	klon_N
kytovat_V	kyt_N
šamponovat_V	šampon_N
čepovat_V	čep_N
sladovat_V	slad_N
stohovat_V	stoh_N
garážovat_V	garáž_N
tečovat_V	teč_N
špásovat_V	špás_N
profilovat_V	profil_N
registrovat_V	registr_N
skladovat_V	sklad_N
kompotovat_V	kompot_N
portrétovat_V	portrét_N
časovat_V	čas_N
bankrotovat_V	bankrot_N
inzultovat_V	inzult_N
plynovat_V	plyn_N
lobovat_V	lob_N
rapovat_V	rap_N
párovat_V	pár_N
luxovat_V	lux_N
cejchovat_V	cejch_N
machrovat_V	machr_N
krokovat_V	krok_N
kontaktovat_V	kontakt_N
twistovat_V	twist_N
procesovat_V	proces_N
chatovat_V	chat_N
nýtovat_V	nýt_N
formátovat_V	formát_N
šoférovat_V	šofér_N
faulovat_V	faul_N
sedimentovat_V	sediment_N
šéfovat_V	šéf_N
lemovat_V	lem_N
retušovat_V	retuš_N
gruntovat_V	grunt_N
pilotovat_V	pilot_N
hazardovat_V	hazard_N
fragmentovat_V	fragment_N
košerovat_V	košer_N
flamendrovat_V	flamendr_N
monitorovat_V	monitor_N
rázovat_V	ráz_N
skalpovat_V	skalp_N
kufrovat_V	kufr_N
prezentovat_V	prezent_N
voskovat_V	vosk_N
parazitovat_V	parazit_N
stresovat_V	stres_N
chromovat_V	chrom_N
hlasovat_V	hlas_N
kolíkovat_V	kolík_N
šmakovat_V	šmak_N
hodovat_V	hod_N
koksovat_V	koks_N
trucovat_V	truc_N
paktovat_V	pakt_N
patentovat_V	patent_N
bagrovat_V	bagr_N
holdovat_V	hold_N
protestovat_V	protest_N
faxovat_V	fax_N
švindlovat_V	švindl_N
špuntovat_V	špunt_N
pólovat_V	pól_N
pochodovat_V	pochod_N
vzdorovat_V	vzdor_N
fízlovat_V	fízl_N
orientovat_V	orient_N
lajkovat_V	lajk_N
úrokovat_V	úrok_N
krámovat_V	krám_N
respektovat_V	respekt_N
směrovat_V	směr_N
šturmovat_V	šturm_N
trampovat_V	tramp_N
titulovat_V	titul_N
šokovat_V	šok_N
stanovat_V	stan_N
brakovat_V	brak_N
roubovat_V	roub_N
bojkotovat_V	bojkot_N
rámovat_V	rám_N
krémovat_V	krém_N
olejovat_V	olej_N
blogovat_V	blog_N
tvarovat_V	tvar_N
pranýřovat_V	pranýř_N
lakovat_V	lak_N
pinglovat_V	pingl_N
bodyčekovat_V	bodyček_N
koučovat_V	kouč_N
sprintovat_V	sprint_N
kvaltovat_V	kvalt_N
šenkovat_V	šenk_N
skautovat_V	skaut_N
žalářovat_V	žalář_N
startovat_V	start_N
balíkovat_V	balík_N
plánovat_V	plán_N
tónovat_V	tón_N
manifestovat_V	manifest_N
frankovat_V	frank_N
tankovat_V	tank_N
bičovat_V	bič_N
flekovat_V	flek_N
oxidovat_V	oxid_N
pachtovat_V	pacht_N
trempovat_V	tremp_N
mordovat_V	mord_N
filtrovat_V	filtr_N
šroubovat_V	šroub_N
kšaftovat_V	kšaft_N
garantovat_V	garant_N
fofrovat_V	fofr_N
rebelovat_V	rebel_N
niklovat_V	nikl_N
štěrkovat_V	štěrk_N
kódovat_V	kód_N
ledovat_V	led_N
instrumentovat_V	instrument_N
štukovat_V	štuk_N
drnovat_V	drn_N
masakrovat_V	masakr_N
stehovat_V	steh_N
matovat_V	mat_N
pableskovat_V	pablesk_N
