\	růst–N	srůst–N	růst–V	srůst–V				
	mrkev–N	mrkváče–N						
	žlutý–A	žluna–N						
\	inkaso–N	kasa–N						
\	moudrý–A	mudrosloví–N		%				
\	zoboun–N	zoborožec–N						
\	klavír–N	klavichord–N						
\	domněnka–N	domnělý–A	domnívat	domnívat				
\	mech–N	omšelý–A						
\	konjunkce–N	konjunktura–N						
\	Jáchym–N	Jáša–N						
\	purkmistr–N	purkrabí–N						
\	pozemský–A	pozemek–N						
§	meruna–N	meruňka–N						
\	apendix–N	apendektomie–N						
	kritický–A	podkritický–A						
\	folio–N	fólie–N						
§	jaderský–A	Jadran–N						
\	entusiasmus–N	entuziasmus–N						
\	Asie–N	Eurasie–N						
\	stesk–N	tesklivý–A		teskný				
\	populární–A	populace–N						
§	flanďák–N	flanda–N						
	hanět–V	hana–N						
\	Jiří–N	jirský–A						
	forma–N	formát–N						
\	kana–N	katakana–N						
\	matka–N	mamá–N						
\	děkovat–V	vděčit–V						
	tuba–N	intubovat–V						
\	kana–N	hiragana–N						
	mašina–N	mašinérie–N						
	šejk–N	šejchát–N						
	sadit–V	posada–N						
\	buržuj–N	buržoazní–A						
\	funebrák–N	funerální–A						
\	frnknout–V	frňák–N		frnět				
	koule–N	kule–N						
\	mim–N	pantomima–NC						
\	nadat–V	nadace–N						
\	brzy–D	barzoj–N						
	inventář–N	inventura–N						
	znak–N	odznak–N						
	lues–N	luetik–N						
\	jíška–N	zajíšit–V						
\	jímat–V	rozjímat–V						
\	hemoglobin–N	hem–N						
\	augur–N	inaugurovat–V						
\	táhlo–N	netáhlo–N	táhnout	táhnout				
	ariánský–A	arianismus–N						
\	zpyták–N	zpyt–N						
\	hrad–N	rozhrada–N						
	Jonáš–N	Joník–N						
§	skopský–A	Skopje–N						
\	závěť–N	přívětivý–A						
\	podloží–N	nadloží–N						
\	klestit–V	kleště–N						
	fešný–A	fešák–N						
\	nula–N	anulovat–V						
\	klečet–V	vkleče–D		klek				
	debata–N	debatér–N						
\	slunce–N	oslnit–V						
\	Matoušek–N	Matuška–N						
\	čert–N	čerchmant–N						
\	straka–N	stračena–N		strakatý				
	suchý–A	souchotiny–N						
§	adiabatický–A	adiabata–N						
	toxický–A	toxin–N						
	kradmo–D	úkradmo–D						
§	Spartakus–N	Sparta–N						
	bachor–N	bachratý–A						
\	kuplíř–N	kuplet–N						
	kradmo–D	pokradmo–D						
	ježek–N	ježatý–A						
§	hrozit–V	hrůza–N						
	verbovat–V	verbež–N						
	tvář–N	ztvárnit–V						
\	paměť–N	zapomínat–V						
\	hora–N	shora–D						
	oviparie–N	oviparní–A						
