\	úložiště–N	uložit–V						
\	úložní–A	uložit–V						
\	ležet–V	uložit–V						
	ložit–V	uložit–V						
\	ukládat–V	uložit–V						
\	lože–N	uložit–V						
\	ležet–V	souložit–V						
\	lože–N	souložit–V						
	soulož–N	souložit–V						
\	Peruánec–N	Peru–N						
\	peruánský–A	Peru–N						
\	Peruánka–N	Peru–N						
	záda–N	vzadu–D						
\	zezadu–D	vzadu–D						
\	vzad–D	vzadu–D						
\	vrstva–N	vrtat–V						
\	vrtět–V	vrtat–V						
\	vrt–N	vrtat–V						
\	políbit–V	líbat–V						
\	líbavě–D	líbat–V						
\	líbit–V	líbat–V						
\	zoufalkyně–N	zoufat–V						
\	Coufalová–N	zoufat–V						
\	asijský–A	Asiat–N						
	Asie–N	Asiat–N						
\	nadhled–N	podhled–N						
\	dohled–N	podhled–N						
	hledět–V	nadhled–N						
\	dohled–N	nadhled–N						
	Tachov–N	tachovský–A						
\	Tachovsko–N	tachovský–A						
	Tachov–N	tachovský–A						
\	Sokolovo–N	sokolovský–A						
	Sokolov–N	sokolovský–A						
	Sokolov–N	sokolovský–A						
\	Sokolovsko–N	sokolovský–A						
	naletět–V	nálet–N						
\	let–N	nálet–N						
	valit–V	válet–V						
\	válenka–N	válet–V						
	množství–N	množstevní–A						
\	mnohý–A	množstevní–A						
\	mnoho–D	množstevní–A						
\	druh–N	družstevní–A						
	družstvo–N	družstevní–A						
\	pochválit–V	chvála–N						
\	chválit–V	chvála–N						
\	pochvala–N	chvála–N						
\	iniciativa–N	iniciála–N						
\	iniciativní–A	iniciála–N						
\	centralismus–N	centrála–N						
	centrum–N	centrála–N						
\	centralizmus–N	centrála–N						
\	syn–N	synáček–N		synek–N				
\	syneček–N	synáček–N						
	jediný–A	jedináček–N						
\	jedinec–N	jedináček–N						
\	jedinečný–A	jedináček–N						
\	lad–N	ladný–A						
	ladit–V	ladný–A						
\	odložit–V	bezodkladný–A						
\	odkládat–V	bezodkladný–A						
\	drama–N	dramaturg–N						
\	dramatik–N	dramaturg–N						
	dramaturgie–N	dramaturg–N						
\	chirurgický–A	chirurg–N						
	chirurgie–N	chirurg–N						
	prohlédnout–V	prohlídka–N						
\	průvodkyně–N	prohlídka–N						
\	hlídka–N	prohlídka–N						
\	prohlídka–N	vyhlídka–N						
\	výhled–N	vyhlídka–N						
\	hlídka–N	vyhlídka–N						
\	kosatka–N	kosa–N						
\	kosit–V	kosa–N						
\	husopaska–N	husa–N						
\	houser–N	husa–N						
	prs–N	prsa–N						
\	prsařka–N	prsa–N						
\	krášlit–V	krása–N						
\	zkrášlovat–V	krása–N						
\	kapesník–N	kapsa–N						
\	kapesní–A	kapsa–N						
\	kasa–N	kapsa–N						
\	kapesné–N	kapsa–N						
\	cestovatel–N	cestovní–A						
\	cestující–N	cestovní–A						
	cesta–N	cestovní–A						
\	cestovat–V	cestovní–A						
\	cestička–N	cestovní–A						
	list–N	listovní–A						
\	lístek–N	listovní–A						
\	listovat–V	listovní–A						
	Wales–N	Velšan–N						
\	velština–N	Velšan–N						
	Habeš–N	Habešan–N						
\	habešský–A	Habešan–N						
	Habeš–N	Habešan–N						
	Curych–N	Curyšan–N						
	Curych–N	Curyšan–N						
\	pracující–N	prduch–N						
\	důchodce–N	prduch–N						
\	duch–N	vzduch–N						
\	vzdušný–A	vzduch–N						
\	vzdout–V	vzduch–N						
\	ostrůvek–N	ostrov–N						
\	souostroví–N	ostrov–N						
\	podkroví–N	krov–N						
	krýt–V	krov–N						
\	Přerovsko–N	Přerov–N						
\	Přerovanka–N	Přerov–N						
\	Přerovan–N	Přerov–N						
