deštivo_D	deštivý_None
vrchovato_D	vrchovatý_None
vichřivo_D	vichřivý_None
přetěžko_D	přetěžký_None
krušno_D	krušný_None
chladno_D	chladný_None
vzdušno_D	vzdušný_None
zimno_D	zimný_None
převysoko_D	převysoký_None
šumno_D	šumný_None
nevolno_D	nevolný_None
zvučno_D	zvučný_None
úklidno_D	úklidný_None
přesnadno_D	přesnadný_None
líno_D	líný_None
vzlétavo_D	vzlétavý_None
teplo_D	teplý_None
holo_D	holý_None
plocho_D	plochý_None
křivo_D	křivý_None
lahodno_D	lahodný_None
voňavo_D	voňavý_None
šeredno_D	šeredný_None
zimavo_D	zimavý_None
ticho_D	tichý_None
mrazno_D	mrazný_None
kraťounko_D	kraťounký_None
úžasno_D	úžasný_None
velebno_D	velebný_None
větřivo_D	větřivý_None
děsno_D	děsný_None
řiďounko_D	řiďounký_None
dusno_D	dusný_None
nízko_D	nízký_None
lehoučko_D	lehoučký_None
závratno_D	závratný_None
prudko_D	prudký_None
zpěvno_D	zpěvný_None
nepamětno_D	nepamětný_None
mrtvo_D	mrtvý_None
mdlo_D	mdlý_None
prašno_D	prašný_None
zdravo_D	zdravý_None
pusto_D	pustý_None
špatno_D	špatný_None
veseloučko_D	veseloučký_None
přečasto_D	přečastý_None
oblačno_D	oblačný_None
tuho_D	tuhý_None
vlhkavo_D	vlhkavý_None
suchounko_D	suchounký_None
radostno_D	radostný_None
tajno_D	tajný_None
těsno_D	těsný_None
převeselo_D	převeselý_None
nizounko_D	nizounký_None
bouřlivo_D	bouřlivý_None
kluzko_D	kluzký_None
trapno_D	trapný_None
mírno_D	mírný_None
syrovo_D	syrový_None
nenávratno_D	nenávratný_None
smutno_D	smutný_None
krátko_D	krátký_None
vlahoučko_D	vlahoučký_None
úzkostno_D	úzkostný_None
milounko_D	milounký_None
sporo_D	sporý_None
hrozno_D	hrozný_None
ponuro_D	ponurý_None
strašno_D	strašný_None
mrazivo_D	mrazivý_None
blizounko_D	blizounký_None
žalno_D	žalný_None
předraho_D	předrahý_None
klidno_D	klidný_None
slunečno_D	slunečný_None
trudno_D	trudný_None
mlhavo_D	mlhavý_None
hlučno_D	hlučný_None
pošmourno_D	pošmourný_None
příjemno_D	příjemný_None
blátivo_D	blátivý_None
předaleko_D	předaleký_None
stydno_D	stydný_None
hnusno_D	hnusný_None
divo_D	divý_None
vonno_D	vonný_None
vlažno_D	vlažný_None
vlhavo_D	vlhavý_None
rušno_D	rušný_None
předlouho_D	předlouhý_None
kratičko_D	kratičký_None
zataženo_D	zatažený_None
úsměvno_D	úsměvný_None
vlaho_D	vlahý_None
marno_D	marný_None
lacino_D	laciný_None

mírňoučce_D	mírňoučký_None
měkoučce_D	měkoučký_None
přesladce_D	přesladký_None
vlhce_D	vlhký_None
hloupoučce_D	hloupoučký_None
tenoučce_D	tenoučký_None
modrounce_D	modrounký_None
pitomoučce_D	pitomoučký_None
jemňounce_D	jemňounký_None
skromňounce_D	skromňounký_None
droboučce_D	droboučký_None
bělounce_D	bělounký_None
suchounce_D	suchounký_None
velce_D	velký_None
krotce_D	krotký_None
ubohoučce_D	ubohoučký_None
volňoučce_D	volňoučký_None
obojace_D	obojaký_None
křepce_D	křepký_None
světlounce_D	světlounký_None
dalece_D	daleký_None
lehoučce_D	lehoučký_None
vazce_D	vazký_None
neviňoučce_D	neviňoučký_None
kratičce_D	kratičký_None
kluzce_D	kluzký_None
hezounce_D	hezounký_None
nízce_D	nízký_None
horce_D	horký_None
blizounce_D	blizounký_None
hezoučce_D	hezoučký_None
přehluboce_D	přehluboký_None
růžovoučce_D	růžovoučký_None
útloboce_D	útloboký_None
břitce_D	břitký_None
útloučce_D	útloučký_None
kraťounce_D	kraťounký_None
skrovňoučce_D	skrovňoučký_None
čisťoučce_D	čisťoučký_None
široce_D	široký_None
slaboulince_D	slaboulinký_None
něžňounce_D	něžňounký_None
hlaďounce_D	hlaďounký_None
řídce_D	řídký_None
