	underwood–N	underwoodka–N						
	nop–N	nopka–N						
	kost–N	kostka–N						
	stáčeč–N	stáčečka–N						
	Čerkes–N	Čerkeska–N						
\	masař–N	masařka–N						
\	Bohuš–N	Bohuška–N						
	zvěřina–N	zvěřinečka–N						
	vila–N	vilečka–N						
	črta–N	črtečka–N						
	záda–N	zádečka–N						
	Zuzana–N	Zuzanečka–N						
\	vlna–N	vlnečka–N						
	sláma–N	slámečka–N						
	hříva–N	hřívečka–N						
	ústa–N	ústečka–N						
	skýva–N	skývečka–N						
	ředina–N	ředinečka–N						
	zástěra–N	zástěrečka–N						
\	hora–N	horečka–N						
	láj–N	láje–N						
	ráž–N	ráže–N						
	branzol–N	branzole–N						
\	madam–N	madame–N						
\	kapric–N	kaprice–N						
\	renonc–N	renonce–N						
\	epopej–N	epopeje–N						
\	pyj–N	pyje–N						
\	skór–N	skóre–N						
\	skrýš–N	skrýše–N						
\	zář–N	záře–N						
\	máj–N	máje–N						
\	šíř–N	šíře–N						
	verk–N	verkovní–A						
	čaj–N	čajovní–A						
	rým–N	rýmovní–A						
	sport–N	sportovní–A						
	pacht–N	pachtovní–A						
	trumf–N	trumfovní–A						
	fond–N	fondovní–A						
	čep–N	čepovní–A						
	kšeft–N	kšeftovní–A						
	amoniak–N	amoniakální–A						
	sufix–N	sufixální–A						
	zodiak–N	zodiakální–A						
	prodrom–N	prodromální–A						
	kontinent–N	kontinentální–A						
	experiment–N	experimentální–A						
	triumf–N	triumfální–A						
	edikt–N	ediktální–A						
	katar–N	katarální–A						
	rvát–V	rvavý–A						
	lhát–V	lhavý–A						
	psát–V	psavý–A						
	smát–V	smavý–A						
	vlát–V	vlavý–A						
	štkát–V	štkavý–A						
	zvát–V	zvavý–A						
	hrát–V	hravý–A						
	ždát–V	ždavý–A						
	voroplavba–NC	voroplavební–A						
	vozba–N	vozební–A						
	držba–N	držební–A						
	hudba–N	hudební–A						
	sazba–N	sazební–A						
	dlažba–N	dlažební–A						
	honba–N	honební–A						
	tržba–N	tržební–A						
	modlitba–N	modlitební–A						
	volba–N	volební–A						
	tavba–N	tavební–A						
	vyhlídka–N	vyhlídčička–N						
	zásuvka–N	zásuvčička–N						
	fajfka–N	fajfčička–N						
	stránka–N	stránčička–N						
	sbírka–N	sbírčička–N						
	znělka–N	znělčička–N						
	šerka–N	šerčička–N						
	baňka–N	baňčička–N						
	aktovka–N	aktovčička–N						
	kolíbka–N	kolíbčička–N						
	obálka–N	obálčička–N						
\	mírňoučký–A	mírňounce–D						
\	měkoučký–A	měkounce–D						
\	tenoučký–A	tenounce–D						
\	heboučký–A	hebounce–D						
\	čisťoučký–A	čisťounce–D						
\	kratičký–A	kratince–D						
\	tichoučký–A	tichounce–D						
\	lehoučký–A	lehounce–D						
\	útloučký–A	útlounce–D						
\	mladičký–A	mladince–D						
