%	nástrojárna–N	nástrojárenský–A	non-lab.
%	kroupa–N	kroupový–A	non-lab.
%	Břežany–N	břežanský–A	non-lab.
%	Timor–N	Timořan–N	non-lab.
%	podkarpatoruský–AC	Podkarpatoruský–A	non-lab.
%	Seifenbach–N	seifenbašský–A	non-lab.
%	rokaj–N	rokajový–A	non-lab.
%	kazan–N	kazanský–A	non-lab.
%	Křečovice–N	křečovický–A	non-lab.
%	neostalinizmus–N	neostalinista–N	non-lab.
%	oceán–N	oceánický–A	non-lab.
%	sabotáž–N	sabotážní–A	non-lab.
%	vak–N	vačice–N	non-lab.
%	chmel–N	chmelnice–N	non-lab.
%	krovka–N	krovkový–A	non-lab.
%	poschodí–N	poschoďový–A	non-lab.
%	patina–N	patinový–A	non-lab.
%	typologie–NC	typologický–A	non-lab.
%	Žofín–N	Žofínský–A	non-lab.
%	autosumace–NC	autosumační–A	non-lab.
%	pastička–N	pastičkář–N	non-lab.
%	pastelka–N	pastelkovné–N	non-lab.
	zakreslovatel–N	zakreslovatelka–N	non-lab.
%	laterna–N	laternový–A	non-lab.
	liberalista–N	liberalistka–N	non-lab.
%	aralka–N	aralkovitý–A	non-lab.
	výživář–N	výživářka–N	non-lab.
%	Paceřice–N	paceřický–A	non-lab.
%	mahdizmus–N	mahdistický–A	non-lab.
	dohližitel–N	dohližitelka–N	non-lab.
	doplňovač–N	doplňovačka–N	non-lab.
	trasař–N	trasařka–N	non-lab.
%	mandolína–N	mandolínový–A	non-lab.
%	komtur–N	komturský–A	non-lab.
%	mamografie–NC	mamografický–A	non-lab.
%	klavírník–N	klavírnický–A	non-lab.
%	postkomunista–N	postkomunistický–A	non-lab.
%	fyziognomie–NC	fyziognomický–A	non-lab.
%	Vavřín–N	Vavřinec–N	non-lab.
	požívačník–N	požívačnice–N	non-lab.
%	Aitólie–N	aitolský–A	non-lab.
%	liberál–N	liberální–A	non-lab.
	kličkař–N	kličkařka–N	non-lab.
%	tonzura–N	tonzurový–A	non-lab.
%	olšina–N	olšinový–A	non-lab.
%	výpal–N	výpalný–A	non-lab.
%	výsluha–N	výslužka–N	non-lab.
%	činže–N	činžák–N	non-lab.
%	velocipedista–N	velocipedistický–A	non-lab.
%	invalida–N	invalidovna–N	non-lab.
	mašina–N	mašinka–N	non-lab.
%	useň–N	usňový–A	non-lab.
	Adrian–N	Adrianka–N	non-lab.
%	Nouzov–N	nouzovský–A	non-lab.
%	chronografie–NC	chronograf–N	non-lab.
%	deprese–N	depresní–A	non-lab.
	exdiktátor–N	exdiktátorka–N	non-lab.
%	talmud–N	talmudský–A	non-lab.
%	farmaceutika–N	farmaceutik–N	non-lab.
%	Bolívar–N	bolívaristický–A	non-lab.
	markýz–N	markýza–N	non-lab.
%	chloropren–N	chloroprenový–A	non-lab.
%	rozhazovačka–N	rozhazovačkový–A	non-lab.
%	výstřižek–N	výstřižkový–A	non-lab.
%	plachta–N	plachetnice–N	non-lab.
%	drogista–N	drogistický–A	non-lab.
%	černoch–N	Černoch–N	non-lab.
	gymnazista–N	gymnazistka–N	non-lab.
%	Broadway–N	broadwayský–A	non-lab.
%	Bretaň–N	Bretonec–N	non-lab.
%	borůvka–N	borůvčí–N	non-lab.
	pivovarník–N	pivovarnice–N	non-lab.
%	Zuckerman–N	zuckermanovský–A	non-lab.
%	Čejetice–N	čejetický–A	non-lab.
	označovatel–N	označovatelka–N	non-lab.
%	licoměrník–N	licoměrnický–A	non-lab.
%	Pasternak–N	pasternakovský–A	non-lab.
	pochodník–N	pochodnice–N	non-lab.
%	hora–N	horník–N	non-lab.
%	silikon–N	silikonový–A	non-lab.
%	věta–N	větný–A	non-lab.
%	superlativ–N	superlativní–A	non-lab.
%	Watson–N	watsonovský–A	non-lab.
	Adalan–N	Adalanka–N	non-lab.
%	antroposociologie–NC	antroposociolog–N	non-lab.
%	Sogda–N	sogdský–A	non-lab.
%	adresa–N	adresář–N	non-lab.
%	samoobsluha–N	samoška–N	non-lab.
%	desetiboj–NC	desetibojař–N	non-lab.
	Šup–N	Šupka–N	non-lab.
%	Balkán–N	Balkánec–N	non-lab.
%	ultranacionalismus–NC	ultranacionalista–N	non-lab.
%	neodym–N	neodymový–A	non-lab.
%	žalář–N	žalářní–A	non-lab.
%	Schönberg–N	schönbergovský–A	non-lab.
%	svářečka–N	svářečkový–A	non-lab.
	dioda–N	diodka–N	non-lab.
%	estébé–N	estébák–N	non-lab.
%	galvanizace–N	galvanizační–A	non-lab.
	Palata–N	Palatka–N	non-lab.
%	exil–N	exilový–A	non-lab.
%	kalorie–N	kalorický–A	non-lab.
%	Košíře–N	košířský–A	non-lab.
%	cedulička–N	ceduličkový–A	non-lab.
%	dřevěnice–N	dřevěnický–A	non-lab.
%	předkompilace–N	předkompilační–A	non-lab.
	námořník–N	námořnice–N	non-lab.
%	tříslo–N	tříslový–A	non-lab.
%	keson–N	kesonový–A	non-lab.
%	ještěrka–N	ještěrkář–N	non-lab.
%	termografie–NC	termografický–A	non-lab.
%	administrace–N	administrační–A	non-lab.
%	fluktuace–N	fluktuační–A	non-lab.
%	polygrafie–NC	polygraf–N	non-lab.
	plantážník–N	plantážnice–N	non-lab.
%	uhel–N	uhlový–A	non-lab.
	Reš–N	Reška–N	non-lab.
%	kůl–N	kůlový–A	non-lab.
	šovinista–N	šovinistka–N	non-lab.
%	Bíl–N	Bílsko–N	non-lab.
%	kašna–N	kašnový–A	non-lab.
%	šavle–N	šavlový–A	non-lab.
%	klub–N	klubista–N	non-lab.
%	bafuňář–N	bafuňářský–A	non-lab.
%	flavin–N	flavinový–A	non-lab.
	Tomáš–N	Tomáška–N	non-lab.
%	králík–N	Králíky–N	non-lab.
%	inzert–N	inzertní–A	non-lab.
