# v případě manuální anotace: 1. sloupec: @ = label nesprávně; % = label správně; PRÁZDNO = label manuálně neanotován
@	čertík–N	čertíkův–A	zdrob.
%	potomek–N	potomeček–N	zdrob.
%	věštka–N	věštčin–A	poses.
%	čaj–N	čajík–N	zdrob.
%	toužení–N	touženíčko–N	zdrob.
%	aviatik–N	aviatička–N	přech.
%	cizozemec–N	cizozemka–N	přech.
%	adresářík–N	adresáříček–N	zdrob.
%	fyziolog–N	fyzioložka–N	přech.
%	kynolog–N	kynoložka–N	přech.
%	paraplegička–N	paraplegiččin–A	poses.
%	sklerotik–N	sklerotička–N	přech.
%	troškař–N	troškařka–N	přech.
%	ultravlastenka–N	ultravlastenčin–A	poses.
%	zvukař–N	zvukařka–N	přech.
%	bydlo–N	bydélko–N	zdrob.
%	dobrodružka–N	dobrodružčin–A	poses.
%	Ugrofinka–N	Ugrofinčin–A	poses.
%	plavba–N	plavbička–N	zdrob.
%	topení–N	topeníčko–N	zdrob.
%	dojírna–N	dojírnička–N	zdrob.
%	nadšenka–N	nadšenčin–A	poses.
%	pedolog–N	pedoložka–N	přech.
%	stoupání–N	stoupáníčko–N	zdrob.
%	svezení–N	svezeníčko–N	zdrob.
%	ultralevičák–N	ultralevičačka–N	přech.
%	čokoládovna–N	čokoládovnička–N	zdrob.
%	mýdlo–N	mýdélko–N	zdrob.
%	mikrobiolog–N	mikrobioložka–N	přech.
%	míšenka–N	míšenčin–A	poses.
%	ukulelistka–N	ukulelistčin–A	poses.
%	geolog–N	geoložka–N	přech.
%	sokolovna–N	sokolovnička–N	zdrob.
%	archandělka–N	archandělčin–A	poses.
%	Argentinka–N	Argentinčin–A	poses.
%	svátek–N	sváteček–N	zdrob.
%	všudybyl–NC	všudybylka–N	přech.
%	dotahovák–N	dotahovačka–N	přech.
%	žnečka–N	žneččin–A	poses.
%	novomanželka–N	novomanželčin–A	poses.
%	nafťák–N	nafťáček–N	zdrob.
%	vydírání–N	vydíráníčko–N	zdrob.
%	podání–N	podáníčko–N	zdrob.
%	elektronik–N	elektronička–N	přech.
%	evangelička–N	evangeliččin–A	poses.
%	neandertálka–N	neandertálčin–A	poses.
%	novic–N	novicka–N	přech.
%	osahání–N	osaháníčko–N	zdrob.
%	epidemiolog–N	epidemioložka–N	přech.
%	Šlonzačka–N	Šlonzaččin–A	poses.
%	ztřeštěnec–N	ztřeštěnka–N	přech.
%	Čechoslovačka–N	Čechoslovaččin–A	poses.
%	gel–N	gelíček–N	zdrob.
%	mikrobioložka–N	mikrobioložčin–A	poses.
%	žvanil–N	žvanilka–N	přech.
%	panter–N	panteřice–N	přech.
%	frenoložka–N	frenoložčin–A	poses.
%	uběhlík–N	uběhlička–N	přech.
%	trestňák–N	trestňáček–N	zdrob.
%	uběhlička–N	uběhliččin–A	poses.
%	pokoukání–N	pokoukáníčko–N	zdrob.
%	setkání–N	setkáníčko–N	zdrob.
%	zlobidlo–N	zlobidýlko–N	zdrob.
%	příplatek–N	příplateček–N	zdrob.
%	bombarďák–N	bombarďáček–N	zdrob.
%	Čuvaš–N	Čuvaška–N	přech.
%	tatrovačka–N	tatrovaččin–A	poses.
%	zkoušenec–N	zkoušenka–N	přech.
%	vševědka–N	vševědčin–A	poses.
%	prášek–N	prášeček–N	zdrob.
%	všudybylka–N	všudybylčin–A	poses.
%	schizofrenička–N	schizofreniččin–A	poses.
%	auditek–N	auditeček–N	zdrob.
%	plavání–N	plaváníčko–N	zdrob.
%	úchylárna–N	úchylárnička–N	zdrob.
%	Armén–N	Arménka–N	přech.
%	Vend–N	Vendka–N	přech.
	švihák–N	švihačka–N	přech.
%	ďůlek–N	ďůleček–N	zdrob.
%	plomba–N	plombička–N	zdrob.
%	archeobotanik–N	archeobotanička–N	přech.
%	genealog–N	genealožka–N	přech.
%	grafik–N	grafička–N	přech.
%	zplozenec–N	zplozenka–N	přech.
%	vláda–N	vládička–N	zdrob.
%	zranění–N	zraněníčko–N	zdrob.
%	sinolog–N	sinoložka–N	přech.
%	srneček–N	srnečka–N	přech.
%	mariňačka–N	mariňaččin–A	poses.
%	rozcestník–N	rozcestníček–N	zdrob.
%	flákání–N	flákáníčko–N	zdrob.
%	stojánek–N	stojáneček–N	zdrob.
%	zklamání–N	zklamáníčko–N	zdrob.
%	zobání–N	zobáníčko–N	zdrob.
%	kondor–N	kondořice–N	přech.
%	embryolog–N	embryoložka–N	přech.
	Gruzín–N	Gruzínka–N	přech.
%	neuroradioložka–N	neuroradioložčin–A	poses.
%	uhlobaronka–N	uhlobarončin–A	poses.
%	Dalmatinec–N	Dalmatinka–N	přech.
%	plukovník–N	plukovníček–N	zdrob.
%	Vasrpolačka–N	Vasrpolaččin–A	poses.
%	elementaristka–N	elementaristčin–A	poses.
%	příhoda–N	příhodička–N	zdrob.
%	přístavba–N	přístavbička–N	zdrob.
%	egyptolog–N	egyptoložka–N	přech.
%	utečenka–N	utečenčin–A	poses.
	vševěd–NC	vševědka–N	přech.
%	pražírna–N	pražírnička–N	zdrob.
%	šmudlík–N	šmudlička–N	přech.
%	kuřárna–N	kuřárnička–N	zdrob.
	zakladač–N	zakladačka–N	přech.
%	vlastenka–N	vlastenčin–A	poses.
%	diagnostička–N	diagnostiččin–A	poses.
%	nedopatření–N	nedopatřeníčko–N	zdrob.
%	rytečka–N	ryteččin–A	poses.
%	technička–N	techniččin–A	poses.
%	Němka–N	Němčin–A	poses.
%	obytňák–N	obytňáček–N	zdrob.
%	vzbouřenec–N	vzbouřenka–N	přech.
%	primatoložka–N	primatoložčin–A	poses.
%	povídání–N	povídáníčko–N	zdrob.
%	blíženec–N	blíženka–N	přech.
%	slunečník–N	slunečníček–N	zdrob.
%	katolička–N	katoliččin–A	poses.
%	teolog–N	teoložka–N	přech.
%	Čuhačka–N	Čuhaččin–A	poses.
%	přednosta–N	přednostka–N	přech.
	bod–N	bodíček–N	zdrob.
%	Vendka–N	Vendčin–A	poses.
%	Čuchonec–N	Čuchonka–N	přech.
%	škodil–N	škodílek–N	zdrob.
%	směnárna–N	směnárnička–N	zdrob.
%	kovárna–N	kovárnička–N	zdrob.
%	Vietnamec–N	Vietnamka–N	přech.
%	pohoupání–N	pohoupáníčko–N	zdrob.
%	pobavení–N	pobaveníčko–N	zdrob.
%	zděšení–N	zděšeníčko–N	zdrob.
%	dendroložka–N	dendroložčin–A	poses.
%	úkolník–N	úkolníček–N	zdrob.
%	levačka–N	levaččin–A	poses.
	Vavřinec–N	Vavřinečka–N	přech.
%	meteorolog–N	meteoroložka–N	přech.
%	nechápavec–N	nechápavka–N	přech.
%	satirička–N	satiriččin–A	poses.
