# manuální anotace: 1. sloupec: @ = label nesprávně; % = label správně; ? = slovesné deminutivum za-
%	Šachrajov–N	Šachrajovův–A	poses.
%	krbařka–N	krbařčin–A	poses.
%	Morochovič–N	Morochovičův–A	poses.
%	Košťálek–N	Košťálkův–A	poses.
@	zatéci–V	zatékat–V	zdrob.
@	sekat–V	přesekat–V	zdrob.
%	tarifnice–N	tarifničin–A	poses.
?	luskat–V	zaluskat–V	zdrob.
%	Gadbois–N	Gadboisův–A	poses.
%	generativistka–N	generativistčin–A	poses.
?	pinkat–V	zapinkat–V	zdrob.
%	sommelierka–N	sommelierčin–A	poses.
%	Biševač–N	Biševačův–A	poses.
%	Mělničanka–N	Mělničančin–A	poses.
%	zbojníček–N	zbojníčkův–A	poses.
%	řemenatka–N	řemenatčin–A	poses.
@	lokat–V	vlokat–V	zdrob.
%	Chrabcov–N	Chrabcovův–A	poses.
@	klinkat–V	rozklinkat–V	zdrob.
%	Babylóňan–N	Babylóňanův–A	poses.
@	přepéci–V	přepékat–V	zdrob.
@	blýskat–V	vyblýskat–V	zdrob.
%	Hedčanka–N	Hedčančin–A	poses.
@	capkat–V	přicapkat–V	zdrob.
%	Anetka–N	Anetčin–A	poses.
%	okouzlovatel–N	okouzlovatelův–A	poses.
%	vyzraditelka–N	vyzraditelčin–A	poses.
@	drkat–V	vydrkat–V	zdrob.
@	sekat–V	zusekat–V	zdrob.
%	modrý–A	modroučký–A	zdrob.
%	kvintánka–N	kvintánčin–A	poses.
%	Velíšek–N	Velíškův–A	poses.
%	stepnice–N	stepničin–A	poses.
%	Barbaš–N	Barbašův–A	poses.
?	kuckat–V	zakuckat–V	zdrob.
@	otejkat–V	votejkat–V	zdrob.
@	spéci–V	spíkat–V	zdrob.
%	Bobik–N	Bobikův–A	poses.
%	Kornfeld–N	Kornfeldův–A	poses.
%	pilníkář–N	pilnikářův–A	poses.
%	Epameinóndás–N	Epameinóndův–A	poses.
%	navijákařka–N	navijákařčin–A	poses.
%	cenzorka–N	cenzorčin–A	poses.
%	tyčitel–N	tyčitelův–A	poses.
%	Otrokovičanka–N	Otrokovičančin–A	poses.
%	Gredler–N	Gredlerův–A	poses.
%	Pokorák–N	Pokorákův–A	poses.
%	rusofilka–N	rusofilčin–A	poses.
%	Lidunka–N	Lidunčin–A	poses.
%	Muzyka–N	Muzykův–A	poses.
%	ohňostrojařka–N	ohňostrojařčin–A	poses.
%	šéfdesignérka–N	šéfdesignérčin–A	poses.
