# v případě manuální anotace: 1. sloupec: @ = label nesprávně; % = label správně; PRÁZDNO = label manuálně neanotován
	odštípnout–V	oddělit–V	dok.
	roztěkat–V	pohybovat–V	dok.
%	zahučet–V	zahučovat–V	ned.
	vychystat–V	opatřit–V	dok.
	bába–N	babička–N	zdrob.
%	odlesnit–V	odlesňovat–V	ned.
%	zmeškat–V	zmeškávat–V	ned.
	popojít–V	vzdálenost–N	dok.
	dovít–V	vití–N	dok.
%	pilný–A	pilno–D	zpodst.
%	záda–N	zádečka–N	zdrob.
%	vyďobat–V	vyďobávat–V	ned.
%	vyvážit–V	vyvažovat–V	ned.
	ovařit–V	částečně–D	dok.
	vtělený–A	bytost–N	podst.
	zlákat–V	získat–V	dok.
	oploutvit–V	opatřit–V	dok.
%	přeznačit–V	přeznačovat–V	ned.
	natýrat–V	trápení–N	dok.
	oddrolit–V	odstranit–V	dok.
	ostřící–A	ochránit–V	dok.
%	předstoupit–V	předstupovat–V	ned.
	přifoukat–V	přivanout–V	dok.
	uzdravit–V	zdraví–N	dok.
%	převléci–V	převlékat–V	ned.
	Vladík–N	Vládíček–N	zdrob.
%	chodit–V	chodívat–V	nás.
%	inzerát–N	inzerátek–N	zdrob.
	zbělat–V	zbarvení–N	dok.
%	rachotit–V	rachotívat–V	nás.
%	zesměšnit–V	zesměšňovat–V	ned.
	nalakotit–V	shromáždit–V	dok.
%	bábovka–N	bábovička–N	zdrob.
%	ustrnout–V	ustrnovat–V	ned.
	pomřít–V	postupně–D	dok.
	připlazit–V	dospět–V	dok.
%	vypouklina–N	vypouklinka–N	zdrob.
	zkorovatět–V	ztvrdnout–V	dok.
	opuncovat–V	opatřit–V	dok.
	zakřivit–V	stočit–V	dok.
%	cachtat–V	cachtávat–V	nás.
	odvézt–V	dopravit–V	dok.
%	verpán–N	verpánek–N	zdrob.
	měřice–N	měřička–N	zdrob.
%	barvit–V	barvívat–V	nás.
	zem–N	zemička–N	zdrob.
	přístav–N	přístavek–N	zdrob.
%	popravovat–V	popravovávat–V	nás.
	zahudrat–V	hudrat–V	dok.
	zazobnout–V	zobnout–V	dok.
%	sivák–N	siváček–N	zdrob.
%	podloubat–V	podloubávat–V	ned.
	dolisovat–V	lisování–N	dok.
	vřítit–V	prudce–D	podst.
	zkonsolidovat–V	upevnit–V	dok.
%	zobák–N	zobáček–N	zdrob.
%	tlumočitel–N	tlumočitelka–N	přech.
	vypuknout–V	vypukávat–V	ned.
	zavrznout–V	vrznout–V	dok.
	urokovat–V	ujednat–V	dok.
%	myšák–N	myšáček–N	zdrob.
	zatěsnat–V	vyplnit–V	dok.
%	zjasnit–V	zjasňovat–V	ned.
	rozšveholit–V	začít–V	dok.
%	vyhřát–V	vyhřívat–V	ned.
%	veselí–N	veselíčko–N	zdrob.
	prozpytovat–V	probádat–V	dok.
%	vážič–N	vážička–N	přech.
	četyna–N	četinka–N	zdrob.
	započíst–V	započítávat–V	ned.
%	přetrvat–V	přetrvávat–V	ned.
	zlatič–N	zlatička–N	přech.
	zmnohonásobnit–V	zmnohonásobovat–V	ned.
%	fialový–A	fialovo–N	zpodst.
	štípit–V	zasazovat–V	dok.
%	oloupit–V	olupovat–V	ned.
	zprohledat–V	postupně–D	dok.
%	švadlena–N	švadlenka–N	zdrob.
	předvolat–V	povolat–V	dok.
	nahrbit–V	sklonit–V	dok.
	vsáknout–V	zvolna–D	dok.
	dokašlat–V	kašlat–V	dok.
	sfoukat–V	sfukovat–V	ned.
	omdlet–V	omdlívat–V	ned.
%	přeslice–N	přeslička–N	zdrob.
%	dýchat–V	dýchnout–V	dok.
%	navrhnout–V	navrhovat–V	ned.
%	předřadit–V	předřazovat–V	ned.
%	střízlík–N	střízlíček–N	zdrob.
%	osvojit–V	osvojovat–V	ned.
	zaslnit–V	oslnit–V	dok.
%	křídlo–N	křidélko–N	zdrob.
	lehat–V	lehnout–V	dok.
%	stáhnout–V	stahovat–V	ned.
%	hárat–V	hárávat–V	nás.
%	jablko–N	jablíčko–N	zdrob.
%	jáma–N	jamka–N	zdrob.
	zplátovat–V	spravit–V	dok.
	vzšumět–V	zašumět–V	dok.
	zakortešovat–V	věnovat–V	dok.
	zrujnit–V	učinit–V	dok.
%	mýlit–V	mýlívat–V	nás.
%	naškrobený–A	naškrobenost–N	podst.
	piano–N	piano–N	zpodst.
%	puritán–N	puritánka–N	přech.
	starý–N	starý–N	zpodst.
%	třísnit–V	třísnívat–V	nás.
	natužit–V	učinit–V	dok.
	proporce–N	proporčnost–N	podst.
%	ošlehat–V	ošlehávat–V	ned.
	protrpět–V	utrpení–N	dok.
	vzplamenit–V	roznítit–V	dok.
%	otrokář–N	otrokářka–N	přech.
%	nesmyslný–A	nesmyslnost–N	podst.
%	zpěvník–N	zpěvníček–N	zdrob.
%	čampule–N	čampulinka–N	zdrob.
	divočit–V	divočívat–V	nás.
%	sílit–V	sílívat–V	nás.
	zadeptat–V	zašlapat–V	dok.
@	zranit–V	zranění–N	dok.
%	pán–N	páníček–N	zdrob.
%	brzdit–V	brzdívat–V	nás.
%	orosit–V	orosovat–V	ned.
%	hrát–V	hraní–N	podst.
@	hoblovat–V	ohoblovat–V	dok.
%	dáma–N	dámička–N	zdrob.
%	zadek–N	zadeček–N	zdrob.
@	šachta–N	šachtice–N	zdrob.
%	plínka–N	plínečka–N	zdrob.
	poscípat–V	pojít–V	dok.
%	Zbyněk–N	Zbyněček–N	zdrob.
	zesilnit–V	zesílit–V	dok.
	nabobtnalý–A	nabotnalost–N	podst.
	vraždit–V	zavražďovat–V	ned.
%	rukavičkář–N	rukavičkářka–N	přech.
%	rozpočtář–N	rozpočtářka–N	přech.
%	dům–N	domek–N	zdrob.
	Jánoš–N	Janoško–N	zdrob.
%	laskomina–N	laskominka–N	zdrob.
%	točíř–N	točířka–N	přech.
%	prohlížet–V	prohlížívat–V	nás.
	sváteční–A	sváteční–A	zpodst.
%	šumný–A	šumnost–N	podst.
%	tratit–V	tratívat–V	nás.
	přiřítit–V	prudce–D	podst.
%	zpuchýřit–V	zpuchýřovat–V	ned.
%	odlevit–V	odlevovat–V	ned.
	vyskytnout–V	objevit–V	dok.
	zastříhat–V	zastřihávat–V	ned.
%	vyplnit–V	vyplňovat–V	ned.
%	luterán–N	luteránka–N	přech.
%	odsedlat–V	odsedlávat–V	ned.
	vestavět–V	vmontovat–V	dok.
%	čtverec–N	čtvereček–N	zdrob.
	sletět–V	dok–N	podst.
	vysrkat–V	vyprázdnit–V	dok.
%	jednatel–N	jednatelka–N	přech.
%	převládat–V	převládávat–V	nás.
%	oddělení–N	odděleníčko–N	zdrob.
	vškrábnout–V	vpravit–V	dok.
	kydnout–V	kydat–V	dok.
	rozvlát–V	rozevlávat–V	ned.
	padlý–A	padlý–A	zpodst.
	zacukrovat–V	vydat–V	dok.
%	perla–N	perlička–N	zdrob.
	pořečtit–V	dodat–V	dok.
