# v případě manuální anotace: 1. sloupec: @ = label nesprávně; % = label správně; PRÁZDNO = label manuálně neanotován
%	vzhlížet–V	vzhlédnout–V	dok.
	dopadnout–V	dopadávat–V	nás.
	přilétat–V	přiletovat–V	ned.
	koupávat–V	koupat–V	ned.
	zajišťovat–V	zajistit–V	dok.
	strhávat–V	strhovat–V	ned.
%	znechutit–V	znechucovat–V	ned.
	uklidit–V	uklízívat–V	nás.
%	ověřit–V	ověřovat–V	ned.
	strkat–V	strčit–V	dok.
%	nadat–V	nadávat–V	ned.
%	upustit–V	upouštět–V	ned.
	způsobovat–V	způsobit–V	dok.
	zuřívat–V	zuřit–V	ned.
%	sundat–V	sundávat–V	ned.
%	vyrozumět–V	vyrozumívat–V	ned.
	ozdobovat–V	ozdobit–V	dok.
%	diktovat–V	diktovávat–V	nás.
	odpadnout–V	odpadat–V	ned.
	pozdvihávat–V	pozdvihnout–V	dok.
	dospívat–V	dospět–V	dok.
%	znamenat–V	znamenávat–V	nás.
	dovídat–V	dovědět–V	dok.
%	honit–V	honívat–V	nás.
%	vstoupit–V	vstupovat–V	ned.
	stékat–V	stéct–V	dok.
	křiknout–V	křičet–V	ned.
	dokazovat–V	dokázat–V	dok.
	upéci–V	upéct–V	dok.
	přecházet–V	přechodit–V	dok.
	odpočívávat–V	odpočinout–V	dok.
	přesouvat–V	přesunout–V	dok.
	operovávat–V	operovat–V	ned.
%	utrhnout–V	utrhovat–V	ned.
	vytáčet–V	vytočit–V	dok.
	prchnout–V	prchat–V	ned.
%	dohodnout–V	dohadovat–V	ned.
	ocitat–V	octnout–V	dok.
	kupovávat–V	kupovat–V	ned.
	obkličovat–V	obklíčit–V	dok.
	přebírat–V	přebrat–V	dok.
	určovat–V	určit–V	dok.
%	vnést–V	vnášet–V	ned.
	docházet–V	dojít–V	dok.
	vyrozumívat–V	vyrozumět–V	dok.
	vyjít–V	vycházívat–V	nás.
	přijíždět–V	přijet–V	dok.
	olupovat–V	oloupnout–V	dok.
%	rozvinout–V	rozvinovat–V	ned.
	křičívat–V	křičet–V	ned.
%	vynést–V	vynášet–V	ned.
	zasednout–V	zasedávat–V	nás.
	léhávat–V	ležet–V	ned.
%	zlobit–V	zlobívat–V	nás.
%	přejet–V	přejíždět–V	ned.
	spotřebovávat–V	spotřebovat–V	dok.
	uniknout–V	unikat–V	ned.
	poklesnout–V	poklesávat–V	ned.
%	přerušit–V	přerušovat–V	ned.
%	tlouci–V	tloukávat–V	nás.
	hostívat–V	hostit–V	ned.
	odstrčit–V	odstrkat–V	dok.
	podražovat–V	podražit–V	dok.
	svrhávat–V	svrhovat–V	ned.
	uvádět–V	uvést–V	dok.
%	ulehčit–V	ulehčovat–V	ned.
	ozývat–V	ozvat–V	dok.
	posluhovat–V	posloužit–V	dok.
	procházet–V	projít–V	dok.
%	skládat–V	skládávat–V	nás.
	vadívat–V	vadit–V	ned.
	dohánět–V	dohnat–V	dok.
	sčítávat–V	sčítat–V	ned.
	vydělávat–V	vydělat–V	dok.
	podstupovat–V	podstoupit–V	dok.
	ležet–V	líhat–V	nás.
	zavazovat–V	zavázat–V	dok.
	podniknout–V	podnikat–V	ned.
%	vylétat–V	vylétávat–V	nás.
%	rozšířit–V	rozšiřovat–V	ned.
%	vypravit–V	vypravovat–V	ned.
	napadávat–V	napadnout–V	dok.
	vystřihovávat–V	vystřihat–V	dok.
	strhnout–V	strhávat–V	ned.
%	zachytit–V	zachycovat–V	ned.
%	vyměřit–V	vyměřovat–V	ned.
%	pozdvihnout–V	pozdvíhat–V	ned.
	naskytovat–V	naskytnout–V	dok.
	ohřívat–V	ohřát–V	dok.
	zaprat–V	zapírat–V	ned.
	vystříhat–V	vystřihat–V	dok.
	pozdvihovat–V	pozdvíhat–V	ned.
	dopadávat–V	dopadat–V	ned.
%	posunout–V	posouvat–V	ned.
	roztrhat–V	roztrhnout–V	dok.
	odpovídat–V	odpovědět–V	dok.
	nahlašovat–V	nahlásit–V	dok.
	zařazovat–V	zařaďovat–V	ned.
	zjevovávat–V	zjevovat–V	ned.
%	uvolnit–V	uvolňovat–V	ned.
%	číst–V	čítat–V	nás.
	odečítat–V	odčítat–V	ned.
	povídávat–V	povědět–V	dok.
%	poznamenat–V	poznamenávat–V	ned.
	upéct–V	upéci–V	dok.
	oddýchnout–V	oddechovat–V	ned.
	vzdorovávat–V	vzdorovat–V	ned.
%	volit–V	volívat–V	nás.
	ztrácet–V	ztratit–V	dok.
	trhnout–V	trhávat–V	nás.
	zvednout–V	zvedat–V	ned.
%	vykoupit–V	vykupovat–V	ned.
	stačívat–V	stačit–V	dok.
	napomoct–V	napomoci–V	dok.
%	přepadat–V	přepadávat–V	ned.
	odčítat–V	odčíst–V	dok.
	vyrábět–V	vyrobit–V	dok.
	poznávat–V	poznat–V	dok.
%	rozsvěcet–V	rozsvěcovat–V	ned.
	vystříhávat–V	vystřihovávat–V	nás.
	přežívat–V	přežít–V	dok.
	zaujímat–V	zaujmout–V	dok.
%	oddat–V	oddávat–V	ned.
	odstrkat–V	odstrkat–V	dok.
%	šlapat–V	šlapávat–V	nás.
	nahlédnout–V	nahlížet–V	ned.
	vymoci–V	vymoct–V	dok.
	odházet–V	odhodit–V	dok.
%	kroužit–V	kroužívat–V	nás.
	odletovat–V	odletět–V	dok.
%	sdružit–V	sdružovat–V	ned.
	divívat–V	divit–V	ned.
	dosahovat–V	dosáhnout–V	dok.
	pálívat–V	pálit–V	ned.
	přikládat–V	přiložit–V	dok.
%	uvěznit–V	uvězňovat–V	ned.
	dozvědět–V	dovídat–V	ned.
%	pohrát–V	pohrávat–V	ned.
	olupovat–V	oloupávat–V	ned.
	nasedávat–V	nasedat–V	ned.
	poslechnout si–V	poslouchat–V	ned.
	vymezovat–V	vymezit–V	dok.
%	vyndat–V	vyndávat–V	ned.
	vyhlížet–V	vyhlédat–V	ned.
	dopouštět–V	dopustit–V	dok.
	zabíjet–V	zabít–V	dok.
	péct–V	pekávat–V	nás.
	prohlídnout–V	prohlížet–V	ned.
	utajovat–V	utajit–V	dok.
	rozkládat–V	rozložit–V	dok.
	zaostávat–V	zaostat–V	dok.
	zachytnout–V	zachytávat–V	ned.
	mrknout–V	mrkávat–V	nás.
	uhádnout–V	uhodnout–V	dok.
%	předat–V	předávat–V	ned.
	vtiskat–V	vtiskovat–V	ned.
%	představit–V	představovat–V	ned.
	přednášívat–V	přednášet–V	ned.
%	spojit–V	spojovat–V	ned.
	postesknout–V	postýskávat–V	ned.
	vsazovat–V	vsázet–V	ned.
	probouzívat–V	probudit–V	dok.
%	hladit–V	hladívat–V	nás.
	vyřazovat–V	vyřadit–V	dok.
%	vyhodnotit–V	vyhodnocovat–V	ned.
	vybírávat–V	vybrat–V	dok.
	hrávat–V	hrát–V	ned.
	vyházet–V	vyhodit–V	dok.
	zařizovat–V	zařídit–V	dok.
	přenášet–V	přenést–V	dok.
	roztahovat–V	roztáhnout–V	dok.
	odletět–V	odlétnout–V	dok.
%	brečet–V	brečívat–V	nás.
	posouvat–V	posunout–V	dok.
%	přiklonit–V	přiklánět–V	ned.
	rozbírat–V	rozebrat–V	dok.
%	rozrůst–V	rozrůstat–V	ned.
	vyzdvihovat–V	vyzdvihávat–V	ned.
