parent	child	pos_P	pos_C	gender_P	gender_C	aspect_P	aspect_C	poses_P	poses_C	same_start	same_end	one_gram_P_start	two_gram_P_start	three_gram_P_start	four_gram_P_start	five_gram_P_start	six_gram_P_start	one_gram_C_start	two_gram_C_start	three_gram_C_start	four_gram_C_start	five_gram_C_start	six_gram_C_start	six_gram_P_end	five_gram_P_end	four_gram_P_end	three_gram_P_end	two_gram_P_end	one_gram_P_end	six_gram_C_end	five_gram_C_end	four_gram_C_end	three_gram_C_end	two_gram_C_end	one_gram_C_end	label
Abaj	Abajův	N	A	M	NA	NA	NA	0	1	1	0	A	Ab	Aba	Abaj	NA	NA	A	Ab	Aba	Abaj	Abajů	Abajův	NA	NA	Abaj	baj	aj	j	Abajův	bajův	ajův	jův	ův	v	POSSESSIVE
Abakanowicz	Abakanowiczův	N	A	M	NA	NA	NA	0	1	1	0	A	Ab	Aba	Abak	Abaka	Abakan	A	Ab	Aba	Abak	Abaka	Abakan	nowicz	owicz	wicz	icz	cz	z	wiczův	iczův	czův	zův	ův	v	POSSESSIVE
Abbie	Abbiin	N	A	F	NA	NA	NA	0	1	1	0	A	Ab	Abb	Abbi	Abbie	NA	A	Ab	Abb	Abbi	Abbii	Abbiin	NA	Abbie	bbie	bie	ie	e	Abbiin	bbiin	biin	iin	in	n	POSSESSIVE
Abdas	Abdasův	N	A	M	NA	NA	NA	0	1	1	0	A	Ab	Abd	Abda	Abdas	NA	A	Ab	Abd	Abda	Abdas	Abdasů	NA	Abdas	bdas	das	as	s	bdasův	dasův	asův	sův	ův	v	POSSESSIVE
Abid	Abidův	N	A	M	NA	NA	NA	0	1	1	0	A	Ab	Abi	Abid	NA	NA	A	Ab	Abi	Abid	Abidů	Abidův	NA	NA	Abid	bid	id	d	Abidův	bidův	idův	dův	ův	v	POSSESSIVE
abiturient	abiturientka	N	N	M	F	NA	NA	0	0	1	0	a	ab	abi	abit	abitu	abitur	a	ab	abi	abit	abitu	abitur	urient	rient	ient	ent	nt	t	ientka	entka	ntka	tka	ka	a	FEMALE
absolvent	absolventka	N	N	M	F	NA	NA	0	0	1	0	a	ab	abs	abso	absol	absolv	a	ab	abs	abso	absol	absolv	olvent	lvent	vent	ent	nt	t	ventka	entka	ntka	tka	ka	a	FEMALE
abstinent	abstinentka	N	N	M	F	NA	NA	0	0	1	0	a	ab	abs	abst	absti	abstin	a	ab	abs	abst	absti	abstin	tinent	inent	nent	ent	nt	t	nentka	entka	ntka	tka	ka	a	FEMALE
Abukasis	Abukasisův	N	A	M	NA	NA	NA	0	1	1	0	A	Ab	Abu	Abuk	Abuka	Abukas	A	Ab	Abu	Abuk	Abuka	Abukas	ukasis	kasis	asis	sis	is	s	asisův	sisův	isův	sův	ův	v	POSSESSIVE
Achternbusch	Achternbuschův	N	A	M	NA	NA	NA	0	1	1	0	A	Ac	Ach	Acht	Achte	Achter	A	Ac	Ach	Acht	Achte	Achter	nbusch	busch	usch	sch	ch	h	uschův	schův	chův	hův	ův	v	POSSESSIVE
