parent	child	posPC	genderPC	aspectPC	same_start	1gram_Parent_start	2gram_Parent_start	3gram_Parent_start	4gram_Parent_start	5gram_Parent_start	6gram_Parent_start	1gram_Child_start	2gram_Child_start	3gram_Child_start	4gram_Child_start	5gram_Child_start	6gram_Child_start	6gram_Parent_end	5gram_Parent_end	4gram_Parent_end	3gram_Parent_end	2gram_Parent_end	1gram_Parent_end	6gram_Child_end	5gram_Child_end	4gram_Child_end	3gram_Child_end	2gram_Child_end	1gram_Child_end	label
Abaj	Abajův	NA	M-	--	1	A	Ab	Aba	Abaj	-	-	A	Ab	Aba	Abaj	Abajů	Abajův	-	-	Abaj	baj	aj	j	Abajův	bajův	ajův	jův	ův	v	poses.
Abakanowicz	Abakanowiczův	NA	M-	--	1	A	Ab	Aba	Abak	Abaka	Abakan	A	Ab	Aba	Abak	Abaka	Abakan	nowicz	owicz	wicz	icz	cz	z	wiczův	iczův	czův	zův	ův	v	poses.
Abbie	Abbiin	NA	F-	--	1	A	Ab	Abb	Abbi	Abbie	-	A	Ab	Abb	Abbi	Abbii	Abbiin	-	Abbie	bbie	bie	ie	e	Abbiin	bbiin	biin	iin	in	n	poses.
Abdas	Abdasův	NA	M-	--	1	A	Ab	Abd	Abda	Abdas	-	A	Ab	Abd	Abda	Abdas	Abdasů	-	Abdas	bdas	das	as	s	bdasův	dasův	asův	sův	ův	v	poses.
Abid	Abidův	NA	M-	--	1	A	Ab	Abi	Abid	-	-	A	Ab	Abi	Abid	Abidů	Abidův	-	-	Abid	bid	id	d	Abidův	bidův	idův	dův	ův	v	poses.
abiturient	abiturientka	NN	MF	--	1	a	ab	abi	abit	abitu	abitur	a	ab	abi	abit	abitu	abitur	urient	rient	ient	ent	nt	t	ientka	entka	ntka	tka	ka	a	přech.
absolvent	absolventka	NN	MF	--	1	a	ab	abs	abso	absol	absolv	a	ab	abs	abso	absol	absolv	olvent	lvent	vent	ent	nt	t	ventka	entka	ntka	tka	ka	a	přech.
abstinent	abstinentka	NN	MF	--	1	a	ab	abs	abst	absti	abstin	a	ab	abs	abst	absti	abstin	tinent	inent	nent	ent	nt	t	nentka	entka	ntka	tka	ka	a	přech.
Abukasis	Abukasisův	NA	M-	--	1	A	Ab	Abu	Abuk	Abuka	Abukas	A	Ab	Abu	Abuk	Abuka	Abukas	ukasis	kasis	asis	sis	is	s	asisův	sisův	isův	sův	ův	v	poses.
Achternbusch	Achternbuschův	NA	M-	--	1	A	Ac	Ach	Acht	Achte	Achter	A	Ac	Ach	Acht	Achte	Achter	nbusch	busch	usch	sch	ch	h	uschův	schův	chův	hův	ův	v	poses.
Adamík	Adamíkův	NA	M-	--	1	A	Ad	Ada	Adam	Adamí	Adamík	A	Ad	Ada	Adam	Adamí	Adamík	Adamík	damík	amík	mík	ík	k	amíkův	míkův	íkův	kův	ův	v	poses.
Adam	Adámek	NN	MM	--	1	A	Ad	Ada	Adam	-	-	A	Ad	Adá	Adám	Adáme	Adámek	-	-	Adam	dam	am	m	Adámek	dámek	ámek	mek	ek	k	zdrob.
adept	adeptka	NN	MF	--	1	a	ad	ade	adep	adept	-	a	ad	ade	adep	adept	adeptk	-	adept	dept	ept	pt	t	deptka	eptka	ptka	tka	ka	a	přech.
adjunkt	adjunktka	NN	MF	--	1	a	ad	adj	adju	adjun	adjunk	a	ad	adj	adju	adjun	adjunk	djunkt	junkt	unkt	nkt	kt	t	unktka	nktka	ktka	tka	ka	a	přech.
adjutant	adjutantka	NN	MF	--	1	a	ad	adj	adju	adjut	adjuta	a	ad	adj	adju	adjut	adjuta	jutant	utant	tant	ant	nt	t	tantka	antka	ntka	tka	ka	a	přech.
administrátor	administrátorka	NN	MF	--	1	a	ad	adm	admi	admin	admini	a	ad	adm	admi	admin	admini	trátor	rátor	átor	tor	or	r	átorka	torka	orka	rka	ka	a	přech.
adoptant	adoptantka	NN	MF	--	1	a	ad	ado	adop	adopt	adopta	a	ad	ado	adop	adopt	adopta	optant	ptant	tant	ant	nt	t	tantka	antka	ntka	tka	ka	a	přech.
adresant	adresantka	NN	MF	--	1	a	ad	adr	adre	adres	adresa	a	ad	adr	adre	adres	adresa	resant	esant	sant	ant	nt	t	santka	antka	ntka	tka	ka	a	přech.
adresářík	adresáříček	NN	MI	--	1	a	ad	adr	adre	adres	adresá	a	ad	adr	adre	adres	adresá	esářík	sářík	ářík	řík	ík	k	áříček	říček	íček	ček	ek	k	zdrob.
adresát	adresátka	NN	MF	--	1	a	ad	adr	adre	adres	adresá	a	ad	adr	adre	adres	adresá	dresát	resát	esát	sát	át	t	esátka	sátka	átka	tka	ka	a	přech.
advokát	advokátka	NN	MF	--	1	a	ad	adv	advo	advok	advoká	a	ad	adv	advo	advok	advoká	dvokát	vokát	okát	kát	át	t	okátka	kátka	átka	tka	ka	a	přech.
Aegina	Aeginin	NA	F-	--	1	A	Ae	Aeg	Aegi	Aegin	Aegina	A	Ae	Aeg	Aegi	Aegin	Aegini	Aegina	egina	gina	ina	na	a	eginin	ginin	inin	nin	in	n	poses.
Aelred	Aelredův	NA	M-	--	1	A	Ae	Ael	Aelr	Aelre	Aelred	A	Ae	Ael	Aelr	Aelre	Aelred	Aelred	elred	lred	red	ed	d	lredův	redův	edův	dův	ův	v	poses.
aféra	aférka	NN	FF	--	1	a	af	afé	afér	aféra	-	a	af	afé	afér	aférk	aférka	-	aféra	féra	éra	ra	a	aférka	férka	érka	rka	ka	a	zdrob.
Afričanka	Afričančin	NA	F-	--	1	A	Af	Afr	Afri	Afrič	Afriča	A	Af	Afr	Afri	Afrič	Afriča	ičanka	čanka	anka	nka	ka	a	čančin	ančin	nčin	čin	in	n	poses.
Afroameričanka	Afroameričančin	NA	F-	--	1	A	Af	Afr	Afro	Afroa	Afroam	A	Af	Afr	Afro	Afroa	Afroam	ičanka	čanka	anka	nka	ka	a	čančin	ančin	nčin	čin	in	n	poses.
agent	agentka	NN	MF	--	1	a	ag	age	agen	agent	-	a	ag	age	agen	agent	agentk	-	agent	gent	ent	nt	t	gentka	entka	ntka	tka	ka	a	přech.
agitátor	agitátorka	NN	MF	--	1	a	ag	agi	agit	agitá	agitát	a	ag	agi	agit	agitá	agitát	itátor	tátor	átor	tor	or	r	átorka	torka	orka	rka	ka	a	přech.
agitovat	agitovávat	VV	--	I-	1	a	ag	agi	agit	agito	agitov	a	ag	agi	agit	agito	agitov	itovat	tovat	ovat	vat	at	t	ovávat	vávat	ávat	vat	at	t	nás.
Agnesa	Agnesin	NA	F-	--	1	A	Ag	Agn	Agne	Agnes	Agnesa	A	Ag	Agn	Agne	Agnes	Agnesi	Agnesa	gnesa	nesa	esa	sa	a	gnesin	nesin	esin	sin	in	n	poses.
Agnieszka	Agnieszčin	NA	F-	--	1	A	Ag	Agn	Agni	Agnie	Agnies	A	Ag	Agn	Agni	Agnie	Agnies	ieszka	eszka	szka	zka	ka	a	eszčin	szčin	zčin	čin	in	n	poses.
Agota	Agotin	NA	F-	--	1	A	Ag	Ago	Agot	Agota	-	A	Ag	Ago	Agot	Agoti	Agotin	-	Agota	gota	ota	ta	a	Agotin	gotin	otin	tin	in	n	poses.
Agrippina	Agrippinin	NA	F-	--	1	A	Ag	Agr	Agri	Agrip	Agripp	A	Ag	Agr	Agri	Agrip	Agripp	ippina	ppina	pina	ina	na	a	ppinin	pinin	inin	nin	in	n	poses.
agrobiolog	agrobioložka	NN	MF	--	1	a	ag	agr	agro	agrob	agrobi	a	ag	agr	agro	agrob	agrobi	biolog	iolog	olog	log	og	g	oložka	ložka	ožka	žka	ka	a	přech.
agrobioložka	agrobioložčin	NA	F-	--	1	a	ag	agr	agro	agrob	agrobi	a	ag	agr	agro	agrob	agrobi	oložka	ložka	ožka	žka	ka	a	ložčin	ožčin	žčin	čin	in	n	poses.
Aguda	Agudův	NA	M-	--	1	A	Ag	Agu	Agud	Aguda	-	A	Ag	Agu	Agud	Agudů	Agudův	-	Aguda	guda	uda	da	a	Agudův	gudův	udův	dův	ův	v	poses.
Agustín	Agustínův	NA	M-	--	1	A	Ag	Agu	Agus	Agust	Agustí	A	Ag	Agu	Agus	Agust	Agustí	gustín	ustín	stín	tín	ín	n	stínův	tínův	ínův	nův	ův	v	poses.
Aharonean	Aharoneanův	NA	M-	--	1	A	Ah	Aha	Ahar	Aharo	Aharon	A	Ah	Aha	Ahar	Aharo	Aharon	ronean	onean	nean	ean	an	n	neanův	eanův	anův	nův	ův	v	poses.
Aimo	Aimův	NA	M-	--	1	A	Ai	Aim	Aimo	-	-	A	Ai	Aim	Aimů	Aimův	-	-	-	Aimo	imo	mo	o	-	Aimův	imův	mův	ův	v	poses.
akát	akátek	NN	II	--	1	a	ak	aká	akát	-	-	a	ak	aká	akát	akáte	akátek	-	-	akát	kát	át	t	akátek	kátek	átek	tek	ek	k	zdrob.
akce	akcička	NN	FF	--	1	a	ak	akc	akce	-	-	a	ak	akc	akci	akcič	akcičk	-	-	akce	kce	ce	e	kcička	cička	ička	čka	ka	a	zdrob.
akceptant	akceptantka	NN	MF	--	1	a	ak	akc	akce	akcep	akcept	a	ak	akc	akce	akcep	akcept	eptant	ptant	tant	ant	nt	t	tantka	antka	ntka	tka	ka	a	přech.
akceptovatelka	akceptovatelčin	NA	F-	--	1	a	ak	akc	akce	akcep	akcept	a	ak	akc	akce	akcep	akcept	atelka	telka	elka	lka	ka	a	telčin	elčin	lčin	čin	in	n	poses.
Akerson	Akersonův	NA	M-	--	1	A	Ak	Ake	Aker	Akers	Akerso	A	Ak	Ake	Aker	Akers	Akerso	kerson	erson	rson	son	on	n	rsonův	sonův	onův	nův	ův	v	poses.
aktér	aktérka	NN	MF	--	1	a	ak	akt	akté	aktér	-	a	ak	akt	akté	aktér	aktérk	-	aktér	ktér	tér	ér	r	ktérka	térka	érka	rka	ka	a	přech.
aktovka	aktovčička	NN	FF	--	1	a	ak	akt	akto	aktov	aktovk	a	ak	akt	akto	aktov	aktovč	ktovka	tovka	ovka	vka	ka	a	včička	čička	ička	čka	ka	a	zdrob.
aktovka	aktovečka	NN	FF	--	1	a	ak	akt	akto	aktov	aktovk	a	ak	akt	akto	aktov	aktove	ktovka	tovka	ovka	vka	ka	a	ovečka	večka	ečka	čka	ka	a	zdrob.
