+	Adans–N	Adansův–A	POSSESSIVE
+	Adan–N	Adanův–A	POSSESSIVE
$	adrenokortikotropní–A	adrenokortikotropin–N	POSSESSIVE
+	Áder–N	Ádrův–A	POSSESSIVE
+	Aimee–N	Aimeein–A	POSSESSIVE
+	Akulinin–N	Akulininův–A	POSSESSIVE
+	Aldona–N	Aldonin–A	POSSESSIVE
$	anilín–N	anilin–N	POSSESSIVE
$	autoritářův–A	antiautoritářův–A	POSSESSIVE
$	chartistův–A	antichartistův–A	POSSESSIVE
$	demokratův–A	antidemokratův–A	POSSESSIVE
$	fašistův–A	antifašistův–A	POSSESSIVE
$	federalistův–A	antifederalistův–A	POSSESSIVE
$	feministův–A	antifeministův–A	POSSESSIVE
$	globalistův–A	antiglobalistův–A	POSSESSIVE
$	imperialistův–A	antiimperialistův–A	POSSESSIVE
$	kapitalistův–A	antikapitalistův–A	POSSESSIVE
$	křesťanův–A	antikřesťanův–A	POSSESSIVE
$	militaristův–A	antimilitaristův–A	POSSESSIVE
$	monarchistův–A	antimonarchistův–A	POSSESSIVE
$	nacistův–A	antinacistův–A	POSSESSIVE
$	nikotin–N	antinikotin–N	POSSESSIVE
$	rasistův–A	antirasistův–A	POSSESSIVE
$	sionistův–A	antisionistův–A	POSSESSIVE
$	socialistův–A	antisocialistův–A	POSSESSIVE
$	stalinistův–A	antistalinistův–A	POSSESSIVE
$	talentův–A	antitalentův–A	POSSESSIVE
$	teroristův–A	antiteroristův–A	POSSESSIVE
$	toxin–N	antitoxin–N	POSSESSIVE
$	trombin–N	antitrombin–N	POSSESSIVE
+	Arch–N	Archův–A	POSSESSIVE
+	Assen–N	Assenův–A	POSSESSIVE
+	Ayda–N	Aydin–A	POSSESSIVE
+	Bábin–N	Bábinův–A	POSSESSIVE
+	Baxxter–N	Baxxterův–A	POSSESSIVE
+	Bazer–N	Bazerův–A	POSSESSIVE
+	Biolek–N	Biolkův–A	POSSESSIVE
+	Bohannon–N	Bohannonův–A	POSSESSIVE
+	bůh–N	bohův–A	POSSESSIVE
+	Bonino–N	Boninův–A	POSSESSIVE
+	Boubín–N	Boubínův–A	POSSESSIVE
+	Bouřil–N	Bouřilův–A	POSSESSIVE
+	Bukola–N	Bukolův–A	POSSESSIVE
+	buvol–N	bůvolův–A	POSSESSIVE
+	businessman–N	byznysmanův–A	POSSESSIVE
$	karabiniér–N	carabinierův–A	POSSESSIVE
+	Cassandra–N	Cassandřin–A	POSSESSIVE
+	Celesta–N	Celestin–A	POSSESSIVE
+	Celestina–N	Celestinin–A	POSSESSIVE
$	Celestin–A	celestin–N	POSSESSIVE
+	čertice–N	čertičin–A	POSSESSIVE
$	chlorella–N	chlorellin–N	POSSESSIVE
+	čihač–N	číhačův–A	POSSESSIVE
+	cracker–N	crackerův–A	POSSESSIVE
+	Deaton–N	Deatonův–A	POSSESSIVE
+	Démokritos–N	Demokritův–A	POSSESSIVE
$	domicilát–N	dimiciliátův–A	POSSESSIVE
+	Zeus–N	Diův–A	POSSESSIVE
+	designer–N	dizajnérův–A	POSSESSIVE
+	Dogo–N	Dogův–A	POSSESSIVE
+	Doncaster–N	Doncasterův–A	POSSESSIVE
+	Dorota–N	Dorotin–N	POSSESSIVE
+	Electra–N	Electřin–A	POSSESSIVE
+	Elena–N	Elenin–A	POSSESSIVE
+	Emin–N	Eminův–A	POSSESSIVE
$	Aesculap–N	Esculapův–A	POSSESSIVE
+	Evina–N	Evinin–A	POSSESSIVE
+	esoterička–N	ezoteriččin–A	POSSESSIVE
+	Fábera–N	Faberův–A	POSSESSIVE
+	Fana–N	Fanin–A	POSSESSIVE
$	Féničan–N	Foiničanův–A	POSSESSIVE
+	Frederico–N	Fredericův–A	POSSESSIVE
+	Froome–N	Froomeův–A	POSSESSIVE
+	Froome–N	Froomův–A	POSSESSIVE
+	Gera–N	Gérův–A	POSSESSIVE
+	Glockner–N	Glocknerův–A	POSSESSIVE
+	Glucharev–N	Glucharevův–A	POSSESSIVE
+	Golda–N	Goldin–N	POSSESSIVE
+	gólman–N	golmanův–A	POSSESSIVE
+	Gorec–N	Gorecův–A	POSSESSIVE
+	Gustina–N	Gustinin–A	POSSESSIVE
+	Gustin–N	Gustinův–A	POSSESSIVE
+	Haba–N	Hábův–A	POSSESSIVE
+	Hála–N	Halův–A	POSSESSIVE
+	Hančin–N	Hančinův–A	POSSESSIVE
$	Hana–N	Hanin–N	POSSESSIVE
+	Hana–N	Hanin–A	POSSESSIVE
+	Harlow–N	Harlowův–A	POSSESSIVE
+	Hašpl–N	Hašplův–A	POSSESSIVE
+	Hedčan–N	Hedčanův–A	POSSESSIVE
+	Héraklés–N	Herakleův–A	POSSESSIVE
+	Hérakles–N	Heraklův–A	POSSESSIVE
