$	Adirondack–A	Adirondackův–A	POSSESSIVE
$	Blondin–A	Blondinův–A	POSSESSIVE
$	Boynton–A	Boyntonův–A	POSSESSIVE
$	Celestin–A	celestin–A	POSSESSIVE
$	Colloredo–A	Colloredův–A	POSSESSIVE
$	Costa–A	Costův–A	POSSESSIVE
$	Dorotin–A	Dorotinův–A	POSSESSIVE
$	East–A	Eastův–A	POSSESSIVE
$	gadža–A	gadžův–A	POSSESSIVE
$	Hardouin–A	Hardouinův–A	POSSESSIVE
$	Hieronymus–A	Hieronymův–A	POSSESSIVE
$	Karin–A	Karinův–A	POSSESSIVE
$	Kašina–A	Kašinův–A	POSSESSIVE
$	Leonin–A	Leoninův–A	POSSESSIVE
$	Majerčin–A	Majerčinův–A	POSSESSIVE
$	Šara–A	Šarův–A	POSSESSIVE
$	pedant–N	pedanterie–N	FEMALE
$	had–N	hadice–N	FEMALE
$	bianco–A	bianko–A	DIMINUTIVE
$	ředitel–N	ředitelna–N	FEMALE
$	hudlař–N	hudlařina–N	FEMALE
$	akta–N	aktovka–N	DIMINUTIVE
$	houbař–N	houbařina–N	FEMALE
$	docent–N	docentura–N	FEMALE
$	hrnčíř–N	hrnčířina–N	FEMALE
$	Méd–N	Médie–N	FEMALE
$	jachtař–N	jachtařina–N	FEMALE
$	aparátek–N	aparátčík–N	DIMINUTIVE
$	astrofyzik–N	astrofyzička–N	DIMINUTIVE
$	archivář–N	archivařina–N	FEMALE
$	prefekt–N	prefektura–N	FEMALE
$	zlato–N	zlatěnka–N	DIMINUTIVE
$	zloděj–N	zlodějovina–N	FEMALE
$	šerpa–N	šerpička–N	FEMALE
$	dvojpremiéra–N	dvojpremiérka–N	FEMALE
$	vychovatel–N	vychovatelna–N	FEMALE
$	biobrambora–N	biobramboračka–N	DIMINUTIVE
$	funkcionář–N	funkcionařina–N	FEMALE
$	diktátor–N	diktatura–N	FEMALE
$	plechař–N	plechařina–N	FEMALE
$	brambora–N	brambořík–N	DIMINUTIVE
$	minus–N	minuska–N	FEMALE
$	dráb–N	drábovna–N	FEMALE
$	kmotra–N	kmotřička–N	FEMALE
$	kýčař–N	kýčařina–N	FEMALE
$	Tabara–N	Tabarka–N	FEMALE
$	fráter–N	frátrie–N	FEMALE
$	ježek–N	ježura–N	FEMALE
$	misogyn–N	misogynie–N	FEMALE
$	Zázvora–N	Zázvorka–N	FEMALE
$	šampus–N	šampuska–N	FEMALE
$	Valach–N	Valachie–N	FEMALE
$	Ind–N	Indie–N	FEMALE
$	vechtr–N	vechtrovna–N	FEMALE
$	prolézačka–N	prolejzačka–N	DIMINUTIVE
$	automat–N	automatčík–N	DIMINUTIVE
$	sestřenec–N	sestra–N	FEMALE
$	Vincenc–N	Vincencie–N	FEMALE
$	ministr–N	ministerie–N	FEMALE
$	pták–N	ptákovina–N	FEMALE
$	loutkař–N	loutkařina–N	FEMALE
$	Amerika–N	amerikanistika–N	DIMINUTIVE
$	Amazonka–N	amazonka–N	DIMINUTIVE
$	houslař–N	houslařina–N	FEMALE
$	zloděj–N	zlodějna–N	FEMALE
$	hračka–N	hračička–N	DIMINUTIVE
$	žid–N	židovna–N	FEMALE
$	kazatel–N	kazatelna–N	FEMALE
$	povídačka–N	poudačka–N	DIMINUTIVE
$	zelí–N	zelovka–N	DIMINUTIVE
$	Armén–N	Arménie–N	FEMALE
$	cena–N	ceník–N	DIMINUTIVE
$	Bakchus–N	bakchanálie–N	FEMALE
$	humor–N	humorka–N	FEMALE
$	apotéka–N	apatyka–N	DIMINUTIVE
$	Germán–N	Germánie–N	FEMALE
$	titěra–N	titěrka–N	FEMALE
