zaklát	porazit	podst.	dok.
dohádnout	něčeho	podst.	dok.
doplivnout	plivnout	dok.	podst.
chřupnout	čeho	podst.	dok.
obelhat	řečí	dok.	podst.
křupnout	křoupat	dok.	podst.
vystřehnout	vyvarovat	dok.	podst.
vyjektnout	vydat	dok.	podst.
rozepnout	rozepnutí	podst.	dok.
vestavět	zabudovat	podst.	dok.
vyhýbnout	vyhnout	dok.	podst.
odkřiknout	křiknutím	podst.	dok.
podchladnout	pod	podst.	dok.
ocáknout	polít	podst.	dok.
vřítit	vpadnout	dok.	podst.
dechnout	vtáhnout	podst.	dok.
přispat	trochu	dok.	podst.
vyhýbnout	vyklonit	podst.	dok.
prořídnout	státmísty	dok.	podst.
splasknout	objem	podst.	dok.
začíst	soustředěnězabrat	dok.	podst.
nachladnout	chladu	podst.	dok.
dovadnout	zcela	podst.	dok.
nadstavět	výše	podst.	dok.
rozmžiknout	mrknout	dok.	podst.
přemknout	rychlým	dok.	podst.
vyrachotit	vyjet	dok.	podst.
zakvoknout	kvoknout	dok.	podst.
ztenknout	ztenčit	podst.	dok.
pomoknout	zmoknout	podst.	dok.
vyřídnout	prořídnout	podst.	dok.
skápnout	spadnout	podst.	dok.
kviknout	kvikat	dok.	podst.
prostydnout	vystydnout	dok.	podst.
podlít	pobýt	dok.	podst.
okřát	zdraví	dok.	podst.
doradit	být	dok.	podst.
dolopotit	dosáhnout	podst.	dok.
vřítit	prudce	dok.	podst.
zaheknout	heknout	dok.	podst.
osliznout	lepkavou	podst.	dok.
obelhat	ošálit	dok.	podst.
nažloutnout	poněkud	podst.	dok.
kmihnout	kmihat	podst.	dok.
zakrápnout	jen	dok.	podst.
zahřmět	zahřímat	podst.	dok.
nadsednout	nadzdvihnoutpři	podst.	dok.
napuchnout	otéci	dok.	podst.
unýt	uchřadnout	podst.	dok.
odetnout	oddělit	podst.	dok.
vyváznout	čeho	dok.	podst.
nažloutnout	zežloutnout	podst.	dok.
navláhnout	státtrochu	podst.	dok.
okřát	vůbec	podst.	dok.
překřehnout	prokřehnout	dok.	podst.
pofrknout	jednou	dok.	podst.
křachnout	křaplavý	podst.	dok.
zažíhnout	zaplát	dok.	podst.
odplivnout	slinu	dok.	podst.
obkleknout	někoho	podst.	dok.
pocuknout	krátce	podst.	dok.
naplivnout	nač	dok.	podst.
přelhat	obelhat	podst.	dok.
zaklinknout	klinknout	dok.	podst.
pochladnout	ochladnout	podst.	dok.
vštípnout	štípnutím	dok.	podst.
očistnout	státčistým	podst.	dok.
oslábnout	zeslábnout	podst.	dok.
odtít	silou	dok.	podst.
podout	chvíli	podst.	dok.
vštípnout	proniknout	dok.	podst.
vstavět	vmontovat	dok.	podst.
vyrachotit	vyjít	dok.	podst.
vystříhat	vystříhávat	nás.	ned.
zavlhnout	zvlhnout	podst.	dok.
sdřepnout	dřepnout	dok.	podst.
odchrochtnout	vydat	podst.	dok.
křachnout	vydat	dok.	podst.
ustesknout	steskemutrápit	dok.	podst.
rozeklát	rozpoltit	dok.	podst.
rozdurdit	způsobit	podst.	dok.
uřknout	způsobit	podst.	dok.
ulevit	ulevovat	ned.	dok.
prořidnout	řídkým	dok.	podst.
skápnout	kapkách	dok.	podst.
doplivnout	někam	podst.	dok.
zahřmotit	chvíli	podst.	dok.
přestárnout	jistou	podst.	dok.
zdřímnout	usnout	dok.	podst.
omoknout	zvlhnout	dok.	podst.
oplasknout	poněkud	dok.	podst.
rozzlatit	zbarvením	dok.	podst.
přestárnout	překročit	podst.	dok.
zazobnout	zobnout	dok.	podst.
svistnout	zasvištět	dok.	podst.
ohlupnout	ohloupit	dok.	podst.
prorudnout	místy	dok.	podst.
ztrpknout	zatrpklým	dok.	podst.
pohubnout	zhubnout	dok.	podst.
Iosknout	prasknout	podst.	dok.
prošednout	šedého	podst.	dok.
zacvrnknout	crnknout	dok.	podst.
obelhat	lhaním	podst.	dok.
rozprasknout	úplně	dok.	podst.
