zvítězit	kým	dok.
podholit	odspodu	dok.
truhlářský	truhlářský	zpodst.
obestlat	dokola	dok.
okres	okresek	zdrob.
rozpraskat	dostat	dok.
souchotiny	souchotinky	zdrob.
novák	nováček	zdrob.
směnka	směnečka	zdrob.
plouhat	plouhávat	nás.
setřást	setřásat	ned.
opuchnout	napuchnout	dok.
vsáknout	proniknout	podst.
zaprskat	několikrát	dok.
aspirant	aspirantka	přech.
ošlapat	znehodnotit	dok.
rozednít	být	dok.
vzorec	vzoreček	zdrob.
pokrevní	pokrevnost	podst.
zakomponovat	zasadit	dok.
odezdít	uvolnit	dok.
rozečíst	začít	dok.
cvakat	cvaknout	dok.
haléř	halířek	zdrob.
naloupit	nabýt	dok.
posmrknout	popotáhnout	podst.
vyrýžovat	získat	dok.
hotovit	hotovívat	nás.
pochcípat	pojít	dok.
podávit	podavovat	ned.
frizér	frizérství	podst.
vzkvětnout	vzkvést	podst.
gatě	gaťky	zdrob.
nadpomyslný	nadpomyslnost	podst.
nadrhnout	nadrhovat	ned.
lidé	lidičky	zdrob.
oblékač	oblékačka	přech.
urýpnout	oddělit	dok.
suchán	sucháček	zdrob.
unavit	zbavit	dok.
recense	recensička	zdrob.
začiřikat	zašvitořit	dok.
znedůvěřit	zpronevěřit	dok.
pádlo	pádýlko	zdrob.
odrýpat	odrýpávat	ned.
stavebnice	stavebnička	zdrob.
šedivý	šedivo	zpodst.
hřát	hřávat	nás.
přeškrtat	udělat	dok.
loutka	loutečka	zdrob.
přeusmívat	úsměv	dok.
ožlutět	zežloutnout	podst.
vykořenit	vykořeňovat	ned.
naměknout	změknout	podst.
durdil	durdílek	zdrob.
teremtit	teremtetívat	nás.
rozředit	učinit	dok.
dovadnout	zcela	podst.
žhavý	žhavost	podst.
list	lístek	zdrob.
obrýt	něčeho	dok.
brykat	bryknout	dok.
okysličit	nasytit	dok.
nepravý	nepravost	podst.
odkousat	oddělit	dok.
uskřípnout	tím	dok.
znítit	zanítit	dok.
škrambal	škrambalek	zdrob.
tetelit	tetelívat	nás.
nadvýšit	zvýšit	dok.
podtít	odspodu	dok.
lístek	čku	zdrob.
posmrknout	krátce	dok.
postřehnout	postřehovat	ned.
ostránkovat	čísly	dok.
záhadný	záhadnost	podst.
rozmrznout	zamrzlý	dok.
blouznit	blouznívat	nás.
podnapilý	podnapilost	podst.
uvřít	uvírat	ned.
zeslovanštit	slovanským	dok.
doma	doma	zpodst.
havarovat	utrpět	dok.
zlatý	zlatost	podst.
zacinknout	cinknout	podst.
napodobovatel	napodobitelka	přech.
rámař	rámařka	přech.
rozežrat	rozežírat	ned.
vyprovázet	vyprovázívat	nás.
uspíšit	něco	dok.
doobléci	dokončit	dok.
přeštípat	část	dok.
vyhlatit	ztvárnit	dok.
uprchlík	uprchlíček	zdrob.
zvolat	zvolávat	ned.
dešť	deštíček	zdrob.
připevnit	přidělat	dok.
trhovec	trhovkyně	přech.
zešesteronásobit	učinit	dok.
postilión	postiliónská	zpodst.
rozesmát	smát	dok.
namáčknout	vtlačit	dok.
ozelenat	státponěkud	dok.
bedna	bednička	zdrob.
donutit	přimět	dok.
nestvůra	nestvůrčička	zdrob.
těšitel	těšitelka	přech.
protrhat	protrhávat	ned.
přeškrtnout	něco	dok.
dohledat	dokončit	dok.
zpozemštit	pozemským	dok.
znejmilejší	znejmilejší	zpodst.
prozkoumat	něčeho	dok.
zlačnět	státlačným	dok.
proutratit	utracením	dok.
uhostit	uhosťovat	ned.
zněkolikanásobit	učinit	dok.
děsit	zděsívat	ned.
rozesmát	ženěkdo	dok.
vyrotit	vyhubit	dok.
přetkat	přetkávat	ned.
divoký	divokost	podst.
zamutovat	obstarat	dok.
přihladit	uhladit	dok.
humorista	humoristka	přech.
pourvat	částečně	dok.
přitrhat	ještě	dok.
přikulit	dopravit	dok.
tkát	tkaní	podst.
rozdrancovat	roznést	dok.
bařtipán	bařtipánek	zdrob.
horna	hornička	zdrob.
blabuň	blabuňka	zdrob.
osmdesátinásobný	větší	nás.
chumel	chumílek	zdrob.
dodechnout	dokončit	podst.
pohybovat	pohybovávat	nás.
vysekat	vysekávat	ned.
omáznout	potřít	dok.
pokrásnět	zkrásnět	dok.
rozehřmětirozehřmít	hřmět	podst.
zapalovač	zapalováček	zdrob.
letovat	zaletovat	dok.
přimotat	ještě	dok.
desavuovat	tvrzení	dok.
zažíhnout	zablesknout	dok.
přišramotit	přirachotit	podst.
podout	zadout	dok.
rozčlenit	vytvořit	dok.
hrad	hradec	zdrob.
zrájit	proměnitv	dok.
oblénit	léno	dok.
senátor	senátorka	přech.
zoban	zobánek	zdrob.
rozhádat	hádky	dok.
přetřídit	jinak	dok.
nadsmyslový	nadsmyslno	zpodst.
očernit	očerňovat	ned.
zdřevnatět	státdřevnatým	dok.
ushodnout	čem	dok.
pramen	pramínek	zdrob.
přiklánět	přiklánívat	nás.
oleštit	učinit	dok.
travina	travinka	zdrob.
pokoušet	pokoušívat	nás.
podrost	podrůstek	zdrob.
opeřit	ozdobit	dok.
dařit	dařívati˙	nás.
zrno	zrnko	zdrob.
marnost	marnůstka	zdrob.
vstřebat	spotřebovat	dok.
oficína	oficínka	zdrob.
zemák	zemáček	zdrob.
rozečíst	nedočíst	dok.
sezvonit	zvoněním	dok.
žádný	žádný	zpodst.
kůže	kůžička	zdrob.
plodnice	plodnička	zdrob.
převyprávět	způsobem	dok.
dispečer	dispečerka	přech.
nadhodit	nadhazovat	ned.
uloupit	koho	dok.
tvůj	tvého	zpodst.
zachrčet	krátký	dok.
rozrýpnout	rozrýpávat	ned.
psanec	psankyně	přech.
přihoupat	kam	dok.
rozchytat	dostat	dok.
zabláznit	oddat	dok.
roztavit	žárem	dok.
zachlebit	zavděčit	dok.
zbaculatět	státbaculatým	dok.
mrak	mráček	zdrob.
pěstovat	pěstovávat	nás.
uptat	dovědět	dok.
dumný	dumno	zpodst.
nasněžit	napadat	dok.
udělit	udělovat	ned.
zešeřený	zšeřenost	podst.
chocholatý	chocholatost	podst.
pakovat	pakovávat	nás.
poroztřást	roztřást	dok.
podlít	pobýt	dok.
knoflíkář	knoflíkářka	přech.
zolejovatět	pokrýtolejem	dok.
snovadlo	snovadélko	zdrob.
Žernoseky	žernosecké	zpodst.
opancéřovat	opatřit	dok.
zavzdušit	zavzdušňovat	ned.
zahradník	zahradníček	zdrob.
racionální	racionálnost	podst.
rozestavit	rozličná	podst.
nápis	nápisek	zdrob.
oklekat	klekáním	dok.
třepetat	třepotávat	nás.
přeorientovat	přeorientovávat	ned.
poškrabat	poškrabovat	ned.
poruštit	učinit	dok.
přistřihat	přistřihávat	ned.
ovlasatět	vlasy	dok.
smrákat	smráknout	dok.
vylodit	dopravit	dok.
hajduk	hajdučík	zdrob.
potatarštit	rázu	dok.
vylinkovat	nalinkovat	dok.
spínat	spínávat	nás.
odborář	odborářka	přech.
skácet	něčeho	dok.
nazakazovat	vydat	dok.
osmělit	osmělovat	ned.
podkopat	podkopávat	ned.
doradit	radění	dok.
podorat	podorávat	ned.
zalétat	zalétávat	nás.
poodšoupnout	odšoupnout	dok.
jurodivý	rodivost	podst.
všoupat	šoupáním	dok.
rozsít	rozsévat	ned.
prohloubenina	prohlubeninka	zdrob.
přidechnout	jemně	dok.
pavlán	pavlánek	zdrob.
zakňučet	zvuk	dok.
dofilosofovat	filosofovat	dok.
ryngle	rynglička	zdrob.
nazhlížet	dosytazhlížet	dok.
sžehnout	sežehávat	ned.
taxíkář	taxíkářka	přech.
upřednášet	přednášenímunavit	dok.
nahrabat	nahrabovat	ned.
bandura	bandurka	zdrob.
docent	docentík	zdrob.
zdokonalit	dokonalým	dok.
drnák	drnáček	zdrob.
přistrouhat	ještě	dok.
ježek	ježeček	zdrob.
povzbuzovač	povzbuzovatelka	přech.
přečíslovat	jinak	dok.
zhadrovatět	státhadrovým	dok.
rozkrásnit	nabýt	dok.
ujasnit	ujasňovat	ned.
odcapat	krůčky	dok.
zmocnit	zmocňovat	ned.
rozplesknout	zploštit	dok.
zahmyzit	znečistithmyzem	dok.
procedit	procezovat	ned.
připochodovat	přijít	dok.
veselí	veselíčko	zdrob.
sekera	sekyrečka	zdrob.
bolestný	bolestnost	podst.
přestříhat	rozdělit	dok.
zkompostovat	kompostovat	dok.
roztančený	roztančenost	podst.
zrevolučnit	zrevolucionovat	dok.
pohoří	pohoříčko	zdrob.
rozplesknout	zploštit	podst.
zapít	zapíjet	ned.
uslabit	oslabit	dok.
courat	courávat	nás.
myšlenka	myšlenečka	zdrob.
svatebčan	svatebčanka	přech.
rozfouknout	rozptýlit	dok.
pěstitel	pěstitelka	přech.
zpěnit	zpěňovat	ned.
obezdít	obstavit	dok.
rozvlhnout	vlhkostí	dok.
spadat	částech	dok.
čirý	čiro	zpodst.
odalkoholisovat	alkoholu	dok.
zrzek	zrzeček	zdrob.
napěstovat	vypěstovat	dok.
odehrát	provést	podst.
rozprodat	rozprodávat	ned.
odpouštět	odpouštívat	nás.
odvozit	vožením	dok.
věž	věžička	zdrob.
maturant	maturantka	přech.
rozerdít	způsobit	dok.
přehmatat	prozkoumat	dok.
rozhubovat	hubování	dok.
svěsit	svěšovat	ned.
zaplesat	krátce	dok.
šerý	šero	zpodst.
zburžoasnět	státburžoazním	dok.
pocloumat	kým	dok.
dohrábnout	hrábnutí	dok.
osnovat	zosnovat	dok.
přischnout	přisýchat	ned.
ucítit	uciťovat	ned.
diktátor	diktátorka	přech.
líšeň	lišnička	zdrob.
vřezat	vyznačit	dok.
promasírovat	prohníst	dok.
rozeschnout	rozesychatirozesýchat	ned.
trestanec	trestankyně	přech.
Vratislav	Vratislava	přech.
veverka	veveřička	zdrob.
hubnout	stávathubeným	podst.
odžít	oddělit	dok.
vznikat	vznikávat	nás.
zamihnout	zakmitnout	podst.
expeditor	expeditorka	přech.
nabotnalý	nabobtnalost	podst.
Adam	Adámek	zdrob.
povídeňštit	ráz	dok.
přetahat	vlečením	dok.
přiostřit	přiostřovat	ned.
vypovídat	úplně	dok.
havarovat	havárii	dok.
hřebec	hřebeček	zdrob.
obrovitý	obrovitost	podst.
nahlídnout	nahlédat	ned.
zchvít	zchvívat	ned.
zdražit	zdražovat	ned.
posmrkat	znečistit	dok.
ťukat	poťukávat	ned.
řezbář	řezbářka	přech.
dostříknout	dostřikovat	ned.
zahorlit	horlit	dok.
zasoukat	zahrnout	dok.
porozpínat	postupně	dok.
připošít	lehce	dok.
polatinit	dodat	dok.
rozbzučet	bzučení	dok.
dokysat	dokysávat	ned.
odmoknout	odmočit	dok.
nahrabat	nahrabávat	ned.
nasoužit	mnoho	dok.
číst	čtení	podst.
rozestavit	jednotlivě	dok.
tlápota	tlápotka	zdrob.
skřípavý	skřípavost	podst.
zpitomělý	zpitomělost	podst.
zmýdelnit	zmýdelňovat	ned.
