			# Automatic roots for ložit#V:	slož vyklád poloh překlád polož přelož překlad záloh zálož lož dolož podlož předlož uklád vložk vyklad nalož náklad odklad odlože podklad vylož založ odklád příklad rozloži vlož výklad přiklád prolož uloži oblože odloži předkláda předklada rozlože ulože úklad nálož obloži bezpříkladn přilože rozloh složenk uklad výlož náklaď obloh předkládá předloh příloh úložn výloh záložens překladiště překladištn přiloži přiklad kupříkladu například příkládek složiště úložiště záložnička
			# Manual roots for ložit#V:	
ložit	ložit_:T	V
doložit	doložit_:W	V
doložení	doložení_^(*3it)	N
doložený	doložený_^(*3it)	A
doloženě	doloženě_^(*1ý)	D
doloženost	doloženost_^(*3ý)	N
doložitelný	doložitelný_^(*4)	A
doložitelně	doložitelně_^(*1ý)	D
doložitelnost	doložitelnost_^(*3ý)	N
doloživší	doloživší_^(*3t)	A
doložka	doložka	N
doložkový	doložkový	A
ložení	ložení_^(*3it)	N
ložený	ložený_^(*3it)	A
loženě	loženě_^(*1ý)	D
loženost	loženost_^(*3ý)	N
ložitelný	ložitelný_^(*4)	A
ložný	ložný_^(úložný_prostor,plocha,...)	A
ložnost	ložnost_^(úložný_prostor,plocha,...)_(*3ý)	N
naložit	naložit_:W	V
náklad	náklad	N
nákladní	nákladní	A
náklaďák	náklaďák	N
náklaďáček	náklaďáček	N
nákladný	nákladný	A
nákladně	nákladně_^(*1í)	D
nákladník	nákladník	N
nákladnost	nákladnost_^(*3ý)	N
nákladový	nákladový	A
nákladově	nákladově_^(*1ý)	D
nákladovost	nákladovost_^(*3ý)	N
naložení	naložení_^(*3it)	N
naložený	naložený_^(*3it)	A
naloženě	naloženě_^(*1ý)	D
naložitelný	naložitelný_^(*4)	A
náložka	náložka	N
nálož	nálož	N
náložný	náložný	A
vynaložit	vynaložit_:W	V
vynaložení	vynaložení_^(*3it)	N
vynaložený	vynaložený_^(*3it)	A
vynaložitelný	vynaložitelný_^(*4)	A
obložit	obložit_:W	V
doobložit	doobložit_:W	V
doobložený	doobložený_^(*3it)	A
obloha	obloha	N
oblohový	oblohový	A
obložení	obložení_^(*3it)	N
obložený	obložený_^(*3it)	A
obloženost	obloženost_^(*3ý)	N
obložitelný	obložitelný_^(*4)	A
odložit	odložit_:W	V
odkládat	odkládat_:T	V
odkládací	odkládací_^(*2t)	A
odkladač	odkladač	N
odkládající	odkládající_^(*4t)	A
odkládání	odkládání_^(*3at)	N
odkládaný	odkládaný_^(*2t)	A
odkládávat	odkládávat_:T_^(*4at)	V
odkladný	odkladný	A
odkladně	odkladně_^(*1ý)	D
odkladnost	odkladnost_^(*3ý)	N
odklad	odklad	N
odkladní	odkladní	A
odkladový	odkladový	A
odložení	odložení_^(*3it)	N
odložený	odložený_^(*3it)	A
odloženě	odloženě_^(*1ý)	D
odloženost	odloženost_^(*3ý)	N
odložitelný	odložitelný_^(*4)	A
odloživší	odloživší_^(*3t)	A
poodložit	poodložit_:W	V
poodložení	poodložení_^(*3it)	N
poodložený	poodložený_^(*3it)	A
poodloženě	poodloženě_^(*1ý)	D
podložit	podložit_:W	V
podklad	podklad	N
podkladek	podkladek	N
podkladní	podkladní	A
podkladně	podkladně_^(*1í)	D
podkladnice	podkladnice	N
podkladový	podkladový	A
podkladově	podkladově_^(*1ý)	D
podložení	podložení_^(*3it)	N
podložený	podložený_^(*3it)	A
podloženě	podloženě_^(*1ý)	D
podloženost	podloženost_^(*3ý)	N
podložitelný	podložitelný_^(*4)	A
podložka	podložka	N
podložkový	podložkový	A
vypodložit	vypodložit_:W	V
vypodložení	vypodložení_^(*3it)	N
vypodložený	vypodložený_^(*3it)	A
položit	položit_:W	V
poloha	poloha	N
polohovat	polohovat_:T	V
napolohovat	napolohovat_:W	V
napolohování	napolohování_^(*3at)	N
napolohovaný	napolohovaný_^(*2t)	A
napolohovatelný	napolohovatelný_^(*4)	A
polohovací	polohovací_^(*2t)	A
polohovadlo	polohovadlo	N
polohování	polohování_^(*3at)	N
polohovaný	polohovaný_^(*2t)	A
polohovatelný	polohovatelný_^(*4)	A
polohovatelnost	polohovatelnost_^(*3ý)	N
polohující	polohující_^(*5ovat)	A
přepolohovat	přepolohovat_:W	V
vypolohovat	vypolohovat_:W	V
vypolohovaný	vypolohovaný_^(*2t)	A
polohový	polohový	A
polohově	polohově_^(*1ý)	D
položení	položení_^(*3it)	N
položený	položený_^(*3it)	A
položitelný	položitelný_^(*4)	A
položivší	položivší_^(*3t)	A
položivý	položivý	A
položivě	položivě_^(*1ý)	D
položka	položka	N
položkový	položkový	A
položkově	položkově_^(*1ý)	D
rozpoložit	rozpoložit_:W	V
rozpoložení	rozpoložení_^(*3it)	N
rozpoložený	rozpoložený_^(*3it)	A
rozpoloženost	rozpoloženost_^(*3ý)	N
předložit	předložit_:W	V
předkládat	předkládat_:T	V
předkládací	předkládací_^(*2t)	A
předkládající	předkládající_^(*4t)	A
předkládání	předkládání_^(*3at)	N
předkládaný	předkládaný_^(*2t)	A
předkladatel	předkladatel	N
předkladatelka	předkladatelka_^(*2)	N
předkladatelský	předkladatelský	A
předkladatelův	předkladatelův_^(*2)	A
předkládávat	předkládávat_:T_^(*4at)	V
předloha	předloha	N
předlohový	předlohový	A
předložení	předložení_^(*3it)	N
předložený	předložený_^(*3it)	A
předloženě	předloženě_^(*1ý)	D
předloženost	předloženost_^(*3ý)	N
předložitel	předložitel	N
předložitelný	předložitelný_^(*4)	A
předložitelnost	předložitelnost_^(*3ý)	N
předložka	předložka	N
předložkový	předložkový	A
přeložit	přeložit-1_:W_^(přemístit)	V
dopřeložit	dopřeložit_:W	V
dopřeložený	dopřeložený_^(*3it)	A
předpřeložit	předpřeložit_:W	V
předpřeložení	předpřeložení_^(*3it)	N
překládat	překládat-1_:T_^(přemístit)	V
dopřekládat	dopřekládat_:W	V
překládací	překládací-1_^(přemístit)_(*4t-1)	A
překladač	překladač	N
překládač	překládač	N
překládačka	překládačka_^(*2)	N
překládající	překládající-1_^(přemístit)_(*6t-1)	A
překládání	překládání-1_^(přemístit)_(*5at-1)	N
překládaný	překládaný-1_^(přemístit)_(*4t-1)	A
překladatel	překladatel	N
překladatelka	překladatelka_^(*2)	N
překladatelčin	překladatelčin_^(*3ka)	A
překladatelský	překladatelský	A
překladatelsky	překladatelsky_^(*1ý)	D
překladatelství	překladatelství	N
překladatelův	překladatelův_^(*2)	A
překládatelný	překládatelný-1_^(přemístit)_(*6-1)	A
překládatelnost	překládatelnost-1_^(přemístit)_(*5ý-1)	N
překládávat	překládávat-1_:T_^(přemístit)_(*6at-1)	V
překládávání	překládávání-1_^(přemístit)_(*5at-1)	N
překladiště	překladiště	N
překladištní	překladištní	A
překládka	překládka	N
překládkový	překládkový	A
překlad	překlad	N
překladní	překladní	A
překladový	překladový	A
překladově	překladově_^(*1ý)	D
překladovost	překladovost_^(*3ý)	N
zpřekládat	zpřekládat_:W_,s	V
zpřekládaný	zpřekládaný_,s_^(*2t)	A
přeložení	přeložení-1_^(přemístit)_(*5it-1)	N
přeložený	přeložený-1_^(přemístit)_(*5it-1)	A
přeloženě	přeloženě-1_^(přemístit)_(*3ý-1)	D
přeložitelný	přeložitelný-1_^(přemístit)_(*6-1)	A
přeložitelně	přeložitelně-1_^(přemístit)_(*3ý-1)	D
přeložitelnost	přeložitelnost-1_^(přemístit)_(*5ý-1)	N
přeloživší	přeloživší-1_^(přemístit)_(*5t-1)	A
přeložka	přeložka	N
přeložkový	přeložkový	A
přiložit	přiložit_:W	V
přikládat	přikládat_:T	V
přikládací	přikládací_^(*2t)	A
přikladač	přikladač	N
přikládající	přikládající_^(*4t)	A
přikládání	přikládání_^(*3at)	N
přikládaný	přikládaný_^(*2t)	A
příklad	příklad	N
bezpříkladný	bezpříkladný	A
bezpříkladně	bezpříkladně_^(*1ý)	D
bezpříkladnost	bezpříkladnost_^(*3ý)	N
kupříkladu	kupříkladu	D
například	například	D
příkládek	příkládek	N
příkladný	příkladný	A
příkladně	příkladně_^(*1ý)	D
příkladnost	příkladnost_^(*3ý)	N
příkladový	příkladový	A
příkladově	příkladově_^(*1ý)	D
příloha	příloha	N
přílohový	přílohový	A
přiložení	přiložení_^(*3it)	N
přiložený	přiložený_^(*3it)	A
přiloženě	přiloženě_^(*1ý)	D
proložit	proložit_:W	V
proložení	proložení_^(*3it)	N
proložený	proložený_^(*3it)	A
proloženě	proloženě_^(*1ý)	D
proložka	proložka	N
rozložit	rozložit_:W	V
rozloha	rozloha	N
rozlohový	rozlohový	A
rozlohově	rozlohově_^(*1ý)	D
rozložení	rozložení_^(*3it)	N
rozložený	rozložený_^(*3it)	A
rozloženě	rozloženě_^(*1ý)	D
rozloženost	rozloženost_^(*3ý)	N
rozložitelný	rozložitelný_^(*4)	A
rozložitelnost	rozložitelnost_^(*3ý)	N
rozložitý	rozložitý	A
rozložitě	rozložitě_^(*1ý)	D
rozložitost	rozložitost_^(*3ý)	N
složit	složit_:W	V
složení	složení_^(*3it)	N
složenka	složenka	N
složenkový	složenkový	A
složenkově	složenkově_^(*1ý)	D
složený	složený_^(*3it)	A
složeně	složeně_^(*1ý)	D
složenina	složenina	N
složeninový	složeninový	A
složenost	složenost_^(*3ý)	N
složiště	složiště	N
složitel	složitel	N
složitelka	složitelka_^(*2)	N
složitelův	složitelův_^(*2)	A
složitelný	složitelný_^(*4)	A
složitelnost	složitelnost_^(*3ý)	N
složitý	složitý	A
složitě	složitě_^(*1ý)	D
složitost	složitost_^(*3ý)	N
složivší	složivší_^(*3t)	A
složka	složka	N
složkový	složkový	A
složkově	složkově_^(*1ý)	D
uložit	uložit_:W	V
přeuložit	přeuložit_:W	V
přeuložení	přeuložení_^(*3it)	N
ukládat	ukládat_:T	V
ukládač	ukládač-1_,s_^(člověk)	N
ukládačka	ukládačka-1_,s_^(člověk)_(*4-1)	N
ukládací	ukládací_^(*2t)	A
ukladač	ukladač	N
ukládající	ukládající_^(*4t)	A
ukládání	ukládání_^(*3at)	N
ukládaný	ukládaný_^(*2t)	A
ukladatel	ukladatel	N
ukladatelův	ukladatelův_^(*2)	A
ukládatelný	ukládatelný_^(*4)	A
ukládávat	ukládávat_:T_^(*4at)	V
ukládka	ukládka_,s	N
úklad	úklad	N
úkladný	úkladný	A
úkladně	úkladně_^(*1ý)	D
úkladnost	úkladnost_^(*3ý)	N
uložení	uložení_^(*3it)	N
uložený	uložený_^(*3it)	A
uloženina	uloženina	N
úložiště	úložiště	N
uložitel	uložitel	N
uložitelný	uložitelný_^(*4)	A
uložitelnost	uložitelnost_^(*3ý)	N
úložný	úložný	A
úložnost	úložnost_^(*3ý)	N
vložit	vložit_:W	V
vložení	vložení_^(*3it)	N
vložený	vložený_^(*3it)	A
vložitelný	vložitelný_^(*4)	A
vložka	vložka	N
vložkovat	vložkovat_:T	V
převložkovat	převložkovat_:W	V
převložkování	převložkování_^(*3at)	N
vložkovací	vložkovací_^(*2t)	A
vložkování	vložkování_^(*3at)	N
vložkovaný	vložkovaný_^(*2t)	A
vyvložkovat	vyvložkovat_:W	V
vyvložkování	vyvložkování_^(*3at)	N
vyvložkovaný	vyvložkovaný_^(*2t)	A
vyvložkovávat	vyvložkovávat_:T_^(*4at)	V
vložkový	vložkový	A
vyložit	vyložit_:W	V
vykládat	vykládat_:T	V
dovykládat	dovykládat_:W	V
dovykládání	dovykládání_^(*3at)	N
navykládat	navykládat_:T_:W	V
odvykládat	odvykládat_:W	V
odvykládání	odvykládání_^(*3at)	N
odvykládaný	odvykládaný_^(*2t)	A
povykládat	povykládat_:W	V
povykládání	povykládání_^(*3at)	N
vykladač	vykladač-1_^(kdo_vykládá_náklady)	N
vykladačka	vykladačka-1_^(kdo_vykládá_náklady)_(*4-1)	N
vykladačský	vykladačský	A
vykladačsky	vykladačsky_^(*1ý)	D
vykladačství	vykladačství	N
vykladačův	vykladačův-1_^(kdo_vykládá_náklady)_(*4-1)	A
vykládač	vykládač-1_^(kdo_vykládá_náklady)	N
vykládačka	vykládačka-1_^(kdo_vykládá_náklady)_(*4-1)	N
vykládač	vykládač-3_^(vykládací_stroj)	N
vykládací	vykládací_^(*2t)	A
vykládající	vykládající_^(*4t)	A
vykládání	vykládání_^(*3at)	N
vykládaný	vykládaný_^(*2t)	A
vykladatel	vykladatel_,a	N
vykladatelka	vykladatelka_,a_^(*2)	N
vykladatelův	vykladatelův_,a_^(*2)	A
vykladatelný	vykladatelný_^(*8ádat)	A
vykládávat	vykládávat_:T_^(*4at)	V
vykládka	vykládka	N
vykládkový	vykládkový	A
výklad	výklad	N
výkladek	výkladek_,n	N
výkladní	výkladní	A
výkladový	výkladový	A
výkladově	výkladově_^(*1ý)	D
výkladovost	výkladovost_^(*3ý)	N
výloha	výloha_^(v_obchodě,_reklamní,...)	N
výlohový	výlohový	A
výložek	výložek	N
vyložení	vyložení_^(*3it)	N
vyložený	vyložený_^(*3it)	A
