			# Automatic roots for Vlastimil#NC:	vlastn vlastň vlast Vlastimil Vlast vlastňák pseudo
			# Manual roots for Vlastimil#NC:	
Vlastimil	Vlastimil_;Y	NC
Vlasta	Vlasta-1_;Y_^(žena)	N
vlasta	vlasta_,h_,s	N
vlastní	vlastní_^(příslušný_k_něčemu)	A
vlastňák	vlastňák_,l_^(vlastní_gól)	N
vlastně	vlastně-2_^(totiž)	D
vlastně	vlastně_^(příslušný_k_něčemu)_(*1í)	D
vlastnit	vlastnit_:T_^(někdo_má_něco_ve_vlastnictví)	V
přivlastnit	přivlastnit_:W	V
přivlastnění	přivlastnění_^(*3it)	N
přivlastněný	přivlastněný_^(*3it)	A
přivlastnitelný	přivlastnitelný_^(*4)	A
přivlastnitelnost	přivlastnitelnost_^(*3ý)	N
přivlastňovat	přivlastňovat_:T	V
přivlastňovací	přivlastňovací_^(*2t)	A
přivlastňování	přivlastňování_^(*3at)	N
přivlastňovaný	přivlastňovaný_^(*2t)	A
přivlastňující	přivlastňující_^(*5ovat)	A
vlastnění	vlastnění_^(někdo_má_něco_ve_vlastnictví)_(*3it)	N
vlastněný	vlastněný_^(někdo_má_něco_ve_vlastnictví)_(*3it)	A
vlastnící	vlastnící_^(někdo_má_něco_ve_vlastnictví)_(*3it)	A
vlastník	vlastník	N
vlastnice	vlastnice_^(*3ík)	N
vlastnický	vlastnický	A
vlastnicky	vlastnicky_^(*1ý)	D
vlastnictví	vlastnictví	N
pseudovlastnictví	pseudovlastnictví	N
vlastníkův	vlastníkův_^(*2)	A
vlastnitelný	vlastnitelný_^(*4)	A
vlastnívat	vlastnívat_:T_^(někdo_má_něco_ve_vlastnictví)_(*4it)	V
vyvlastnit	vyvlastnit_:W	V
vyvlastnění	vyvlastnění_^(*3it)	N
vyvlastněný	vyvlastněný_^(*3it)	A
vyvlastnitel	vyvlastnitel	N
vyvlastnitelný	vyvlastnitelný_^(*4)	A
vyvlastnitelnost	vyvlastnitelnost_^(*3ý)	N
vyvlastňovat	vyvlastňovat_:T	V
vyvlastňovací	vyvlastňovací_^(*2t)	A
vyvlastňování	vyvlastňování_^(*3at)	N
vyvlastňovaný	vyvlastňovaný_^(*2t)	A
vyvlastňovatel	vyvlastňovatel	N
vyvlastňující	vyvlastňující_^(*5ovat)	A
vlastnost	vlastnost	N
Vlastin	Vlastin-1_;Y_^(žena)_(*4a-1)	A
Vlastimilův	Vlastimilův_;Y_^(*2)	A


			# Automatic roots for kvalifikovat#VC:	kvalifik diskvalifik
			# Manual roots for kvalifikovat#VC:	
kvalifikovat	kvalifikovat_:T_:W	VC
diskvalifikovat	diskvalifikovat_:T_:W	V
diskvalifikace	diskvalifikace	N
diskvalifikační	diskvalifikační	A
diskvalifikování	diskvalifikování_^(*3at)	N
diskvalifikovaný	diskvalifikovaný_^(*2t)	A
diskvalifikovanost	diskvalifikovanost_^(*3ý)	N
diskvalifikovatelný	diskvalifikovatelný_^(*4)	A
diskvalifikující	diskvalifikující_^(*5ovat)	A
dokvalifikovat	dokvalifikovat_:W	V
dokvalifikování	dokvalifikování_^(*3at)	N
dokvalifikovaný	dokvalifikovaný_^(*2t)	A
dokvalifikovávat	dokvalifikovávat_:T_^(*4at)	V
kvalifikace	kvalifikace	N
kvalifikační	kvalifikační	A
kvalifikačně	kvalifikačně_^(*1í)	D
kvalifikátor	kvalifikátor	N
kvalifikování	kvalifikování_^(*3at)	N
kvalifikovaný	kvalifikovaný_^(*2t)	A
kvalifikovaně	kvalifikovaně_^(*1ý)	D
kvalifikovanost	kvalifikovanost_^(*3ý)	N
kvalifikovatelný	kvalifikovatelný_^(*4)	A
kvalifikovatelnost	kvalifikovatelnost_^(*3ý)	N
kvalifikovavší	kvalifikovavší_^(*3t)	A
kvalifikující	kvalifikující_^(*5ovat)	A
překvalifikovat	překvalifikovat_:W	V
překvalifikace	překvalifikace	N
překvalifikování	překvalifikování_^(*3at)	N
překvalifikovaný	překvalifikovaný_^(*2t)	A
překvalifikovanost	překvalifikovanost_^(*3ý)	N
překvalifikovávat	překvalifikovávat_:T_^(*4at)	V
překvalifikovávání	překvalifikovávání_^(*3at)	N
rekvalifikovat	rekvalifikovat_:T_:W	V
rekvalifikace	rekvalifikace	N
rekvalifikační	rekvalifikační	A
rekvalifikačně	rekvalifikačně_^(*1í)	D
rekvalifikování	rekvalifikování_^(*3at)	N
rekvalifikovaný	rekvalifikovaný_^(*2t)	A
rekvalifikovatelný	rekvalifikovatelný_^(*4)	A
rekvalifikovatelnost	rekvalifikovatelnost_^(*3ý)	N
rekvalifikovávat	rekvalifikovávat_:T_^(*4at)	V
rekvalifikující	rekvalifikující_^(*5ovat)	A
zrekvalifikovat	zrekvalifikovat_:W	V
zrekvalifikovaný	zrekvalifikovaný_^(*2t)	A


			# Automatic roots for telefon#NC:	telefon telefón
			# Manual roots for telefon#NC:	
telefon	telefon	NC
mikrotelefon	mikrotelefon	N
telefonát	telefonát	N
telefonek	telefonek	N
telefónek	telefónek	N
telefonista	telefonista	N
telefonistka	telefonistka_^(*2a)	N
telefonistův	telefonistův_^(*2a)	A
telefonizovat	telefonizovat_:T	V
telefonizace	telefonizace	N
telefonizační	telefonizační	A
telefonizovaný	telefonizovaný_^(*2t)	A
telefonizovatelný	telefonizovatelný_^(*4)	A
telefonní	telefonní	A
telefonie	telefonie	N
telefonický	telefonický	A
telefonicky	telefonicky_^(*1ý)	D
telefonovat	telefonovat_:T	V
dotelefonovat	dotelefonovat_:W	V
obtelefonovat	obtelefonovat_:T	V
obtelefonování	obtelefonování_^(*3at)	N
obtelefonovaný	obtelefonovaný_^(*2t)	A
obtelefonovávat	obtelefonovávat_:T_^(*4at)	V
obtelefonovávání	obtelefonovávání_^(*3at)	N
odtelefonovat	odtelefonovat_:W	V
odtelefonovávat	odtelefonovávat_:T_^(*4at)	V
protelefonovat	protelefonovat_:W	V
protelefonování	protelefonování_^(*3at)	N
protelefonovaný	protelefonovaný_^(*2t)	A
protelefonovávat	protelefonovávat_:T_^(*4at)	V
telefonovací	telefonovací_^(*2t)	A
telefonování	telefonování_^(*3at)	N
telefonovaný	telefonovaný_^(*2t)	A
telefonovávat	telefonovávat_:T_^(*4at)	V
telefonující	telefonující_^(*5ovat)	A
vytelefonovat	vytelefonovat_:W	V
vytelefonování	vytelefonování_^(*3at)	N
vytelefonovaný	vytelefonovaný_^(*2t)	A
vytelefonovávat	vytelefonovávat_:T_^(*4at)	V
zatelefonovat	zatelefonovat_:W	V
zatelefonování	zatelefonování_^(*3at)	N
zatelefonovaný	zatelefonovaný_^(*2t)	A


			# Automatic roots for synchron#NC:	synchron asynchron resynchronizac resynchronizač sychronizace desynchronizace
			# Manual roots for synchron#NC:	
synchron	synchron	NC
synchronizovat	synchronizovat_:T_:W	V
resynchronizovat	resynchronizovat_:T_:W	V
resynchronizace	resynchronizace	N
resynchronizační	resynchronizační	A
sesynchronizovat	sesynchronizovat_:W	V
sesynchronizování	sesynchronizování_^(*3at)	N
sesynchronizovaný	sesynchronizovaný_^(*2t)	A
sychronizace	sychronizace	N
synchronisační	synchronisační	A
synchronismus	synchronismus_,s_^(^DD**synchronizmus)	N
synchronistický	synchronistický	A
synchronisticky	synchronisticky_^(*1ý)	D
synchronizace	synchronizace	N
desynchronizace	desynchronizace	N
synchronizační	synchronizační	A
synchronizátor	synchronizátor	N
synchronizování	synchronizování_^(*3at)	N
synchronizovaný	synchronizovaný_^(*2t)	A
synchronizovaně	synchronizovaně_^(*1ý)	D
synchronizovanost	synchronizovanost_^(*3ý)	N
synchronizovatelný	synchronizovatelný_^(*4)	A
synchronizující	synchronizující_^(*5ovat)	A
zasynchronizovat	zasynchronizovat_:W	V
zasynchronizování	zasynchronizování_^(*3at)	N
zasynchronizovaný	zasynchronizovaný_^(*2t)	A
zesynchronizovat	zesynchronizovat_:W	V
zesynchronizování	zesynchronizování_^(*3at)	N
zesynchronizovaný	zesynchronizovaný_^(*2t)	A
synchronní	synchronní	A
synchronicita	synchronicita	N
synchronie	synchronie	N
asynchronie	asynchronie	N
asynchronní	asynchronní	A
asynchronně	asynchronně_^(*1í)	D
asynchronnost	asynchronnost	N
synchronický	synchronický	A
synchronicky	synchronicky_^(*1ý)	D
synchronně	synchronně_^(*1í)	D


			# Automatic roots for frkat#V:	frk pofrkáva pofrkává
			# Manual roots for frkat#V:	
frkat	frkat_:T	V
frkací	frkací_^(*2t)	A
frkačka	frkačka	N
frkačkový	frkačkový	A
frkající	frkající_^(*4t)	A
frkání	frkání_^(*3at)	N
frkaný	frkaný_^(*2t)	A
frk	frk	N
frknout	frknout_:W	V
frknutí	frknutí_^(*3out)	N
frknutý	frknutý_^(*3out)	A
odfrknout	odfrknout_:W	V
odfrkávat	odfrkávat_:T	V
odfrkávající	odfrkávající_^(*4t)	A
odfrkávání	odfrkávání_^(*3at)	N
odfrknutí	odfrknutí_^(*3out)	N
odfrkovat	odfrkovat_:T	V
odfrkování	odfrkování_^(*3at)	N
odfrkující	odfrkující_^(*5ovat)	A
ufrknout	ufrknout_:W	V
ufrknutí	ufrknutí_^(*3out)	N
vyfrknout	vyfrknout_:W	V
vyfrknutí	vyfrknutí_^(*3out)	N
zafrknout	zafrknout_:W	V
zafrknutí	zafrknutí_^(*3out)	N
nafrkat	nafrkat_:W	V
nafrkaný	nafrkaný_^(*2t)	A
pofrkávat	pofrkávat_:T	V
pofrkávající	pofrkávající_^(*4t)	A
