agentománie#N	agent#N	mánie#N
akrylomalba#N	akryl_;R#N	malba#N
aktinodermatitida_;U#N	aktin#N	dermatitida#N
aktinometrie#N	aktin#N	metrie#N
aktinomykóza#N	aktin#N	mykóza#N
!aluminosilikát_;H#N	alumina#N	silikát#N # spis aluminium
!aluminotermický#A	alumina#N	termický#A
!arciopat#N	arci_,s#D	pat#N
!ateroskleróza#N	ater_;L_,t#A	skleróza#N
austroasijský#A	austro#A	asijský#A
austromarxizmus#N	austro#A	marxizmus#N
austroněmecký#A	austro#A	německý#A
austroslavizmus#N	austro#A	slavizmus#N
azbestocement#N	azbest#N	cement#N
baletománie#N	balet#N	mánie#N
bifidobakterie#N	bifida_;L_,t#A	bakterie#N
!bikolaterální#A	bika_;L_^(rostlina)#N	laterální#A
bilirubinometr#N	bilirubin#N	metr#N
bratrovrah#N	bratr#N	vrah#N
bratrovražda#N	bratr#N	vražda#N
burčákochtivý#A	burčák#N	chtivý#A
ceroplastika_;u#N	cera_^(vosk)#N	plastika#N
chyboražba#N	chyba#N	ražba#N
cizojazyčný#A	cizí#A	jazyčný#A
cizosprášení#N	cizí#A	sprášení#N
cizovláda#N	cizí#A	vláda#N
cylindrokónický#A	cylindr#N	kónický#A
cystopyelitida_;U#N	cysta#N	pyelitida_;U#N
daktylogram#N	daktyl#N	gram#N
!darmojed#N	darmo#D	jed#N
denzitometrie#N	denzita#N	metrie#N
dermoplastický#A	dermo#A	plastický#A
dermorespirační#A	dermo#A	respirační#A
dietoterapie#N	dieta#N	terapie#N
dimethylaminobenzaldehyd#N	dimethylamin_,s_^(^DD**dimetylamin)#N	benzaldehyd#N
dlanitodílný#A	dlanitý#A	dílný#A
dlanitosečný#A	dlanitý#A	sečný#A
draselnohlinitý#A	draselný#A	hlinitý#A
draselnoželezitý#A	draselný#A	železitý#A
dynamoelektrický#A	dynamo#N	elektrický#A
dynamometr_;g#N	dynamo#N	metr#N
dynamometrický#A	dynamo#N	metrický#A
dálkoplavec#N	dálka#N	plavec#N
dálkoplaz_,h#N	dálka#N	plaz#N
dělostřelba#N	dělo#N	střelba#N
dělostřelec#N	dělo#N	střelec#N
dřevobraní#N	dřevo#N	braní_^(*3át)#N
dřevodeska#N	dřevo#N	deska#N
dřevodílna#N	dřevo#N	dílna#N
dřevodělný#A	dřevo#N	dělný#A
dřevohlinitý#A	dřevo#N	hlinitý#A
dřevohliněný#A	dřevo#N	hliněný#A
dřevohra#N	dřevo#N	hra_^(dětská;_v_divadle;...)#N
dřevokaz#N	dřevo#N	kaz#N
dřevoklání#N	dřevo#N	klání-1_^(*4t-1)#N
dřevokresba#N	dřevo#N	kresba#N
dřevolátka#N	dřevo#N	látka#N
dřevomalba#N	dřevo#N	malba#N
dřevomateriál#N	dřevo#N	materiál#N
dřevoplyn#N	dřevo#N	plyn#N
dřevoprůmysl#N	dřevo#N	průmysl#N
dřevorytectví#N	dřevo#N	rytectví#N
dřevosklad#N	dřevo#N	sklad#N
dřevostavba#N	dřevo#N	stavba#N
dřevostavitel#N	dřevo#N	stavitel#N
dřevotisk_,a#N	dřevo#N	tisk#N
dřevotříska#N	dřevo#N	tříska#N
dřevouhelný#A	dřevo#N	uhelný#A
dřevovláknitý#A	dřevo#N	vláknitý#A
dřevozpracující#A	dřevo#N	zpracující#A
dřevořez#N	dřevo#N	řez#N
dřevořezba#N	dřevo#N	řezba#N
dřevořezbářství#N	dřevo#N	řezbářství#N
dřevořezání#N	dřevo#N	řezání_^(*3at)#N
dřevoštěpka#N	dřevo#N	štěpka#N
dřevožravý#A	dřevo#N	žravý#A
!elastometr#N	elast#N	metr#N
!elastoplasticita#N	elast#N	plasticita#N
elipsometr_;g#N	elipsa#N	metr#N
embryogeneze#N	embryo#N	geneze#N
embryotransfer#N	embryo#N	transfer#N
enzymoterapie#N	enzym#N	terapie#N
eventostratigrafie_;L#N	event#N	stratigrafie#N
!feratogen#N	ferata_;w_,t_^(ferrata_-_zajištěná_cesta_v_horách)#N	gen#N
fibrinogen#N	fibrin#N	gen#N
fibrinolyzin_;H#N	fibrin#N	lyzin_;H_,s_^(^DD**lyzín)#N
filmotéka#N	film#N	téka#N
filtroventilace#N	filtr#N	ventilace#N
gametogeneze#N	gameta#N	geneze#N
genotyp#N	gen#N	typ#N
granitotrachytický#A	granit#N	trachytický#A
granulometrie#N	granula#N	metrie#N
hlenohnisavý#A	hlen#N	hnisavý#A
hlinitoberylnatý#A	hlinitý#A	berylnatý#A
hlinitodraselný#A	hlinitý#A	draselný#A
hlinitokřemičitan_;H#N	hlinitý#A	křemičitan#N
hlinitopísčitý#A	hlinitý#A	písčitý#A
hlinitovápenatý#A	hlinitý#A	vápenatý#A
hymnograf_,s#N	hymna#N	graf#N
!hyperlinkování#N	hyperlink_;c_,t#N	vání_^(*2t)#N
infobudka_,h#N	info#N	budka#N
infocentrum-1#N	info#N	centrum#N
infodálnice#N	info#N	dálnice#N
infografický#A	info#N	grafický#A
infokancelář#N	info#N	kancelář#N
infokanál#N	info#N	kanál#N
infolinka#N	info#N	linka#N
infopanel#N	info#N	panel#N
infoservis-1#N	info#N	servis#N
infostánek#N	info#N	stánek#N
!introflexe#N	intra#A	flexe#N
!intropunitivita_;U#N	intra#A	punitivita#N
!introverze#N	intra#A	verze#N
inzulinorezistence#N	inzulin_,s_^(^DD**inzulín)#N	rezistence#N
!jazykovitý#A	jazyk#N	vitý_^(*3ít)#A
jazykověda#N	jazyk#N	věda#N
jazykozpyt#N	jazyk#N	zpyt_,a#N
jedinovláda#N	jediný#A	vláda#N
!jednobarevný#A	jedno#D	barevný#A
!jednobuněčný#A	jedno#D	buněčný#A
!jednocestný#A	jedno#D	cestný_^(týkající_se_cesty)#A
!jednociferný#A	jedno#D	ciferný#A
!jednocyklický#A	jedno#D	cyklický#A
