aklamovat	lamovat
anualizovat	lizovat
avalovat	valovat
biopodnikat	nikat
blamovat	lamovat
chaptalizovat	lizovat
chlamstat	stat
chlastat	stat
chlemstat	stat
chlístat	stat
chramstat	stat
chroustat	stat
chřoustat	stat
chrstat	stat
chvástat	stat
chystat	stat
čnít	nít
čumět	mět
dekapovat	kapovat
deklamovat	lamovat
desensibilizovat	lizovat
dnít	nít
+dobělovat	bělovat
+dobíhat	bíhat
+dobuzovat	buzovat
dohodnout	hodnout
+domílat	mílat
+domírat	mírat
+domrazovat	mrazovat
+dopřesnit	přesnit
dostat	stat
+dostřeďovat	střeďovat
+dosychat	sychat
+dosýchat	sýchat
+dotláčet	tláčet
+dovářet	vářet
+dožebračit	žebračit
dřevoobrábět	rábět
egalizovat	lizovat
emanovat	manovat
exhalovat	halovat
fabulizovat	lizovat
galvanovat	vanovat
gratulovat	tulovat
hejčkat	čkat
hnít	nít
honosit	osit
hýčkat	čkat
inhalovat	halovat
inovovat	novovat
instalovat	stalovat
involovat	volovat
isolovat	solovat
kaučovat	učovat
klábosit	osit
klohnit	ohnit
komparovat	parovat
kopulovat	pulovat
kovoobrábět	rábět
kročit	ročit
křoustat	stat
mačkat	čkat
manažovat	nažovat
manipulovat	pulovat
+nabízet	bízet
načuhovat	čuhovat
+nadbíhat	bíhat
+nadeběhnout	běhnout
+nadlábnout	dlábnout
+nadstřešit	střešit
nakolejit	kolejit
nakročit	ročit
+nakvartýrovat	kvartýrovat
+nalepšovat	lepšovat
+namíchnout	míchnout
namítat	mítat
+namokat	mokat
+namrzat	mrzat
napomínat	pomínat
+napřahat	přahat
+naskladnit	skladnit
+nastehnout	stehnout
+nastýlat	stýlat
+natěsňovat	těsňovat
nauhličit	uhličit
+navářet	vářet
navnímat	nímat
+navolňovat	volňovat
nivelizovat	lizovat
nízkovyzařovat	zařovat
+obelstít	lstít
+obemílat	mílat
+obhlížet	hlížet
+obíhat	bíhat
obkližovat	kližovat
obkročit	ročit
+oblbit	blbit
+obmýšlet	mýšlet
+ochládat	chládat
+ochlupit	chlupit
ochomítat	mítat
ochromit	hromit
octnout	ctnout
+odbíhat	bíhat
+odblanit	blanit
+odbožštit	božštit
odbuzovat	buzovat
+odchlupit	chlupit
+odcukernit	cukernit
oddvojmocňovat	mocňovat
+odebíhat	bíhat
+odestýlat	stýlat
+odhlížet	hlížet
+odhmotnit	hmotnit
odhmyzit	hmyzit
odhušťovat	hušťovat
odkysličit	kysličit
+odlednit	lednit
+odlidnit	lidnit
+odlidštit	lidštit
+odměšovat	měšovat
+odmítat	mítat
odmlkat	mlkat
odnáboženštit	ženštit
+odnárodnit	národnit
+odnožit	nožit
odolat	dolat
+odpínat	pínat
+odplynit	plynit
odpočívat	počívat
+odpopelňovat	popelňovat
+odpřahat	přahat
odročit	ročit
odsouvnout	souvnout
+odtělesnit	tělesnit
odtrojmocňovat	mocňovat
+odtučnit	tučnit
+oduševnit	duševnit
+odvláknit	vláknit
oháknout	háknout
+ohospodařovat	hospodařovat
ohrubovat	rubovat
okusit	kusit
okysličit	kysličit
omítat	mítat
+omrzat	mrzat
onikat	nikat
opláknout	pláknout
oplavovat	plavovat
opomínat	pomínat
+opuchat	puchat
opylit	pylit
osamět	samět
ostat	stat
+ostřikovat	střikovat
ostýchat	stýchat
+osychat	sychat
+osýchat	sýchat
otápět	tápět
ovadat	vadat
oždibovat	ždibovat
+ožebračit	žebračit
ozřejmět	mět
ozvláštnit	zvláštnit
ožvykovat	žvykovat
paralizovat	lizovat
peronalizovat	lizovat
pinožit	nožit
plizovat	lizovat
pnít	nít
+pobízet	bízet
pochylovat	chylovat
+podbíhat	bíhat
+podbízet	bízet
+podeběhnout	běhnout
+podemílat	mílat
+podestýlat	stýlat
podlétávat	távat
podměřovat	měřovat
+podmílat	mílat
podnikat	nikat
podpínat	pínat
podpořit	pořit
+podsklepit	sklepit
pohodnout	hodnout
pohřbít	hřbít
poitalštit	italštit
+pojíždět	jíždět
pokatoličit	katoličit
pokatoličtit	katoličtit
pokusit	kusit
+polidštit	lidštit
polouklidnit	lidnit
polykat	lykat
pomět	mět
pomnít	nít
+pomoučnit	moučnit
poohlížet	hlížet
+popobíhat	bíhat
+popolštit	polštit
+pořečtit	řečtit
porozhlížet	hlížet
+poruštit	ruštit
+pošpanělštit	španělštit
pošpatnit	špatnit
postáčet	táčet
poštívat	štívat
postulovat	tulovat
+postýlat	stýlat
posvětštit	světštit
potatit	tatit
potěrat	těrat
povadat	vadat
póvlizovat	lizovat
pozapomínat	pomínat
pozemštit	zemštit
+poženštit	ženštit
+požidovštit	židovštit
požvykovat	žvykovat
+přebíhat	bíhat
přečíslit	číslit
přecitlivět	citlivět
přečkat	čkat
+předeběhnout	běhnout
+předebíhat	bíhat
předhlašovat	hlašovat
předpínat	pínat
předpírat	pírat
předrůstat	stat
předslovovat	lovovat
předtavovat	tavovat
+předvářet	vářet
předzavádět	vádět
překacovat	kacovat
překvašovat	kvašovat
překysličit	kysličit
+přelidnit	lidnit
+přemílat	mílat
přemítat	mítat
preparovat	parovat
+přepichovat	pichovat
přepírat	pírat
přepodstatnit	podstatnit
+přepřahat	přahat
přeřizovat	řizovat
+přerybňovat	rybňovat
+přeskladnit	skladnit
přespořit	pořit
+přestýlat	stýlat
+přesychat	sychat
+přesýchat	sýchat
prevalovat	valovat
+převářet	vářet
+přezatmívat	tmívat
přezvěřit	zvěřit
+přibíhat	bíhat
+přichlazovat	chlazovat
přidlužovat	dlužovat
přifařit	fařit
přikročit	ročit
přikukovat	kukovat
přimačkat	čkat
přimět	mět
+přimílat	mílat
+přimrzat	mrzat
připařovat	pařovat
připodobnit	podobnit
připomínat	pomínat
+připřahat	přahat
přisouvnout	souvnout
+přistehnout	stehnout
přistřelovat	střelovat
+přisychat	sychat
+přisýchat	sýchat
přitělovat	tělovat
přituhat	tuhat
přivstat	vstat
+probíhat	bíhat
+prochládat	chládat
produševnit	duševnit
proklamovat	lamovat
prokysličit	kysličit
promílat	mílat
promítat	mítat
+promrazovat	mrazovat
+promrzat	mrzat
pronikat	nikat
+proplynit	plynit
+prořeďovat	řeďovat
prosit	osit
+prosychat	sychat
+prosýchat	sýchat
protěžovat	těžovat
provázet	vázet
recidivovat	divovat
reklamovat	lamovat
renovovat	novovat
reparovat	parovat
+rozbíhat	bíhat
rozcitlivět	citlivět
rozcitlivit	citlivit
rozdírat	dírat
+rozebíhat	bíhat
+rozemílat	mílat
+rozesychat	sychat
rozesýchat	sýchat
rozevzpomínat	pomínat
rozhodnout	hodnout
+rozklápět	klápět
rozkročit	ročit
