být	V
mít	V
moci	V
tak	D
rok	N
už	D
jak	D
člověk	N
muset	V
velký	A
chtít	V
říci	V
pak	D
ještě	D
jít	V
vědět	V
také	D
stát	V
nový	A
celý	A
jiný	A
dobrý	A
kde	D
tam	D
dát	V
den	N
doba	N
dítě	N
vidět	V
začít	V
místo	N
malý	A
ruka	N
kdy	D
teď	D
dostat	V
myslet	V
práce	N
svět	N
strana	N
vysoký	A
čas	N
dělat	V
žena	N
muž	N
třeba	D
hlava	N
velmi	D
oko	N
město	N
starý	A
cesta	N
právě	D
tu	D
dům	N
proto	D
věc	N
voda	N
již	D
brzy	D
část	N
chvíle	N
systém	N
proč	D
hodina	N
tady	D
lze	V
nechat	V
problém	N
cena	N
rád	A
řada	N
škola	N
konec	N
hrát	V
firma	N
mladý	A
různý	A
čekat	V
mluvit	V
dlouhý	A
jediný	A
vrátit	V
zase	D
vypadat	V
koruna	N
vzít	V
patřit	V
dveře	N
vést	V
moc	D
oblast	N
potřebovat	V
stejný	A
pozdě	D
milión	N
žít	V
znát	V
tělo	N
stát	N
kniha	N
skupina	N
znovu	D
navíc	D
cítit	V
otec	N
ostatní	A
měsíc	N
především	D
získat	V
matka	N
jednou	D
hned	D
dále	D
jméno	N
projekt	N
znamenat	V
zde	D
auto	N
příliš	D
slyšet	V
nyní	D
co	D
téměř	D
noc	N
síla	N
dost	D
noha	N
program	N
sice	D
rozhodnout	V
hlas	N
film	N
minuta	N
pořád	D
přitom	D
pravda	N
existovat	V
vždy	D
sedět	V
přímo	D
druh	N
jistý	A
stačit	V
potom	D
bílý	A
tehdy	D
plný	A
špatný	A
procento	N
zdát	V
ulice	N
typ	N
černý	A
okno	N
směr	N
zatím	D
platit	V
otevřít	V
spolu	D
stůl	N
opět	D
pán	N
tým	N
trh	N
kraj	N
jednat	V
pan	N
těžký	A
zápas	N
psát	V
držet	V
jet	V
nízký	A
hledat	V
válka	N
cíl	N
dívat	V
pokoj	N
osoba	N
barva	N
základ	N
působit	V
číslo	N
role	N
zdroj	N
nabízet	V
energie	N
krok	N
sociální	A
metr	N
kolo	N
centrum	N
člen	N
kam	D
akce	N
obraz	N
forma	N
mnohem	D
přítel	N
obec	N
proces	N
skoro	D
trvat	V
syn	N
materiál	N
poté	D
vlas	N
sem	D
bůh	N
tvořit	V
model	N
věnovat	V
srdce	N
autor	N
láska	N
dílo	N
strom	N
rád	D
příběh	N
společný	A
klub	N
