benefit_N	>	phantom:bene + phantom:fit
bicykl_N	>	phantom:bi + cyklus
desktop_N	>	phantom:desk + phantom:top
dezinfekce_N	>	phantom:dez + phantom:infekce
difuze_N	>	phantom:di + fúze
diskurs_N	>	phantom:dis + phantom:kurs
fenotyp_N	>	phantom:feno + typ
florbal_N	>	flor + phantom:bal
kolemjdoucí_A	>	kolem_  + phantom:jdoucí
konkrece_N	>	phantom:kon + phantom:krece
konstruovat_V	>	phantom:kon + phantom:struovat
laptop_N	>	phantom:lap + phantom:top
manikúra_N	>	phantom:mani + kúra
online_D	>	phantom:on + phantom:line
paradigma_N	>	phantom:para + phantom:digma
parafráze_N	>	phantom:para + fráze
paralyzovat_V	>	phantom:para + lyzovat
privilegium_N	>	phantom:priv + phantom:leg
pseudonym_N	>	phantom:pseudo + phantom:nym
sebelítost_N	>	phantom:sebe + lítost
tempomat_N	>	tempo + phantom:mat
