archiv	archív_N
báj	báje_N
balkon	balkón_N
bída	běda_N
cítit	cejtit_V
chrom	chróm_N
citrón	citron_N
čůrat	čurat_V
dál	dále_D
gymnázium	gympl_N
hned	ihned_D
jatky	jatka_N
jatka	jatky_N
jód	jod_N
kde	kdes_D
kupole	kopule_N
krompáč	krumpáč_N
kopule	kupole_N
kupon	kupón_N
zpět	nazpět_D
neandrtálec	neandertálec_N
neandertálec	neandrtálec_N
okurek	okurka_N
orgazmus	orgasmus_N
orgasmus	orgazmus_N
ozon	ozón_N
pilot_Nmi	pilota_N
policista	polda_N
resonovat	rezonovat_V
struha	strouha_N
tampón	tampon_N
tedy	teda_D
tůň	tůně_N
zase	zas_D
zpátky	zpět_D
acetylcholin	acetylcholín_N
acetylen	acetylén_N
acylpirin	acylpyrin_N
afrodisiakum	afrodiziakum_N
ajatolláh	ájatolláh_N
akvárium	akvarium_N
alterovat	alternovat_V
alternovat	alterovat_V
amalgám	amalgam_N
amalgam	amalgám_N
ambrózie	ambrozie_N
ambrozie	ambrózie_N
angličtina	anglina_N
antrax	anthrax_N
upgradovat	apgrejdovat_V
apalačský	appalačský_A
aron	áron_N
arsenal	arsenál_N
arterie	artérie_N
artikule	artikul_N
artikul	artikule_N
arzen	arzén_N
azbest	asbest_N
asparagus	asparágus_N
ášram	ašram_N
ašram	ášram_N
astma	asthma_N
avatár	avatar_N
avatar	avatár_N
avízo	avizo_N
avizo	avízo_N
axioma	axióm_N
axióm	axioma_N
bakterie	baktérie_N
balza	balsa_N
balsamiko	balzamiko_N
bárbína	barbína_N
barbína	bárbína_N
bastión	bastion_N
batalión	batalion_N
batalion	batalión_N
baťůžkář	batůžkář_N
beduín	beduin_N
behavioralismus	behavioralizmus_N
behaviorismus	behaviorizmus_N
býčí	bejčí_A
belvedér	belveder_N
belveder	belvedér_N
benediktýn	benediktin_N
benediktin	benediktýn_N
bergenie	bergénie_N
Bertram	bertrám_N
bizon	bison_N
blýskat	blejskat_V
bolívar	bolivar_N
bolivar	bolívar_N
bonzaj	bonsaj_N
borelióza	borrelióza_N
brko	brk_N
brom	bróm_N
brynza	bryndza_N
bryndza	brynza_N
bujon	bujón_N
bulit	bulet_V
búr	bůr_N
búro	bůro_N
buržoazní	buržoa_N
buržoazní	buržoust_N
buržoazní	buržuj_N
buzola	busola_N
buvolí	bůvolí_A
bytnit	bytnět_V
čabraka	čabrak_N
čabrak	čabraka_N
čekan	čekana_N
cézar	césar_N
čevapčiči	čevabčiči_N
čevabčiči	čevapčiči_N
césar	cézar_N
čézeta	čezeta_N
čezeta	čézeta_N
cesium	cezium_N
chabrus	chabrus_N
chameleon	chameleón_N
charisma	charizma_N
chichotat	chichtat_V
chlemstat	chlemtat_V
chomáč	chumáč_N
čís	číš_N
citron	citrón_N
čich	čmuch_N
čichat	čmuchat_V
tsunami	cunami_N
čůza	čúza_N
čúza	čůza_N
cyklóna	cyklón_N
cyklon	cyklona_N
debl+kanoe	deblkanoe_N
dělbuch	dělobuch_N
deset	desátka_N
děvče	děvucha_N
difúzní	difusní_A
difuze	difúze_N
difuzer	difuzér_N
difuzionismus	difuzionizmus_N
difuzní	difúzní_A
dlouhý	dlouhatý_A
dnes	dnesky_D
dokud	dokavad_D
dolézat	dolejzat_V
doléhat	dolíhat_V
dolétnout	dolítnout_V
dóm	dom_N
domýšlet	domejšlet_V
don+Juan	donchuán_N
don+Juan	donšajn_N
doping	dopink_N
doposavad	dosavad_D
dloubat	ďoubat_V
drakobijce	drakobijec_N
Ekvádor	ecuador_N
epsilon	epsilón_N
ezoterik	esoterik_N
ezoterika	esoterika_N
eten	ethen_N
exkurz	exkurs_N
explozívní	explozivní_A
feturs	fétus_N
forčekking	forčeking_N
frizúra	frizura_N
glorie	gloria_N
gramofon	gramec_N
impulzivní	impulsivní_A
impulsivnost	impulzivnost_N
inzerci	inserce_N
kdepak	kdepák_D
kolébat	kolíbat_V
konsolidace	konzolidace_N
konsorcium	konzorcium_N
kotleta	kotlet_N
kytara	kytára_N
limit	limita_N
lechtat	lochtat_V
lupenka	lupénka_N
makronka	makrónka_N
matka	mamča_N
manikúra	manikůra_N
mannitol	manitol_N
masiv	masív_N
manažérie	menažerie_N
minimalismus	minimalizmus_N
mleč	mléč_N
mlýn	mlejn_N
motorismus	motorizmus_N
nadále	nadál_D
naděje	naděj_N
naftalín	naftalen_N
nějak	ňák_D
nákupčí	nákupčí_N
nalívat	nalejvat_V
offroad	off-road_A
okál	okal_N
pankejt	pangejt_N
pastiňák	pastinák_N
písárna	písárna_N
platýz	platejs_N
prozodie	prozódie_N
razantní	rasantní_A
revmatizmus	revmatismus_N
rozbíhat	rozebíhat_V
šách	šáh_N
scénář	scenáristika_N
scénář	scénáristika_N
sednice	seknice_N
sršeň	sršáň_N
stříhat	střihat_V
teze	téze_N
univerzitní	universitní_A
zabrzděný	zabržděný_A
zápraží	zápraž_N
