plyn	N	10081	ply n	plyn	
příjemný	A	16911	příjemný	pří jem n ý	
derby	N	1703	derby	derby	
dvoutýdenní	A	140	dvoutýdenní	dvou týden n í	
letiště	N	5608	let iště	let išt ě	
částice	N	6228	část ice	část ic e	
špatně	D	14140	špatně	špatn ě	
náboženský	A	4963	ná bož enský	ná bož enský	
severní	A	8834	severní	sever n í	
porúří	N	58	porúří	po rúř í	
příprava	N	13885	pří prav a	pří prav a	
učebna	N	718	uč ebna	uč ebn a	
strategie	N	6372	strategie	strategie	
kateřina	N	3777	kateřina	kateřina	
tisíc	N	39944	tisíc	tisíc	
motiv	N	5675	motiv	motiv	
přímý	A	11944	přím ý	přím ý	
dům	N	64372	dům	dům	
němeček	N	438	němeček	němeč ek	
dokonale	D	5921	do kon ale	do kon al e	
akvarijní	A	128	akvarijní	akvarij n í	
jméno	N	36437	jmén o	jmén o	
vytahaný	A	192	vy tah aný	vy tah a n ý	
daň	N	8986	daň	daň	
do	A	681427	do	do	???
roman	N	4298	roman	roman	
součást	N	19980	sou část	sou část	
pohromadě	D	1810	po hromad ě	po hromad ě	
kariéra	N	8240	kariéra	kariéra	
lokální	A	3350	lok ální	lok ální	
zpracování	N	6057	z prac ování	z prac ová n í	
akorát	D	2827	akorát	akorát	
obvod	N	7297	obvod	ob vod	
suchý	A	6956	such ý	such ý	
praxe	N	11058	praxe	praxe	
ostrov	N	10357	ostrov	ostrov	
následovník	N	584	ná sled ovník	ná sled ov ník	
nevěra	N	1042	nevěra	ne věr a	
pan	N	27314	pan	pan	
souhvězdí	N	517	sou hvězd í	sou hvězd í	
zákoník	N	3293	zákoník	zá kon ík	
objektiv	N	1652	objektiv	objekt iv	
spolek	N	3923	spolek	spol ek	
zefektivnit	V	244	zefektivnit	z efekt iv n i t	
jedinec	N	8105	jedinec	jedin ec	
polibek	N	2293	po lib ek	po lib ek	
medici	N	47	medici	medici	???
neblahý	A	846	ne blah ý	ne blah ý	
reálný	A	7601	reál ný	reál n ý	
smysl	N	24205	s mysl	s mysl	
plocha	N	18035	ploch a	ploch a	
nadšení	N	4098	na dš ení	na dš en í	
petra	N	3720	petra	petra	
protokol	N	2281	protokol	protokol	
jízdenka	N	1479	jízd enka	jízd en ka	
zdroj	N	23959	zdroj	zdroj	
jednotně	D	231	jednotně	jedn ot n ě	
myš	N	3550	myš	myš	
průtrž	N	204	průtrž	prů trž	
poradna	N	1156	po rad na	po rad n a	
vzdálený	A	7861	vzdálený	vz dál en ý	
mouka	N	3159	mouka	mouk a	
léto	N	13090	lét o	lét o	
harper	N	149	harper	harper	
bible	N	1865	bible	bibl e	
sladký	N	4871	slad ký	slad k ý	
ben	N	2382	ben	ben	
včela	N	3788	včel a	včel a	
zločin	N	4600	zločin	zlo čin	
stavební	A	12383	sta vební	sta veb n í	
nápadný	A	3956	ná pad ný	ná pad n ý	
pán	N	28318	pán	pán	
dolar	N	11591	dolar	dolar	
vězení	N	7263	věz ení	věz en í	
plastový	A	3867	plastový	plast ov ý	
budějovický	A	528	budějovický	buděj ov ic k ý	
skutečnost	N	24086	skuteč nost	skuteč n ost	
slon	N	1655	slon	slon	
struktura	N	11643	struktur a	struktur a	
hned	D	36849	hned	hned	
turné	N	1374	turné	turné	
gryphus	A	2	gryphus	gryphus	
dole	D	5893	dole	dol e	
kancelář	N	12103	kancelář	kancelář	
včetně	D	18939	včetně	v čet n ě	
jiskra	N	1533	jiskr a	jiskr a	
sníh	N	9292	sníh	sníh	
stejný	A	41501	stejný	stejn ý	
poslední	A	70095	po sled ní	po sled n í	
matka	N	37123	matka	matk a	
nadační	A	485	nadační	nadač n í	
přítomnost	N	9043	přítomnost	pří tom n ost	
osvětlený	A	1439	o svět lený	o svět l en ý	??? svět nebo světl
proudový	A	1106	proudový	proud ov ý	
turbodmychadlo	N	216	turbodmychadlo	turbo dmych adl o	
pravý	A	18901	prav ý	prav ý	
prezident	N	18889	prezident	prezident	
etnický	A	1145	etnický	etnick ý	
připomínající	A	2086	připomínající	při po mín aj íc í	
prostý	A	5544	prostý	prost ý	
nájem	N	1671	ná jem	ná jem	
turmalín	N	145	turmalín	turmalín	
zahraniční	A	9553	za hran iční	za hran ič n í	
vyspělý	A	2220	vy spě lý	vy spě l ý	
krokodýl	N	882	krokodýl	krokodýl	
nedopalek	N	309	nedopalek	ne do pal ek	
záda	N	15797	zád a	zád a	
lágrový	A	40	lágrový	lágr ov ý	
akcie	N	4168	akcie	akcie	
běžně	D	4418	běž ně	běž ně	
kolový	A	159	kol ový	kol ov ý	
okolnost	N	8177	o kol nost	o kol n ost	
prostě	D	27669	prostě	prost ě	
intelektuální	A	1618	intelekt uální	intelekt uál n í	
levý	A	8582	lev ý	lev ý	
detail	N	6920	detail	detail	
ocelový	A	3634	ocel ový	ocel ov ý	
stále	D	50861	stá le	stá l e	
dovednost	N	3358	do ved nost	do ved n ost	
venkovan	N	414	ven kovan	ven k ov an	
postavený	A	3641	po sta vený	po sta v en ý	
miloš	N	4454	miloš	miloš	
desítka	N	13207	desítka	desít ka	
cestička	N	1210	cest ička	cest ič k a	
smrt	N	28834	s mr t	s mr t	
politika	N	16192	politik a	politik a	
zrovna	D	16615	zrovna	z rovn a	
výkop	N	566	vý kop	vý kop	
úderný	A	232	úder ný	úder n ý	
saab	N	292	saab	saab	
nyní	D	34570	nyní	nyní	
cigareta	N	6506	cigareta	cigaret a	
vzkaz	N	3168	vz kaz	vz kaz	
pneumatika	N	2745	pneumatika	pneumatik a	
všudy	D	604	všudy	všud y	
herní	A	2337	her ní	her n í	
tušení	N	2281	tuš ení	tuš en í	
stěžovatel	N	150	stěž ovatel	stěž ova tel	
tenký	A	5851	ten ký	ten k ý	??? kořen tenk?
strategický	A	2468	strategický	strateg ic k ý	
čecho	N	3673	čecho	čecho	???
rok	N	358356	rok	rok	
aktivní	A	8339	aktiv ní	akt iv n í	
těleso	N	4406	těl eso	těl es o	
stupeň	N	13023	stup eň	stup eň	
oděv	N	2594	o dě v	o dě v	???
slávistický	A	336	slávistický	sláv ist ic k ý	
dopravní	A	10358	do prav ní	do prav ní	
žárovka	N	1901	žárovka	žár ov k a	
perla	N	1607	perl a	perl a	
matika	N	171	matika	matik a	
spojený	A	14269	s poj ený	s poj en ý	
koneček	N	685	koneč ek	koneč ek	
kotník	N	2003	kotník	kotník	
konflikt	N	5005	konflikt	konflikt	
málo	N	48101	málo	mál o	
anthony	N	501	anthony	anthony	
parfém	N	1188	parfém	parfém	
pocit	N	29591	po cit	po cit	
automobilka	N	2256	automobilka	automobil ka	
občasný	A	1478	ob čas ný	ob čas n ý	
ojedinělý	A	1921	ojedinělý	o jedin ěl ý	
vyšetřování	N	3789	vy šetř ování	vy šetř ov án í	
domluvený	A	668	do mluv ený	do mluv en ý	
benzín	N	2048	benzín	benzín	
volný	A	15269	vol ný	vol ný	
telegram	N	551	telegram	telegram	
odpolední	A	1750	odpolední	od pol e dn í	
záření	N	4251	zář ení	zář en í	
rozšíření	N	5215	roz šíř ení	roz šíř en í	
prostředí	N	26011	pro střed í	pro střed í	
hnízdo	N	2674	hnízd o	hnízd o	
technologický	A	3553	technologický	technolog ick ý	
ilustrovaný	A	225	ilustr ovaný	ilustr ov an ý	
porod	N	3331	po rod	po rod	
pokoj	N	25658	pokoj	pokoj	
germanistika	N	48	germanistika	german ist ik a	
střižna	N	115	střiž na	střiž na	
ella	N	710	ella	ella	
šikovný	A	2392	šikovný	šik ov n ý	
jasno	D	2663	jas no	jas n o	
ocel	N	2418	ocel	ocel	
nárok	N	7014	ná rok	ná rok	
akce	N	23052	akc e	akc e	
nasvícení	N	125	na svíc ení	na svíc en í	
ruština	N	577	ruš tina	ruš tin a	
železárna	N	309	želez árna	želez árn a	
útulný	A	801	útulný	ú tul n ý	
podstatný	A	7589	podstatný	pod stat n ý	
nikdy	D	60965	nikdy	nikdy	
zřejmě	D	21004	zř ejmě	zř ejm ě	
maloměšťácký	A	58	maloměšťácký	mal o měšť áck ý	
záhadný	A	1837	zá had ný	zá had ný	
