léčba	BATCH-2	N	léč b a	
chodba	BATCH-2	N	chod ba	
potřeba	BATCH-2	N	po třeb a	
třeba	BATCH-2	D	třeba	
palba	BATCH-2	N	pal ba	
bomba	BATCH-2	N	bomb a	
nádoba	BATCH-2	N	nádoba	???
doba	BATCH-2	N	dob a	
choroba	BATCH-2	N	chor ob a	
stavba	BATCH-2	N	sta vba	???
služba	BATCH-2	N	služ ba	
olympiáda	BATCH-2	N	olympiáda	
nálada	BATCH-2	N	ná lad a	
rada	BATCH-2	N	rada	
řada	BATCH-2	N	řad a	
záda	BATCH-2	N	zád a	
středa	BATCH-2	N	střed a	
věda	BATCH-2	N	věd a	
rejda	BATCH-2	N	rejd a	
amanda	BATCH-2	N	amanda	
Dynda	BATCH-1		Dynd a
miliarda	BATCH-2	N	miliard a	
drda	BATCH-2	N	drda	
buda	BATCH-2	N	buda	
pravda	BATCH-2	N	prav da	
vražda	BATCH-2	N	vražd a	
hvězda	BATCH-2	N	hvězd a	
jízda	BATCH-2	N	jízd a	
praha	BATCH-2	N	praha	
plocha	BATCH-2	N	ploch a	
kniha	BATCH-2	N	knih a	
Pedicia	BATCH-1		Pedici a
georgia	BATCH-2	N	georgia	
Bania	BATCH-1		Bani a
Swietenia	BATCH-1		Swieteni a
slavia	BATCH-2	N	slavia	
faja	BATCH-2	N	faja	??? slovensky?
rossija	BATCH-2	N	rossija	???
sonja	BATCH-2	N	sonja	
čubka	BATCH-2	N	čub ka	
dojačka	BATCH-1		doj ač k a
zatáčka	BATCH-2	N	za táč ka	
Dyjička	BATCH-1		Dyj ičk a
odmalička	BATCH-2	D	od mal ičk a	
mandlička	BATCH-2	N	mandl ičk a	
Štiavnička	BATCH-1		Štiav n i čk a
šperkovnička	BATCH-1		šperk ovnič k a
cestička	BATCH-2	N	cest ič k a	
lavička	BATCH-2	N	lavič ka	
družička	BATCH-2	N	druž ičk a	
hromádka	BATCH-2	N	hromád ka	
přehlídka	BATCH-2	N	pře hlíd k a	
prohlídka	BATCH-2	N	pro hlíd ka	
zdaleka	BATCH-2	D	z dal ek a	
technika	BATCH-2	N	techn ika	
monika	BATCH-2	N	monika	
afrika	BATCH-2	N	afrika	
matika	BATCH-2	N	matik a	
pneumatika	BATCH-2	N	pneumatik a	
politika	BATCH-2	N	politik a	
germanistika	BATCH-2	N	german ist ik a	
kořalka	BATCH-2	N	kořalka	???
spisovatelka	BATCH-2	N	s pis ovatelka	???
manželka	BATCH-2	N	manžel ka	??? vtipny, presmycka
automobilka	BATCH-2	N	automobil ka	
medulka	BATCH-1		medul k a
půlka	BATCH-2	N	půl k a	
tačanka	BATCH-1		tačank a
Bystričanka	BATCH-1		Bystr ič an k a
