
"+sto_" (309)
stopětadvacítka	stostopětadvacítka
sedmadvacetidílný	stosedmadvacetidílný
sedmdesátimiliónový	stosedmdesátimiliónový
sedmdesátimilionový	stosedmdesátimilionový
sedmdesátimiliardový	stosedmdesátimiliardový
sedmdesátikilometrový	stosedmdesátikilometrový
sedmdesáticentimetrový	stosedmdesáticentimetrový
sedmdesátimetrový	stosedmdesátimetrový
šedesátimilimetrový	stošedesátimilimetrový
dvacetimilimetrový	stodvacetimilimetrový
sedmdesátikilogramový	stosedmdesátikilogramový
třicetipětimilionový	stotřicetipětimilionový
šedesátikilometrový	stošedesátikilometrový
sedmdesátiminutový	stosedmdesátiminutový
desetimilimetrový	stodesetimilimetrový
šedesátistupňový	stošedesátistupňový
sedmdesátihektarový	stosedmdesátihektarový
sedmdesátistránkový	stosedmdesátistránkový
dvacetimiliardový	stodvacetimiliardový
šedesátistránkový	stošedesátistránkový
šestikilometrový	stošestikilometrový
šedesátimetrový	stošedesátimetrový
šedesátikilogramový	stošedesátikilogramový
šedesáticentimetrový	stošedesáticentimetrový
sedmiletý	stosedmiletý
sedmdesátiprocentní	stosedmdesátiprocentní
šedesátimiliónový	stošedesátimiliónový
sedmdesátikorunový	stosedmdesátikorunový
dvacetistránkový	stodvacetistránkový
osmdesátihektarový	stoosmdesátihektarový
dvacetihektarový	stodvacetihektarový
dvacetimetrový	stodvacetimetrový
dvanáctikilometrový	stodvanáctikilometrový
šedesátigólový	stošedesátigólový
šedesátiminutový	stošedesátiminutový
šedesátivteřinový	stošedesátivteřinový
dvacetikilometrový	stodvacetikilometrový
třicetiminutový	stotřicetiminutový
třiatřicetiletý	stotřiatřicetiletý
šedesátimilionový	stošedesátimilionový
sedmdesátitunový	stosedmdesátitunový
sedmitisícový	stosedmitisícový
šedesátimiliardový	stošedesátimiliardový
osmdesátikilometrový	stoosmdesátikilometrový
třicetistupňový	stotřicetistupňový
šedesátigramový	stošedesátigramový
třináctikilometrový	stotřináctikilometrový
sedmdesátka	stosedmdesátka
desítikilometrový	stodesítikilometrový
osmadvacetitisícový	stoosmadvacetitisícový
dvaadvaceticentimetrový	stodvaadvaceticentimetrový
desetistránkový	stodesetistránkový
sedmdesátihlavý	stosedmdesátihlavý
dvacetimístný	stodvacetimístný
šedesátitunový	stošedesátitunový
desetikilogramový	stodesetikilogramový
šedesátihektarový	stošedesátihektarový
šestatřicetiletý	stošestatřicetiletý
devítistránkový	stodevítistránkový
osmdesátistupňový	stoosmdesátistupňový
dvanáctistránkový	stodvanáctistránkový
třicetihektarový	stotřicetihektarový
sedmdesátitisícový	stosedmdesátitisícový
šestistránkový	stošestistránkový
osmdesátimetrový	stoosmdesátimetrový
dvacetimiliónový	stodvacetimiliónový
osmdesáticentimetrový	stoosmdesáticentimetrový
šedesátibodový	stošedesátibodový
sedmdesátikilový	stosedmdesátikilový
dvaceticentimetrový	stodvaceticentimetrový
devadesátikilometrový	stodevadesátikilometrový
třicetikilometrový	stotřicetikilometrový
osmdesátigramový	stoosmdesátigramový
desetihektarový	stodesetihektarový
dvacetistupňový	stodvacetistupňový
šedesátihlavý	stošedesátihlavý
devadesátistránkový	stodevadesátistránkový
sedmdesátikoňový	stosedmdesátikoňový
šedesátiprocentní	stošedesátiprocentní
osmnáctikilometrový	stoosmnáctikilometrový
třicetiprocentní	stotřicetiprocentní
desetikilometrový	stodesetikilometrový
šestihektarový	stošestihektarový
šestatřicítka	stošestatřicítka
šestimilionový	stošestimilionový
třicetikilogramový	stotřicetikilogramový
šestimetrový	stošestimetrový
šedesátinásobek	stošedesátinásobek
dvacetimilionový	stodvacetimilionový
třicetitříletý	stotřicetitříletý
dvanáctimetrový	stodvanáctimetrový
osmdesátistránkový	stoosmdesátistránkový
dvacetimílový	stodvacetimílový
šedesátidenní	stošedesátidenní
sedmdesátiletý	stosedmdesátiletý
šesticentimetrový	stošesticentimetrový
devadesátimetrový	stodevadesátimetrový
devadesátimiliardový	stodevadesátimiliardový
osmdesátimiliardový	stoosmdesátimiliardový
sedmnáctiletý	stosedmnáctiletý
devítihektarový	stodevítihektarový
třiadvacetiletý	stotřiadvacetiletý
osmdesátiminutový	stoosmdesátiminutový
dvacetigramový	stodvacetigramový
třicetimiliónový	stotřicetimiliónový
třicetilůžkový	stotřicetilůžkový
deseticentimetrový	stodeseticentimetrový
šedesátikoňový	stošedesátikoňový
dvacetikilogramový	stodvacetikilogramový
šestidenní	stošestidenní
osmdesátivteřinový	stoosmdesátivteřinový
sedmdesátičlenný	stosedmdesátičlenný
osmdesátikilogramový	stoosmdesátikilogramový
šedesátitisícový	stošedesátitisícový
devadesáticentimetrový	stodevadesáticentimetrový
devítimetrový	stodevítimetrový
desetiminutový	stodesetiminutový
třináctiminutový	stotřináctiminutový
sedmnáctka	stosedmnáctka
sedminásobný	stosedminásobný
třicetiletý	stotřicetiletý
sedmičlenný	stosedmičlenný
dvacetiminutový	stodvacetiminutový
třicetitunový	stotřicetitunový
šedesátikilový	stošedesátikilový
devadesátiminutový	stodevadesátiminutový
osmadvacetiletý	stoosmadvacetiletý
dvacetiřádkový	stodvacetiřádkový
třicetimiliardový	stotřicetimiliardový
třicetigramový	stotřicetigramový
devadesátikilogramový	stodevadesátikilogramový
devadesátihektarový	stodevadesátihektarový
třicetimilionový	stotřicetimilionový
šedesátiletý	stošedesátiletý
devadesátimiliónový	stodevadesátimiliónový
šestnáctimilionový	stošestnáctimilionový
sedmnáctičlenný	stosedmnáctičlenný
dvacetihlasý	stodvacetihlasý
šestapadesátiletý	stošestapadesátiletý
osmdesátimiliónový	stoosmdesátimiliónový
osmapadesátka	stoosmapadesátka
dvacetivteřinový	stodvacetivteřinový
osmadvacetičlenný	stoosmadvacetičlenný
sedmdesátník	stosedmdesátník
sedmdesátimiliónový	stosedmdesátimilionový
