+	adresný	>	bezadresný
+	alkoholický	>	bezalkoholický
+	alkoholový	>	bezalkoholový
+	alternativní	>	bezalternativní
+	atomový	>	bezatomový
+	azbestový	>	bezazbestový
+	barevný	>	bezbarevný
+	bičíkatý	>	bezbičíkatý
+	blokový	>	bezblokový
+	bodový	>	bezbodový
+	bonusový	>	bezbonusový
+	brankový	>	bezbrankový
+	branný	>	bezbranný
+	brýlový	>	bezbrýlový
+	bubnový	>	bezbubnový
+	cementový	>	bezcementový
+	chlórový	>	bezchlórový
+	chybný	>	bezchybný
+	chybový	>	bezchybový
+	citelný	>	bezcitelný
+	cukerný	>	bezcukerný
+	cílný	>	bezcílný
+	daňový	>	bezdaňový
+	demontážní	>	bezdemontážní
+	devizový	>	bezdevizový
+	deštný	>	bezdeštný
+	disketový	>	bezdisketový
+	diskový	>	bezdiskový
+	dlužný	>	bezdlužný
+	dokladový	>	bezdokladový
+	doménový	>	bezdoménový
+	doplatkový	>	bezdoplatkový
+	dotační	>	bezdotační
+	dotekový	>	bezdotekový
+	dotykový	>	bezdotykový
+	drogový	>	bezdrogový
+	drát	>	bezdrát
+	dusíkatý	>	bezdusíkatý
+	dýmný	>	bezdýmný
+	dýmový	>	bezdýmový
+	dějinnost	>	bezdějinnost
+	dějový	>	bezdějový
+	dřevný	>	bezdřevný
+	emisní	>	bezemisní
+	falcový	>	bezfalcový
+	fasetový	>	bezfasetový
+	filtrový	>	bezfiltrový
+	foremný	>	bezforemný
+	formální	>	bezformální
+	formátový	>	bezformátový
+	fosfátový	>	bezfosfátový
+	gólový	>	bezgólový
+	halogenový	>	bezhalogenový
+	hlasný	>	bezhlasný
+	hledáčkový	>	bezhledáčkový
+	hlučný	>	bezhlučný
+	hodnotový	>	bezhodnotový
+	honorářový	>	bezhonorářový
+	horečnatý	>	bezhorečnatý
+	hraniční	>	bezhraniční
+	hraničný	>	bezhraničný
+	hákový	>	bezhákový
+	hříšný	>	bezhříšný
+	ideový	>	bezideový
+	induktivní	>	bezinduktivní
+	infekční	>	bezinfekční
+	inflační	>	bezinflační
+	jaderný	>	bezjaderný
+	jehlový	>	bezjehlový
+	jádrový	>	bezjádrový
+	kabelový	>	bezkabelový
+	kalhotový	>	bezkalhotový
+	kalibrační	>	bezkalibrační
+	kanálový	>	bezkanálový
+	kapotový	>	bezkapotový
+	kartáčový	>	bezkartáčový
+	kastovní	>	bezkastovní
+	kazetový	>	bezkazetový
+	klecový	>	bezklecový
+	kloubní	>	bezkloubní
+	klávesnicový	>	bezklávesnicový
+	klíčkový	>	bezklíčkový
+	klíčový	>	bezklíčový
+	kofeinový	>	bezkofeinový
+	kolejnicový	>	bezkolejnicový
+	kolejový	>	bezkolejový
+	kolenec	>	bezkolenec
+	kolizní	>	bezkolizní
+	kolkový	>	bezkolkový
+	komentářový	>	bezkomentářový
+	koncepční	>	bezkoncepční
+	koncový	>	bezkoncový
+	konfesijní	>	bezkonfesijní
+	konfesní	>	bezkonfesní
+	konfliktní	>	bezkonfliktní
+	konkureční	>	bezkonkureční
+	kontextový	>	bezkontextový
+	korupční	>	bezkorupční
+	kouřový	>	bezkouřový
+	kořenný	>	bezkořenný
+	krevný	>	bezkrevný
+	kvótový	>	bezkvótový
+	kyslíkatý	>	bezkyslíkatý
+	kyslíkový	>	bezkyslíkový
+	kýlový	>	bezkýlový
+	lampový	>	bezlampový
+	lebeční	>	bezlebeční
+	letový	>	bezletový
+	licenční	>	bezlicenční
+	limitní	>	bezlimitní
+	lopatkový	>	bezlopatkový
+	manželský	>	bezmanželský
+	mikrobní	>	bezmikrobní
+	milostný	>	bezmilostný
+	mindrákový	>	bezmindrákový
+	mléčný	>	bezmléčný
+	modemový	>	bezmodemový
+	motorový	>	bezmotorový
+	mrazný	>	bezmrazný
+	mračný	>	bezmračný
+	myšlenkový	>	bezmyšlenkový
+	měrný	>	bezměrný
+	měsíční	>	bezměsíční
+	měsíčný	>	bezměsíčný
+	napěťový	>	beznapěťový
+	nehodový	>	beznehodový
+	náboženskost	>	beznáboženskost
+	nákladový	>	beznákladový
+	národní	>	beznárodní
+	oblačný	>	bezoblačný
+	obratlový	>	bezobratlový
+	obrázkový	>	bezobrázkový
+	obslužný	>	bezobslužný
+	odkladný	>	bezodkladný
+	odpadkový	>	bezodpadkový
+	odpadní	>	bezodpadní
+	odpadový	>	bezodpadový
+	odrazový	>	bezodrazový
+	odtokový	>	bezodtokový
+	okenní	>	bezokenní
+	olejový	>	bezolejový
+	operační	>	bezoperační
