Abasová_NOUN Abbasová_NOUN Abbásová_NOUN
Abasův_ADJ Abbasův_ADJ Abbásův_ADJ Abásův_ADJ
Abchazie_NOUN Abcházie_NOUN
Abchazův_ADJ Abcházův_ADJ
Abdulahův_ADJ Abdullahův_ADJ Abdulláhův_ADJ
Abdulahův_ADJ Abdullahův_ADJ Abdulláhův_ADJ Abduláhův_ADJ
Abelesová_NOUN Abellová_NOUN Abelová_NOUN
Abelesův_ADJ Abellův_ADJ Abelsův_ADJ Abelův_ADJ Ábelův_ADJ
Abellová_NOUN Abelová_NOUN
Abellův_ADJ Abelův_ADJ Ábelův_ADJ
Abrahamová_NOUN Abrahámová_NOUN
Abrham_NOUN Abrhám_NOUN
Abrhamová_NOUN Abrhámová_NOUN
Abrhamův_ADJ Abrhámův_ADJ
Achajův_ADJ Achájův_ADJ
Adolfův_ADJ Adolphův_ADJ
Adonidův_ADJ Adónidův_ADJ
Adonisův_ADJ Adónisův_ADJ
Afgancův_ADJ Afghancův_ADJ
Afgancův_ADJ Afghancův_ADJ Afgáncův_ADJ
Afganec_NOUN Afghanec_NOUN Afghánec_NOUN Afgánec_NOUN
Aga_NOUN Agatha_NOUN Agáta_NOUN
Agatin_ADJ Agátin_ADJ
Alamanův_ADJ Alemanův_ADJ Alemánův_ADJ
Aleksandrovův_ADJ Alexandrovův_ADJ
Aleksandrův_ADJ Alexandrův_ADJ
Andersenův_ADJ Anderssenův_ADJ
Anthonyová_NOUN Antonyová_NOUN
Apollonův_ADJ Apollónův_ADJ Apolonův_ADJ Apolónův_ADJ
Apollonův_ADJ Apollónův_ADJ Apolonův_ADJ Apolónův_ADJ Aponův_ADJ
Arabův_ADJ Arábův_ADJ
Arpadův_ADJ Arpádův_ADJ
Arthusův_ADJ Artusův_ADJ
Asadův_ADJ Assadův_ADJ Assádův_ADJ Asádův_ADJ Azadův_ADJ
Asthonová_NOUN Astonová_NOUN
Asthonův_ADJ Astonův_ADJ
Augustinová_NOUN Augustínová_NOUN Augustýnová_NOUN
Augustinův_ADJ Augustínův_ADJ Augustýnův_ADJ
Bacchův_ADJ Bakchův_ADJ
Beatka_NOUN Beátka_NOUN
Beatčin_ADJ Beátčin_ADJ
Beckettův_ADJ Becketův_ADJ
Beniaminův_ADJ Benjaminův_ADJ Benjamínův_ADJ
Bergsonův_ADJ Bergssonův_ADJ
Bertholdová_NOUN Bertoldová_NOUN
Bohoušův_ADJ Bohušův_ADJ
Bosnákův_ADJ Bosňákův_ADJ
Brahmův_ADJ Bráhmův_ADJ
Bruegelův_ADJ Brueghelův_ADJ
Brücknerův_ADJ Brüknerův_ADJ
Calderonův_ADJ Calderónův_ADJ
Cassiopein_ADJ Kassiopein_ADJ
Cesarův_ADJ Césarův_ADJ Cézarův_ADJ
Chaberův_ADJ Cháberův_ADJ
Charvatův_ADJ Charvátův_ADJ
Chasbulatovův_ADJ Chazbulatovův_ADJ
Churchillův_ADJ Churchilův_ADJ
Cisarův_ADJ Cisárův_ADJ
Claudiin_ADJ Klaudiin_ADJ
Corinin_ADJ Korinin_ADJ
Dabrovská_NOUN Dabrowská_NOUN
Dajakův_ADJ Dajákův_ADJ
Demetřin_ADJ Démétřin_ADJ
Demosthenův_ADJ Démosthenův_ADJ Démosthénův_ADJ
Dietrichsteinová_NOUN Dietrichštejnová_NOUN
Dietrichsteinův_ADJ Dietrichštejnův_ADJ
Ditrichsteinův_ADJ Ditrichštejnův_ADJ
Dobiašův_ADJ Dobiášův_ADJ Dobyášův_ADJ
Dominickův_ADJ Dominikův_ADJ
Dominickův_ADJ Dominikův_ADJ Dominiqueův_ADJ
Draculův_ADJ Drákulův_ADJ
Edmondův_ADJ Edmundův_ADJ
Edouardův_ADJ Eduardův_ADJ Edvardův_ADJ Edwardův_ADJ
Eliotová_NOUN Elliotová_NOUN Elliottová_NOUN
Eliottův_ADJ Eliotův_ADJ Elliottův_ADJ Elliotův_ADJ
Esopův_ADJ Ezopův_ADJ
Evansův_ADJ Ewansův_ADJ
Fabianová_NOUN Fabiánová_NOUN
Faethontův_ADJ Faethóntův_ADJ
Filipiny_NOUN Filipíny_NOUN
Filišteinův_ADJ Filištejnův_ADJ Filištínův_ADJ
Flemingová_NOUN Flemmingová_NOUN
Flemingův_ADJ Flemmingův_ADJ
Florentinin_ADJ Florentýnin_ADJ
Florianová_NOUN Floriánová_NOUN
Fridrichová_NOUN Fridrychová_NOUN Frydrychová_NOUN
Fridrichův_ADJ Fridrychův_ADJ Frydrichův_ADJ Frydrychův_ADJ
Frygie_NOUN Frýgie_NOUN
Frygův_ADJ Frýgův_ADJ
Germanie_NOUN Germánie_NOUN
Germanův_ADJ Germánův_ADJ
Goebbelsův_ADJ Goebelsův_ADJ
Gothardův_ADJ Gotthardův_ADJ
Gottvaldová_NOUN Gottwaldová_NOUN Gotvaldová_NOUN
Greta_NOUN Gréta_NOUN
Grosmanová_NOUN Grossmanová_NOUN
Grosmanův_ADJ Grossmanův_ADJ
Grotovská_NOUN Grotowská_NOUN
Gruzinka_NOUN Gruzínka_NOUN
Gruzinčin_ADJ Gruzínčin_ADJ
Gurdžarův_ADJ Gurdžárův_ADJ
Hajekův_ADJ Hayekův_ADJ
Hanibalův_ADJ Hannibalův_ADJ Hannybalův_ADJ
Hashimův_ADJ Hášimův_ADJ
Hausmannová_NOUN Haussmannová_NOUN
Hausmannův_ADJ Haussmannův_ADJ
Hay_NOUN Háj_NOUN
Hayův_ADJ Hájův_ADJ
Heidrichův_ADJ Heydrichův_ADJ
Heraklův_ADJ Hérakleiův_ADJ Hérakléův_ADJ Héraklův_ADJ
Hermannová_NOUN Herrmannová_NOUN
Hermannův_ADJ Herrmannův_ADJ
Herodův_ADJ Héródův_ADJ
Hieronimův_ADJ Hieronymův_ADJ
Holsteinův_ADJ Holštajnův_ADJ
Homerův_ADJ Homérův_ADJ
Hooliganův_ADJ Huligánův_ADJ Hulikánův_ADJ
Horatio_NOUN Horatius_NOUN Horácius_NOUN
Hubbertův_ADJ Hubertův_ADJ
Huronův_ADJ Hurónův_ADJ
Händelův_ADJ Händlův_ADJ
Ibrahimová_NOUN Ibráhímová_NOUN
Isakův_ADJ Ishákův_ADJ Isákův_ADJ Izákův_ADJ
Iserův_ADJ Izerův_ADJ
Ishmaelův_ADJ Ishmailův_ADJ Ismaelův_ADJ Ismailův_ADJ Ismáílův_ADJ Izmaelův_ADJ Izmailův_ADJ
Isáková_NOUN Izáková_NOUN
Ión_NOUN Jón_NOUN
Jachimová_NOUN Jáchymová_NOUN
Jachimův_ADJ Jachymův_ADJ Jáchimův_ADJ Jáchymův_ADJ
Jacobsonová_NOUN Jakobsonová_NOUN
Jacobsonův_ADJ Jakobsonův_ADJ
Jasemův_ADJ Jassemův_ADJ
Jesusův_ADJ Jesúsův_ADJ Jezusův_ADJ
Jobův_ADJ Jóbův_ADJ
Jonová_NOUN Jónová_NOUN
Jonův_ADJ Jónův_ADJ
Josefina_NOUN Josefína_NOUN Jozefína_NOUN
Josefík_NOUN Jozefík_NOUN
Josefíková_NOUN Jozefíková_NOUN
Josefíkův_ADJ Jozefíkův_ADJ
Josefův_ADJ Josifův_ADJ Jozefův_ADJ Jozifův_ADJ Jozífův_ADJ Jósefův_ADJ Jószefův_ADJ Józefův_ADJ Józsefův_ADJ
Juliův_ADJ Júliův_ADJ
Jussupovův_ADJ Jusupovův_ADJ
Kaiserův_ADJ Kaizerův_ADJ Kajzerův_ADJ Kayserův_ADJ
Kaizarová_NOUN Kajzarová_NOUN
Kaizarův_ADJ Kajzarův_ADJ
Kajetanův_ADJ Kajetánův_ADJ
Karmasinův_ADJ Karmazinův_ADJ Karmazínův_ADJ
Karolinka_NOUN Karolínka_NOUN
Katarinin_ADJ Katarínin_ADJ Katerinin_ADJ Katerynin_ADJ Kateřinin_ADJ
Keiserův_ADJ Keizerův_ADJ Keyserův_ADJ Keyzerův_ADJ
Klementová_NOUN Klimentová_NOUN
Klementův_ADJ Klimentův_ADJ Klymentův_ADJ
Koniášův_ADJ Konyášův_ADJ
Kopernikův_ADJ Koperníkův_ADJ
Kordeliin_ADJ Kordéliin_ADJ
Kovalská_NOUN Kowalská_NOUN
Krišnův_ADJ Kršnův_ADJ
Laokoonův_ADJ Laokoónův_ADJ Láokoónův_ADJ Láokóonův_ADJ
Lazarová_NOUN Lazarusová_NOUN
Lazarův_ADJ Lazárův_ADJ
Leksa_NOUN Lexa_NOUN
Lobkowiczův_ADJ Lobkowitzův_ADJ
Lotarův_ADJ Lotharův_ADJ
Lucemburkův_ADJ Luxemburgův_ADJ
