,index,lemma,první.rodič,druhý.rodič,třetí.rodič,čtvrtý.rodič,neoklasické.kompozitum,číslovka,počet.rodičů,chemické.názvosloví,není.kompozitum,přejaté.jako.celek..ne.z.GR.nebo.LA,Derivát,reverse_lemma,Struktura,první.rodič.v.search3,druhý.rodič.v.search3,třetí.rodič.v.search3,čtvrtý.rodič.v.search3
85,1492,stodevětapadesátka,sto,devět,padesát,,0,1,2,0,0,0,devětapadesát,aktásedapatěvedots,,True,True,True,False
233,482,bronchiální,-bronch-,X,,,0,0,2,0,1,0,bronchie,ínláihcnorb,,False,True,False,False
234,774,bronchitida,-bronch-,X,,,1,0,2,0,1,0,bronch,aditihcnorb,,False,True,False,False
470,1227,psychoanalitický,-psych-,analytický,,,1,0,2,0,0,0,psychoanalýza,ýkcitilanaohcysp,,False,True,False,False
488,782,tektogramatický,-tekt-,-gram-,,,1,0,2,0,0,0,tektogramatika,ýkcitamargotket,,False,False,False,False
521,209,artdecový,art,decový,,,0,0,2,0,0,0,artdeco,ývocedtra,,True,False,False,False
535,1321,balkanolog,Balkán,-log-,,,1,0,2,0,0,0,balkanologie,golonaklab,,False,False,False,False
571,64,černokněžnění,černý,kněžnění,,,0,0,2,0,0,0,černokněžnit,íněnžěnkonreč,,True,False,False,False
573,1422,černoprdelnice,černý,prdel,,,0,0,2,0,0,0,černoprdelník,ecinledrponreč,,True,True,False,False
582,449,Českotřebovsko,český,Třebová.třebovsko,,,0,0,2,0,0,0,českotřebovský,oksvobeřtokseČ,,True,False,False,False
610,696,čtyřiatřicítka,čtyři,třicítka,,,0,1,2,0,0,0,čtyřiatřicet,aktíciřtaiřytč,,True,True,False,False
663,1306,dvaapadesátka,dva,padesátka,,,0,1,2,0,0,0,dvaapadesát,aktásedapaavd,,True,True,False,False
686,92,dvaačtyřicátník,dvě,čtyřicátník,,,0,1,2,0,0,0,dvaačtyřicátý,kíntáciřytčaavd,,True,True,False,False
743,744,fenylpropanový,fenyl,propan,,,0,0,2,0,0,0,fenylpropan,ývonaporplynef,,True,True,False,False
841,660,levopimarový,levo,pimarový,,,0,0,2,0,1,1,levopimar,ývoramipovel,,True,False,False,False
891,679,místokrálovský,místo,královský,,,0,0,2,0,0,0,místokrál,ýksvolárkotsím,,True,True,False,False
947,974,osmadvacátiny,osm,dvacátiny,,,0,1,2,0,0,0,osmadvacátý,ynitácavdamso,,True,True,False,False
948,485,osmifinalista,osm,finalista,,,0,0,2,0,0,0,osmifinále,atsilanifimso,,True,True,False,False
949,602,osmihodinovka,osm,hodinovka,,,0,1,2,0,0,0,osmihodinový,akvonidohimso,,True,True,False,False
953,1337,osmaosmdesátník,osm,osmdesátník,,,0,1,2,0,0,0,osmaosmdesát,kíntásedmsoamso,,True,True,False,False
989,162,pětatřicátník,pět,třicátník,,,1,1,2,0,0,0,pětatřicátý,kíntáciřtatěp,,True,True,False,False
1093,753,různočnělečnost,různý,čnělečný.čnělka,,,0,0,2,0,1,0,různočnělečný,tsončelěnčonzůr,,True,True,False,False
1114,176,samozhutnitelný,sám,zhutnitelný,,,0,0,2,0,0,0,samozhutnit,ýnletintuhzomas,,True,True,False,False
1204,1172,sedmasedmdesátka,sedm,sedmdesátka,,,0,0,2,0,0,0,sedmasedmdesát,aktásedmdesamdes,,True,True,False,False
1230,550,spasmolytický,spasmos,lyó,,,1,0,2,0,0,0,spasmolýza,ýkcitylomsaps,,False,False,False,False
1352,1442,trojmezenský,tři,mezenský,,,0,1,2,0,0,0,Trojmezná,ýksnezemjort,,True,False,False,False
1395,149,velkoelektrárenský,velký,elektrárenský,,,0,0,2,0,0,0,velkoelektrárna,ýksnerártkeleoklev,,True,True,False,False
1399,91,velechytře,velký,chytrý.chytře,,,0,0,2,0,0,0,velechytrý,eřtyhcelev,,True,True,False,False
1461,817,westcoastový,west,coast,,,0,0,2,0,1,0,Westcoast,ývotsaoctsew,,False,False,False,False
