devětapadesát	>	stodevětapadesátka
bronchie	>	bronchiální
bronch	>	bronchitida
psychoanalýza	>	psychoanalitický
tektogramatika	>	tektogramatický
artdeco	>	artdecový
balkanologie	>	balkanolog
černokněžnit	>	černokněžnění
černoprdelník	>	černoprdelnice
českotřebovský	>	Českotřebovsko
čtyřiatřicet	>	čtyřiatřicítka
dvaapadesát	>	dvaapadesátka
dvaačtyřicátý	>	dvaačtyřicátník
fenylpropan	>	fenylpropanový
levopimar	>	levopimarový
místokrál	>	místokrálovský
osmadvacátý	>	osmadvacátiny
osmifinále	>	osmifinalista
osmihodinový	>	osmihodinovka
osmaosmdesát	>	osmaosmdesátník
pětatřicátý	>	pětatřicátník
různočnělečný	>	různočnělečnost
samozhutnit	>	samozhutnitelný
sedmasedmdesát	>	sedmasedmdesátka
spasmolýza	>	spasmolytický
Trojmezná	>	trojmezenský
velkoelektrárna	>	velkoelektrárenský
velechytrý	>	velechytře
Westcoast	>	westcoastový
