stát	stá t
vyslepit	vy slep i t
bilabiála	bi lab iál a
práchnivění	prách n iv ě n í
zezlatovění	ze zlat ov ě n í
početí	po č e t í
napětí	na p ě t í
spočívat	s po č í v a t
inkasovat	in kas ova t
rachot	rachot
komentátor	koment át or
konzultovat	konzult ova t
popkultura	pop kult ur a
strážovský	stráž ov sk ý
reagovat	reag ova t
reformátor	re form átor
účeloslovný	ú čel o slov n ý
lakýrka	lak ýrk a
zhoršovat	z horš ova t
znovu	znovu
zpopelavět	z popel av ě t
zakyselování	za kys e l ová n í
spotřeba	s po třeb a
alba	alb a
obhajoba	ob haj ob a
sazba	saz b a
tržba	trž b a
kanonáda	nanon ád a
děda	děd a
předseda	před sed a
přírodověda	pří rod o věd a
nápověda	ná po věd a
třída	tříd a
metoda	metod a
odrůda	od růd a
pýcha	pých a
obíhačka	o bíh a čk a
maniačka	mani ač k a
břinkačka	břink a čk a
pleskačka	plesk a čk a
rýhovačka	rýh ova čk a
ovečka	oveč k a
korbička	korb ičk a
třídička	tříd i čk a
žežhulička	žežhul ičk a
taštička	tašt ičk a
hlavička	hlav ičk a
dvouročka	dv ou roč k a
obhlídka	ob hlíd k a
choreografka	choreo graf k a
ekonomika	eko nom ik a
sociálka	soci ál k a
válka	válk a
přispěvatelka	při spěv a tel k a
živitelka	živ i tel k a
sedmapůlka	sedm a půl k a
banka	bank a
strouhanka	strouh a n k a
chovanka	chov a n k a
antihrdinka	ant i hrd in k a
zdrobnělinka	z drob n ě in k a
meduňka	meduňk a
zlehounka	z leh ounk a
breberka	breber k a
smaltérka	smalt ér k a
prověrka	pro věr k a
kooperátorka	koo oper átor k a
zubatka	zub at k a
šťavnatka	šťav nat ý
šprtka	šprt k a
externistka	ex tern ist k a
kariéristka	kariér ist k a
třpytka	třpyt k a
ucpávka	u cp áv k a
cívka	cív k a
lícovka	líc ovk a
šmirglovka	šmirgl ovk a
větrovka	větr ovk a
porážka	po ráž k a
biosložka	bio s lož k a
schůzka	s chůz k a
skorocela	skoro cel a
gorila	goril a
síla	síl a
doma	dom a
zdarma	z darm a
karyoplazma	karyo plazm a
cena	cen a
změna	z měn a
složenina	s lož en in a
