zjistím;zjistit
způsobili;způsobit
oficiálnímu;oficiální
lehla;lehnout
vypínačem;vypínač
štítky;štítek
nekácených;kácený
úsvitě;úsvit
obalech;obal
vydechne;vydechnout
barvami;barva
vlasti;vlast
svlékla;svléknout
hudebními;hudební
výletě;výlet
nejvážněji;vážně
manželovy;manželův
překračuji;překračovat
kriteriích;kritérium
přátelského;přátelský
zakopán;zakopat
papíru;papír
vatikánskému;vatikánský
zastižen;zastihnout
vznesl;vznést
zvěstovaly;zvěstovat
roztrhán;roztrhat
vyvinuli;vyvinout
řídkým;řídký
zeleně;zeleň
nechává;nechávat
hřmí;hřmít
salonu;salón
zneužíváme;zneužívat
sklony;sklon
tlukouc;tlouci
kaplanovi;kaplan
zásadám;zásada
zdálo;zdát
dodány;dodat
výpotky;výpotek
zbožím;zboží
stočil;stočit
kulometného;kulometný
epoše;epocha
předpokládám;předpokládat
tiskárnu;tiskárna
úspěšné;úspěšný
neodvážil;odvážit
neslušný;slušný
skladbě;skladba
zástěře;zástěra
promiňte;prominout
uvezeme;uvézt
hrobě;hrob
banálními;banální
riskuju;riskovat
zasáhlo;zasáhnout
vypůjčeny;vypůjčit
pohnul;pohnout
vytratím;vytratit
demoralizuje;demoralizovat
otevřely;otevřít
lžíci;lžíce
loktem;loket
místnosti;místnost
houště;houšť
prasata;prase
pokusil;pokusit
poledním;polední
přečká;přečkat
schovaní;schovaný
odrodilců;odrodilec
nejbližšího;blízký
popadla;popadnout
tuctu;tucet
přimluv;přimluvit
dobyli;dobýt
intelektuálskejma;intelektuálský
nepřistoupila;přistoupit
nezáleželo;záležet
podomka;podomek
smetanovými;smetanový
dispečeři;dispečer
neposmívám;posmívat
nevěšejí;věšet
roztaženýma;roztažený
urážena;urážet
růžencem;růženec
nenoste;nosit
snaze;snaha
podvodů;podvod
znepokojují;znepokojovat
nerýsovalo;rýsovat
vyčerpaná;vyčerpaný
mlčel;mlčet
kapitánově;kapitánův
zdržím;zdržet
stříbrnými;stříbrný
upíral;upírat
odvažuješ;odvažovat
vyhrnula;vyhrnout
srozuměni;srozumět
kňučí;kňučet
dolezl;dolézt
rýpne;rýpnout
dálnici;dálnice
skladišti;skladiště
divíte;divit
vklíněna;vklínit
pletí;pleť
nepral;prát
svádí;svádět
proužkem;proužek
es;eso
těší;těšit
neúhybným;úhybný
pozemku;pozemek
výři;výr
zaniklo;zaniknout
nadzvedávaje;nadzvedávat
zavoní;zavonět
lenoši;lenoch
vylez;vylézt
smrkáčů;smrkáč
výrobků;výrobek
novinama;noviny
děvčátku;děvčátko
určitého;určitý
asfaltovou;asfaltový
přiletí;přiletět
nevlídná;vlídný
zarděnkami;zarděnky
douškem;doušek
narozeninám;narozeniny
odtáhne;odtáhnout
ošetřovně;ošetřovna
světskému;světský
zkouším;zkoušet
nabere;nabrat
golfoví;golfový
hádám;hádat
oslové;osel
individualitu;individualita
poznámek;poznámka
splnili;splnit
vozí;vozit
zmítá;zmítat
ránu;ráno
ptal;ptát
přistane;přistát
epicentru;epicentrum
neviditelná;viditelný
nehlásili;hlásit
zrudnul;zrudnout
usneš;usnout
perutě;peruť
autostopem;autostop
hmot;hmota
vět;věta
nešmakují;šmakovat
estrádního;estrádní
procedurám;procedura
dotknul;dotknout
pusťte;pustit
cílevědomější;cílevědomý
svážou;svázat
poslíčka;poslíček
normě;norma
guerille;gerila
pohlcena;pohltit
předl;příst
zaměstnanci;zaměstnanec
lítostí;lítost
postávalo;postávat
patách;pata
úsecích;úsek
tyfem;tyfus
sporty;sport
přesunuly;přesunout
stísněném;stísněný
sebevraždě;sebevražda
kamarádem;kamarád
vyrazíme;vyrazit
zdivu;zdivo
dobytka;dobytek
věže;věž
nezbořila;zbořit
párky;párek
čepínskejm;čepínský
polož;položit
salamandrů;salamandr
osamocena;osamocený
kupu;kupa
tiskly;tisknout
pokaždý;pokaždé
uklouzlo;uklouznout
šátkem;šátek
kopancům;kopanec
přitaká;přitakat
sirku;sirka
panáčkují;panáčkovat
domyslili;domyslet
štěpnicemi;štěpnice
uťali;utnout
sklouznul;sklouznout
nepodpoří;podpořit
předvedl;předvést
dýmkou;dýmka
divoši;divoch
popřáli;popřát
sešlejší;sešlý
uhnul;uhnout
bankrotech;bankrot
hlavou;hlava
víte;vědět
neprokáže;prokázat
projede;projet
dveří;dveře
slůvek;slůvko
troufá;troufat
vytřel;vytřít
posíláme;posílat
pohárech;pohár
udivilo;udivit
odešla;odejít
přešel;přejít
projíždí;projíždět
poklade;poklást
zemřel;zemřít
kokosky;kokoska
odvezl;odvézt
pokládán;pokládat
rozumí;rozumět
péra;pero
východě;východ
rublů;rubl
sutí;suť
hrobníkovy;hrobníkův
vytýkáno;vytýkat
tážeme;tázat
honičce;honička
ešelonu;ešalon
německému;německý
zahnul;zahnout
agresi;agrese
nemazlí;mazlit
znešvařena;znešvařit
žádám;žádat
radiotelegrafisté;radiotelegrafista
poselstva;poselstvo
utonuly;utonout
zastavil;zastavit
rouru;roura
tati;táta
hvězdiček;hvězdička
žerdě;žerď
světýlka;světýlko
připrav;připravit
nepronesla;pronést
drobnější;drobný
pevností;pevnost
talentu;talent
ceníme;cenit
krematoria;krematorium
rozpacích;rozpaky
nezvonilo;zvonit
dírách;díra
pryšcem;pryšec
pocházím;pocházet
dobré;dobrá
nepouštějte;pouštět
dírkou;dírka
zatažena;zatáhnout
odpovězte;odpovědět
nasedli;nasednout
shodli;shodnout
přiložen;přiložit
zaslíbeni;zaslíbit
meditačního;meditační
zaťal;zatnout
vzdorovitější;vzdorovitý
dívek;dívka
vypnutelnými;vypnutelný
hvězdopravci;hvězdopravec
pleskne;plesknout
hradbách;hradba
krášlicích;krášlicí
přetáhnou;přetáhnout
břichem;břicho
šachovnicích;šachovnice
palmama;palma
odradilo;odradit
hrudi;hruď
postýlek;postýlka
vyplivne;vyplivnout
hrstě;hrst
napínáky;napínák
manšestrovém;manšestrový
spolužákům;spolužák
nebušilo;bušit
řeky;řeka
tichu;ticho
týčka;týčko
ušil;ušít
doupaty;doupě
prosím;prosit
hodily;hodit
objevují;objevovat
pracovně;pracovna
vkročil;vkročit
nejžádoucnější;žádoucný
lehkomyslnější;lehkomyslný
nejzkušenější;zkušený
fazolích;fazole
pochodně;pochodeň
bydlí;bydlet
přežila;přežít
nevdala;vdát
nestačím;stačit
neuvažovala;uvažovat
rozdrcen;rozdrtit
namířeno;namířit
zazvonil;zazvonit
vrazím;vrazit
přivez;přivézt
kakaovém;kakaový
pondělka;pondělek
hostincem;hostinec
netýká;týkat
přehlédl;přehlédnout
stovkou;stovka
stodole;stodola
přijal;přijmout
pozváni;pozvat
přeložte;přeložit
převlékneš;převléknout
výtahům;výtah
bankovek;bankovka
mozku;mozek
nevyniká;vynikat
doufám;doufat
rozkročen;rozkročit
sešli;sejít
pokročilejším;pokročilý
neprohlašuju;prohlašovat
tajnému;tajný
strýčkovi;strýček
