dimethylthiambuten	NOUN	-di-.methyl.-thi-.ambuten
stodvaatřicetičlenný	ADJ	sto.dva.třicet.člen
metylfosfonyldifluorid	NOUN	metyl.fosfonyl.-di-.fluorid
třísetpadesátikilometrový	ADJ	tři.sto.padesát.kilometrový
dvousetosmdesátikoňový	ADJ	dvě.sto.osmdesát.kůň
stodvacetipětiletý	ADJ	sto.dvacet.pět.léto
stopětatřicetiletý	ADJ	sto.pět.třicet.léto
dvousetosmimilionový	ADJ	dvě.sto.osm.milionový
třísetdvanáctistránkový	ADJ	tři.sto.dvanáct.stránkový
třistašedesátistránkový	ADJ	tři.sto.šedesát.stránkový
tetrapropylenbenzensulfonan	NOUN	-tetra-.propylen.benzen.sulfonan
devítiapůlakrový	ADJ	devět.půl.akrový
butylhydroxyanisol	NOUN	butyl.-hydroxy-.anisol
dvousetbodový	ADJ	dvě.sto.bodový
stopadesáticentimetrový	ADJ	sto.padesát.centimetrový
stošedesáticentimetrový	ADJ	sto.šedesát.centimetrový
červenozelenočerný	ADJ	červený.zelený.černý
zelenorůžovočerný	ADJ	zelený.růžový.červený
padesátitříčlenný	ADJ	padesát.tři.člen
čtyřicetidvoudenní	ADJ	čtyřicet.dva.denní
casterbridgeský	ADJ	caster.bridgeský
šestisetdolarový	ADJ	šest.sto.dolarový
středovýchodoevropský	ADJ	střed.východ.evropský
červenožlutofialový	ADJ	červený.žlutý.fialový
hnědošedofialový	ADJ	hnědý.šedý.fialový
stopatnáctigramový	ADJ	sto.patnáct.gramový
osmapůlhektarový	ADJ	osm.půl.hektarový
stosedmdesátihektarový	ADJ	sto.sedmdesát.hektarový
šedesátipětihektarový	ADJ	šedesát.pět.hektarový
dvousethektolitrový	ADJ	dvě.sto.hektolitrový
padesátitisícihlavý	ADJ	padesát.tisíc.hlava
dvacetipětikilový	ADJ	dvacet.pět.kilový
stopatnáctikilový	ADJ	sto.patnáct.kilový
dvaačtvrtkilogramový	ADJ	dva.čtvrt.kilogramový
čtyřicetisedmikilometrový	ADJ	čtyřicet.sedm.kilometrový
padesátišestikilometrový	ADJ	padesát.šest.kilometrový
stodvacetikilometrový	ADJ	sto.dvacet.kilometrový
stoosmdesátikilometrový	ADJ	sto.osmdesát.kilometrový
