,index,první.rodič,druhý.rodič,třetí.rodič,čtvrtý.rodič,neoklasické.kompozitum,číslovka,počet.rodičů,chemické.názvosloví,není.kompozitum,přejaté.jako.celek..ne.z.GR.nebo.LA,Derivát,reverse_lemma,Struktura,první.rodič.v.search3,druhý.rodič.v.search3
1374,dimethylthiambuten,-di-,metyl.methyl,-thi-,ambuten,1,0,4,1,0,0,0,netubmaihtlyhtemid,,False,False
781,stodvaatřicetičlenný,sto,dva,třicet,člen.členný,0,1,4,0,0,0,0,ýnnelčiteciřtaavdots,[[sto dvaatřicet] člen.členný],True,False
513,metylfosfonyldifluorid,metyl,fosfonyl,-di-,fluorid,0,0,4,0,0,0,0,diroulfidlynofsoflytem,,False,True
537,třísetpadesátikilometrový,tři,sto,padesát,kilometr.kilometrový,0,1,4,0,0,0,0,ývortemolikitásedaptesířt,[[tři sto padesát] kilometr.kilometrový],True,False
702,dvousetosmdesátikoňový,dvě,sto,osmdesát,kůň,0,1,4,0,0,0,0,ývoňokitásedmsotesuovd,[[dvě sto osmdesát] kůň],False,False
77,stodvacetipětiletý,sto,dvacet,pět,léto.letý,0,1,4,0,0,0,0,ýtelitěpitecavdots,[[sto dvacet pět] léto.letý],True,False
196,stopětatřicetiletý,sto,pět,třicet,léto.letý,0,0,4,0,0,0,0,ýteliteciřtatěpots,[[sto pětatřicet] léto.letý],True,True
446,dvousetosmimilionový,dvě,sto,osm,milion.milionový,0,1,4,0,0,0,0,ývonoilimimsotesuovd,[[dvě stě osm] milion.milionový.milión.miliónový],True,False
1395,třísetdvanáctistránkový,tři,sto,dvanáct,stránka.stránkový,0,1,4,0,0,0,0,ývoknártsitcánavdtesířt,[[tři sto dvanáct] stránka.stránkový],True,True
1281,třistašedesátistránkový,tři,sto,šedesát,stránka.stránkový,0,1,4,0,0,0,0,ývoknártsitásedešatsiřt,[[tři sto šedesát] stránka.stránkový],True,False
364,tetrapropylenbenzensulfonan,-tetra-,propylen,benzen,sulfonan,0,0,4,1,0,0,0,nanoflusneznebnelyporpartet,,False,False
1105,devítiapůlakrový,devět,půl,akr.akrový,,0,1,3,0,0,0,0,ývorkalůpaitíved,[[devět půl] akr.akrový],True,False
1264,oxyetylamino,-oxy-,etyl,amin,,1,0,3,0,0,0,0,onimalyteyxo,,False,False
924,butylhydroxyanisol,butyl,-hydroxy-,anisol,,1,0,3,1,0,0,0,losinayxordyhlytub,,True,True
63,dvousetbodový,dvě,sto,bod.bodový,,0,1,3,0,0,0,0,ývodobtesuovd,[[dvě stě] bod.bodový],True,True
1225,stopadesáticentimetrový,sto,padesát,centimetr.centimetrový,,0,1,3,0,0,0,0,ývortemitnecitásedapots,[[sto padesát] centimetr.centimetrový],True,True
1475,stošedesáticentimetrový,sto,šedesát,centimetr.centimetrový,,1,1,3,0,0,0,0,ývortemitnecitásedešots,[[sto šedesát] centimetr.centimetrový],True,False
1065,červenozelenočerný,červený,zelený,černý,,0,0,3,0,0,0,0,ýnrečonelezonevreč,[červený zelený černý],True,True
376,zelenorůžovočerný,zelený,růžový,červený,,0,0,3,0,0,0,0,ýnrečovožůronelez,[zelený růžový černý],False,True
631,padesátitříčlenný,padesát,tři,člen.členný,,0,1,3,0,0,0,0,ýnnelčířtitásedap,[[padesát tři] člen.členný],True,False
586,čtyřicetidvoudenní,čtyřicet,dva,den.denní,,0,1,3,0,0,0,0,ínneduovditeciřytč,[[čtyřicet dva] den.denní],True,True
767,casterbridgeský,caster,bridge.bridgeský,,,0,0,3,0,0,1,0,ýksegdirbretsac,,False,False
1289,šestisetdolarový,šest,sto,dolar.dolarový,,0,1,3,0,0,0,0,ývoralodtesitseš,[[šest set] dolar.dolarový],True,True
9,středovýchodoevropský,střed,východ,Evropa.evropský,,0,0,3,0,0,0,0,ýksporveodohcývodeřts,,True,False
1226,červenožlutofialový,červený,žlutý,fialový,,0,0,3,0,0,0,0,ývolaifotulžonevreč,[červený žlutý fialový],True,True
1406,hnědošedofialový,hnědý,šedý,fialový,,0,0,3,0,0,0,0,ývolaifodešoděnh,[hnědý šedý fialový],True,True
453,stopatnáctigramový,sto,patnáct,gram.gramový,,0,1,3,0,0,0,0,ývomargitcántapots,[[sto patnáct] gram.gramový],True,False
971,osmapůlhektarový,osm,půl,hektar.hektarový,,0,1,3,0,0,0,0,ývoratkehlůpamso,[[osm půl] hektar.hektarový],True,True
1041,stosedmdesátihektarový,sto,sedmdesát,hektar.hektarový,,0,0,3,0,0,0,0,ývoratkehitásedmdesots,[[sto sedmdesát] hektar.hektarový],True,True
1121,šedesátipětihektarový,šedesát,pět,hektar.hektarový,,0,1,3,0,0,0,0,ývoratkehitěpitásedeš,,True,True
1268,dvousethektolitrový,dvě,sto,hektolitr.hektolitrový,,0,1,3,0,0,0,0,ývortilotkehtesuovd,[[dvě sto] hektolitr.hektolitrový],True,True
218,padesátitisícihlavý,padesát,tisíc,hlava,,0,1,3,0,0,0,0,ývalhicísititásedap,,True,True
246,dvacetipětikilový,dvacet,pět,kilo.kilový,,1,0,3,0,0,0,0,ývolikitěpitecavd,[[dvacet pět] kilo.kilový],False,True
181,stopatnáctikilový,sto,patnáct,kilo.kilový,,0,0,3,0,0,0,0,ývolikitcántapots,[[sto patnáct] kilo.kilový],True,False
319,dvaačtvrtkilogramový,dva,čtvrt,kilogram.kilogramový,,0,1,3,0,0,0,0,ývomargoliktrvtčaavd,[[dva čtvrt] kilogram.kilogramový],False,False
975,čtyřicetisedmikilometrový,čtyřicet,sedm,kilometr.kilometrový,,0,1,3,0,0,0,0,ývortemolikimdesiteciřytč,[[čtyřicet sedm] kilometr.kilometrový],True,True
689,padesátišestikilometrový,padesát,šest,kilometr.kilometrový,,0,0,3,0,0,0,0,ývortemolikitsešitásedap,[[padesát šest] kilometr.kilometrový],False,True
695,stodvacetikilometrový,sto,dvacet,kilometr.kilometrový,,0,1,3,0,0,0,0,ývortemolikitecavdots,[[sto dvacet] kilometr.kilometrový],True,False
459,stoosmdesátikilometrový,sto,osmdesát,kilometr.kilometrový,,0,0,3,0,0,0,0,ývortemolikitásedmsoots,[[sto osmdesát] kilometr.kilometrový],True,False
873,stosedmdesátilometrový,sto,sedmdesát,kilometr.kilometrový,,0,0,3,0,1,0,0,ývortemolitásedmdesots,[[sto sedmdesát] kilometr.kilometrový],True,True
814,stopětikilometrový,sto,pět,kilometr.kilometrový,,0,1,3,0,0,0,0,ývortemolikitěpots,[[sto pět] kilometr.kilometrový],True,True
849,devadesátidvouletý,devadesát,dva,léto.letý,,0,1,3,0,0,0,0,ýteluovditásedaved,[[devadesát dva] léto.letý],True,True
1068,osmdesátiosmiletý,osmdesát,osm,léto.letý,,0,1,3,0,0,0,0,ýtelimsoitásedmso,[[osmdesát osm] léto.letý],True,True
693,osmdesátitříletý,osmdesát,tři,léto.letý,,0,1,3,0,0,0,0,ýtelířtitásedmso,[[osmdesát tři] léto.letý],False,True
106,padesátijednaletý,padesát,jedna,léto.letý,,0,1,3,0,0,0,0,ýtelandejitásedap,[[padesát jedna] léto.letý],False,True
754,stočtrnáctiletý,sto,čtrnáct,léto.letý,,0,0,3,0,0,0,0,ýtelitcánrtčots,[[sto čtrnáct] léto.letý],True,False
423,třísetletý,tři,sto,léto.letý,,0,1,3,0,0,0,0,ýteltesířt,[[tři sto] léto.letý],True,True
1017,čtyřsetlitrový,čtyři,sto,litr.litrový,,0,1,3,0,0,0,0,ývortiltesřytč,[[tři sto] litr.litrový],True,True
871,betacetylmethadol,beta,acetyl,methadol,,0,0,3,1,0,0,0,lodahtemlytecateb,[[tři sto] litr.litrový],True,False
136,osmiapůlmiliardový,osm,půl,miliarda.miliardový,,0,1,3,4,0,0,0,ývodrailimlůpaimso,[[osm půl] miliarda.miliardový],True,True
94,stopadesátimiliardový,sto,padesát,miliarda.miliardový,,0,1,3,0,0,0,0,ývodrailimitásedapots,[[sto padesát] miliarda.miliardový],True,False
1384,stopadesátimilimetrový,sto,padesát,milimetr.milimetrový,,0,0,3,0,0,0,0,ývortemilimitásedapots,[[sto padesát] milimetr.milimetrový],True,True
879,čtyřsetmilionový,čtyři,sto,milion.milionový.milión.miliónový,,0,1,3,0,0,0,0,ývonoilimtesřytč,[[čtyři sto] milion.milionový.milión.miliónový],True,True
273,stosedmdesátimiliónový,sto,sedmdesát,milion.milionový.milión.miliónový,,0,1,3,0,0,0,0,ývonóilimitásedmdesots,[[sto sedmdesát] milion.milionový.milión.miliónový],True,False
1009,stosedmdesátimilionový,sto,sedmdesát,milion.milionový.milión.miliónový,,0,1,3,0,0,0,0,ývonoilimitásedmdesots,[[sto sedmdesát] milion.milionový.milión.miliónový],True,True
1026,stoosmdesátiminutový,sto,osmdesát,minuta.minutový,,0,1,3,0,0,0,0,ývotunimitásedmsoots,[[sto osmdesát] minuta.minutový],True,True
751,stotřicetimutový,sto,třicet,minuta.minutový,,0,1,3,0,0,0,0,ývotumiteciřtots,[[sto třicet] minuta.minutový],True,True
388,bíločernomodrý,bílý,černý,modrý,,0,0,3,0,0,0,0,ýrdomonrečolíb,[bílý černý modrý],True,False
356,stopadesátinásobek,sto,padesát,násobek,,1,0,3,0,0,0,0,kebosánitásedapots,[[sto padesát] násobek],True,True
877,stošedesátinásobek,sto,šedesát,násobek,,0,1,3,0,0,0,0,kebosánitásedešots,[[sto šedesát] násobek],True,True
212,dvacetidevítinásobný,dvacet,devět,násobný,,0,0,3,0,0,0,0,ýnbosánitíveditecavd,[[dvacet devět] násobný],False,True
1194,stoosmnáctinásobný,sto,osmnáct,násobný,,0,0,3,0,0,0,0,ýnbosánitcánmsoots,[[sto osmnáct] násobný],True,True
432,trojapůlnásobný,tři,půl,násobný,,1,1,3,0,0,0,0,ýnbosánlůpajort,[[tři půl] násobný],False,True
483,tetraetylolovo,-tetra-,etyl,olovo,,1,0,3,0,0,0,0,ovololyteartet,[tetra etyl olovo],False,False
856,tetramethylolovo,-tetra-,metyl.methyl,olovo,,0,0,3,1,0,0,0,ovololyhtemartet,[tetra metyl.methyl olovo],False,False
1279,čtyřistaosmdesátšestka,čtyři,sto,osmdesát+šest,,0,1,3,0,0,0,0,aktseštásedmsoatsiřytč,[[čtyři sto] [osmdesát šest]],True,True
1035,třistapadesátiletý,tři,sto,padesát,,0,1,3,0,0,0,0,ýtelitásedapatsiřt,[[tři sto padesát] léto.letý],True,True
394,jedenáctsetpadesátka,jedenáct,sto,padesátka,,0,1,3,0,0,0,0,aktásedaptestcánedej,[jedenáct sto padesát],False,True
1493,dvacetišestipatrový,dvacet,šest,patro.patrový,,0,1,3,0,0,0,0,ývortapitsešitecavd,[[dvacet šest] patro.patrový],True,True
1466,tetraethylplumbium,-tetra-,-ethyl-,plumbum,,1,0,3,1,0,0,0,muibmulplyhteartet,,False,False
1420,čtyřicetidevítiprocentní,čtyřicet,devět,procento.procentní,,0,1,3,0,0,0,0,íntnecorpitívediteciřytč,[[čtyřicet devět] procento.procentní],True,True
928,dvacetitříprocentní,dvacet,tři,procento.procentní,,0,0,3,0,0,0,0,íntnecorpířtitecavd,[[dvacet tři] procento.procentní],True,True
431,stodesetiprocentní,sto,deset,procento.procentní,,0,0,3,0,0,0,0,íntnecorpitesedots,[[sto deset] léto.letý],True,False
142,stopadesátiprocentní,sto,padesát,procento.procentní,,0,1,3,0,0,0,0,íntnecorpitásedapots,[[sto padesát] procento.procentní],True,False
790,trihydroxypyrimidin,-tri-,-hydroxy-,pyrimidin,,0,0,3,0,0,0,0,nidimirypyxordyhirt,,False,False
71,dvaapůlroční,dva,půl,rok.roční,,0,1,3,0,0,0,0,ínčorlůpaavd,[[dva půl] rok.roční],True,True
1074,dvousetstránkový,dvě,sto,stránka.stránkový,,0,1,3,0,0,0,0,ývoknártstesuovd,[[dvě sto] stránka.stránkový],True,True
328,čtyřiapůltisícový,čtyři,půl,tisíc.tisícový,,0,1,3,0,0,0,0,ývocísitlůpaiřytč,[[čtyři půl] tisícový],True,True
1242,stopadesátitisícový,sto,padesát,tisíc.tisícový,,0,0,3,0,0,0,0,ývocísititásedapots,[[sto padesát] tisíc],True,True
1129,dvaačtvrttunový,dva,čtvrt,tuna.tunový,,0,1,3,0,0,0,0,ývonuttrvtčaavd,[[dva čtvrt] tuna.tunový],True,True
284,černozelenožlutý,černý,zelený,žlutý,,0,0,3,0,0,0,0,ýtulžonelezonreč,[černý zelený žlutý],True,False
100,hlinitoborokřemičitan,hlinitý.hliník,bor,křemičitan,,0,0,3,1,0,0,0,natičimeřkorobotinilh,,True,False
1468,dvoušuplíkový,dva,šuplík.šuplíkový,,,0,1,2,0,0,0,0,ývokílpušuovd,,True,True
1003,dvouwattový,dva,watt.Watt.wattový,,,0,1,2,0,0,0,0,ývottawuovd,,True,True
578,jedenasedmdesáticentimetrový,jedenasedmdesát,centimetr.centimetrový,,,0,0,2,0,0,0,0,ývortemitnecitásedmdesanedej,,True,True
1492,stodevětapadesátka,sto,devět,padesát,,0,1,2,0,0,0,devětapadesát,aktásedapatěvedots,,True,True
172,aeroakrobacie,-aer-,akrobacie,,,1,0,2,0,0,0,0,eicaborkaorea,,False,True
90,angiokardiografie,-angi-,kardiografie,,,1,0,2,0,0,0,0,eifargoidrakoigna,,False,False
409,astrokartografie,-astr-,kartografie,,,1,0,2,0,0,0,0,eifargotrakortsa,,False,False
402,bioklimatologie,-bio-,klimatologie,,,1,0,2,0,0,0,0,eigolotamilkoib,,False,False
419,bionanotechnologie,-bio-,nanotechnologie,,,1,0,2,0,0,0,0,eigolonhcetonanoib,,False,False
1131,Cyanoprokaryonta,-cyan-,prokaryonta,,,1,0,2,0,0,1,0,atnoyrakorponayC,,False,True
1325,elektrovelkoobchod,-elektr-,velkoobchod,,,0,0,2,0,0,0,0,dohcbooklevortkele,,False,True
322,exmístopředseda,-ex-,místopředseda,,,0,0,2,0,0,0,0,adesdeřpotsímxe,,False,False
731,fytopaleontologie,-fyt-,paleontologie,,,1,0,2,0,0,0,0,eigolotnoelapotyf,,False,False
1365,hydrochlorothiazid,-hydr-,chlorothiazid,,,1,0,2,1,0,0,0,dizaihtorolhcordyh,,False,False
1282,Hymenophyllales,-hymeno-,phyllales,,,1,0,2,0,1,0,0,selallyhponemyH,,False,False
831,cholangiografie,-chole-,angiografie,,,1,0,2,0,0,0,0,eifargoignalohc,,False,True
298,meningoencefalitida,-mening-,encefalitida,,,1,0,2,0,0,0,0,aditilafecneogninem,,False,True
137,monoizotopický,-mon-,izotop.izotopický,,,1,1,2,0,0,0,0,ýkcipotozionom,,False,True
1122,multidatabázový,-multi-,databáze.databázový,,,0,0,2,0,0,0,0,ývozábataditlum,,False,True
366,neuroradiologie,-neur-,radiologie,,,1,0,2,0,0,0,0,eigoloidaroruen,,False,False
37,onkohematologie,-onk-,hematologie,,,1,0,2,0,0,0,0,eigolotamehokno,,False,False
1083,oxyhemoglobin,-oxy-,hemoglobin,,,1,0,2,1,0,0,0,nibolgomehyxo,,False,True
27,paleogeografie,-pale-,geografie,,,1,0,2,0,0,0,0,eifargoegoelap,,False,False
95,parahaemolyticus,-para-,haemolyticus,,,1,0,2,0,0,0,0,sucitylomeaharap,,False,False
1136,pericholecystitida,-peri-,cholecystitida,,,1,0,2,1,0,0,0,adititsycelohcirep,,False,True
802,psychopatologie,-psych-,patologie,,,1,0,2,0,0,0,0,eigolotapohcysp,,False,True
1054,trimetylolpropan,-tri-,metylpropan,,,1,1,2,1,0,0,0,naporplolytemirt,,False,False
1274,adeninribonukleotid,adenin,ribonukleotid,,,1,0,2,1,0,0,0,ditoelkunobirnineda,,True,True
575,aminopolykarboxylový,amin,polykarboxylový,,,1,0,2,0,0,0,0,ývolyxobrakyloponima,,True,False
1341,aminoundekanový,amin,undekanový,,,1,0,2,1,0,0,0,ývonakednuonima,,False,False
