+	-profi-	
+	-para-	
+	-aden-	
+	-dein-	
+	-gestalt-	
+	-hydroxy-	
+	-bio-	
+	-cyan-	
+	-ana-	
+	-krypt-	
+	-prot-	
+	-pás-	
+	-gam-	
+	-ge-	
+	-fot-	
+	-midi-	
+	-trib-	
+	-pidi-	
+	-kvadr-	
+	-fid-	
+	-hygr-	
+	-end-	
+	-lal-	
+	-tekt-	
+	-sosi-	
+	-di-	
+	-krat-	
+	-troch-	
+	-fob-	
+	-chord-	
+	-trem-	
+	-mikro-	
+	-medi-	
+	-inter-	
+	-hol-	
+	-mamm-	
+	-gram-	
+	-iso-	
+	-neur-	
+	-pikto-	
+	-chol-	
+	-centr-	
+	-techn-	
+	-ther-	
+	-tel-	
+	-antrop-	
+	-téka-	
+	-myx-	
+	-meta-	
+	-ped-	
+	-dia-	
+	-kvazi-	
+	-alg-	
+	-infra-	
+	-metro-	
+	-oxy-	
+	-ek-	
+	-hymen-	
+	-fug-	
+	-stat-	
+	-term-	
+	-gyn-	
+	-mili-	
+	-pom-	
+	-therm-.-term	
+	-cyt-	
+	-fyt-	
+	-sin-	
+	-agog-	
+	-skop-	
+	-lit-	
+	-vitelo-	
+	-typ-	
+	-post-	
+	-cephalo-.-kephalo-	
+	-eko-	
+	-sém-	
+	-ochl-	
+	-hydr-	
+	-bi-	
+	-chondr-	
+	-sperm-	
+	-klin-	
+	-trans-	
+	-silik-	
+	-aut-	
+	-anter-	
+	-fon-	
+	-strept-	
+	-pet-	
+	-petr-	
+	-ethyl-	
+	-etno-	
+	-stereo-	
+	-nitro-	
+	-tromb-	
+	-aer-	
+	-e-	
+	-pen-	
+	-dol-	
+	-mon-	
+	-mega-	
+	-tetra-	
+	-pneu-	
+	-idio-	
+	-cervik-	
+	-angl-	
+	-klast-	
+	-ferr-	
+	-log-	
+	-tri-	
+	-zo-	
+	-audi-	
+	-kortik-	
+	-makr-	
+	-mening-	
+	-laryng-	
+	-palai-	
+	-poly-	
+	-rhynch-	
+	-peri-	
+	-metr-	
+	-hypo-	
+	-ekt-	
+	-enter-	
+	-turb-	
+	-retr-	
+	-cykl-	
+	-andr-	
+	-tachy-	
+	-arci-	
+	-hod-	
+	-ent-	
+	-astr-	
+	-onk-	
+	-pan-	
+	-intra-	
+	-kinet-	
+	-pyr-	
+	-blank-	
+	-naut-	
+	-ly-	
+	-arch-	
+	-pat-	
+	-free-	
+	-elektr-	
+	chemický.-chemo-	
+	-ex-	
+	-ultra-	
+	-scinti-	
+	-multi-	
+	-geo-	
+	-dermat-	
+	-fil-	
+	-gnos-	
+	-circum-	
+	-my-	
+	-angi-	
+	-poli-	
+	-spor-	
+	-orth-	
+	-euro-	
+	-psych-	
+	-daktyl-	
+	-semi-	
+	-sub-	
+	-al-	
+	-top-	
+	-sof-	
+	-leuk-	
+	-nomie-	
+	-mim-	
+	-video-	
+	-felin-	
+	-bronch-	
+	-semit-	
+	-graf-	
+	-neo-	
+	-gen-	
+	-ware-	
+	-pant-	
+	-gastr-	
+	-som-	
+	-kry-	
+	-trop-	
+	-flori-	
+	-thi-	
+	-theo-	
+	-brady-	
+	-karp-	
+	-mini-	
+	-enanti-	
+	-oste-	
+	-hepat-	
+	-max-	
+	-nan-	
+	-sympat-	
+	-doch-	
+	-kardi-	
+	-therm-	
+	-pali-	
+	-moto-	
+	-hyper-	
+	-gon-	
