	chunks	related_compounds
0	-profi-	['profifotbalista', 'profitenis']
1	-para-	['parahaemolyticus']
2	-aden-	['adenomyóza']
3	-dein-	['Deinotherium']
4	-gestalt-	['gestaltpsychologie']
5	-hydroxy-	['butylhydroxyanisol', 'trihydroxypyrimidin']
6	-bio-	['bioklimatologie', 'bionanotechnologie', 'bioarcheologie', 'bioberan', 'biočistička', 'biodoplněk', 'biodožínky', 'bioeidam', 'biofarmacie', 'bioforma', 'biogranule', 'biohrnec', 'biochemie', 'biochlapeček', 'biokoenzym', 'biokoridor', 'biokybernetika', 'biolékořice', 'biomasa', 'bionafta', 'bionávyk', 'bionosič', 'bioolympiáda', 'bioplínka', 'biopočítač', 'biopohanka', 'biopříkrm', 'bioptákovina', 'biosedlák', 'biosexy', 'biostabilizační', 'biostandard', 'biostanice', 'biotvaroh', 'biotým', 'biovlna', 'biovložka', 'biovodík', 'biozelí', 'biozrní']
7	-cyan-	['Cyanoprokaryonta']
8	-ana-	['anageneze']
9	-krypt-	['kryptobolševik']
10	-prot-	['protohvězda', 'protonotář']
11	-pás-	['hnědopásník']
12	-gam-	['alogamie']
13	-ge-	['geografie', 'geoautochor', 'geochemie', 'geopotenciál', 'geotechnika']
14	-fot-	['fotodeska', 'fotodynamický', 'fotoefekt', 'fotokvíz', 'fotonávod', 'fotopapír', 'fotopublikace', 'fotoreportáž', 'fototyp']
15	-midi-	['midibus']
16	-trib-	['tribologie']
17	-pidi-	['pidikoupelna']
18	-kvadr-	['kvadrofonie']
19	-fid-	['bifida']
20	-hygr-	['hygrograf', 'hygrometr']
21	-end-	['endobronchiální']
22	-lal-	['laliofobie']
23	-tekt-	['tektogramatický', 'architektura']
24	-sosi-	['sosiekologie']
25	-di-	['dimethylthiambuten', 'diacetyl', 'diaminotoluen', 'diatomit', 'dipól', 'metylfosfonyldifluorid']
26	-krat-	['ochlokracie']
27	-troch-	['trochanterion']
28	-fob-	['laliofobie']
29	-chord-	['chordofon']
30	-trem-	['tremolit']
31	-mikro-	['mikrofon']
32	-medi-	['meditéka']
33	-inter-	['Intercontinental', 'interdentála', 'interfix', 'interkondylický', 'interoperabilní', 'interprizmatický']
34	-hol-	['holoenzym', 'holokrystalický', 'holotyp']
35	-mamm-	['mammologie']
36	-gram-	['grafogram', 'tektogramatický', 'vokalogram']
37	-iso-	['izomorfie', 'izotyp']
38	-neur-	['neuroradiologie', 'neuropřenašeč']
39	-pikto-	['piktograf']
