předvolba	ablovdeřp	před vol b a		
krátkodobá	ábodoktárk	krát k o dob á		
výroba	aborýv	vý rob a		
platba	abtalp	plat b a		
kouba	abuok	koub a		
zhruba	aburhz	z hrub a		
dlažba	abžald	dlaž b a		
ražba	abžar	raž b a		
údržba	abžrdú	ú drž b a		
elektronica	acinortkele	elektr o nic a	"	
analytica	acitylana	ana lyt ic a	"	
coca	acoc	coca		
milada	adalim	milad a		
předpokládá	ádálkopdeřp	před po klád á		
vláda	adálv	vlád a		
kanada	adanak	kanad a	"n	
spadá	ádaps	s pad á		
grada	adarg	grad a		
přehrada	adarheřp	pře hrad a		
pořádá	ádářop	po řád á		
vada	adav	vad a		
závada	adaváz	zá vad a		
vyžádá	ádážyv	vy žád á		
geralda	adlareg	gerald a	"	
greenwalda	adlawneerg	green wald a		
agenda	adnega	agend a		
hacienda	adneicah	haciend a		
pohoda	adohop	po hod a		
forda	adrof	ford a		
chudá	áduhc	chud á		
zuda	aduz	zud a		
mzda	adzm	mzd a		
alfa	afla	alf a		
imega	agemi	imeg		
úvaha	ahavú	ú vah a		
weihricha	ahcirhiew	weihrich a	kontext	
rozléhá	áhélzor	roz léh á		
poloha	aholop	po loh a		
mepha	ahpem	meph a	"n	
média	aidém	médi a		
studia	aiduts	stud i a		
bohemia	aimehob	bohem i a		
iberia	airebi	iber i a		
kritéria	airétirk	krit éri a	"	
victoria	airotciv	victoria	kontext	
celsia	aislec	celsi a		
ilja	ajli	ilj a	"n	
přiláká	ákáliřp	při lák á		
střelecká	ákceleřts	střel ec k á		
německa	akceměn	něm ec k a		
letecká	ákcetel	let ec k á		
analogická	ákcigolana	ana log ic k á		
holická	ákciloh	holick á	"	
dynamická	ákcimanyd	dynam ic k á		
ekonomická	ákcimonoke	eko nom ic k á		
technická	ákcinhcet	techn ic k á		
kopřivnická	ákcinviřpok	kopřiv n ic k á		
automatická	ákcitamotua	auto mat ic k á		
logistická	ákcitsigol	log ist ic k á		
značka	akčanz	znač k a		
krabička	akčibark	krab ič k a		
pobočka	akčobop	po boč k a		
nabídka	akdíban	na bíd k a		
metodika	akidotem	metod ik a		
specifika	akificeps	speci fik a		
dynamika	akimanyd	dynam ik a		
tlumočníka	akínčomult	tlumoč ník a		
zedníka	akíndez	zed ník a		
soukromníka	akínmorkuos	sou krom ník a		
kočárníka	akínráčok	kočár ník a		
poplatníka	akíntalpop	po plat ník a		
návštěvníka	akínvětšván	návštěv ník a		
pracovníka	akínvocarp	prac ov ník a		
zákazníka	akínzakáz	zá kaz ník a		
logistika	akitsigol	log ist ik a		
charakteristika	akitsiretkarahc	charakter ist ik a		
diagnostika	akitsongaid	dia gnost ik a		
pučálka	akláčup	pučálk a	"	
odchylka	aklyhcdo	od chyl k a		
ochranka	aknarhco	o chran k a		
vanka	aknav	van k a	kontext	
vstupenka	akneputsv	v stup enk a	"	
pšenka	aknešp	pšen k a		
dívenka	aknevíd	dív enk a		
šumperka	akrepmuš	šumperk a		
sekretářka	akřáterkes	sekret ář k a		
paska	aksap	pask a	kontext	
saská	áksas	sas k á		
vinohradská	áksdarhoniv	vin o hrad sk á		
česká	ákseč	čes k á		
získá	áksíz	získ á		
thajska	aksjaht	thaj sk a		
thajská	áksjaht	thaj sk á		
španělska	akslěnapš	španěl sk a		
polska	akslop	pol sk a		
polská	ákslop	pol sk á		
štěpánská	áksnápětš	štěpán sk á		
japonska	aksnopaj	japon sk a		
kuchyňská	áksňyhcuk	kuchyň sk á		
švýcarska	aksracývš	švýcar sk a		
maďarská	áksraďam	maďar sk á		
norská	áksron	nor sk á		
autorská	áksrotua	autor sk á		
britská	ákstirb	brit sk á		
klimentská	ákstnemilk	kliment sk á	"n	
francouzská	ákszuocnarf	franc ouz sk á		
pražská	áksžarp	praž sk á		
vyhláška	akšálhyv	vy hláš k a		
staška	akšats	staš k a		
jánoška	akšonáj	jánoš k a	"	
vondruška	akšurdnov	vondrušk a	"	
krátká	áktárk	krát k á		
tlačítka	aktíčalt	tlač í tk a		
měřítka	aktířěm	měř í tk a		
asistentka	aktnetsisa	asist ent k a		
výluka	akulýv	vý luk a		
záruka	akuráz	zá ruk a		
výuka	akuýv	vý uk a		
dodávka	akvádod	do d á v k a		
poptávka	akvátpop	po pt á v k a		
výstavka	akvatsýv	vý stav k a		
spolyká	ákylops	s polyk á		
netýká	ákýten	ne týk á		
zvyká	ákyvz	z vyk á		
přirážka	akžáriřp	při ráž k a		
vložka	akžolv	v lož k a		
předala	aladeřp	pře d a l a		
neodpovídala	aladívopdoen	ne od po víd a l a		
prodala	aladorp	pro d a l a		
vydala	aladyv	vy d a l a		
přenechala	alahceneřp	pře nech a l a		
nevyšplhala	alahlpšyven	ne vy šplh a l a		
získala	alaksíz	získ a l a		
zaznamenala	alanemanzaz	za znam en a l a		
centrála	alártnec	centr ál a		
antala	alatna	antal a		
nastala	alatsan	na st a l a		
neustálá	álátsuen	ne u stá l á		
obávala	alavábo	o bá v a l a		
prodávala	alavádorp	pro d á v a l a		
projednávala	alavándejorp	pro jedn á v a l a		
pochvala	alavhcop	po chval a		
věnovala	alavoněv	věn ova l a		
kupovala	alavopuk	kup ova l a		
odhlasovala	alavosalhdo	od hlas ova l a		
přerušovala	alavošureřp	pře ruš ova l a		
zvyšovala	alavošyvz	z vyš ova l a		
účtovala	alavotčú	ú čt ova l a		
neexistovala	alavotsixeen	ne exist ova l a		
vyhovovala	alavovohyv	vy hov ova l a		
kritizovala	alavozitirk	krit iz ova l a	"	
lákadla	aldakál	lák a dl a		
sídla	aldís	sídl a		
vozidla	aldizov	voz i dl a		
vyráběla	alěbáryv	vy ráb ě l a		
necelá	álecen	ne cel á		
odmlčela	alečlmdo	od mlč e l a		
neprodělá	álědorpen	ne pro děl á		
přesáhla	alháseřp	pře sáh l a		
dosáhla	alhásod	do sáh l a		
zaběhlá	álhěbaz	za běh l á		
proběhla	alhěborp	pro běh l a		
švehla	alhevš	švehl a	"n	
vyrobila	aliboryv	vy rob i l a		
osvědčila	aličděvso	o s věd č i l a		
tenčila	aličnet	tenč i l a		
skončila	aličnoks	s konč i l a		
neskončila	aličnoksen	ne s konč i l a		
zahájila	alijáhaz	za háj i l a		
uvalila	alilavu	u val i l a		
sdělila	alilěds	s děl i l a		
urychlila	alilhcyru	u rychl i l a		
oznámila	alimánzo	o znám i l a	"	
jarmila	alimraj	jarmil a		
uskutečnila	alinčetuksu	u skuteč n i l a		
změnila	aliněmz	z měn i l a		
činila	alinič	čin i l a		
splnila	alinlps	s pln i l a		
uplatnila	alintalpu	u plat n i l a		
umožnila	alinžomu	u možn i l a		
rozšířila	aliříšzor	roz šíř i l a		
vyhlásila	alisálhyv	vy hlás i l a		
vyřešila	ališeřyv	vy řeš i l a		
zlepšila	ališpelz	z lep š i l a	bereme-li od "lepý", což nevim	
zvýšila	ališývz	z výš i l a		
neplatila	alitalpen	ne plat i l a		
vyplatila	alitalpyv	vy plat i l a		
zkrátila	alitárkz	z krát i l a		
zajistila	alitsijaz	za jist i l a		
přepravila	alivarpeřp	pře prav i l a		
vystavila	alivatsyv	vy stav i l a		
snížila	aližíns	s níž i l a		
předložila	aližoldeřp	před lož i l a		
využila	aližuyv	vy u ži l a		
marshalla	allahsram	marshall a		
povolá	álovop	po vol á		
tepla	alpet	tep l a	analogicky k svítit-světlý takto, ale nevim jak moc se pociťuje topit-teplý, přímý vztah tam asi není	
karla	alrak	karl a		
másla	alsám	másl a		
vynesla	alsenyv	vy nes l a		
pošla	alšop	po š l a		
prošla	alšorp	pro š l a		
proslulá	álulsorp	pro slu l á		
nula	alun	nul a		
uplynula	alunylpu	u ply nu l a		
dilema	amelid	dilem a		
viléma	améliv	vilém a		
zajímá	ámíjaz	za jím á		
klima	amilk	klim a		
samozřejmá	ámjeřzomas	sam o zř ejm á		
olma	amlo	olm a	kontext	
soukromá	ámorkuos	sou krom á		
dana	anad	dan a		
předána	anádeřp	pře d á n a		
haná	ánah	han á		
kaňa	aňak	kaň a	kontext	
volaná	ánalov	vol a n á		
zemana	anamez	zeman a		možné i dělit, ale synchronně asi ne
vyrovnaná	ánanvoryv	vy rovn a n á		
ochrana	anarhco	o chran a		
prodávaná	ánavádorp	pro d á v a n á		
udávána	anávádu	u d á v á n a		
užívaná	ánavížu	u ží v a n á		
využívána	anávížuyv	vy u ží v á n a		
využívaná	ánavížuyv	vy u ží v a n á		
kódovaná	ánavodók	kód ova n á		
homologována	anávogolomoh	homo log ová n a	"	
překontrolována	anávolortnokeřp	pře kontrol ová n a		
formulována	anávolumrof	formul ová n a	"	
darovaná	ánavorad	dar ova n á		
deklarována	anávoralked	de klar ová n a		
inzerována	anávorezni	inzer ová n a		
citovaná	ánavotic	cit ova n á		
motivována	anávovitom	motiv ová n a		
optimalizovaná	ánavozilamitpo	optim al iz ova n á		
nazvaná	ánavzan	na zvan á		
podobná	ánbodop	po dob n á		
drobná	ánbord	drob n á		
výrobna	anborýv	vý rob n a		
dubna	anbud	dubn a		
závěrečná	ánčerěváz	zá věr eč n á		
dostatečná	ánčetatsod	do stat eč n á		
nákladná	ándalkán	ná klad n á		
ledna	andel	led n a		
výsledná	ándelsýv	vý sled n á		
očividná	ándivičo	oč i vid n á		
výhodná	ándohýv	vý hod n á		
vyráběná	áněbáryv	vy ráb ě n á		
způsobena	anebosůpz	z pů sob en a		
zaplacena	anecalpaz	za plac en a		
zkrácena	anecárkz	z krác en a		
zkrácená	ánecárkz	z krác en á		
zapůjčená	ánečjůpaz	za půjč en á		
zakončena	anečnokaz	za konč en a		
prováděna	anědávorp	pro vád ě n a		
uvedená	ánedevu	u ved en á		
hygiena	aneigyh	hygien a		
zahájená	ánejáhaz	za háj en á		
schválena	anelávhcs	s chvál en a		
neschválená	ánelávhcsen	ne s chvál en á		
dovolená	ánelovod	do vol en á		
povolená	ánelovop	po vol en á		
měna	aněm	měn a		
výměna	aněmýv	vý měn a		
znevýhodněna	aněndohývenz	z ne vý hod n ěn a		
rozčleněna	aněnelčzor	roz člen ěn a		
změněna	aněněmz	z měn ěn a		
podmíněna	aněnímdop	pod mín ěn a		
zmíněná	áněnímz	z mín ěn á		
splněna	aněnlps	s pln ěn a		
umožněna	aněnžomu	u možn ěn a		
irena	aneri	iren a		
otevřena	aneřveto	ote vř en a		
umístěna	anětsímu	u míst ěn a		
připravena	anevarpiřp	při prav en a		
opravena	anevarpo	o prav en a		
upravená	ánevarpu	u prav en á		
stanovena	anevonats	stanov en a		
stanovená	ánevonats	stanov en á		
seřízena	anezířes	se říz en a		
obsažena	anežasbo	ob saž en a		
dovážená	ánežávod	do váž e n á		
ztížená	ánežítz	z tíž en á		
navržena	anežrvan	na vrž en a		
slabina	anibals	slab in a		
jičína	aníčij	jičín a		
kina	anik	kin a		
colina	aniloc	colin a	kontext	
martina	anitram	martin a		
lavina	anival	lav in a	"	
polovina	anivolop	pol ovin a		
benzina	anizneb	benzin a	dá se jistě i dělit benz-in, nemám názor	
tajná	ánjat	taj n á		
prodejna	anjedorp	pro d ej n a		
stejná	ánjets	stejn á		
valná	ánlav	val n á		
pronajatelná	ánletajanorp	pro na j a teln á		
přijatelná	ánletajiřp	při j a teln á		
zdanitelná	ánletinadz	z dan i teln á		
rozšiřitelná	ánletiřišzor	roz šiř i teln á		
spořitelna	anletiřops	s poř i tel n a	"	
nastavitelná	ánletivatsan	na stav i teln á		
pozvolna	anlovzop	po z vol n a		
významná	ánmanzýv	vý znam n á		
vzájemná	ánmejázv	v zá jem n á		
písemná	ánmesíp	pís emn á	"	
účinná	ánničú	ú čin n á		
pekárna	anrákep	pek ár n a		
poměrná	ánrěmop	po měr n á		
průměrná	ánrěmůrp	prů měr n á		
odborná	ánrobdo	od bor n á		
současná	ánsačuos	sou čas n á		
nejasná	ánsajen	ne jas n á		
podstatná	ántatsdop	pod sta t n á		
úchvatná	ántavhcú	ú chvat n á		
května	antěvk	květ n a		
ochotna	antohco	ochot n a		
samotná	ántomas	sam ot n á		
zaměstná	ántsěmaz	za měst n á		
koutná	ántuok	kout n á	"n	
nezbytná	ántybzen	ne z by t n á		
tuna	anut	tun a		
nedávna	anváden	ne dávn a		
průpravná	ánvarpůrp	prů prav n á		
rázná	ánzár	ráz n á		
března	anzeřb	březn a		
různá	ánzůr	různ á		
převážná	ánžáveřp	pře váž n á		
etapa	apate	etap a		
lepá	ápel	lep á		
ropa	apor	rop a		
klára	arálk	klár a		
jádra	ardáj	jádr a		
choděra	arědohc	chod ěr a	kontext	
sféra	aréfs	sfér a		
chryslera	arelsyrhc	chrysler a		
kohnera	arenhok	kohner a	"n	
partnera	arentrap	partner a		
manažera	arežanam	manaž er a		
infra	arfni	infra		
umírá	árímu	u mír á		
sira	aris	sir a		
síra	arís	sír a		
uzavírá	árívazu	u za vír á		
podpora	aropdop	pod por a		
iniciátora	arotáicini	inici át or a		
redaktora	arotkader	redakt or a		
investora	arotsevni	invest or a		
patra	artap	patr a		
tatra	artat	tatr a		
ministra	artsinim	ministr a		
kultura	arutluk	kult ur a		
agentura	arutnega	agent ur a		
klesá	áselk	kles á		
lufthansa	asnahtful	luft hans a	"	
usa	asu	u s a	kontext	
causa	asuac	causa	kontext	
báša	ašáb	báš a		
