abbé	ébba	abb-é	normalized-MorfoCzech_dictionary.tsv			
abdikovat	tavokidba	ab-dik-ova-t	normalized_slav_verbs.tsv			
abdomen	nemodba	abdomen	our-2.1k-uniffreqsample-lemmas.tsv			
abecedu	udeceba	abeced-u	normalized-MorfoCzech_dictionary.tsv			
abolovat	tavoloba	abol-ova-t	normalized_slav_verbs.tsv			
abonování	ínávonoba	abon-ová-n-í	our-1k-bandsample-lemmas.tsv			
abonovat	tavonoba	abon-ova-t	normalized_slav_verbs.tsv			
absolutna	antulosba	absolut-n-a	normalized-MorfoCzech_dictionary.tsv			
absolutně	ěntulosba	absolut-n-ě	normalized-MorfoCzech_dictionary.tsv			
absolutnem	mentulosba	absolut-n-e-m	normalized-MorfoCzech_dictionary.tsv			
absolutní	íntulosba	absolut-n-í	normalized-MorfoCzech_dictionary.tsv			
absolutního	ohíntulosba	absolut-n-í-ho	normalized-MorfoCzech_dictionary.tsv	absolut-n-ího		
absolutních	hcíntulosba	absolut-n-í-ch	normalized-MorfoCzech_dictionary.tsv	absolut-n-ích	OK	
absolutním	míntulosba	absolut-n-í-m	normalized-MorfoCzech_dictionary.tsv			
absolutno	ontulosba	absolut-n-o	normalized-MorfoCzech_dictionary.tsv			
absolvent	tnevlosba	ab-solv-ent	extension-for-ud			
absolventi	itnevlosba	ab-solv-ent-i	extension-for-ud		OK	
absolvovat	tavovlosba	absolv-ova-t	normalized_slav_verbs.tsv			
absorbovat	tavobrosba	ab-sorb-ova-t	normalized_slav_verbs.tsv			
abstenovanost	tsonavonetsba	absten-ova-n-ost	our-2.1k-uniffreqsample-lemmas.tsv			
abstenovat	tavonetsba	absten-ova-t	normalized_slav_verbs.tsv			
abstrahovat	tavohartsba	abs-trah-ova-t	inconsist-slav-winner			
abstrakce	eckartsba	ab-s-trak-c-e	normalized-MorfoCzech_dictionary.tsv			
abstrakcí	íckartsba	ab-s-trak-c-í	normalized-MorfoCzech_dictionary.tsv			
abstraktní	íntkartsba	ab-s-trakt-n-í	normalized-MorfoCzech_dictionary.tsv			
abstraktních	hcíntkartsba	ab-s-trakt-n-í-ch	normalized-MorfoCzech_dictionary.tsv	ab-s-trakt-n-ích	OK	
abstraktními	imíntkartsba	ab-s-trakt-n-í-m-i	normalized-MorfoCzech_dictionary.tsv	abs trakt n ími	OK	
abušinovův	vůvonišuba	abušinov-ův	our-2.1k-uniffreqsample-lemmas.tsv			
aby	yba	aby	normalized-MorfoCzech_dictionary.tsv			
abych	hcyba	aby-ch	normalized-MorfoCzech_dictionary.tsv		OK	
abychom	mohcyba	a-by-chom	normalized-MorfoCzech_dictionary.tsv			
abys	syba	a-by-s	normalized-MorfoCzech_dictionary.tsv			
abyste	etsyba	aby-s-te	normalized-MorfoCzech_dictionary.tsv			
aceton	noteca	acet-on	our-1k-bandsample-lemmas.tsv			
acidifikovávanost	tsonavávokifidica	acid-i-fik-ová-v-a-n-ost	our-2.1k-uniffreqsample-lemmas.tsv			
actu	utca	actu	normalized-MorfoCzech_dictionary.tsv			
ač	ča	ač	normalized-MorfoCzech_dictionary.tsv			
ačkoli	ilokča	ač-koli	normalized-MorfoCzech_dictionary.tsv			
ad	da	ad	normalized-MorfoCzech_dictionary.tsv			
adam	mada	adam	our-2.1k-uniffreqsample-lemmas.tsv			
adami	imada	adami	extension-for-ud	adami		
adaptabilní	ínlibatpada	adapt-abil-n-í	extension-for-ud			
adaptor	rotpada	adapt-or	our-1k-bandsample-lemmas.tsv			
adaptovat	tavotpada	adapt-ova-t	normalized_slav_verbs.tsv			
adekvátní	íntávkeda	ad-ekvát-n-í	extension-for-ud			
adjustovat	tavotsujda	adjust-ova-t	normalized_slav_verbs.tsv			
administrativní	ínvitartsinimda	ad-ministr-at-iv-n-í	extension-for-ud			
administrovat	tavortsinimda	administr-ova-t	normalized_slav_verbs.tsv			
admirál	lárimda	admirál	our-2k-bandsample-lemmas.tsv			
admirála	alárimda	admirál-a	our-2k-bandsample-forms.tsv			
adoptovat	tavotpoda	ad-opt-ova-t	normalized_slav_verbs.tsv			
adorovat	tavoroda	ador-ova-t	normalized_slav_verbs.tsv			
adres	serda	adres	extension-for-ud			
adresa	aserda	adres-a	normalized-MorfoCzech_dictionary.tsv			
adresáta	atáserda	adres-át-a	extension-for-ud			
adresátů	ůtáserda	adres-át-ů	extension-for-ud			
adrese	eserda	adres-e	extension-for-ud			
adresovat	tavoserda	adres-ova-t	normalized_slav_verbs.tsv			
adresu	userda	adres-u	normalized-MorfoCzech_dictionary.tsv			
adriana	anairda	adrian-a	all-revision			
advokát	tákovda	advok-át	normalized-MorfoCzech_dictionary.tsv			
advokáta	atákovda	advok-át-a	normalized-MorfoCzech_dictionary.tsv			
advokátem	metákovda	advok-át-e-m	normalized-MorfoCzech_dictionary.tsv			
advokátní	íntákovda	ad-vok-át-n-í	extension-for-ud			
