státi (se)	)es( itáts	stá-ti (se)			
poroučeti (se)	)es( itečuorop	po-rouč-e-ti (se)			
a	a	a			
á	á	á			
jaa	aaj	jaa			
ba	ab	ba			
bába	abáb	báb-a			
ježibaba	ababižej	ježibab-a			
syllaba	aballys	syllab-a			
slabá	ábals	slab-á			
araba	abara	arab-a			
žába	abáž	žáb-a			
léčba	abčél	léč-b-a			
skladba	abdalks	s-klad-b-a			
hradba	abdarh	hrad-b-a			
chodba	abdohc	chod-b-a			
chodba	abdohc	chod-b-a	opraveno		
hudba	abduh	hud-b-a			
chleba	abelhc	chleb-a			
dareba	aberad	dareb-a			
třeba	abeřt	třeb-a			
třeba	abeřt	třeb-a	opraveno		
potřeba	abeřtop	po-třeb-a			
spotřeba	abeřtops	s-po-třeb-a			
líbá	ábíl	líb-á			
záliba	abiláz	zá-lib-a			
alba	abla	alb-a			
palba	ablap	pal-b-a	opraveno		
volba	ablov	vol-b-a			
předvolba	ablovdeřp	před-vol-b-a			
bomba	abmob	bomb-a			
hanba	abnah	han-b-a			
oba	abo	ob-a			
doba	abod	dob-a			
obdoba	abodbo	ob-dob-a			
krátkodobá	ábodoktárk	krát-k-o-dob-á			
podoba	abodop	po-dob-a			
obhajoba	abojahbo	ob-haj-ob-a			
hniloba	abolinh	hni-l-ob-a			
choroba	aborohc	chor-ob-a			
výroba	aborýv	vý-rob-a			
zásoba	abosáz	zá-sob-a			
osoba	aboso	o-sob-a			
tvorba	abrovt	tvorb-a			
platba	abtalp	plat-b-a			
huba	abuh	hub-a			
škubá	ábukš	škub-á			
houba	abuoh	houb-a			
kouba	abuok	koub-a			
trouba	abuort	troub-a			
hrubá	áburh	hrub-á			
zhruba	aburhz	z-hrub-a			
chyba	abyhc	chyb-a			
pochyba	abyhcop	po-chyb-a			
nehýbá	ábýhen	ne-hýb-á			
ryba	abyr	ryb-a			
sazba	abzas	saz-b-a			
dlažba	abžald	dlaž-b-a			
ražba	abžar	raž-b-a			
údržba	abžrdú	ú-drž-b-a			
tržba	abžrt	trž-b-a			
služba	abžuls	služ-ba			
tužba	abžut	tuž-b-a			
