lemma	tag
nehledě	RF-------------
vzhledem	RF-------------
ad-2	RR--1----------
kontra	RR--1----------
versus	RR--1----------
via	RR--1----------
á-2	RR--1----------
bez-1	RR--2----------
blízko-3	RR--2----------
blíž	RR--2----------
během	RR--2----------
dle	RR--2----------
do-1	RR--2----------
doprostřed-2	RR--2----------
doprostředka-2	RR--2----------
dovnitř-1	RR--2----------
kol_,a	RR--2----------
kolem-1	RR--2----------
koncem	RR--2----------
krom_,s_^(^DD**kromě)	RR--2----------
kromě	RR--2----------
mimo-1	RR--2----------
místo-2_^(záměnou_za)	RR--2----------
namísto-2_^(záměnou_za)	RR--2----------
naproti-1_^(komu/čemu)	RR--2----------
napříč-1	RR--2----------
navrch-2	RR--2----------
nedaleko	RR--2----------
od-1	RR--2----------
ohledně	RR--2----------
okolo-1	RR--2----------
poblíž-2	RR--2----------
podle-2	RR--2----------
podél-1	RR--2----------
pomocí	RR--2----------
počátkem	RR--2----------
prostřed-1	RR--2----------
prostřednictvím	RR--2----------
s-1	RR--2----------
spod-1	RR--2----------
stran_^(týkající_se_čeho)	RR--2----------
stranou-2	RR--2----------
u-1	RR--2----------
uprostřed-2	RR--2----------
uvnitř-1	RR--2----------
vedle-1	RR--2----------
veprostřed-2	RR--2----------
vevnitř-1	RR--2----------
vně-1	RR--2----------
vprostřed-2	RR--2----------
vprostředku-2	RR--2----------
vpůli-2	RR--2----------
vyjma	RR--2----------
včetně-2	RR--2----------
vůkol-1	RR--2----------
z-1	RR--2----------
za	RR--2----------
začátkem	RR--2----------
zevnitř-1	RR--2----------
zhloubi-2	RR--2----------
zkraje-2	RR--2----------
znad-1_,a	RR--2----------
zpod-1	RR--2----------
zpoza	RR--2----------
zprostřed-2	RR--2----------
zprostředka-2	RR--2----------
zvíci	RR--2----------
dík-2	RR--3----------
díky	RR--3----------
k-1	RR--3----------
kvůli	RR--3----------
napospas-1	RR--3----------
navzdor	RR--3----------
navzdory-1	RR--3----------
oproti	RR--3----------
proti-1	RR--3----------
vstříc-1	RR--3----------
vzdor-1	RR--3----------
vůči	RR--3----------
mezi-1	RR--4----------
na-1	RR--4----------
nad-1	RR--4----------
o-1	RR--4----------
ob-1	RR--4----------
po-1	RR--4----------
pod-1	RR--4----------
pro-1	RR--4----------
před-1	RR--4----------
přes-1	RR--4----------
skrz-2	RR--4----------
v-1	RR--4----------
při-1	RR--6----------
konče	RR--7----------
počínaje	RR--7----------
per-1_^(z_latiny)	RR--X----------
