lemma	Best_parents	Annotated	sorted_parents	Best_parents_reversed	lemma_reversed	candidate_sorting_score	one_parent_in_lexicon	one_parent_in_lexicon_nosuffix	space_in_parent_candidates	PaReNT_Compound_probability	is_comp_w_known_parents	is_comp_w_known_status	all_parents_in_data_source	annotation_score
absolvenťák	absolventský koncert	True	['absolventský koncert', 'absolventský koncerní poměr', 'absolventský konzmus', 'absolventský koncerní', 'absolventský koněr', 'absolventský konskom', 'absolventský kancert', 'absolventský konfar', 'absolventský konský', 'absolventský kontres', 'absolvent', 'absolventský komparna', 'absolventský konskomba', 'absolventský koncerní vomálka', 'absolventský koncerní poměstivlo']	trecnok ýkstnevlosba	káťnevlosba	[21.0, 20.076923076923077, 10.5, 10.333333333333334, 10.25, 10.2, 10.166666666666666, 10.142857142857142, 10.125, 10.11111111111111, 10.1, 10.090909090909092, 10.083333333333334, 10.071428571428571, 10.066666666666666]	True	False	True	0.97388	True	False	True	2.97388
acetylfenylhydrazin	acetyl fenylhydrazin	True	['acetyl fenylhydrazin', 'acetylfenylhydrazin', 'acetylfenyl hydrazin', 'acethylfenylhydrazin', 'acetyl-fenylhydrazin', 'acetylfenylhydrasin', 'acetylvenylhydrazin', 'acetylxenylhydrazin', 'acethylenylhydrazin', 'acetylmenylhydrazin', 'acetylfenylyhydrazin', 'acetylenylhydrazin', 'acetylkenylhydrazin', 'acetylfenylhydráza', 'acetylhenylhydrazin']	nizardyhlynef lyteca	nizardyhlyneflyteca	[20.333333333333332, 11.0, 10.166666666666666, 0.5, 0.25, 0.2, 0.14285714285714285, 0.125, 0.1111111111111111, 0.1, 0.09090909090909091, 0.08333333333333333, 0.07692307692307693, 0.07142857142857142, 0.06666666666666667]	True	False	True	0.99981	False	True	True	2.99981
adeninribonukleotid	adenin ribonukleotid	True	['adenin ribonukleotid', 'adenin ribinukleotid', 'adenin ibronukleotid', 'adenin Ribonukleotid', 'adenin rbinoukleotid', 'adenin rbinukleotid', 'adenin rybonukleotid', 'adenin- ribonukleotid', 'adenin ribronukleotid', 'adenin rbonukleotid', 'adenin ribin bonukleotid', 'adenin riben unikleotid', 'adenin ribin boukleotid', 'adenin-ribonukleotid', 'adeninibronukleotid']	ditoelkunobir nineda	ditoelkunobirnineda	[21.0, 10.5, 10.333333333333334, 10.25, 10.2, 10.166666666666666, 10.125, 10.11111111111111, 10.1, 10.090909090909092, 10.076923076923077, 10.071428571428571, 10.066666666666666, 0.14285714285714285, 0.08333333333333333]	True	False	True	0.99999	True	True	True	3.99999
adolescentofilie	adolescent -fil-	True	['adolescent -fil-', 'adolescent filie', 'adolescent ofilie', 'adolescent --fil-', 'adolescent skélifie', 'adolescent ofilní', 'odolescent -fil-', 'adolescent holifie', 'adolescent- -fil-', 'adolescent fil-ie', 'adolescent ---fil-', 'adolescent -lifie', 'adolescentofilní', 'adolescent--fil-', 'adolescent----fil-']	-lif- tnecseloda	eilifotnecseloda	[21.0, 10.5, 10.333333333333334, 10.25, 10.166666666666666, 10.142857142857142, 10.11111111111111, 10.1, 10.090909090909092, 10.083333333333334, 10.076923076923077, 10.071428571428571, 0.2, 0.125, 0.06666666666666667]	True	False	True	0.41499	True	True	True	3.41499
aerokvětý	aero květ	True	['aero květ', 'erak věta', 'aerokvět', 'erak vět', 'Aerokvět', 'kerokvětý', 'erokvětý', 'erakvět', 'aerokvit', 'earokvět', 'erokvět', 'Eerokvět', 'erakovět', 'ketý', 'etrokvět']	těvk orea	ýtěvkorea	[20.125, 10.090909090909092, 10.0, 9.2, 0.5, 0.3333333333333333, 0.25, 0.16666666666666666, 0.14285714285714285, 0.1111111111111111, 0.1, 0.08333333333333333, 0.07692307692307693, 0.07142857142857142, 0.06666666666666667]	True	True	True	0.93157	False	True	True	2.93157
airbag	airbag	True	['air bag', 'airbag', 'air Bag', 'air', 'airy bag', 'aib rag', 'airBag', 'Airbag', 'air-bag', 'airibag', 'airab', 'airabgat', 'airubag', 'aibrag', 'aircagab']	gab ria	gabria	[21.0, 10.5, 10.166666666666666, 10.125, 10.11111111111111, 9.1, 0.3333333333333333, 0.25, 0.2, 0.14285714285714285, 0.09090909090909091, 0.08333333333333333, 0.07692307692307693, 0.07142857142857142, 0.06666666666666667]	True	True	True	0.9996	True	True	True	3.9996
akrylomalba	akryl malba	True	['akryl malba', 'akryl omalba', '-kryl malba', '-kryl- malba', '-krylo malba', 'akryl amalba', 'akrylomalba', '-krylo- malba', '-alky- malba', '-alkryl malba', '-alkry- malba', 'akryl -malba', 'krylomalba', '-krylomalba', '-klomalba']	ablam lyrka	ablamolyrka	[21.0, 10.5, 10.166666666666666, 10.142857142857142, 10.125, 10.11111111111111, 10.1, 10.090909090909092, 10.083333333333334, 10.076923076923077, 10.071428571428571, 10.066666666666666, 0.3333333333333333, 0.25, 0.2]	True	False	True	0.92517	True	True	True	3.92517
aktinodermatitida	aktin dermatitida	True	['aktin dermatitida', 'aktin- dermatitida', 'aknit dermatitida', 'Aktin dermatitida', 'aktin edermatitida', 'ak-tin dermatitida', 'aktin', 'aktinodermatitida', 'aknite dermatitida', 'akin dermatitida', 'aknit edermatitida', '-endermatitida', 'akintedermatitida', 'aknitendermatitida', 'akzintedermatitida']	adititamred nitka	adititamredonitka	[21.0, 10.5, 10.333333333333334, 10.25, 10.2, 10.166666666666666, 10.11111111111111, 10.1, 10.083333333333334, 10.076923076923077, 0.14285714285714285, 0.125, 0.09090909090909091, 0.07142857142857142, 0.06666666666666667]	True	False	True	0.83675	True	True	True	3.83675
aktinometrie	aktin -metr-	True	['aktin metrie', 'aktin -metr-', '-aktin metrie', '-aktr- -metr-', 'ak-tin- -metr-', 'aktin- metrie', 'aktinometrie', 'akcint metrie', 'aktin -metrie', '-aktin- metrie', 'aktin', 'ak-tin-metrie', 'ak-tinometrie', '-aktr- nometrie', 'aktin-metrie']	eirtem nitka	eirtemonitka	[21.0, 20.076923076923077, 10.5, 10.333333333333334, 10.25, 10.2, 10.142857142857142, 10.125, 10.11111111111111, 10.083333333333334, 10.066666666666666, 0.16666666666666666, 0.1, 0.09090909090909091, 0.07142857142857142]	True	False	True	0.89485	True	True	True	3.89485
aktinomykóza	aktin mykóza	True	['aktin mykóza', 'aktin- mykóza', 'aktin myzókóza', 'aktinomykóza', 'aktin myskóza', 'aktin mysikóza', 'aktin -mykóza', 'aktin mysokóza', 'akktin mykóza', 'akkint mykóza', 'aktin myzokóza', 'aktin mysokáza', 'ak-tin mykóza', 'aktin mysóka', 'aktin-mykóza']	azókym nitka	azókymonitka	[21.0, 10.5, 10.333333333333334, 10.25, 10.2, 10.166666666666666, 10.142857142857142, 10.125, 10.11111111111111, 10.090909090909092, 10.083333333333334, 10.076923076923077, 10.071428571428571, 10.066666666666666, 0.1]	True	False	True	0.98173	True	True	True	3.98173
