lemma	parents
kdoule	kdoule
syringobulbie	-syring- bulbus
trochanterion	-trech-
mimoodborný	mimo odbor
samodělný	sám dělný
samoděržaví	samoděržaví
sugestopedie	sugesce -paid-
vlkodav	vlk dávit
aeroakrobacie	-aer- akrobacie
arcičaroděj	-arci- čaroděj
bioprovincie	-bio- provincie
cykloubytovna	-cykl- ubytovna
postnormalizační	-post- normalizační
postváchalovský	-post- Váchal
ekopolicie	-eko- policie
encyklopedie	-en- -cykl- -paid-
fotofobie	-fot- -fob-
hyperodoncie	-hyper- -odont-
kvaziekologický	-kvazi- ekologický
makromanický	makro mánie
mikrotragédie	-mikr- tragédie
mimokošíkářský	mimo košíkář
mimokřesťanský	mimo křesťan
mimoloutkářský	mimo loutkář
mimomalířský	mimo malíř
mimomanželský	mimo manžel
mimonakladatelský	mimo nakladatel
mimoodborářský	mimo odborář
mimopotravinářský	mimo potravinář
profifotbalista	profi fotbalista
profitenis	profi tenis
vitelogeneze	-tel- geneze
čarověník	čarověník
vnitroklimatický	vnitřní klima
transdisciplinární	-trans- disciplína
turbosféra	-turb- sféra
tvrdohlavý	tvrdý hlava
ultrapravý	-ultra- pravý
televarieté	-tel- varieté
minižačka	minižák
minižákyně	minižák
neobaroko	-neo- baroko
ereutofobie	-ereuth- fobie
subvirový	vir
mimoevropan	mimo Evropa
fotocentrum	-fot- centrum
šedošedý	šedý šedý
krimipříběh	krimi příběh
mimoverbální	mimo verbum
raketoplán	raketa -plan-
mimoodovolací	mimo odvolací
kulturuněpolitický	kulturní politika
polooficální	půl oficiální
termokinetika	-therm- kinetika
absolvenťák	!
hotelovka	!
jazykovka	!
jednokolejka	!
pauzák	!
peďák	!
permice	!
plavečák	!
plenárka	!
polohovka	!
stoeurovka	!
dvoumotorák	!
nobelovka	!
podlahovka	!
jednohodinovka	!
jednosměrka	!
minerálka	!
minimálka	!
miniplenárka	plenárka
astrometrie	-astr- metr
dendrometrie	-dendr- metr
enantiometrie	-enanti- metr
fonometrie	-fon- metr
granulometrie	-granul- metr
hygrometr	-hygr- metr
chronometráž	-chron- metr
audiometr	audio metr
audiometrie	audiometr
barometr	bar metr
bilirubinometr	bilirubin metr
denzitometrie	denzita metr
dynamometr	dynamo metr
elipsometr	elipsa metr
kilometr	kilo metr
kraniometrie	kranium metr
metrologie	metr -log-
pyranometr	pyran metr
radiometrie	radio metr
rentgenometrie	rentgen metr
sinusometr	sinus metr
typometrický	typometrie
autoštěp	-aut- štěp
elektroakupunktura	-elektr- akupunktura
exoparazit	-exo- parazit
kvaziopoziční	-kvazi- opoziční
makromíchání	makro míchání
miniautomobil	-mini- automobil
minbar	-mini- bar
minibikový	-mini- bike
miničtyřka	-mini- čtyřka
minidávkový	-mini- dávka
minifilmeček	-mini- filmeček
minifotbal	-mini- fotbal
miniházená	-mini- házená
minihitparáda	-mini- hitparáda
minihřiště	-mini- hřiště
miniikona	-mini- ikona
miniinvazivní	-mini- invaze
miniinvazní	-mini- invaze
miniknížectví	-mini- knížezctví
miniobrazovka	-mini- obrazovka
miniobřad	-mini- obřad
miniocelárna	-mini- ocelárna
minioddělení	-mini- oddělení
minisalónek	-mini- salónek
minitoolbar	-mini- toolbar
minizářivka	-mini- zářivka
multifokální	-multi- fokus
multilaterální	-multi- laterála
nitroskupina	-nitr- skupina
šusťákovka	!
dvojstěnka	!
airbag	air bag
alergotoxický	alergie toxický
americkofrancouzský	americký francouzský
aminoplast	amin plast
aminopurin	aminopur
arabskoislámský	arabský islámský
autorskoprávní	autorský právo
bassreflex	bass reflex
bělokřídlý	bílý křídlo
bílostříbrný	bílý stříbrný
bílozlatohnědý	bílý zlatý hnědý
běložlutý	bílý žlutý
borůvkobraní	borůvka braní
bosenskochorvatský	bosenský chorvatský
brandýskoboleslavský	brandýský boleslavský
britskoamerický	britský americký
britskoitalský	britský italský
břichabol	břicho bol
býložravý	býlí žravý
celoarabský	celý Arábie
celoperuánský	celý Peru
celotáborový	celý tábor
celovečerní	celý večer
cizojazyčný	cizí jazyk
černoděrový	černý díra
černopolní	černý pole
červenoknihovní	červený knihovna
českobavorský	český bavorský
čínskoamerický	čínský americký
čistokrevný	čistý krev
čistosrdečný	čistý srdce
dalekojdoucí	daleko jdoucí
dalekozření	daleko zřít
dělostřelec	dělo střelec
dlanitodílný	dlanitý díl
dlouhozobý	dlouhý zobák
dolnokounický	dolní Kounice
dolnorakouský	dolní Rakousko
domorodý	doma rodit
domkuchtivý	domek chtivý
dopravněbezpečnostní	dopravní bezpečnost
drahocenný	drahý cena
drsnokřídlec	drsnokřídlý
druhoválečný	druhý válka
dřevouhelný	dřevěný uhlí
dřevohliněný	dřevo hlína
dřevožrout	dřevo žrout
dvouapsidový	dva apsida
dvoubarvotisk	dva barva tisk
dvoubojovník	dva bojovník
dvojhra	dva hra
dvojjehlový	dva jehla
dvojmaraton	dva maraton
dvouapůltisícovka	dva půl tisícovka
dvojřádek	dva řádek
dvojslunce	dva slunce
dvousetdílný	dva sto díl
dvousetmarkový	dva sto marka
dvousetosmimiliónový	dva sto osm milión
dvojzoborožec	dva zobák roh
dynamometrický	dynamometr
dýňobraní	dýně braní
fotokvíz	-fot- kvíz
fotonávod	-fot- návod
fotopapír	-fot- papír
fotopříběh	-fot- příběh
fotopublikace	-fot- publikace
francouzskoněmecký	francouzský německý
fyzickozeměpisný	fyzický zeměpis
genofond	gen fond
grandslam	grand slam
havlovláda	Havel vláda
hlinitoborokřemičitan	hlinitý bor křemičitan
hmyzožravý	hmyz žravý
víceprocesní	hodně proces
víceproudý	hodně proud
víceventilový	hodně ventil
hodnověrný	hodný víra
hodobožový	hodobóžo
hololebý	holý leb
horkovod	horko vést
hornohradební	horní hradba
hořečnatoželeznatý	hořečnatý železnatý
hranatozrnitý	hranatý zrno
hvězdotřesení	hvězda třesení
choroboplodný	choroba plodný
italskofrancouzský	italský francouzský
italskoněmecký	italský německý
izraelskofrancouzský	izraelský francouzský
jaslovskobohunický	Jaslovské Bohunice
jasnozření	jasný zření
javorolistý	javor list
