lemma	tag	wordform	parents
bůhvíkolik	Ca--1----------	bůhvíkolik	bůh vědět kolik
kdovíkolik	Ca--1----------	kdovíkolik	kdo vědět kolik
kolik	Ca--1----------	kolik	kolik
kolikpak	Ca--1----------	kolikpak	kolik
malinko-1_^(málo_peněz)	Ca--1----------	malinko	málo
maličko-1_^(málo_peněz)	Ca--1----------	maličko	málo
mnoho-1	Ca--1----------	mnoho	mnoho
málo-1_^(málo_peněz)	Ca--1----------	málo	málo
nemalinko-1_^(málo_peněz)	Ca--1----------	nemalinko	nemalinko
nemaličko-1_^(málo_peněz)	Ca--1----------	nemaličko	nemaličko
nemnoho	Ca--1----------	nemnoho	nemnoho
nemálo-1	Ca--1----------	nemálo	nemálo
nevímkolik	Ca--1----------	nevímkolik	vědět kolik
několik	Ca--1----------	několik	několik
přemnoho	Ca--1----------	přemnoho	mnoho
tolik-1	Ca--1----------	tolik	tolik
čertvíkolik	Ca--1----------	čertvíkolik	čert vědět kolik
pár-1	Ca--X----------	pár	pár
desaterý`10	CdFP1----------	desatery	deset
devadesaterý`90	CdFP1----------	devadesatery	devadesát
devadesáterý`90_^(*3)	CdFP1----------	devadesátery	devadesát
devatenácterý`19_^(*3)	CdFP1----------	devatenáctery	devatenáct
devaterý`9	CdFP1----------	devatery	devět
devětadevadesáterý`99_^(*3)	CdFP1----------	devětadevadesátery	devět devadesát
devětadvacaterý`29	CdFP1----------	devětadvacatery	devět dvacet
devětaosmdesáterý`89_^(*3)	CdFP1----------	devětaosmdesátery	devět osmdesát
devětapadesáterý`59_^(*3)	CdFP1----------	devětapadesátery	devět padesát
devětasedmdesáterý`79_^(*3)	CdFP1----------	devětasedmdesátery	devět sedmdesát
devětatřicaterý`39	CdFP1----------	devětatřicatery	devět třicet
devětatřiceterý`39_^(*3)	CdFP1----------	devětatřicetery	devět třicet
devětačtyřicaterý`49	CdFP1----------	devětačtyřicatery	devět čtyřicet
devětašedesáterý`69_^(*3)	CdFP1----------	devětašedesátery	devět šedesát
dvaadevadesáterý`92_^(*3)	CdFP1----------	dvaadevadesátery	dva devadesát
dvaadvacaterý`22	CdFP1----------	dvaadvacatery	dva dvacet
dvaaosmdesáterý`82_^(*3)	CdFP1----------	dvaaosmdesátery	dva osmdesát
dvaapadesáterý`52_^(*3)	CdFP1----------	dvaapadesátery	dva padesát
dvaasedmdesáterý`72_^(*3)	CdFP1----------	dvaasedmdesátery	dva sedmdesát
dvaatřicaterý`32	CdFP1----------	dvaatřicatery	dva třicet
dvaačtyřicaterý`42	CdFP1----------	dvaačtyřicatery	dva čtyřicet
dvaašedesáterý`62_^(*3)	CdFP1----------	dvaašedesátery	dva šedesát
dvacaterý`20	CdFP1----------	dvacatery	dvacet
dvanácterý`12_^(*3)	CdFP1----------	dvanáctery	dvanáct
dvěstěpadesáterý`250_^(*3)	CdFP1----------	dvěstěpadesátery	dvěstě padesát
jedenadevadesáterý`91_^(*3)	CdFP1----------	jedenadevadesátery	jeden devadesát
jedenadvaceterý`21_^(*3)	CdFP1----------	jedenadvacetery	jeden dvacet
jedenaosmdesáterý`81_^(*3)	CdFP1----------	jedenaosmdesátery	jeden osmdesát
jedenapadesáterý`51_^(*3)	CdFP1----------	jedenapadesátery	jeden padesát
jedenasedmdesáterý`71_^(*3)	CdFP1----------	jedenasedmdesátery	jeden sedmdesát
jedenatřicaterý`31	CdFP1----------	jedenatřicatery	jeden třicet
jedenačtyřicaterý`41	CdFP1----------	jedenačtyřicatery	jeden čtyřicet
jedenašedesáterý`61_^(*3)	CdFP1----------	jedenašedesátery	jeden šedesát
jedenácterý`11_^(*3)	CdFP1----------	jedenáctery	jedenáct
jednadvaceterý`21_^(*3)	CdFP1----------	jednadvacetery	jeden dvacet
jednatřicaterý`31	CdFP1----------	jednatřicatery	jeden třicet
jedny`1	CdFP1----------	jedny	jeden
osmadevadesáterý`98_^(*3)	CdFP1----------	osmadevadesátery	osm devadesát
osmadvacaterý`28	CdFP1----------	osmadvacatery	osm dvacet
osmaosmdesáterý`88_^(*3)	CdFP1----------	osmaosmdesátery	osm osmdesát
osmapadesáterý`58_^(*3)	CdFP1----------	osmapadesátery	osm padesát
osmasedmdesáterý`78_^(*3)	CdFP1----------	osmasedmdesátery	osm sedmdesát
osmatřicaterý`38	CdFP1----------	osmatřicatery	osm třicet
osmačtyřicaterý`48	CdFP1----------	osmačtyřicatery	osm čtyřicet
osmašedesáterý`68_^(*3)	CdFP1----------	osmašedesátery	osm šedesát
osmdesáterý`80_^(*3)	CdFP1----------	osmdesátery	osmdesát
osmerý`8_^(*3)	CdFP1----------	osmery	osm
osmnácterý`18_^(*3)	CdFP1----------	osmnáctery	osmnáct
osumdesáterý`80_^(^GC**osmdesáterý)_(*3)	CdFP1----------	osumdesátery	osmdesát
padesáterý`50_^(*3)	CdFP1----------	padesátery	padesát
paterý`5	CdFP1----------	patery	pět
patnácterý`15_^(*3)	CdFP1----------	patnáctery	patnáct
pětadevadesáterý`95_^(*3)	CdFP1----------	pětadevadesátery	pět devadesát
pětadvacaterý`25	CdFP1----------	pětadvacatery	pět dvacet
pětaosmdesáterý`85_^(*3)	CdFP1----------	pětaosmdesátery	pět osmdesát
pětapadesáterý`55_^(*3)	CdFP1----------	pětapadesátery	pět padesát
pětasedmdesáterý`75_^(*3)	CdFP1----------	pětasedmdesátery	pět sedmdesát
pětasedumdesáterý`75_^(^GC**pětasedmdesáterý)_(*3)	CdFP1----------	pětasedumdesátery	pět sedmdesát
pětatřicaterý`35	CdFP1----------	pětatřicatery	pět třicet
pětačtyřicaterý`45	CdFP1----------	pětačtyřicatery	pět čtyřicet
pětašedesáterý`65_^(*3)	CdFP1----------	pětašedesátery	pět šedesát
sedmadevadesáterý`97_^(*3)	CdFP1----------	sedmadevadesátery	sedm devadesát
sedmadvacaterý`27	CdFP1----------	sedmadvacatery	sedm dvacet
sedmaosmdesáterý`87_^(*3)	CdFP1----------	sedmaosmdesátery	sedm osmdesát
