lemma	tag
jehož	P1FXXFS3-------
jehožto	P1FXXFS3-------
jaký	P4FP1----------
jakýpak	P4FP1----------
jakýže	P4FP1----------
jakýžto	P4FP1----------
jenž_^(který_[ve_vedl.větě])	P4FP1----------
který	P4FP1----------
kterýpak	P4FP1----------
kterýž	P4FP1----------
kterýžto	P4FP1----------
čí	P4FP1----------
čípak	P4FP1----------
an-1_,a	P4FS1----------
jenžto_^(který_[ve_vedl.větě])	P4FS1---------2
co-4_^(který:_o_těch,_co_odešli)	P4XXX----------
ký	P4YS1----------
svůj-1	P8FP1---------1
jeho	P9FXXFS3-------
onen	PDFP1----------
tadyhleten	PDFP1----------
tadyten	PDFP1----------
takový	PDFP1----------
takovýhle	PDFP1----------
takovýto	PDFP1----------
taký	PDFP1----------
tamhleten	PDFP1----------
tamten	PDFP1----------
ten	PDFP1----------
tenhle	PDFP1----------
tenhleten	PDFP1----------
tento	PDFP1----------
tentýž	PDFP1----------
tuhleten	PDFP1----------
tuten_,a	PDFP1----------
týž	PDFS1----------
onenhle	PDNS1----------
toť	PDNS1----------
toto_,a	PDNS1---------2
to-1_^(tehdy;to_jsem_byla_ještě_malá)	PDXXX----------
on-1	PEFP1--3-------
bůhvíco	PK--1----------
bůhvíkdo	PK--1----------
cokoli	PK--1----------
cokoliv	PK--1----------
cokolivěk	PK--1----------
cosi	PK--1----------
cožkoli	PK--1----------
kdeco	PK--1----------
kdekdo	PK--1----------
kdokoli	PK--1----------
kdokoliv	PK--1----------
kdos	PK--1----------
kdosi	PK--1----------
kdovíco	PK--1----------
kdovíkdo	PK--1----------
kdožkoli	PK--1----------
kdožkolivěk	PK--1----------
lecco	PK--1----------
leccos	PK--1----------
leckdo	PK--1----------
leckdos	PK--1----------
ledaco	PK--1----------
ledacos	PK--1----------
ledakdo	PK--1----------
ledasco	PK--1----------
ledaskdo	PK--1----------
máloco	PK--1----------
málokdo	PK--1----------
nevímco	PK--1----------
nevímkdo	PK--1----------
něco	PK--1----------
něcož	PK--1----------
někdo	PK--1----------
sotvaco	PK--1----------
sotvacos	PK--1----------
sotvakdo	PK--1----------
všelico	PK--1----------
všelicos	PK--1----------
všelicož	PK--1----------
zřídkaco	PK--1----------
zřídkakdo	PK--1----------
čertvíco	PK--1----------
čertvíkdo	PK--1----------
samý	PLFP1----------
sám_^(samotný)	PLFP1----------
veškerý	PLFP1----------
všecek	PLFP1----------
všechen	PLFP1----------
všecken	PLFP1----------
my	PP-P1--1-------
vy	PP-P1--2-------
já	PP-S1--1-------
ty	PP-S1--2-------
co-1	PQ--1----------
copak-1	PQ--1----------
což-1	PQ--1----------
cože-2	PQ--1----------
cožpak-2_^(co)	PQ--1----------
kdo	PQ--1----------
kdopak	PQ--1----------
kdož	PQ--1----------
kdože	PQ--1----------
kdožpak	PQ--1----------
můj	PSFP1-S1------1
tvůj	PSFP1-S2------1
náš	PSHP1-P1-------
váš	PSHP1-P2-------
nijaký	PWFP1----------
ničí	PWFP1----------
nižádný	PWFP1----------
pražádný	PWFP1----------
žádný	PWFP1----------
nic	PY--1----------
nikdo	PY--1----------
pranic-1	PY--1----------
pranikdo	PY--1----------
bůhvíjaký	PZFP1----------
bůhvíčí	PZFP1----------
jakýkoli	PZFP1----------
jakýkoliv	PZFP1----------
jakýs	PZFP1----------
jakýsi	PZFP1----------
kdejaký	PZFP1----------
kdekterý	PZFP1----------
kdovíjaký	PZFP1----------
kdovíkterý	PZFP1----------
kdovíčí	PZFP1----------
kterýkoli	PZFP1----------
kterýkoliv	PZFP1----------
kterýs	PZFP1----------
kterýsi	PZFP1----------
lecjaký	PZFP1----------
lecjakýs	PZFP1----------
leckterý	PZFP1----------
leckterýs	PZFP1----------
lecčí	PZFP1----------
ledajaký	PZFP1----------
ledakterý	PZFP1----------
ledasjaký_,s_^(^DD**ledajaký)	PZFP1----------
ledačí	PZFP1----------
málokterý	PZFP1----------
nevímjaký	PZFP1----------
nevímkterý	PZFP1----------
nevímčí	PZFP1----------
nějaký	PZFP1----------
některý	PZFP1----------
něčí	PZFP1----------
sotvakterý	PZFP1----------
takýs	PZFP1----------
všaký_,a	PZFP1----------
všelijaký	PZFP1----------
všelikerý	PZFP1----------
všelikteraký	PZFP1----------
všelikterý	PZFP1----------
všeliký_,a	PZFP1----------
všelisjaký	PZFP1----------
všeličí	PZFP1----------
čertvíjaký	PZFP1----------
čertvíčí	PZFP1----------
číkoli	PZFP1----------
číkoliv	PZFP1----------
čísi	PZFP1----------
