aeroshow	show#NNXXX-----A----
aerosol	sol#NNI??-----A---?
aerotop	top#NNI??-----A---?
biosen	sen#NNI??-----A---?
biohovězí	hovězí#NNNS?-----A----
bioden	den#NNI??-----A---?
biomodel	model#NNI??-----A---?
biopotřeba	potřeba#NNF??-----A---?
bioshow	show#NNXXX-----A----
bioskot	skot#NNI??-----A---?
biomarket	market#NNI??-----A---?
biofaktor	faktor#NNI??-----A---?
bioagens	agens#NNI??-----A---?
biokout	kout#NNI??-----A---?
biotábor	tábor#NNI??-----A---?
biodobytek	dobytek#NNI??-----A---?
biořízek	řízek#NNI??-----A---?
biokřen	křen#NNI??-----A---?
biotop	top#AAXXX----1A----
biomoc	moc#NNF??-----A---?
biobuřt	buřt#NNI??-----A---?
biodítě	dítě#NNNS?-----A----
bioplazma	plazma#NNF??-----A---?
cyklonosič	nosič#NNI??-----A---?
cykloden	den#NNI??-----A---?
cyklopotřeba	potřeba#NNF??-----A---?
cyklorikša	rikša#NNF??-----A---?
cyklovidlák	vidlák#NNM??-----A---?
cyklovečer	večer#NNI??-----A---?
cykloprůvodce	průvodce#NNI??-----A----
cykloveterán	veterán#NNI??-----A---?
cyklokolos	kolos#NNI??-----A---?
cykloesej	esej#NNF??-----A---?
cyklotábor	tábor#NNI??-----A---?
cyklogigant	gigant#NNI??-----A---?
cyklopěší	pěší#AA???----1?---?
cyklopaťák	paťák#NNM??-----A---?
postblokový	blokový#AA???----??---?
postpunk	punk#NNI??-----A---?
ekovečer	večer#NNI??-----A---?
ekotop	top#AAXXX----1A----
fotomodel	model#NNI??-----A---?
fotovodič	vodič#NNI??-----A---?
fotopásek	pásek#NNI??-----A---?
fotoesej	esej#NNF??-----A---?
fototip	tip#AAXXX----1A----
fotoeditor	editor#NNM??-----A---?
transexpres	expres#Db-------------
turbomotor	turbo#NNN??-----A---?
turbodiesel	turbo#NNN??-----A---?
turbokarta	turbo#AAXXX----1A----
turbofavorit	turbo#NNN??-----A---?
turbofavorit	favorit#NNI??-----A---?
turbopauza	turbo#AAXXX----1A----
ultraradikál	radikál#NNM??-----A---?
megashow	show#NNXXX-----A----
megastar	star#NNFXX-----A----
megastát	stát#NNI??-----?---?
megabecquerel	becquerel#NNI??-----A---?
pidistát	stát#NNI??-----?---?
mimozemšťan	mimo#RR--2----------
mimoglobální	mimo#RR--2----------
polosen	sen#NNI??-----A---?
polomrtvý	mrtvý#A????----??---?
polovodič	vodič#NNI??-----A---?
polosirota	sirota#NNM??-----A---?
polostep	step#NNF??-----A----
půlden	den#NNI??-----A---?
polyhalit	halit#NNI??-----A---?
polyhybrid	hybrid#NNI??-----A---?
multimodel	model#NNI??-----A---?
multivideo	video#AAXXX----1A----
multiadaptér	adaptér#NNI??-----A---?
multitalent	talent#NNI??-----A---?
radiopotřeba	potřeba#Db-------------
radioindikátor	indikátor#NNI??-----A---?
mimoodborný	mimo#RR--2----------
mimokošíkářský	mimo#RR--2----------
mimokřesťanský	mimo#RR--2----------
mimoloutkářský	mimo#RR--2----------
mimomalířský	mimo#RR--2----------
mimonakladatelský	mimo#RR--2----------
mimoodborářský	mimo#RR--2----------
mimopotravinářský	mimo#RR--2----------
mimoevropan	mimo#RR--2----------
krimipříběh	krimi#AAXXX----1A----
mimoverbální	mimo#RR--2----------
mimoodovolací	mimo#RR--2----------
audiometr	audio#AAXXX----1A----
bílozlatohnědý	zlatý#AA???----??---?
celotáborový	tábor#NNI??-----A---?
celovečerní	večer#NNI??-----A---?
cizojazyčný	jazyk#NNI??-----A---?
dalekojdoucí	daleko#Dg-------??---?
dalekozření	daleko#Dg-------??---?
víceprocesní	hodně#Dg-------??---?
víceproudý	hodně#Dg-------??---?
víceventilový	hodně#Dg-------??---?
horkovod	horko#NNN??-----A---?
hornohradební	horní#AA???----??---?
jídlonosič	nosič#NNI??-----A---?
jinojazyčný	jazyk#NNI??-----A---?
kdovíjak	jak#Db-----------?-
kolemstojící	kolem#RR--2----------
lázeňskoléčebný	lázeňský#AA???----??---?
makrojazyk	jazyk#NNI??-----A---?
makroukazatel	ukazatel#NNI??-----A---?
mimobiologický	mimo#RR--2----------
mimobursovní	mimo#RR--2----------
mimocelní	mimo#RR--2----------
mimoglobální	mimo#RR--2----------
mimohospodářský	mimo#RR--2----------
mimoherní	mimo#RR--2----------
mimokonkursní	mimo#RR--2----------
mimolidský	mimo#RR--2----------
mimoliterární	mimo#RR--2----------
mimomzdový	mimo#RR--2----------
mimonárodní	mimo#RR--2----------
mimonovinářský	mimo#RR--2----------
mimoobligační	mimo#RR--2----------
mimooborový	mimo#RR--2----------
mimoodvětvový	mimo#RR--2----------
mimoplanetární	mimo#RR--2----------
mimoprofesní	mimo#RR--2----------
mimoprovozní	mimo#RR--2----------
mimoresortní	mimo#RR--2----------
mimorybářský	mimo#RR--2----------
mimosterlingový	mimo#RR--2----------
mimotrestní	mimo#RR--2----------
mimotřídní	mimo#RR--2----------
mimoústecký	mimo#RR--2----------
modrozlatý	zlatý#AA???----??---?
pětimístný	místo#NNN??-----A---?
samorostlý	růst#V???---??-??I??
samovařič	vařič#NNI??-----A---?
softsexykomedie	soft#AAXXX----1A----
spoluvěřící	věřící#AG???-----?---?
staroběloruský	starý#A????----??---?
staroegyptský	starý#A????----??---?
starokomický	starý#A????----??---?
staroměstký	starý#A????----??---?
svatomartinský	svatý#A????----??---?
thaiboxer	boxer#NNM??-----A---?
tmavězlatý	zlatý#AA???----??---?
velevhod	vhod#Dg-------1?----
videoanarchie	video#AAXXX----1A----
videozařízení	video#AAXXX----1A----
