SAME	akt	aktér	['fr.', 'lat.']	akt	['lat.', 'č.', 'lat.', 'něm.']
SAME	aranžovat	aranžovat	['fr.', 'germ.']	aranžmá	['fr.']
DIFF	anděl	archanděl	['střlat.']	anděl	['stč.', 'všesl.', 'evr.', 'lat.', 'ř.']
SAME	alespoň	aspoň	['stč.']	alespoň	['zsl.,stč.']
SAME	baba	bábovka	['stč.', 'č.']	bába	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lit.']
SAME	bahno	bahno	['p.', 'jsl.', 'psl.', 'něm.', 'stangl.', 'angl.', 'ie.']	bahnice	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'stangl.', 'stir.', 'lat.', 'ř.', 'ie.', 'slov.']
SAME	bachor	bachratý	['č.']	bachor	['stč.', 'b.', 'psl.']
DIFF	balit	balit	['č.', 'stč.', 'něm.']	balík	['maď.']
SAME	bambule	bambule	['č.', 'dl.']	bambula	['maď.']
SAME	band	bandita	['it.', 'germ.', 'něm.', 'stfr.']	banda	['něm.', 'fr.', 'stprov.', 'germ.', 'gót.']
DIFF	barák	barák	['něm.', 'fr.', 'šp.', 'předrom.']	barabizna	['něm.', 'fr.', 'šp.', 'předrom.,všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lit.']
DIFF	barva	barvínek	['něm.', 'lat.']	barva	['stč.', 'střhn.', 'sthn.', 'slk.']
SAME	bát	bázeň	['stč.', 'psl.']	báseň	['luž.', 'r.', 'stsl.', 'psl.']
SAME	báze	bazírovat	['něm.']	báze	['něm.', 'lat.', 'ř.']
SAME	bahno	bažina	['č.', 'psl.']	bahnice	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'stangl.', 'stir.', 'lat.', 'ř.', 'ie.', 'slov.']
SAME	bdít	bedlivý	['č.', 'psl.']	bdít	['str.', 'ch.', 'stsl.', 'psl.', 'lit.', 'sti.', 'ie.']
SAME	bít	bidlo	['stč.', 'psl.', 'niz.', 'ř.']	bič	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'č.', 'něm.', 'všesl.', 'ch.', 'gót.', 'lat.', 'ř.', 'ie.', 'lit.', 'sti.']
SAME	bílý	bílkovina	['všesl.', 'p.', 'r.', 'ch.', 'stsl.', 'psl.', 'kelt.', 'ř.', 'lit.', 'ie.']	bělmo	['psl.']
SAME	bílý	bílý	['všesl.', 'p.', 'r.', 'ch.', 'stsl.', 'psl.', 'kelt.', 'ř.', 'lit.', 'ie.']	bělmo	['psl.']
SAME	bít	bít	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'kelt.', 'stbret.', 'něm.', 'angl.', 'lat.', 'ř.', 'arm.', 'ie.']	bič	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'č.', 'něm.', 'všesl.', 'ch.', 'gót.', 'lat.', 'ř.', 'ie.', 'lit.', 'sti.']
SAME	blahý	blahý	['lat.', 'ř.', 'p.', 'stsl.', 'vsl.', 'psl.', 'lot.', 'lat.', 'sti.', 'ie.', 'av.']	bláhový	['č.']
DIFF	blanket	blankyt	['stč.', 'střlat.']	blanket	['něm.', 'střlat.', 'germ.']
SAME	blahý	blažený	['lat.', 'ř.', 'p.', 'stsl.', 'vsl.', 'psl.', 'lot.', 'lat.', 'sti.', 'ie.', 'av.']	bláhový	['č.']
DIFF	blikat	blinkr	['něm.']	blikat	['stč.', 'střhn.']
SAME	bob	bobule	['slk.']	bob	['angl.']
DIFF	bodnout	bodat	['stč.', 'všesl.', 'p.', 'str.', 'stsl.', 'psl.', 'lit.', 'lat.', 'něm.', 'angl.', 'ie.']	bod	['č.', 'slk.', 'pozdnělat.', 'lat.']
DIFF	bohatý	bohatýr	['r.', 'mong.', 'ttat.', 'per.']	bohatý	['všesl.', 'p.', 'r.', 'stsl.', 'psl.']
SAME	bomba	bombardovat	['fr.']	bomba	['něm.', 'fr.', 'it.', 'lat.', 'ř.']
DIFF	boss	bosý	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lit.', 'germ.', 'angl.', 'arm.', 'ie.']	boss	['am.-angl.', 'niz.', 'střhn.']
SAME	brada	bradavice	['p.', 'psl.']	brada	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lit.', 'něm.', 'angl.', 'lat.', 'ie.']
SAME	brnět	brnět	['stč.', 'sln.', 'psl.']	brnění	['stč.', 'slk.', 'r.', 'b.', 'stsl.', 'psl.', 'germ.', 'sthn.', 'kelt.', 'ir.']
SAME	brdo	brtník	['č.', 'stč.', 'r.', 'jsl.', 'psl.', 'ie.']	brdo	['všesl.', 'p.', 'r.', 'psl.', 'lot.', 'něm.', 'angl.', 'ie.']
SAME	břit	břitký	['stč.', 'p.', 'stsl.', 'psl.', 'ie.', 'zsl.', 'něm.', 'angl.']	břit	['stč.', 'p.', 'stsl.', 'psl.', 'ie.', 'zsl.', 'něm.', 'angl.,všesl.', 'r.', 'sti.']
SAME	břit	břitva	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'sti.', 'ie.']	břit	['stč.', 'p.', 'stsl.', 'psl.', 'ie.', 'zsl.', 'něm.', 'angl.,všesl.', 'r.', 'sti.']
SAME	bříza	bříza	['všesl.', 'p.', 'r.', 'psl.', 'lit.', 'stpr.', 'něm.', 'angl.', 'sti.', 'lat.', 'ie.']	březen	['stsl.']
SAME	bdít	budit	['všesl.', 'p.', 'r.', 'psl.']	bdít	['str.', 'ch.', 'stsl.', 'psl.', 'lit.', 'sti.', 'ie.']
SAME	burcovat	burčák	['mor.']	burcovat	['stč.', 'střhn.']
SAME	cela	celní	['zsl.', 'střhn.', 'vlat.', 'lat.', 'ř.']	cela	['lat.', 'něm.', 'angl.']
SAME	cembalo	cimbál	['lat.', 'ř.']	cembalo	['it.', 'lat.']
SAME	cval	cvalík	['něm.']	cválat	['č.', 'p.', 'něm.']
SAME	čapat	čapnout	['r.', 'sln.']	čapka	['p.', 'r.', 'střhn.', 'stfr.', 'fr.', 'pozdnělat.']
DIFF	čekat	čekat	['stč.', 'všesl.', 'p.', 'hl.', 'ukr.', 'b.', 'stsl.', 'psl.', 'r.', 'sti.', 'ie.']	čekanka	['lat.', 'něm.']
SAME	čelo	čelo	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lit.', 'lat.', 'angl.', 'ie.', 'germ.', 'stisl.']	čelist	['všesl.', 'p.', 'r.', 'stsl.', 'psl.']
SAME	čepec	čepice	['stč.', 'slk.']	čepec	['všesl.', 'p.', 'r.', 'psl.', 'lit.', 'ř.']
SAME	bylina	černobýl	['stč.', 'všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'stpr.', 'sti.', 'ie.']	bylina	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'ie.', 'ř.']
SAME	čeřit	čeřit	['lot.', 'č.', 'slk.', 'psl.']	čeřen	['č.', 'slk.', 'dl.', 'č.', 'slov.', 'psl.', 'něm.', 'ie.']
SAME	uctít	čest	['stč.']	ctít	['stč.', 'psl.']
DIFF	čít	čilý	['slk.', 'p.', 'hl.', 'sln.', 'slk.']	čidlo	['stč.', 'všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'ie.', 'lat.', 'ř.', 'sti.', 'něm.']
DIFF	dědit	dědit	['všesl.', 'p.', 'r.', 'ch.', 'stsl.', 'psl.', 'lit.', 'ř.', 'angl.,slk.', 'sln.']	dědic	['slk.', 'p.', 'sln.']
SAME	deviza	devíza	['fr.', 'vlat.', 'lat.']	deviza	['něm.', 'fr.']
SAME	dívka	děvka	['stč.']	děva	['všesl.', 'p.', 'r.', 'ch.', 's.', 'stsl.', 'psl.', 'ie.']
DIFF	dik	dík	['stč.', 'č.', 'slk.', 'sthn.', 'něm.']	děkovat	['č.', 'slk.', 'p.']
SAME	díl	díl	['stč.', 'všesl.', 'p.', 'ch.', 's.', 'stsl.', 'psl.', 'gót.', 'něm.', 'lat.']	dělit	['všesl.', 'lit.', 'gót.', 'ř.', 'sti.', 'ie.', 'germ.', 'slov.', 'stč.', 'psl.', 'r.', 'slk.', 'p.', 'sln.']
SAME	dělat	dílo	['stč.', 'všesl.', 'p.', 'r.', 'ch.', 's.', 'stsl.', 'psl.', 'ie.', 'lit.', 'stpr.', 'stisl.', 'balt.']	dělat	['všesl.', 'slk.', 'psl.']
SAME	disk	disketa	['angl.', 'angl.', 'fr.', 'ř.']	disk	['lat.', 'ř.', 'angl.']
SAME	dít	dít	['stč.', 'všesl.', 'p.', 'r.', 'ch.', 'stsl.', 'psl.', 'lit.', 'něm.', 'angl.', 'lat.', 'ř.', 'sti.', 'ie.']	děj	['psl.']
SAME	dít	div	['p.', 'stsl.', 'jsl.', 'sln.', 'psl.', 'ie.', 'lit.', 'lat.', 'sti.']	děj	['psl.']
SAME	dívka	dívka	['stč.']	děva	['všesl.', 'p.', 'r.', 'ch.', 's.', 'stsl.', 'psl.', 'ie.']
SAME	dlabat	dláto	['p.', 'r.', 'b.', 'psl.']	dlabat	['psl.', 'č.', 'slk.', 'b.', 'mak.', 'psl.']
SAME	den	dnes	['všesl.', 'p.', 'str.', 'psl.']	den	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lit.', 'sti.', 'gót.', 'lat.', 'ie.']
SAME	brodit	dobrodiní	['stč.', 'všesl.', 'p.', 'r.', 'ch.', 'stsl.', 'psl.', 'lit.', 'něm.', 'angl.', 'lat.', 'ř.', 'sti.', 'ie.']	brod	['všesl.', 'p.', 'r.', 'psl.', 'sln.', 'lit.', 'ie.']
SAME	být	dobytek	['všesl.', 'p.', 'str.', 'b.', 'psl.', 'č.', 'slk.', 'mak.', 'lat.']	byt	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lit.', 'angl.', 'sthn.', 'stir.', 'lat.', 'ř.', 'sti.', 'ie.']
SAME	dům	domov	['č.', 'slk.']	doma	['ie.']
SAME	dům	domů	['stč.', 'r.', 'sln.', 'stsl.', 'p.', 'psl.']	doma	['ie.']
SAME	drama	dramaturg	['něm.', 'střlat.', 'ř.,lat.']	drama	['něm.', 'střlat.', 'ř.']
SAME	droga	drogerie	['něm.', 'fr.']	droga	['něm.', 'fr.', 'střdn.', 'střniz.', 'ar.']
SAME	dřevo	dřevo	['všesl.', 'p.', 'r.', 's.', 'stsl.', 'zsl.', 'jsl.', 'psl.', 'lit.', 'něm.', 'angl.', 'wal.', 'ř.', 'sti.', 'chet.', 'ie.']	dřevní	['stč.', 'p.', 'sln.', 'stsl.', 'r.', 'psl.', 'něm.', 'lit.', 'sti.', 'ie.']
SAME	dřít	dřít	['p.', 'ch.', 's.', 'psl.']	dřeň	['p.', 'hl.', 'stč.', 'r.', 'sln.', 'psl.', 'stpr.', 'švéd.']
SAME	dub	dub	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'angl.', 'sthn.', 'ř.', 'ie.']	doubrava	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'ie.']
SAME	ďoubat	ďubka	['p.st.', 'stsl.', 'psl.', 'lit.', 'něm.', 'ir.', 'av.', 'ie.,všesl.', 'p.', 'r.', 'sthn.', 'stangl.,stč.', 'všesl.', 'lot.']	ďoubat	['p.st.', 'stsl.', 'psl.', 'lit.', 'něm.', 'ir.', 'av.', 'ie.,všesl.', 'p.', 'r.', 'sthn.', 'stangl.']
SAME	dům	dům	['stč.', 'všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lat.', 'ie.', 'ř.', 'sti.', 'lit.', 'něm.']	doma	['ie.']
SAME	duše	duše	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'ie.', 'lit.']	douška	['všesl.', 'p.', 'r.', 'stsl.', 'vsl.', 'jsl.', 'psl.', 'lit.', 'gót.', 'ř.', 'ie.']
