lemma	parents
aerolinie	-aer- linie
aeromagnetometrie	-aer- magnetometrie
aeroport	-aer- port
aerogen	-aer- gen
aeroshow	-aer- show
aerogel	-aer- gel
aerobioskop	-aer- bioskop
aerosol	-aer- sol
aerometr	-aer- metr
aerosalon	-aer- salon
aerodyn	-aer- dyn
aeroplán	-aer- plán
aerogravimetrie	-aer- gravimetrie
aerootitida	-aer- otitida
aeroplankton	-aer- plankton
aerotaxi	-aer- taxi
aeroklimatologie	-aer- klimatologie
aerotop	-aer- top
aerofobie	-aer- fobie
aeromechanika	-aer- mechanika
aerobus	-aer- bus
aeronautika	-aer- nautika
arcizloduch	-arci- zloduch
arcišpatný	-arci- špatný
arcikmotr	-arci- kmotr
arcikníže	-arci- kníže
arciďábel	-arci- ďábel
arcizloděj	-arci- zloděj
arcidiecéze	-arci- diecéze
arcijáhen	-arci- jáhen
arcibiskup	-arci- biskup
arciloutna	-arci- loutna
arcivikář	-arci- vikář
arcikněz	-arci- kněz
arciděkan	-arci- děkan
arcipadouch	-arci- padouch
arcilotr	-arci- lotr
arcirival	-arci- rival
arcikonzervativní	-arci- konzervativní
arciměsto	-arci- město
arciopat	-arci- opat
arcilump	-arci- lump
arciblb	-arci- blb
arcibalvan	-arci- balvan
arciromán	-arci- román
arcisoupeř	-arci- soupeř
biolobby	-bio- lobby
biofilm	-bio- film
biokontrola	-bio- kontrola
biorovnováha	-bio- rovnováha
biosvět	-bio- svět
biocentrum	-bio- centrum
biooves	-bio- oves
biobageta	-bio- bageta
biokráva	-bio- kráva
biodiagnostika	-bio- diagnostika
biorepublika	-bio- republika
biosen	-bio- sen
biočaj	-bio- čaj
biovuřt	-bio- vuřt
biolinie	-bio- linie
biosnob	-bio- snob
biotmel	-bio- tmel
biománie	-bio- mánie
biopantofel	-bio- pantofel
biopunktura	-bio- punktura
biokrém	-bio- krém
biokvota	-bio- kvota
biotěsto	-bio- těsto
biosimilární	-bio- similární
biohovězí	-bio- hovězí
biopavilon	-bio- pavilon
biolaktóza	-bio- laktóza
biolék	-bio- lék
biošpek	-bio- špek
biopas	-bio- pas
bioproces	-bio- proces
biotextil	-bio- textil
biohuť	-bio- huť
biokoruna	-bio- koruna
biosůl	-bio- sůl
bioden	-bio- den
biocihla	-bio- cihla
biochirurgie	-bio- chirurgie
biomodel	-bio- model
biočesnek	-bio- česnek
