neozednářský	zednářský
neomocnářský	mocnářský
neomodernistický	modernistický
paštický	paštika
podklášterský	klášterský, klášter
protibursíkovský	bursíkovský
protifierlingerovský	fierlingerovský
protifundamentalistický	fundamentalistický
protiirácký	tirácký
protikrálovský	protikrál, královský
mandejský	manda
protisektářský	sektářský
křížkovský	křížek
kulmský	kulma
kuchyňský	kuchyň
krátecký	krátký, krátko
kostecký	kost, kostka
předlyrický	lyrický, lyra
předmečiarovský	mečiarovský
předpředloňský	předloňský
předumělecký	umělecký
předárijský	árijský
závislácký	závislák
zvolenecký	zvolenec
pšenický	pšenice
radvanecký	radvanec
hašišácký	hašišák
hamernický	hamerník
gulripšský	gulripšsky
včelnický	včelník, čelník, včelnice
výběrovský	výběr
skulérský	kulér
bombarďácký	bombarďák
sněhulácký	sněhulák, sněhuláček, sněhulácky
dardský	darda
daňkovský	daněk
deblkanoistický	deblkanoista
droždářský	droždí
drsoňský	drsoň
taipingský	taping
tatínkovský	tatínek
helvitský	helvít
transsibiřský	sibiřský
světloulinký	světlounký, světlý
heuristický	heuristika
majnský	majna
tučňoučký	tučný
středoirácký	střed
protifarářský	farářský
protigruzínský	gruzínský, gruzinský
lumčický	lumčice, lumčík
pilnický	pilník
novopacký	nový
podkrajský	krajský
kružský	kruž
vlídňoučký	vlídný
bezmraký	mrak, brak, trak
kompletátorský	kompletátor
silický	silika
exbrněnský	brněnský
basiliánský	bazilián, basilián
předsokratický	sokratický
polocukrářský	cukrářský
věkověký	věkově
kančický	kančice, kančík
úpravnický	úpravník
karikaturistický	karikaturista, karikatura
předprezidentský	prezidentský, prezident
bengálský	bengál
slaňoučký	slaný
bábelský	bábel
bídarský	bída
velický	velice
kuběnovský	kuběna
hrazenářský	hrazení
tříboký	trojboký
stranský	strana
dvojboký	dvojný
protijezuitský	jezuitský
transalpínský	alpinský, alpínský, lipský
tasilský	tasit, task
rozvážňoučký	rozvážný, rozvažný, rozvážně
krevský	krev, kráva
protiquebecký	quebecký
protiquébecký	quebecký
protisyrský	syrský
velecký	velký
dobrotivský	dobrotivý
zaatlantický	atlantický
kytlický	kytlice, kytle
neokonfuciánský	konfuciánský
metlický	metlice, metla
dřevárnický	dřevárna
třídvorský	třída
podroháčský	roháčský
neopluralistický	pluralistický
protialbánský	blanský
protialergický	alergický
předškolský	školský
předsovětský	sovětský
chorografický	choreografie
panhelénský	helenský, helénský
tupoučký	tupý
tungský	tunga
kopecký	kopec, kopka
kottický	kotit, kota
brahmický	brahma
slepoučký	slepý, slepo
botnický	botník
protipartyzánský	prota
bařtipánský	bařtipán
chiliastický	chiliasmus, chiliasta
radarácký	darák
supertěžký	těžký, těžko
cigánský	cigán
protoindický	indický
předsokratovský	sokratovský
protiimigrantský	imigrantský
subalpinský	alpinský
protidisidentský	disidentský
zářečský	zářečí
luciferský	lucifer
předšpanělský	španělský
předtkalcovský	tkalcovský
unionský	union, unionizmus
rekatolický	katolický
triumfalistický	triumfalizmus, triumfální
postthatcherovský	thatcherovský
ruchovský	ruch, ruchový
protilatinský	latinský
měšecnický	měšec
podfarmářský	farmářský, farmář, farmářka
loutocký	loutocky
lahodňoučký	lahodný
ultraměštácký	ultraměštácky
předromantický	romantický, mantický
mezolitický	mezolit
entologický	antologie, logický, ontologie
studánecký	studánka
pískovský	pískový
generický	gen, generikum
přehorký	horký
protifederalistický	protifederální
transpacifický	pacifický
