reálsocializmus	reálsocialismus
antikonzumerizmus	antikonzumerismus
antivietnamizmus	antivietnamismus
voltairianizmus	voltairián
bikameralizmus	bikameralismus
poststrukturalizmus	poststrukturalistický, poststrukturalismus
abstrakcionismus	abstrakcionizmus, abstrakce
gongorismus	gongorizmus
berlusconizmus	berlusconismus
nazarenismus	nazarenizmus
wallenrodizmus	wallenrodismus
hyperkortikalizmus	hyperkortikalismus
ultrakonservatismus	ultrakonzervatizmus
antropologizmus	antropologie, antropologismus, antropologický
abstrakcionizmus	abstrakce, abstrakcionista
integralizmus	integrální, integrovat, integralismus
evangelikalizmus	evangelikalismus, evangelikální, evangelikál, evangelický
dokumentarizmus	dokument, dokumentní, dokumentaristický, dokumentovat, dokumentární
gangsterizmus	gangsterismus, gangster, gangsterský
dadaizmus	dada, dadaismus
henoteizmus	henoteismus
autoritatizmus	autorita, autoritatismus, autoritativní
buranizmus	buran, buranismus
europrotekcionizmus	europrotekcionismus
neoliberalizmus	neoliberální, neoliberalismus
neutralizmus	neutrální, neutralismus, neutrum, neutrál
chromatizmus	chromatický, chromatismus
literalizmus	literální, literalismus
adopcianismus	adopcianizmus, adopce
neovitalizmus	neovitalismus, vitalizmus
mediumizmus	mediumismus, médium, medium
neoizolacionizmus	neoizolacionismus
sebekriticizmus	sebekritický, sebekritika
frankocentrizmus	frankocentrismus
eurofederalismus	federalizmus
cloisonnizmus	cloisonné
ultraliberalizmus	ultraliberalismus, ultraliberální, ultraliberalistický, liberalizmus
neosurrealizmus	neosurrealismus, surrealismus, surrealizmus
astigmatizmus	astigmatický
ptyalizmus	ptyalismus
konjukturalismus	konjunkturalizmus, konjunkturální
postsocializmus	socializmus
neoexpresionizmus	expresionizmus
druidizmus	druid
abstraktivizmus	abstraktivní, abstrakt, abstrakce, abstraktní, abstraktum
katastrofizmus	katastrofa, katastrofismus, katastrofický
postimpresionizmus	impresionizmus
operacionalizmus	operace, operacionalistický, operační
ultraimperializmus	ultraimperialismus
komunalizmus	komunální, komunalismus
protagonizmus	protagonista, protagonismus
monumentalizmus	monumentalistický, monumentální, monumentalismus, monument
destrukcionizmus	destrukce
regmatizmus	regma
faraonizmus	faraonismus, faraonský, faraon
kondicionalizmus	kondicionální, kondicionalismus, kondicionovat, kondicionál
kontextualizmus	kontextuální, kontext, kontextualismus
asocianizmus	asocianismus, asociální
subrealizmus	subrealismus, realizmus
rayonizmus	rayon
falzifikacionizmus	falzifikacionismus
diamagnetizmus	diamagnetismus, diamagnetický, magnetizmus
naturalizmus	naturální, naturalismus, naturalistický
antagonizmus	antagonistický, antagonista, antagonismus
misantropizmus	misantropie, misantropický, misantrop, misantropismus
neoracionalizmus	racionalizmus
neoabsolutizmus	neoabsolutismus
konvencionalizmus	konvencionální, konvence
neosatanizmus	satanizmus
homoerotizmus	homoerotický, homoerotismus
elementarizmus	elementární, element
neomarxizmus	marxizmus, neomarxistický
achromatizmus	achromatismus, chromatizmus, achromatický
eurocentrizmus	eurocentrický, eurocentrismus, eurocentristický, centrizmus
prohibicionalizmus	prohibice
neotomizmus	neotomismus
libertinizmus	libertin, libertinismus, libertinský
mutualizmus	mutualismus
expresivizmus	expresivní, exprese, expres, expresivismus
rusocentrizmus	rusocentrismus, rusocentrista
protokubizmus	protokubismus, kubizmus
singularizmus	singulární, single
protekcionalizmus	protekce, protekcionalistický
monoteizmus	monoteismus
marxleninizmus	marxleninismus
verifikacionizmus	verifikacionismus
komercializmus	komerciální, komerce, komercialismus
animatizmus	animatismus
organicizmus	organicismus, organik
paramagnetizmus	paramagnetismus, paramagnetický, magnetizmus
proselytizmus	proselytismus
ultraformalizmus	ultraformalista, ultraformalismus
biofanatizmus	biofanatismus
genscherizmus	genscherismus
komenzalizmus	komenzalismus
neonacionalizmus	neon
konciliarizmus	konciliární, konciliarismus, koncil
titanizmus	titánský, titán
hypopituitarizmus	hypopituitarismus
ekocentrismus	ekocentrizmus
instrumentalizmus	instrumentalistický, instrumentální, instrumentalismus
fénicizmus	fénicismus
exkluzivizmus	exkluzivní, exkluze, exklusivní
explozionalizmus	exploze, explozionalismus, explozní
zoomorfizmus	zoomorfismus
evropocentrizmus	evropocentrismus
morganizmus	morgan
galvanizmus	galvanismus, galvanický
fenomenalizmus	fenomenální, fenomenalismus
ekoanarchizmus	ekoanarchismus
donchuanizmus	donchuán, donchuánský, donchuanismus
utilitarianizmus	utilitární
filosemitizmus	filosemitismus, filosemita
voluntarizmus	voluntární
sociálimperializmus	sociálimperialismus
teocentrizmus	teocentrický
moskvocentrizmus	moskvocentrismus
revolucionizmus	revoluční, revoluce, revolucionismus
panenteizmus	panenteismus
kulteranizmus	kulteranismus
epikureismus	epikureizmus, epikúreismus, epikúreizmus
kongregacionalizmus	kongregace, kongregacionální
mondializmus	mondialismus, mond
satanizmus	satan, satanismus, satanský, satanický
protekcionizmus	protekcionistický, protekce, protekcionismus
agrarizmus	agrarismus
plutokratizmus	plutokratický, plutokracie, plutokrat
paviánizmus	pavián, paviánismus
neoslavizmus	neoslavismus
produktivizmus	produktivní, produkce, produkt
geocentrizmus	centrizmus, centrický, geocentrický, centrismus, geocentrismus
monofyzitizmus	monofyzitismus
kreacionizmus	kreacionismus, kreacionistický, kreace
utilitarizmus	utilitarismus, utilitární, utilitaristický, utilitarista, utilita
prezentizmus	prezentismus, prezent
diogenizmus	diogenismus
metodizmus	methodistický, metodismus, methoda
konsekvencialismus	konsekvence
resortismus	rezortizmus, resortizmus, rezortní
neorealizmus	realizmus, neorealismus, real
personalizmus	personalistika, personální, personalismus, personál, personalistický
