žvanilství	žvanil
žlučníčkář	žlučníček
žlučníček	žlučník
žloutkovitý	žloutek
žebříkovitý	žebřík
žencká	ženka
žežulkovatý	žežulka
Žákovská	Žákovec
obeslat	bleskat
obepjavší	obepnout
obepínavý	obepínat
obstřižení	obstřihnout
obemílat	mlít
obsazovač	obsazovat
Abdalá	Abd
Abdolrezá	Abdolreza
obžavší	ožít
Abdá	Bady
Žilovská	Silovský
Žichovská	Žichov
odbrzděný	odbrzdit
ochutnavatel	ochutnávat
ochutění	ochutit
ochutěný	ochutit
obchvátit	obejet
Lesenská	Mesenský
Leská	Líský
obalamutění	obalamutit
odemčení	odemčít
odemčený	odemčít
oddálit	dalit
odfádnit	fádní
odbřemenit	břemeno
odeslat	plát
Žarská	Žárský
Ždáňská	Žďánský
Letná	Lesný
odkládat	kládat
odkapitalizování	dokapitalizovat
odhaněč	odhánět
odkladatel	odkládat
Leylá	Ley
ťuplíček	ťuplík
nástěnkářství	nástěnkářský
Leštná	Lešť
odladěný	odladit
odlistnit	list
odkysličit	kyslík
Libanská	Lipanský
Vartovná	Vartovna
odnepaměti	paměti
odnáboženštit	náboženský
špidlovština	špidlovský
Ladná	ladný
náckovství	nácek
odpřahat	odpřáhnout
odpřírodnit	přírodní
odrodilství	odrodilec
škrtilství	škrt
odsouvnout	odsouvat
odstupněný	odstup
odtrubnit	trubní
odtažení	odtahovat
škatulkovitý	škatulka
odčerpavatel	odčerpávat
odšťavovač	odšťavňovat
odzapáchat	zapáchat
odúčtovna	účtovat
šimlovatý	šiml
odžavší	odžít
šetřílkovství	šetřílkovský
Akwá	Akwa
okněžit	kníže
šestiúhelníkovitý	šestiúhelník
okusit	kousnout
Křeničná	Křen
Křemenitá	Křemen
operáterství	operatérský
oprávněnec	oprávněný
osamostatnět	samostatný
orwellovština	orwellovský
Vičovská	Vitovský
Květná	květný
novelsky	novelský
nositelství	nositelský
Kułakowská	Kulakowský
Kučerovská	Kučera
Aléská	Ales
nohsledství	nohsled
Urbańská	Urbanský
neúčastníkův	účastník
Vodná	vodný
Lodžská	Lodž
nesčíselně	číselnost
neukázněnec	ukáznění
neplatičství	neplatič
Lomná	lomný
neokonzervativní	konzervativní
Kulikovská	Kulikovskij
Tříletá	tříletý
ospalství	ospalý
osobivost	osobit
neochvějný	chvějný
ostrovanství	ostrov
Třemešná	třemešný
nenávratno	návratný
nenávratno	návratný
Loužná	Loučný
otevřít	vetřít
otěhotnit	těhotný
oznamovatel	oznamovat
Kubrá	Kubr
ozrněný	zrnit
nedovzdělanec	vzdělanec
nedodělek	dílek
Lubná	Lužný
šamrlátko	šamrle
Apolinářská	apolinářský
nazdvihnutí	nazdvihnout
nazdvihnutý	nazdvihnout
pamateřství	mateřství
Luká	Lucký
natištěný	tištěný
