Lelková	Lelek
Lejeuneová	Lejeune
Lejeunová	Lejeune
Lejhancová	Lejhanec
Leimbergerová	Leimberger
Žáčková	Žáček, Žák
Videnová	Videnov
Žůrková	Žůrek
Žítková	Žítek
Žďárková	Žďárek
Žídková	Žídek
Žárová	Žára, Žána
Legátová	Legát
Leibermannová	Leitermann
Aahlenová	Aahlen, Ahlen
Aachenová	Aachen
Lehovcová	Lehovec
Žváčková	Žváček
Žurková	Žurek
Žurovcová	Žurovec
Lemúzová	Lemuz
Vicherková	Vicherek, Vichera
Vicencová	Vicenec
Vicenová	Vicena
Vicentová	Vicente
Aaronová	Aaron
Abadieová	Abadie
Abadiová	Abad
Aaronsová	Aarons
Žočková	Žoček
Abakumová	Abakumov
Abadžievová	Abadžiev, Abadžievův
Abakanowiczová	Abakanowicz
Večerová	Večeřa
Abateová	Abate
Večeřílková	Večeřílek
Abascalová	Abascal
Abassová	Abas
Abarcaová	Abarca
Ledvoňová	Ledvoň
Abbidová	Abbid, Abid
Abašinová	Abašin
Abbingtonová	Abington
Abbiová	Abbio, Abbid
Žmolilová	Žmolil
Abbúdová	Abbúd
Žlebková	Žlebek
Abbrentová	Abbrent
Vetýšková	Vetyška, Vetýšek
Lendová	Lande
Lendrová	Lender
Živčicová	Živčic
Živnůstková	Živnostek
Abdallahová	Abdallah
Lenčová	Lenčo
Leníčková	Leníček, Lenička
Abdeslamová	Abdeslam
Abdelnourová	Abdelnour
Abdelrahmanová	Abdelrahman
Abdesslemová	Abdesslem
Živníčková	Živníček
Živcová	Živec, Živko
Vesninová	Vesnin
Vespalcová	Vespalec
Žitková	Žitek
Abdinurová	Abdinur
Abdiová	Abdi, Abdid
Lebová	Lebo, Leba
Žilínková	Žilínek
Abedinová	Abedin, Abdina, Abdin
Verčáková	Věrčák
Villelaová	Ville
Villeneuveová	Villeneuve, Villeneuv
Abelerová	Abeele
Leoniová	Leon
Leonová	Leona, Leon, Leone
Lažánková	Lažánek
Lašťovičková	Laštovička
Žilovcová	Žilov
Abernathyová	Abernathy
Vilmanová	Vilmon
Leopoldová	Leopolda, Leopoldo, Leopold
Lašmanovová	Lašman, Lašmanův
Lerayová	Leary
Abrahamssonová	Abrahamsson
Aboová	Abo, Abou
Židková	Židka, Židek
Abramsonová	Abramson
Abrahamovičová	Abrahamovič
Lavrincová	Lavrinec
Lerougeová	Leroux
Abrlová	Abrle
Abrahamsonová	Abrahamson
Žerníčková	Žerníček
