oblomovština	oblomovský, Oblomovský
obláčkovitý	obláček, obláčka
žebříčkovitý	žebříček, žebřík
žebračkyně	žebračka, žebro, žebrák
Žárovná	Žára, Žárovský
oblbovač	oblbovat, oblévat
obrněnec	obrněný, otrněný
obestřít	třít, střet
obsažení	obsáhnout, obsadit
obíhač	obíhat, oběhat, ubíhat
obdarovávač	obdarovávat, obdařovávat
odemknout	odemykat, meknout, semknout
odeprat	prát, oprat, drát
odebíhat	odeběhnout, odbíhat, odběhnout
odcukernit	cukerní, cukerný
odcírkevnit	církevní, církev
odespat	spát, sípat, tápat
odestřít	třít, střet
Achá	Aha, Aka
Velká	Velký, Vele, Velek
odklid	klidit, klid, odklidit, lid
odiosnost	odiosní, odiózní
náčrtkovitý	náčrtek, náčrt
odmáčknout	mačkat, mačka
odkupitel	odkoupit, kupit
odkřemenit	křemen, křemenný, Křemen
odkřemičit	křemičitý, křemík
odkřesťanit	křesťan, Křesťan
odkřesťanštit	křesťan, křesťanský
odlevit	Levit, levý, levný, lev
násilnit	slinit, slinný, silný
odnožit	noha, Noha
odpovolit	volit, povolit, vosolit
odosobnět	osobní, osní, osít
odnárodnit	národní, zárodný, zárodní
škvarkovitý	škvarek, kvark, Škvarka
odstřižení	odstřihnout, odstříhnout, odstříhat, odstřihovat, odstřihat
odslizit	sliz, slizovat, slízat
odstupnění	odstup, odstoupit
školkařtví	školkař, školkařský
školkáček	školka, školkař
nunvářství	nunvářský, nunvář
odtržení	odtrhnout, odtržený
odtrestnit	trestný, trestní, trest
odvolavatel	odvolávat, odolávat
odželeznit	železník, železný, železa
odťavší	odtát, odtávat
ohvězdnit	hvězdný, hvězda
okrojit	krájet, krojit
opovržený	povržený, opovrhnout
opláchnout	pláchnout, spláchnout, plachý
opravovač	opravovat, rapovávat, upravovat
opovrhat	povrhat, vrhat, opovrhnout, roh
oprdět	prdět, prd
opřádat	přást, příst, přát
Kutná	Kut, Kučný
Lomecká	lomecký, Lovecký
nepodsázet	dosázet, sázet, posázet
nepamětna	nepamětný, paměť
Uhelná	úhelný, uhelný
neodpustitelnost	odpustitelnost, opustitelnost
Voloská	Voleský, Volos
nemocenská	nemocenský, nemoc, mocenský
nehlesat	hlesnout, hles
ozkusení	ozkusit, zkusit, zkusený
ozkusený	ozkusit, zkusit, zkusený
ozřetelnit	zřetelný, střelný, střelit
ošpláchnout	šplouchnout, spláchnout, špláchat, šplouchat
nedokrevný	krevný, krevní
nechtěňátko	chtěný, chtěně
ožlutění	ožlutit, ožlučit
Volská	Voleský, Volski, volský
nebeklíč	klíč, klíček
nažavší	nažít, nažrat, nažnout, nažka
nažlutění	nažlutit, nažluto
nažlutěný	nažlutit, nažluto
navykat	vykat, navyknout, kát, pykat, kat, kýkat, mykat, tykat
navlhat	vlhat, velhat, vrhat, lhát, vlhnout
navářet	navařit, navařený, vařit, nava
nazapáchat	zapáchat, páchat
pajzlíček	pajzlík, pajzl
natrvalo	trvalý, trvalo
palírenství	palírenský, palírna, palír
pandův	panda, Panda
panslovanství	panslovanský, pan
naslepičit	slepice, slepý
papučářství	papučářský, papučář
Turná	Durný, Jurný
napřahat	pnout, napřáhnout
napoprvně	napoprvý, poprvně
naplesnivět	plesnivět, plesnivý
napaměti	paměti, paměť
namíšení	namísit, míšeň, míšený
namíšený	namísit, míšený, namíchat
naleštěnec	naleštěný, leštěnec
patriotství	patriotský, patriot
Lysá	lysý, Lisý
nakrásně	krásně, krásný
najezení	najezený, naježit
nakrabatěný	nakrabatit, krabatěný
naklidění	naklidit, klidit
nakliděný	naklidit, klidit
nahodit	hodit, nahý
naháňat	nahnat, nahánět
peříčkovitý	peříčko, příčka
nadvládní	vládní, vláda, vládný, vlání
nadvůle	vůle, vůl
Babiná	Babí, Babiny
platičitý	platina, platič, platit
plešatějící	plešatět, zplešatět
pletací	vlétat, plést
ploténkář	ploténka, plotna
pobakalářštit	bakalářský, bakalářství
pochrochtávání	chrochtávání, chrochtávaný
poddělení	oddělení, oddělit
podebranina	podebraný, braný
podestřít	třít, střet, odestřít
nadměřovatelně	nadměřovatelný, naměřovatelný
podetnutí	podetnout, tnout
Travná	Trávný, travný
podotčení	točit, otočit
nabělalý	zabělat, naběhat
nabančit	banka, bank, ban
měčíkovitý	mečík, míček, měřík
měšcovitý	měšec, mícha, měch, pěšec
Vrátná	Vrátný, vrátný
Vršovická	Vršovice, Vršov
Vršovská	Vršovka, Vršov
pohaněč	pohanět, pohánět
mučedníček	mučedník, mučenník
pokamenit	kamenný, kamení
polochemicky	polochemický, chemický
mravencovitý	mravenec, brabenec, pramenec
poločistit	čistit, očistit, číst, čistý
pomosaznit	mosaz, mosazný
pomíjejícný	pomíjející, míjející
Kopná	Kopa, Kop
Tisá	Tisý, Tisa, Tis
modlitebnictví	modlitební, modlitebník
pozapáchat	zapáchat, zapíchat, zapchat
pozápadnit	západní, západ, západník, západně
pošpatnit	špatný, spatný
procviknout	kviknout, procvikat
produchovnit	duchovní, duchovný
prokřemenit	křemen, křemenný
Baňkowská	Baňkovský, Baňkowski
protikondensační	kondenzační, kondensační
Belá	Ela, Bělý
martináčovitý	martináč, Martináč
marnotratnictví	marnotratný, marnotratník
mansův	man, mann, Mans, mansa
maminkovština	maminkovský, miminkovský
protivenství	protivení, protivený
Medná	medný, Adem
Věžná	Věž, věžný, Věčný
proužkatý	proužek, proužka, prouhatý, prouha
řachtající	rachtat, čachtat, vachtat
