Žákovská	Žákovec
Žilovská	Silovský
Žichovská	Žichov
Lesenská	Mesenský
Leská	Líský
Žarská	Žárský
Ždáňská	Žďánský
Libanská	Lipanský
Vičovská	Vitovský
Kułakowská	Kulakowský
Kučerovská	Kučera
Aléská	Ales
Urbańská	Urbanský
Lodžská	Lodž
Kulikovská	Kulikovskij
Voloská	Voleský', 'Volos
nemocenská	nemocenský', 'nemoc', 'mocenský
Volská	Voleský', 'Volski
Švihovská	Švikovský
Krejská	Krejsa
Trubská	Trubský
Vranská	Vránský
Kozlowská	Kozlowski
Vršovská	Vršovka', 'Vršov
Bankovská	Baňkovský
Baranovská	Baran
Barshefská	Barshefsky
Kolbaská	Kolbas
Baňkowská	Baňkovský', 'Baňkowski
Bažantovská	Bažantov
Kocinská	Kocinski
Šimkovská	Šimka
mateřská	mateřský
Šarišská	Šariš
Walewská	Walewski
Kašovská	Kaša
Boginská	Bořinský
Bolkonská	Bolkonskij
Minovská	Činovský
Borkowská	Borowský
Boubská	Loubský
Kalovská	Kalovec
Morawská	Morawski
Brtínská	Brtinský
Josenská	Mosenský
Sowinská	Sovinský
Woleská	Voleský
Wroňská	Wronský', 'Wroňski
Jasenská	Jasanský
Bánská	Čánský', 'Lánský
Sladkowská	Sladkowski
Skowroňská	Skowroňski
Březnovská	Března
Zabawská	Zabavský
Zaháňská	Zahaňský', 'Zaháň
Zajíčkovská	Zajíček', 'Zajíčkov
Zalevská	Zálevský
Cendrovská	Cendrowský
Nedošínská	Kolínský
Chabovská	Chaba
Hámorská	Zámorský
Schipanská	Schimanský
Chvalovská	Chvalovský', 'Chvalov', 'Chválov
Hradská	Hradský
Salichovská	Salich
Zlačinská	Lačinský
Zorská	Korský
Nádravská	Nádraský
Czachowská	Czachowski
Rájská	Rajský
Okoňská	Okoňski
Hlisnikovská	Hlisníkovský
Rowinská	Rovinský
Dovská	Vodský
Dremská	Dremsa
Riglewská	Riglewski
Pavlowská	Pavlovský
Pawelská	Pavelka
Půchovská	Půchov
Pádovská	Sádovský
Golasowská	Golasowski
Glinská	Glinski', 'Klinský
Gardawská	Gardavský
