objektivovávat	objektiv, objektivizovat
odentrovat	tendrovat, centrovat
odkyselňovat	odkyselit
odpopelňovat	popelný
ofěrovat	ofěra, věrovat
ohospodařovat	hospodařit
našporovat	šporovat, špórovat
navotravovat	votravovat, otravovat, naotravovat
natěsňovat	těsný, těsnit
nasměřovat	směřovat, nasměrovat
naolejíčkovat	olejíček
nahražovat	nahradit
postkoordinovat	koordinovat
protiargumentovat	protiargument
kyblíčkovat	kyblíček, kyblík
přehřávat	přehřát, hřát, hřávat, přehrát
přepatrovat	patovat
přešpekulovat	špekulovat, spekulovat
přešporovat	šporovat
přihřávat	přihřát, hřát, hřávat, přihrát
přimobilisovávat	mobilizovávat, přemobilizovat
zrašeliňovat	zrašelinět
zpřídavňovat	přídavný, zpřídavnět
zpřahovat	zpráhnout, zprahnout
zprašňovat	prašný
rozestlávat	rozestlat
zpodrobňovat	podrobný
rozmobilisovávat	mobilizovávat
rozpryskovat	rozprýsknout, tryskovat
zpateronásobňovat	zpateronásobnit, pateronásobný, pateronásobnost
znásobňovat	znásobnit
sbahňovat	zbahnit
zkřemeňovat	zkřemenět
zešeredňovat	zešerednět, zšerednět
zdvojnásobňovat	zdvojnásobnit
zašofírovat	šofírovat, šoférovat
zašpekulovat	špekulovat, spekulovat
zašporovat	šporovat, zasporovat, zaspořit
zařachtávat	zarachtat
zazrávat	zazdát
sebeodměňovat	obměňovat
zasakramentovat	sakrament
zahopcovat	zahopkovat
zafáčovat	fačovat
zadrápkovat	drápek
sebereprodukovat	reprodukovat
zabydlívat	zabydlet, bydlet
zabasamovat	basovat
sebevysvětlovat	vysvětlovat
sebezpytovat	sebezpyt
autocenzurovat	cenzurovat
vyvěsovat	vyvěsit, věsit
vysáňkovat	sáňkovat
vysámečkovat	sámeček
vyspolírovat	polírovat
vyssávat	vysát
vyslaďovat	vysladit, sladovat, slaďovat, osladit
vypočtovat	vypočíst
vymyťovat	vymýtit, vymýt
vymerkovat	merk
vyklidňovat	vyklidit, klidnit
ušofírovat	šofírovat, šoférovat
umobilisovávat	mobilizovat
došpekulovat	špekulovat, spekulovat
rozšeřovat	rozšířit, zšeřit
dostřeďovat	odstředit
odfáčovat	fačovat
diazokopírovat	kopírovat, okopírovat
zkrajovat	zkrájet
odhungarizovat	hungarizmus
odhušťovat	odšustit, odpustit
odkrejvat	odkrýt, krát, krýt, odkryt, krájet
zreaumbulovat	reambulovat
pronejtovat	nýtovat
zdivočovat	zdivočet, zadivočit
dekomodifikovat	modifikovat
zašnejdrovat	šnajdrovat
zavětrovat	zavětřit
omobilisovávat	mobilizovat
vceňovat	vcenit
votravovat	otravovat, otrávit, otrava
sebereflektovat	reflektovat
vyceďovat	vycedit, vycídit, cedovat
faceliftovat	facelift
přihřívat	přihřát, hřát, říhat, hřávat
vysádrovat	sádrovat, sádra
vyviřovat	vyvěřit, vyvřít, vyvařit, vyvinout
přeřizovat	přeřadit
vyšramovat	šrámovat, vyšramat
přehřívat	přehřát, hřávat, hřát, přihřát
seberecyklovat	recyklovat
vodkrejvat	odkrýt
urýžovat	rýžovat
sebeparodizovat	sebeparodie
zpichovat	spíchnout, zpuchnout
došpekovat	špekovat
došporovat	šporovat
vplachovat	vplatit, opláchnout
vyhosťovat	vyhostit, vhostit, hostovat
vyhřávat	vyhřát, vyhrát, vyhnout
prošpekulovat	špekulovat, spekulovat, prospekulovat
přišpekovat	špekovat
přešpekovat	špekovat, špek
vývodívat	vojvodit, vojevodit, vodit
přeemotivovat	motivovat
přišporovat	šporovat
vopakovat	opakovat, pakovat
vymejvat	vymýt, mýt, mývat
vyšpekulovat	špekulovat, spekulovat, vyspekulovat
sebevychvalovat	vychvalovat
odletovat	odlétnout, letovat, odlít
seberealizovat	realizovat
prošpekovat	špekovat, šekovat
vogrilovat	ogrilovat, grilovat
sebepropagovat	propagovat
protěžovat	stěžovat, rýžovat
navolizovávat	naolizovat, naolizovávat
dolihovat	líh, líhat, lohnout
užvykovat	užvýkat
ukrejvat	ukrmit, krýt, ukrýt
desensibilizovat	senzibilizovat, senzibil, senzibilovat, senzibilní
postřihovat	postřih, postříhat
vyramovat	rámovat, rýmovat, armovat
zakluzovat	kluz, klouznout
babičkovat	babička
učihovat	učíhat, učinit
zaspórovat	spárovat, zasporovat, spérovat, pólovat
přikukovat	koukat, kouknout
zabookovat	bookovat, book
přeštudovat	študovat, studovat, přestudovat
sepsouvat	sepsout, sepsat
vyzvukovat	zvuk
zakrejvat	krát, krýt, zakývat
vyliklidovat	vyklidit
sebereplikovat	replikovat
zhorčovat	zhorčit
supervenovat	ven, fenovat
detoxifikovat	toxin
vsévat	vsít, vést, osévat
vyštudovat	študovat, studovat, vystudovat, vystudit
vyšpánkovat	špánek
vyvřeskovat	vřesknout
štrajkovat	štrajk
řachtávat	rachtat, čachtat
sfáčovat	fáč
mikrofišovat	filovat
ukřikovat	křičet, ukřičet
prosrkávat	srkat, srkávat, srknout, hrkat, zrkat
vodoregulovat	regulovat, doregulovat
postdatovat	datovat
zachorovat	horovat
načuhovat	načoudit
obědovat	bědovat, oběd
natrapírovat	natrápit
naštudovat	študovat, studovat, nastudovat, budovat
pošporovat	šporovat
bipolarizovat	bipolární, bipolarizmus, polarizovat, bipolarismus
zvěstovat	zvěstit, pěstovat
oplavovat	opálit
šraňkovat	šraňka, šrank
podmývat	mývat
vyhřívat	vyhřát, vyhrát
zdrezovat	dresovat, dres
zaneprázdňovat	zaneprázdnit
parkovat	parka, park, perka, perk
sebevylepšovat	vylepšovat
vyhopcovat	hopkovat, vyhopkovat
polostínovat	polostín, stínovat, stín
vyhukovat	vyhouknout, houkat, vyhoukat, houknout, vhouknout
zapovat	zapotit, zapnout, zapást
protifinancovat	financovat
dobévat	dobít, dobýt
blazeovat	blaze
polychlorovat	chlorovat, chlórovat
alternovat	alternát
vydrezovat	rez
skipovat	skip, kop
zasporovat	zaspořit, spárovat
archeologizovat	archeologie
nakmínovat	kmín
vyšplachovat	vyšpláchnout, vyšpláchat, vyšplouchat, vyšplouchnout
markovat	marka
spoluorganizovat	spolu
doštudovat	študovat, studovat, dostudovat
ledkovat	ledek, ledka, ledkový
dialýzovat	dialýza
znovupořizovat	znovupořizovaný
hypertrofovat	hypertrofie
blanšírovat	blanšírovací
zpívat	zpít, zpět, pívat
