word	etymology	is_loan
a		native
a-2	ell	loan
ab-	lat	loan
abatyše	lat,ell,arc	loan
abbé	fra,lat	loan
abdikace	lat	loan
abeceda	lat	loan
abiturient	deu,lat	loan
ablativ	lat	loan
ablaut	deu	loan
abnormální	deu,lat	loan
abonent	deu,fra,fro	loan
abrakadabra	lat	loan
abreviace	lat	loan
abrupce	lat	loan
absces	lat	loan
absence	lat	loan
absint	fra,lat,ell	loan
absolutní	lat	loan
absolvovat	lat	loan
absorbovat	lat	loan
abstence	eng,fra,lat	loan
abstinent	lat	loan
abstraktní	deu,lat	loan
absurdní	lat	loan
aby		native
aceton	lat	loan
acidofilní	lat,ell	loan
acylpyrin	lat,ell	loan
ač		native
ad-	lat	loan
adamita	lat	loan
adaptovat	lat	loan
adekvátní	lat	loan
adept	lat	loan
adheze	lat	loan
adié	fra	loan
adjektivum	lat	loan
adjunkt	deu,lat	loan
adjustovat	lat	loan
administrace	lat	loan
admirál	deu,fra,ara	loan
adolescence	lat	loan
adonis	ell	loan
adoptovat	lat	loan
adorace	lat	loan
adrenalin	lat	loan
adresa	fra,lat	loan
advent	lat	loan
adverbium	lat	loan
advokát	lat	loan
aero-1	lat,ell	loan
aero-2	ell	loan
aerobik	eng	loan
aerodynamický	ell	loan
aeroplán	ell	loan
aerosol	eng	loan
afázie	ell	loan
afekt	lat	loan
aféra	fra,lat	loan
afix	lat	loan
aforismus	lat,ell	loan
afrikáta	lat	loan
afrodiziakum	lat,ell	loan
afta	lat,ell	loan
agáve	lat,ell	loan
agenda	lat	loan
agent	deu,lat	loan
agilní	lat	loan
agitovat	lat	loan
aglomerace	lat	loan
agnosticismus	ell	loan
agonie	lat,ell	loan
agrární	lat	loan
agregát	lat	loan
agrese	lat	loan
agro-	ell	loan
agronom	deu,fra,ell	loan
aha		native
ahoj	eng	loan
ach		native
achát	deu,lat,ell	loan
airbag	eng	loan
aj	eng,lat,ell	loan
ajnclík	deu	loan
ajznboňák	deu,goh	loan
akademie	lat,ell	loan
akát	lat,ell	loan
akce		native
akcelerace	lat	loan
akcent	lat	loan
akceptovat	lat	loan
akcie	deu,nld,lat	loan
aklamace	lat	loan
aklimatizovat (se)	deu,lat	loan
akné	lat,ell	loan
akomodace	lat	loan
akorát	deu,lat	loan
akord	fra	loan
akordeon	fra,deu	loan
akr	eng,ang,deu,lat,ell	loan
akreditovat	fra,lat	loan
akrobat	fra,ell	loan
akronym(um)	eng,ell	loan
aksamit	lat,ell	loan
akt	lat	loan
aktér	fra,lat	loan
aktivní	lat	loan
aktuální	lat	loan
akumulovat	lat	loan
akurátní	deu,lat	loan
akustika	ell	loan
akutní	lat	loan
akuzativ	lat	loan
akvabela	lat	loan
akvadukt	deu,lat	loan
akvalung	eng,lat	loan
akvamarín	deu,lat	loan
akvarel	deu,fra,ita	loan
akvárium	lat	loan
akvizice	deu,lat	loan
alabastr	lat,ell	loan
alarm	deu,ita,lat	loan
albatros	eng,spa,por	loan
albín	spa,por,lat	loan
album	deu,lat	loan
aldehyd	lat	loan
ale		native
alegorie	lat,ell	loan
alej	deu,fra,lat	loan
aleluja	lat,heb	loan
alergie	ell	loan
alespoň		native
alexandrin	fro	loan
alfa	ell,heb	loan
alfabeta	lat	loan
algebra	lat,ara	loan
algoritmus	lat,ara	loan
alchymie	spa,ara, ell	loan
aliance	fra,lat	loan
alias	lat	loan
alibi	lat	loan
aligátor	eng,spa,lat	loan
alimenty	lat	loan
aliterace	lat	loan
alka	nor	loan
alkalický	lat,ara	loan
alkohol	lat,ara	loan
alkovna	deu,fra,spa,ara	loan
almanach	deu,lat	loan
almara	lat	loan
almužna	gmh,lat,ell	loan
aloe	lat,ell	loan
alotria	deu,ell	loan
alou	deu,fra,lat	loan
alpaka	deu	loan
alt	ita,lat	loan
altán	deu,ita,lat	loan
alternativa	fra	loan
alternovat	lat	loan
altruismus	fra,lat	loan
aluminium	eng,lat	loan
amalgám	deu,lat	loan
amant	fra,lat	loan
amatér	fra,lat	loan
amazonka	lat,ell	loan
ambasáda	fra,ita,lat	loan
ambice	lat	loan
ambit	lat	loan
ambivalentní	lat	loan
ambrózie	ell	loan
ambulance	fra,lat	loan
améba	lat,ell	loan
amen	lat,ell,heb	loan
ametyst	lat,ell	loan
amfiteátr	lat,ell	loan
