# Derivations intermediate
# derivations that will be added to DeriNet based on Etym dict derivations list

# EtymDict: "derivation" is derivation of "grandparent", but "derivation" already has parent
# DeriNet: "parent" is root of tree containing "derivation"
# => connect "parent" (parent in DeriNet of the "derivation") to "grandparent" (in etym dict "grandparent" has listed "derivation" as child)
# root_of_grandparent <-...<- grandparent <-...<-parent <-...<-derivation


parent	grandparent	derivation
Silvestrov#NNM??-----A---?	silvestr#NNI??-----A---?	silvestrovský#AA???----??---?
abstrahovat#V????--??-??B??	abstraktní#AA???----??---?	abstrakce#NNF??-----A---?
aktiv#NNI??-----A---?	aktivní#AA???----??---?	aktivovat#V????--??-??I??
anonym#NNM??-----A---?	anonym#NNI??-----A---?	anonymita#NNF??-----A---?
antikva#NNF??-----A---?	antikvariát#NNI??-----A---?	antikvář#NNM??-----A---?
apologet#NNM??-----A---?	apologie#NNF??-----A---?	apologeta#NNM??-----A---?
síla#NNF??-----A---?	asfalt#NNI??-----A---?	asfaltka#NNF??-----A---?
aspirovat#V????--??-??I??	aspiráta#NNF??-----A---?	aspirovaný#AA???----??---?
auto#NNN??-----A---?	aut#NNI??-----A---?	autový#AA???----??---?
bacil#NNI??-----A---?	bacil#NNM??-----A---?	bacilonosič#NNM??-----A---?
balancovat#V????--??-??I??	balanc#NNF??-----A---?	zabalancovat#V????--??-??P??
balík#NNI??-----A---?	balík#NNM??-----A---?	balíkový#AA???----??---?
batolit#V????--??-??I??	batolit#NNI??-----A---?	batole#NNN??-----A---?
bačkora#NNF??-----A---?	bačkora#NNM??-----A---?	bačkorový#AA???----??---?
bažant#NNM??-----A---?	bažant#NNI??-----A---?	bažantnice#NNF??-----A---?
beletristika#NNF??-----A---?	beletrie#NNF??-----A---?	beletristický#AA???----??---?
biografie#NNF??-----A---?	biograf#NNM??-----A---?	biografický#AA???----??---?
zablešit#V????--??-??P??	blecha#NNF??-----A---?	zablešený#AA???----??---?
zbledat#V????--??-??I??	bledý#A????----??---?	zblednout#V????--??-??P??
blues#NNNXX-----A----	blues#NNI??-----A---?	bluesový#AA???----??---?
rozblátit#V????--??-??P??	bláto#NNN??-----A---?	rozblácený#AA???----??---?
bochan#NNI??-----A---?	bochník#NNI??-----A---?	bochánek#NNI??-----A---?
lít#V????--??-??I??	brambora#NNF??-----A---?	bramboračka#NNF??-----A---?
brož#NNF??-----A---?	brožura#NNF??-----A---?	brožovaný#AA???----??---?
vzít#V????--??-??P??	bránit#V????--??-??I??	branec#NNM??-----A---?
obrýlit#V????--??-??P??	brýle#NNFP?-----A---?	obrýlený#AA???----??---?
bulet#NNI??-----A---?	bulit#V????--??-??I??	ubulený#AA???----??---?
bulík#NNM??-----A---?	bulík#NNI??-----A---?	bulíkovat#V????--??-??I??
být#V???---??-??I??	bydlet#V????--??-??I??	obydlí#NNN??-----A---?
žrát#V????--??-??I??	bylina#NNF??-----A---?	býložravý#AA???----??---?
badminton#NNI??-----A---?	bádat#V????--??-??I??	badmintonový#AA???----??---?
bát#V???---??-??I??	bát#NNI??-----A---?	bázeň#NNF??-----A---?
běs#NNM??-----A---?	běs#NNI??-----A---?	rozběsnit#V????--??-??P??
probíhat#V????--??-??I??	běžet#V????--??-??I??	průběžný#AA???----??---?
zbíhat#V????--??-??I??	běžet#V????--??-??I??	zběhnout#V????--??-??P??
podbíhat#V????--??-??I??	běžet#V????--??-??I??	podběhnout#V????--??-??P??
úběžný#AA???----??---?	běžet#V????--??-??I??	úběžník#NNI??-----A---?
rozběhnout#V????--??-??P??	běžet#V????--??-??I??	rozběh#NNI??-----A---?
vyběhnout#V????--??-??P??	běžet#V????--??-??I??	výběh#NNI??-----A---?
Bůh#NNM??-----A---?	bůh#NNM??-----A---?	zbožňovat#V????--??-??I??
clo#NNN??-----A---?	celní#AA???----1?---?	celnice#NNF??-----A---?
centrum#NNN??-----A---?	centr#NNI??-----A---?	zacentrovat#V????--??-??P??
centr#NNI??-----A---?	centr#NNM??-----A---?	zacentrovat#V????--??-??P??
ceruška#NNF??-----A---?	dcera#NNF??-----A---?	dceruška#NNF??-----A---?
scestí#NNN??-----A---?	cesta#NNF??-----?---?	scestný#AA???----??---?
chladnice#NNF??-----A---?	chlad#NNI??-----A---?	chladnička#NNF??-----A---?
pochlebný#AA???----??---?	pochlebovat#V????--??-??I??	pochlebník#NNM??-----A---?
chmuřit#V????--??-??I??	chmura#NNF??-----A---?	zachmuřit#V????--??-??P??
chrom#NNI??-----A---?	chromý#AA???----??---?	ochromit#V????--??-??P??
vychrtnout#V????--??-??P??	chrt#NNM??-----A---?	vychrtlý#AA???----??---?
chraptit#V??????????????	chrápat#V????--??-??I??	chraptět#V????--??-??I??
pila#NNF??-----A---?	cirkulovat#V????--??-??I??	cirkulárka#NNF??-----A---?
křeslo#NNN??-----A---?	klub#NNI??-----A---?	klubovka#NNF??-----A---?
cypřiš#NNI??-----A---?	cypřiš#NNF??-----A---?	cypřišový#AA???----??---?
dál#Db-------------	daleký#A????----??---?	vzdálenost#NNF??-----?---?
dál#NNF??-----A---?	daleký#A????----??---?	dálkový#AA???----??---?
dareba#NNM??-----A---?	darmo#Db-------------	daremný#AA???----??---?
datum#NNN??-----A---?	datum#NNI??-----A---?	datace#NNF??-----A---?
debl#NNI??-----A---?	debl#AAXXX----1A----	deblový#AA???----??---?
dedukce#NNF??-----A---?	dedukovat#V????--??-??B??	deduktivní#AA???----1?---?
definitivní#AA???----??---?	definice#NNF??-----A---?	definitiva#NNF??-----A---?
dnít#V???---??-??I??	den#NNI??-----A---?	rozednít#V????--??-??P??
den#NNI??-----A---?	den#NNI??-----A---?	deník#NNI??-----A---?
denunciovat#V????--??-??P??	denuncovat#V????--??-??B??	denunciace#NNF??-----A---?
depozit#NNI??-----A---?	deponovat#V????--??-??B??	depozitní#AA???----1?---?
dialektika#NNF??-----A---?	dialekt#NNI??-----A---?	dialektický#AA???----??---?
diferenciovat#V????--??-??I??	diference#NNF??-----A---?	diferenciace#NNF??-----A---?
dít#V???---??-??I??	div#Db-------------	divný#A????----??---?
dlouhatý#AA???----??---?	dlouhý#AA???----??---?	dlouhatánský#AA???----??---?
bydlet#V????--??-??I??	dobytek#NNM??-----A---?	dobytčí#AA???----1?---?
dolů#Db------------?	důl#NNI??-----A---?	dolní#AA???----??---?
údolí#NNN??-----A---?	důl#NNI??-----A---?	údolní#AA???----1?---?
dout#V???---??-??I??	doutnat#V????--??-??I??	doutníkovitý#AA???----??---?
robit#V????--??-??I??	drobit#V????--??-??I??	podrobný#AA???----??---?
houba#NNF??-----A---?	drát#NNI??-----A---?	drátěnka#NNF??-----A---?
drát#NNI??-----A---?	drát#V????--??-??I??	drátěnka#NNF??-----A---?
duch#NNM??-----A---?	duch#NNI??-----A---?	duchovenstvo#NNN??-----A---?
dýchat#V????--??-??I??	duše#NNF??-----A---?	zádušní#AA???----1?---?
zdvořák#NNM??-----A---?	dvůr#NNI??-----A---?	nezdvořák#NNM??-----A---?
démonie#NNF??-----A---?	démon#NNM??-----A---?	démonický#AA???----??---?
voda#NNF??-----A---?	déšť#NNI??-----A---?	dešťovka#NNF??-----A---?
nadít#V????--??-??P??	dívat#V????--??-??I??	vynadívat#V????--??-??P??
dóže#NNMS?-----A----	dóže#NNN??-----A---?	dóžecí#AA???----1?---?
střelit#V????--??-??P??	dělo#NNN??-----A---?	dělostřelba#NNF??-----A---?
dřevo#NNN??-----A---?	dříve#Dg-------?A---?	dřevní#AA???----1?---?
elektro#NNN??-----A----	elektron#NNI??-----A---?	elektronika#NNF??-----A---?
esej#NNI??-----A---?	esej#NNF??-----A---?	esejista#NNM??-----A---?
explozivní#AA???----??---?	exploze#NNF??-----A---?	explozíva#NNF??-----A---?
expres#NNI??-----A---?	expres#AAXXX----1A----	expresní#AA???----1?---?
fatalizmus#NNI??-----A---?	fatální#AA???----??---?	fatalista#NNM??-----A---?
favorit#NNI??-----A---?	favorit#NNM??-----A---?	favorizovat#V????--??-??I??
feminní#AA???----1?---?	feminismus#NNI??-----A---?	feminizace#NNF??-----A---?
práce#NNF??-----A---?	film#NNI??-----A---?	filmař#NNM??-----A---?
působit#V????--??-??I??	flexe#NNF??-----A---?	přizpůsobivý#AA???----??---?
folk#NNI??-----A---?	folk#AAXXX----1A----	folkový#AA???----??---?
fundamentalistický#AA???----??---?	fundamentální#AA???----??---?	fundamentalismus#NNI??-----A---?
infuzní#AA???----??---?	infúze#NNF??-----A---?	infúzní#AA???----1?---?
gigant#NNI??-----A---?	gigant#NNM??-----A---?	gigantický#AA???----??---?
gnóm#NNM??-----A---?	gnóma#NNN??-----A---?	gnómický#AA???----??---?
golman#NNM??-----A---?	gól#NNI??-----A---?	gólman#NNM??-----A---?
hala#NNF??-----A---?	hala#Db-------------	halový#AA???----??---?
halit#V????--??-??I??	halit#NNI??-----A---?	rozhalit#V????--??-??P??
ham#NNI??-----A---?	hamounit#V????--??-??I??	hamoun#NNM??-----A---?
hatit#V????--??-??I??	hať#NNF??-----A---?	zhatit#V????--??-??P??
věž#NNF??-----A---?	hlas#NNI??-----A---?	hláskovat#V????--??-??I??
vyhlášet#V????--??-??I??	hlas#NNI??-----A---?	vyhláška#NNF??-----A---?
hlemýžď#NNM??-----A---?	hlemýžď#NNI??-----A---?	hlemýždí#AA???----1?---?
hlubina#NNF??-----A---?	hluboký#AA???----??---?	hlubinný#AA???----??---?
shluknout#V????--??-??P??	hluk#NNI??-----A---?	shlukovat#V????--??-??I??
hledět#V????--??-??I??	hlídat#V????--??-??I??	ohlídat#V????--??-??P??
píchat#V????--??-??I??	hnida#NNF??-----A---?	hnidopich#NNM??-----A---?
výhyb#NNI??-----A---?	hýbat#V????--??-??I??	výhybka#NNF??-----A---?
hnát#V????--??-??I??	hnát#NNI??-----A---?	přeháňka#NNF??-----A---?
kůň#NNM??-----A---?	hnědý#AA???----??---?	hnědák#NNM??-----A---?
hodit#V????--??-??P??	hodit#V????--??-??I??	vhodný#A????----??---?
shodný#AA???----??---?	hodit#V????--??-??I??	shodovat#V????--??-??I??
hádat#V????--??-??I??	hodit#V????--??-??I??	rozhodnout#V????--??-??P??
hůl#NNF??-----A----	hokej#NNI??-----A---?	hokejka#NNF??-----A---?
hůra#NNF??-----A---?	hora#NNF??-----A---?	hůrka#NNF??-----A---?
horšit#V????--??-??I??	horší#AA???----??---?	zhoršovat#V????--??-??I??
hovado#NNN??-----A---?	hovězí#AAXXX----1A---b	hovězina#NNF??-----A---?
horký#AA???----??---?	hořet#V???---??-??I??	horoucí#AA???----1?---?
hrabě#NNN??-----A---?	hrabě#NNM??-----A---?	hrabství#NNN??-----A---?
drát#V????--??-??I??	huba#NNF??-----A---?	hubička#NNF??-----A---?
hudlat#V????--??-??I??	hudlařit#V????--??-??I??	hudlař#NNM??-----A---?
humánní#AA???----??---?	humanismus#NNI??-----A---?	humanita#NNF??-----A---?
houkat#V????--??-??I??	hučet#V????--??-??I??	hukot#NNI??-----A---?
hybrid#NNI??-----A---?	hybrid#NNM??-----A---?	hybridizace#NNF??-----A---?
hypokoristikon#NNN??-----A----	hypokoristikon#NNI??-----A---?	hypokoristický#AA???----??---?
hřídel#NNF??-----A---?	hřídel#NNI??-----A---?	hřídelový#AA???----??---?
idealizmus#NNI??-----A---?	ideál#NNI??-----A---?	idealista#NNM??-----A---?
inkoust#NNI??-----A---?	inkoust#NNM??-----A---?	inkoustový#AA???----??---?
inzert#NNI??-----A---?	inzerát#NNI??-----A---?	inzertní#AA???----1?---?
ion#NNI??-----A---?	iont#NNI??-----A---?	ionizovat#V????--??-??B??
jak#NNM??-----A---?	jak#Db-----------?-	jaksi#Db-------------
rozjařit#V????--??-??P??	jarý#AA???----??---?	rozjařený#AA???----??---?
jazyk#NNI??-----A---?	jazyk#NNM??-----A---?	jazýček#NNI??-----A---?
jet#V???---??-??I??	jet#NNI??-----A---?	objet#V????--??-??P??
kudy#Db-------------	jiný#AA???----??---?	jinudy#Db-------------
jinde#Db-------------	jiný#AA???----??---?	odjinud#Db-------------
jet#NNI??-----A---?	jmout#V????--??-??B??	objetí#NNN??-----?---?
junker#NNM??-----A---?	junker#NNI??-----A---?	junkerský#AA???----??---?
junák#NNM??-----A---?	junák#NNI??-----A---?	junácký#AA???----??---?
Jiří#NNM??-----A---?	jura#NNF??-----A---?	jurský#AA???----??---?
paštika#NNF??-----A---?	játra#NNN??-----A---?	játrovka#NNF??-----A---?
jedle#NNF??-----A---?	jedle#Dg-------??---?	jedlička#NNF??-----A---?
kalíš#NNI??-----A---?	kalich#NNI??-----A---?	kalíšek#NNI??-----A---?
pak#Db-------------	kam#Db-----------??	kampak#Db-------------
kameraman#NNM??-----A---?	kamera#NNF??-----A---?	kameramanka#NNF??-----A---?
list#NNI??-----A---?	kandidát#NNM??-----A---?	kandidátka#NNF??-----A---?
kapitála#NNF??-----A---?	kapitál#NNI??-----A---?	kapitálový#AA???----??---?
kápnout#V????--??-??P??	kapat#V????--??-??I??	ukápnout#V????--??-??P??
katit#V????--??-??I??	kat#NNM??-----A---?	rozkatit#V????--??-??P??
Katov#NNI??-----A---?	kat#NNM??-----A---?	katovský#AA???----??---?
kejkle#NNFP?-----A---?	kejkle#NNIP?-----A---?	kejklířství#NNN??-----A---?
kiksat#V????--??-??I??	kiks#NNI??-----A---?	kiksnout#V????--??-??P??
klacek#NNI??-----A---?	klacek#NNM??-----A---?	klacík#NNI??-----A---?
klasa#NNF??-----A---?	klas#NNI??-----A---?	klasový#AA???----??---?
klenot#NNI??-----A---?	klenot#NNM??-----A---?	klenotnický#AA???----??---?
podklesat#V????--??-??I??	klesat#V????--??-??I??	podklesávat#V????--??-??I??
kleštit#V????--??-??I??	klestit#V????--??-??I??	vykleštit#V????--??-??P??
klient#NNM??-----A---?	klient#NNI??-----A---?	klientela#NNF??-----A---?
click#NNI??-----A---?	klika#NNF??-----A---?	klikař#NNM??-----A---?
klopota#NNF??-----A---?	klopotit#V????--??-??I??	klopotný#AA???----??---?
klofan#NNI??-----A---?	klofat#V????--??-??I??	klofanec#NNI??-----A---?
