# Derivations direct, srov
# derivations that will be added to DeriNet based on Etym dict 'srov' list. List if words with similar meaning, structure, etymological origin or some other similarity.

derivation	parent
apatie#NNF??-----A---?	telepatie#NNF??-----A---?
tesat#V????--??-??I??	architekt#NNM??-----A---?
amant#NNM??-----A---?	amorek#NNM??-----A---?
kampaň#NNF??-----A---?	šampaňské#NNN??-----A---?
žampion#NNI??-----A---?	šampaňské#NNN??-----A---?
dominovat#V????--??-??B??	dominikán#NNM??-----A---?
důra#NNF??-----A---?	dorota#NNF??-----A---?
filuta#NNM??-----A---?	filip#NNM??-----A---?
fištrón#NNI??-----A---?	filip#NNM??-----A---?
fiškus#NNM??-----A---?	filip#NNM??-----A---?
kandidát#NNM??-----A---?	františek#NNI??-----A---?
kandelábr#NNI??-----A---?	františek#NNI??-----A---?
frank#NNI??-----A---?	františkán#NNM??-----A---?
káča#NNF??-----A---?	janek#NNM??-----A---?
madam#NNFXX-----A----	madona#NNF??-----A---?
polonéza#NNF??-----A---?	polka#NNF??-----A---?
don#NNM??-----A---?	donkichot#NNM??-----A---?
rusý#AA???----??---?	rus#NNM??-----A---?
šváb#NNM??-----A---?	rus#NNM??-----A---?
růže#NNF??-----A---?	rus#NNM??-----A---?
němý#AA???----??---?	Slovan#NNI??-----A---?
titan#NNI??-----A---?	titán#NNM??-----A---?
plutonium#NNN??-----A---?	uran#NNI??-----A---?
jeptiška#NNF??-----A---?	abatyše#NNF??-----A---?
opat#NNM??-----A---?	abatyše#NNF??-----A---?
abbé#NNM??-----A---?	abatyše#NNF??-----A---?
indikovat#V????--??-??B??	abdikace#NNF??-----A---?
dedikovat#V????--??-??I??	abdikace#NNF??-----A---?
azbuka#NNF??-----A---?	abeceda#NNF??-----A---?
alfabeta#NNF??-----A---?	abeceda#NNF??-----A---?
breviář#NNI??-----A---?	abreviace#NNF??-----A---?
korupce#NNF??-----A---?	abrupce#NNF??-----A---?
proces#NNI??-----A---?	absces#NNI??-----A---?
esence#NNF??-----A---?	absence#NNF??-----A---?
absolvovat#V????--??-??B??	absolutní#AA???----??---?
rezoluce#NNF??-----A---?	absolutní#AA???----??---?
abstence#NNF??-----A---?	abstinent#NNM??-----A---?
kontrakt#NNI??-----A---?	abstraktní#AA???----??---?
trakt#NNI??-----A---?	abstraktní#AA???----??---?
ostrý#AA???----??---?	aceton#NNI??-----A---?
ocet#NNI??-----A---?	aceton#NNI??-----A---?
koherence#NNF??-----A---?	adheze#NNF??-----A---?
justice#NNF??-----A---?	adjustovat#V????--??-??I??
emír#NNM??-----A---?	admirál#NNM??-----A---?
alimenty#NNIP?-----A---?	adolescence#NNF??-----A---?
koalice#NNF??-----A---?	adolescence#NNF??-----A---?
opce#NNF??-----A---?	adoptovat#V????--??-??P??
region#NNI??-----A---?	adresa#NNF??-----A---?
dres#NNI??-----A---?	adresa#NNF??-----A---?
arogance#NNF??-----A---?	adresa#NNF??-----A---?
regulovat#V????--??-??I??	adresa#NNF??-----A---?
konvence#NNF??-----A---?	advent#NNI??-----A---?
prevence#NNF??-----A---?	advent#NNI??-----A---?
eventuální#AA???----??---?	advent#NNI??-----A---?
vokál#NNI??-----A---?	advokát#NNM??-----A---?
vokativ#NNI??-----A---?	advokát#NNM??-----A---?
linie#NNF??-----A---?	aero#NNN??-----A---?
dynastie#NNF??-----A---?	aerodynamický#AA???----??---?
dynamo#NNN??-----A---?	aerodynamický#AA???----??---?
planeta#NNF??-----A---?	aeroplán#NNI??-----A---?
fáma#NNF??-----A---?	afázie#NNF??-----A---?
infantilní#AA???----1?---?	afázie#NNF??-----A---?
defekt#NNI??-----A---?	afekt#NNI??-----A---?
satisfakce#NNF??-----A---?	afekt#NNI??-----A---?
krucifix#NNI??-----A---?	afix#NNI??-----A---?
prefix#NNI??-----A---?	afix#NNI??-----A---?
aorist#NNI??-----A---?	aforismus#NNI??-----A---?
horizont#NNI??-----A---?	aforismus#NNI??-----A---?
frikce#NNF??-----A---?	afrikáta#NNF??-----A---?
frikativa#NNF??-----A---?	afrikáta#NNF??-----A---?
agitovat#V????--??-??I??	agenda#NNF??-----A---?
agent#NNM??-----A---?	agenda#NNF??-----A---?
akce#NNF??-----A---?	agenda#NNF??-----A---?
glóbus#NNI??-----A---?	aglomerace#NNF??-----A---?
ignorovat#V????--??-??I??	agnosticismus#NNI??-----A---?
gnóma#NNN??-----A---?	agnosticismus#NNI??-----A---?
kongregace#NNF??-----A---?	agregát#NNI??-----A---?
ingredience#NNF??-----A---?	agrese#NNF??-----A---?
kongres#NNI??-----A---?	agrese#NNF??-----A---?
akr#NNI??-----A---?	agrární#AA???----1?---?
šanson#NNI??-----A---?	akcent#NNI??-----A---?
kantor#NNM??-----A---?	akcent#NNI??-----A---?
kantáta#NNF??-----A---?	akcent#NNI??-----A---?
kapacita#NNF??-----A---?	akceptovat#V????--??-??B??
princip#NNI??-----A---?	akceptovat#V????--??-??B??
recept#NNI??-----A---?	akceptovat#V????--??-??B??
akt#NNI??-----A---?	akcie#NNF??-----A---?
deklamovat#V????--??-??I??	aklamace#NNF??-----A---?
komoda#NNF??-----A---?	akomodace#NNF??-----A---?
rekord#NNI??-----A---?	akord#NNI??-----A---?
kuráž#NNF??-----A---?	akord#NNI??-----A---?
konkordát#NNI??-----A---?	akord#NNI??-----A---?
akordeon#NNI??-----A---?	akord#NNI??-----A---?
akurátní#AA???----??---?	akorát#Db------------?
kúra#NNF??-----A---?	akorát#Db------------?
kredit#NNI??-----A---?	akreditovat#V????--??-??B??
hať#NNF??-----A---?	akrobat#NNM??-----A---?
báze#NNF??-----A---?	akrobat#NNM??-----A---?
akronymum#NNN??-----A---?	akrobat#NNM??-----A---?
samet#NNI??-----A---?	aksamit#NNI??-----A---?
agilní#AA???----??---?	aktivní#AA???----??---?
viadukt#NNI??-----A---?	akvadukt#NNI??-----A---?
redukce#NNF??-----A---?	akvadukt#NNI??-----A---?
marína#NNF??-----A---?	akvamarín#NNI??-----A---?
inkvizice#NNF??-----A---?	akvizice#NNF??-----A---?
rekvizita#NNF??-----A---?	akvizice#NNF??-----A---?
armáda#NNF??-----A---?	alarm#NNI??-----A---?
albín#NNM??-----A---?	album#NNN??-----A---?
kategorie#NNF??-----A---?	alegorie#NNF??-----A---?
alergie#NNF??-----A---?	alegorie#NNF??-----A---?
ambulance#NNF??-----A---?	alej#NNF??-----A---?
poněkud#Db-------------	aspoň#Db-------------
liga#NNF??-----A---?	aliance#NNF??-----A---?
alibi#NNNXX-----A----	alias#NNI??-----A---?
alternativa#NNF??-----A---?	alias#NNI??-----A---?
cyankáli#NNNXX-----A----	alka#NNF??-----A---?
altán#NNI??-----A---?	alt#NNI??-----A---?
oltář#NNI??-----A---?	alt#NNI??-----A---?
diletant#NNM??-----A---?	amatér#NNM??-----A---?
ambice#NNF??-----A---?	ambasáda#NNF??-----A---?
valuta#NNF??-----A---?	ambivalentní#AA???----??---?
mřít#V????--??-??I??	ambrózie#NNF??-----A---?
med#NNI??-----A---?	ametyst#NNI??-----A---?
metafora#NNF??-----A---?	amfora#NNF??-----A---?
fosfor#NNI??-----A---?	amfora#NNF??-----A---?
amfiteátr#NNI??-----A---?	amfora#NNF??-----A---?
anamnéza#NNF??-----A---?	amnestie#NNF??-----A---?
morfologie#NNF??-----A---?	amorfní#AA???----??---?
amplituda#NNF??-----A---?	amplion#NNI??-----A---?
kronika#NNF??-----A---?	anachronismus#NNI??-----A---?
neuralgie#NNF??-----A---?	analgetikum#NNN??-----A----
logaritmus#NNI??-----A---?	analogie#NNF??-----A---?
logika#NNF??-----A---?	analogie#NNF??-----A---?
archiv#NNI??-----A---?	anarchie#NNF??-----A---?
monarchie#NNF??-----A---?	anarchie#NNF??-----A---?
dichotomie#NNF??-----A---?	anatomie#NNF??-----A---?
atom#NNI??-----A---?	anatomie#NNF??-----A---?
evangelium#NNN??-----A---?	anděl#NNM??-----A---?
edice#NNF??-----A---?	anekdota#NNF??-----A---?
konexe#NNF??-----A---?	anektovat#V????--??-??B??
estetika#NNF??-----A---?	anestézie#NNF??-----A---?
animovat#V????--??-??I??	animální#AA???----??---?
animální#AA???----??---?	animozita#NNF??-----A---?
denuncovat#V????--??-??B??	anonce#NNF??-----A---?
nuncius#NNM??-----A---?	anonce#NNF??-----A---?
homo#NNMXX-----A----	anomálie#NNF??-----A---?
pseudonym#NNI??-----A---?	anonym#NNM??-----A---?
metonymie#NNF??-----A---?	anonym#NNM??-----A---?
onomastika#NNF??-----A---?	anonym#NNM??-----A---?
notes#NNI??-----A---?	anotace#NNF??-----A---?
nota#NNF??-----A---?	anotace#NNF??-----A---?
asimilovat#V????--??-??B??	ansámbl#NNI??-----A---?
simultánní#AA???----1?---?	ansámbl#NNI??-----A---?
chryzantéma#NNF??-----A---?	antologie#NNF??-----A---?
analogie#NNF??-----A---?	antologie#NNF??-----A---?
participovat#V????--??-??I??	anticipovat#V????--??-??B??
antikvariát#NNI??-----A---?	antika#NNF??-----A---?
alkohol#NNI??-----A---?	antimon#NNI??-----A---?
synonymum#NNN??-----A---?	antonymum#NNN??-----A---?
bienále#NNNXX-----A----	anály#NNIP?-----A---?
meteor#NNI??-----A---?	aorta#NNF??-----A---?
kumpán#NNM??-----A---?	apanáž#NNF??-----A---?
marcipán#NNI??-----A---?	apanáž#NNF??-----A---?
apartní#AA???----??---?	apartheid#NNI??-----A---?
suspendovat#V????--??-??P??	apendix#NNI??-----A---?
ouvertura#NNF??-----A---?	aperitiv#NNI??-----A---?
kompetence#NNF??-----A---?	apetyt#NNI??-----A---?
petice#NNF??-----A---?	apetyt#NNI??-----A---?
exploze#NNF??-----A---?	aplaudovat#V????--??-??I??
replika#NNF??-----A---?	aplikovat#V????--??-??B??
komplikovat#V????--??-??I??	aplikovat#V????--??-??B??
eukalypt#NNI??-----A---?	apokalypsa#NNF??-----A---?
krýt#V????--??-??I??	apokryf#NNI??-----A---?
krypta#NNF??-----A---?	apokryf#NNI??-----A---?
portmonka#NNF??-----A---?	aportovat#V????--??-??I??
export#NNI??-----A---?	aportovat#V????--??-??I??
strofa#NNF??-----A---?	apostrof#NNI??-----A---?
katastrofa#NNF??-----A---?	apostrof#NNI??-----A---?
butik#NNI??-----A---?	apatyka#NNF??-----A---?
putyka#NNF??-----A---?	apatyka#NNF??-----A---?
kartotéka#NNF??-----A---?	apatyka#NNF??-----A---?
epištola#NNF??-----A---?	apoštol#NNM??-----A---?
areál#NNI??-----A---?	ar#NNI??-----A---?
hektar#NNI??-----A---?	ar#NNI??-----A---?
rakije#NNF??-----A---?	arak#NNI??-----A---?
arkáda#NNF??-----A---?	arch#NNI??-----A---?
rakev#NNF??-----A---?	archa#NNF??-----A---?
archeologie#NNF??-----A---?	archaismus#NNI??-----A---?
rest#NNI??-----A---?	arest#NNI??-----A---?
energie#NNF??-----A---?	argon#NNI??-----A---?
orgie#NNF??-----A---?	argon#NNI??-----A---?
demokracie#NNF??-----A---?	aristokracie#NNF??-----A---?
byrokracie#NNF??-----A---?	aristokracie#NNF??-----A---?
arch#NNI??-----A---?	arkýř#NNI??-----A---?
adaptovat#V????--??-??B??	artilerie#NNF??-----A---?
neuróza#NNF??-----A---?	artróza#NNF??-----A---?
aorta#NNF??-----A---?	artérie#NNF??-----A---?
inzerát#NNI??-----A---?	asertivita#NNF??-----A---?
silice#NNF??-----A---?	síla#NNF??-----A---?
rezistence#NNF??-----A---?	asistent#NNM??-----A---?
existovat#V????--??-??I??	asistent#NNM??-----A---?
sekvence#NNF??-----A---?	asociace#NNF??-----A---?
sociální#AA???----??---?	asociace#NNF??-----A---?
konsonant#NNI??-----A---?	asonance#NNF??-----A---?
rezonovat#V????--??-??I??	asonance#NNF??-----A---?
respekt#NNI??-----A---?	aspekt#NNI??-----A---?
spektrum#NNN??-----A---?	aspekt#NNI??-----A---?
inspekce#NNF??-----A---?	aspekt#NNI??-----A---?
špiritus#NNI??-----A---?	aspirovat#V????--??-??I??
ostentativní#AA???----??---?	atentát#NNI??-----A---?
testament#NNI??-----A---?	atestace#NNF??-----A---?
protest#NNI??-----A---?	atestace#NNF??-----A---?
test#NNI??-----A---?	atestace#NNF??-----A---?
triatlon#NNI??-----A---?	atlet#NNM??-----A---?
sféra#NNF??-----A---?	atmosféra#NNF??-----A---?
tribut#NNI??-----A---?	atribut#NNI??-----A---?
distribuce#NNF??-----A---?	atribut#NNI??-----A---?
auditorium#NNN??-----A---?	audience#NNF??-----A---?
audit#NNI??-----A---?	audience#NNF??-----A---?
augmentace#NNF??-----A---?	aukce#NNF??-----A---?
autor#NNM??-----A---?	aukce#NNF??-----A---?
outsider#NNM??-----A---?	aut#NNI??-----A---?
aušus#NNI??-----A---?	aut#NNI??-----A---?
automat#NNI??-----A---?	auto#NNN??-----A---?
autogen#NNI??-----A---?	auto#NNN??-----A---?
autogram#NNI??-----A---?	auto#NNN??-----A---?
kára#NNF??-----A---?	autokar#NNI??-----A---?
substrát#NNI??-----A---?	autostráda#NNF??-----A---?
estráda#NNF??-----A---?	autostráda#NNF??-----A---?
garderoba#NNF??-----A---?	avantgarda#NNF??-----A---?
garda#NNF??-----A---?	avantgarda#NNF??-----A---?
advent#NNI??-----A---?	avantýra#NNF??-----A---?
diverze#NNF??-----A---?	averze#NNF??-----A---?
konverze#NNF??-----A---?	averze#NNF??-----A---?
kontroverze#NNF??-----A---?	averze#NNF??-----A---?
verze#NNF??-----A---?	averze#NNF??-----A---?
zenit#NNI??-----A---?	azimut#NNI??-----A---?
babyka#NNF??-----A---?	bába#NNF??-----A---?
babočka#NNF??-----A---?	bába#NNF??-----A---?
máma#NNF??-----A---?	bába#NNF??-----A---?
brblat#V????--??-??I??	babrat#V????--??-??I??
piplat#V????--??-??I??	babrat#V????--??-??I??
patlat#V????--??-??I??	babrat#V????--??-??I??
buchta#NNF??-----A---?	bachor#NNI??-----A---?
batoh#NNI??-----A---?	bacat#V????--??-??I??
forhend#NNI??-----A---?	bekhend#NNI??-----A---?
pakatel#NNI??-----A---?	bagatelizovat#V????--??-??I??
pakáž#NNF??-----A---?	bagáž#NNF??-----A---?
bádat#V????--??-??I??	bahnice#NNF??-----A---?
bál#NNI??-----A---?	balet#NNI??-----A---?
balada#NNF??-----A---?	balet#NNI??-----A---?
ďábel#NNM??-----A---?	balistika#NNF??-----A---?
parabola#NNF??-----A---?	balistika#NNF??-----A---?
