parent	grandparent	derivation
Silvestrov#NNM??-----A---?	silvestr#NNI??-----A---?	silvestrovský#AA???----??---?
administrativa#NNF??-----A---?	administrace#NNF??-----A---?	administrativní#AA???----1?---?
aktiv#NNI??-----A---?	aktivní#AA???----??---?	aktivovat#V????--??-??I??
antikva#NNF??-----A---?	antikvariát#NNI??-----A---?	antikvář#NNM??-----A---?
apologet#NNM??-----A---?	apologie#NNF??-----A---?	apologetický#AA???----??---?
síla#NNF??-----A---?	asfalt#NNI??-----A---?	asfaltka#NNF??-----A---?
aspirovat#V????--??-??I??	aspiráta#NNF??-----A---?	aspirace#NNF??-----A---?
auto#NNN??-----A---?	aut#NNI??-----A---?	autový#AA???----??---?
balancovat#V????--??-??I??	balanc#NNF??-----A---?	zabalancovat#V????--??-??P??
beletristika#NNF??-----A---?	beletrie#NNF??-----A---?	beletristický#AA???----??---?
biografie#NNF??-----A---?	biograf#NNM??-----A---?	biografický#AA???----??---?
zablešit#V????--??-??P??	blecha#NNF??-----A---?	zablešený#AA???----??---?
zbledat#V????--??-??I??	bledý#A????----??---?	zblednout#V????--??-??P??
bleskat#V????--??-??I??	blesk#NNI??-----A---?	problesknout#V????--??-??P??
rozblátit#V????--??-??P??	bláto#NNN??-----A---?	rozblácený#AA???----??---?
blížit#V????--??-??I??	blízký#A????----??---?	sblížit#V????--??-??P??
bochan#NNI??-----A---?	bochník#NNI??-----A---?	bochánek#NNI??-----A---?
lít#V????--??-??I??	brambora#NNF??-----A---?	bramboračka#NNF??-----A---?
brož#NNF??-----A---?	brožura#NNF??-----A---?	brožovat#V????--??-??I??
vzít#V????--??-??P??	bránit#V????--??-??I??	branec#NNM??-----A---?
obrýlit#V????--??-??P??	brýle#NNFP?-----A---?	obrýlený#AA???----??---?
bulet#NNI??-----A---?	bulit#V????--??-??I??	ubulený#AA???----??---?
být#V???---??-??I??	bydlet#V????--??-??I??	obydlí#NNN??-----A---?
žrát#V????--??-??I??	bylina#NNF??-----A---?	býložravý#AA???----??---?
badminton#NNI??-----A---?	bádat#V????--??-??I??	badmintonista#NNM??-----A---?
zbíhat#V????--??-??I??	běžet#V????--??-??I??	zběh#NNM??-----A---?
oběhnout#V????--??-??P??	běžet#V????--??-??I??	oběh#NNI??-----A---?
probíhat#V????--??-??I??	běžet#V????--??-??I??	průběžný#AA???----??---?
podbíhat#V????--??-??I??	běžet#V????--??-??I??	podběhnout#V????--??-??P??
vyběhnout#V????--??-??P??	běžet#V????--??-??I??	výběh#NNI??-----A---?
úběžný#AA???----??---?	běžet#V????--??-??I??	úběžník#NNI??-----A---?
Bůh#NNM??-----A---?	bůh#NNM??-----A---?	zbožňovat#V????--??-??I??
clo#NNN??-----A---?	celní#AA???----1?---?	celnice#NNF??-----A---?
centrum#NNN??-----A---?	centr#NNI??-----A---?	centrovat#V????--??-??I??
ceruška#NNF??-----A---?	dcera#NNF??-----A---?	dceruška#NNF??-----A---?
scestí#NNN??-----A---?	cesta#NNF??-----?---?	scestný#AA???----??---?
chladnice#NNF??-----A---?	chlad#NNI??-----A---?	chladnička#NNF??-----A---?
pochlebný#AA???----??---?	pochlebovat#V????--??-??I??	pochlebník#NNM??-----A---?
chmuřit#V????--??-??I??	chmura#NNF??-----A---?	zachmuřit#V????--??-??P??
chrom#NNI??-----A---?	chromý#AA???----??---?	ochromit#V????--??-??P??
vychrtnout#V????--??-??P??	chrt#NNM??-----A---?	vychrtlý#AA???----??---?
chraptit#V??????????????	chrápat#V????--??-??I??	chraptivý#AA???----??---?
pila#NNF??-----A---?	cirkulovat#V????--??-??I??	cirkulárka#NNF??-----A---?
křeslo#NNN??-----A---?	klub#NNI??-----A---?	klubovka#NNF??-----A---?
cívka#NNF??-----A---?	céva#NNF??-----A---?	cívkový#AA???----??---?
dál#Db-------------	daleký#A????----??---?	vzdálit#V????--??-??P??
dál#NNF??-----A---?	daleký#A????----??---?	dálka#NNF??-----A---?
dareba#NNM??-----A---?	darmo#Db-------------	daremný#AA???----??---?
dnít#V???---??-??I??	den#NNI??-----A---?	rozednít#V????--??-??P??
denunciovat#V????--??-??P??	denuncovat#V????--??-??B??	denunciace#NNF??-----A---?
depozit#NNI??-----A---?	deponovat#V????--??-??B??	depozitní#AA???----1?---?
dialektika#NNF??-----A---?	dialekt#NNI??-----A---?	dialektický#AA???----??---?
diferenciovat#V????--??-??I??	diference#NNF??-----A---?	diferenciace#NNF??-----A---?
dít#V???---??-??I??	div#Db-------------	udivit#V????--??-??P??
dlouhatý#AA???----??---?	dlouhý#AA???----??---?	dlouhatánský#AA???----??---?
